qid,last_first,description,name,creator_string
,"Dzubas, Wilhelm",1877-1947,Wilhelm Dzubas,"[""Dzubas, Wilhelm (1877-1947)""]"
,"Egan, Matt","1973-, born Newmarket, Ontario, Canada",Matt Egan,"[""Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)""]"
,"Ellis, Frank E.",,Frank E. Ellis,"[""Ellis, Frank E.""]"
,"Ellsworth, Young","American painter, 1866-1952",Young Ellsworth,"[""Ellsworth, Young (American painter, 1866-1952)""]"
,"Elrod, Joel","1967-, born Omaha, NE",Joel Elrod,"[""Elrod, Joel (1967-, born Omaha, NE)""]"
,Ernst,,Ernst,"[""Ernst""]"
,"Estellido, Comp",,Comp Estellido,"[""Estellido, Comp""]"
,"Fandos, Manuel",,Manuel Fandos,"[""Fandos, Manuel""]"
,"Fatiquant, R.",,R. Fatiquant,"[""Fatiquant, R.""]"
,"Fisher, E.",,E. Fisher,"[""Fisher, E.""]"
,Flasho,,Flasho,"[""Flasho""]"
,"Florez, Garzon",,Garzon Florez,"[""Florez, Garzon""]"
,"Floris, Marcel",1914-2007,Marcel Floris,"[""Floris, Marcel (1914-2007)""]"
,"Foster, Tom",,Tom Foster,"[""Foster, Tom""]"
,Frankenstein,,Frankenstein,"[""Frankenstein""]"
,Franz Hansftangl,1804-1877,Franz Hansftangl,"[""Franz Hansftangl (1804-1877)""]"
,"Frederick, Michael","1966-, born Chabanse, IL",Michael Frederick,"[""Frederick, Michael (1966-, born Chabanse, IL)"",""Frederick, Michael, (1966-, born Chabanse, IL)"",""Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"",""Frederick, Mike""]"
,"Freeman, Carol Lawton",,Carol Lawton Freeman,"[""Freeman, Carol Lawton""]"
,"Fries, Katherine J.",", born Lincoln, NE",Katherine J. Fries,"[""Fries, Katherine J. (, born Lincoln, NE)""]"
,"Friesicke, Sabine","1960-, born Hamburg, Germany",Sabine Friesicke,"[""Friesicke, Sabine (1960-, born Hamburg, Germany)""]"
,"Garicola, K.",,K. Garicola,"[""Garicola, K.""]"
,"Garman, Michael",1938-,Michael Garman,"[""Garman, Michael (1938-)""]"
,"Garret, Alvin",1946-,Alvin Garret,"[""Garret, Alvin (1946-)""]"
,"Gastlund, Knud",,Knud Gastlund,"[""Gastlund, Knud & Sert, Jose Luis""]"
,"Genter, Karen",,Karen Genter,"[""Genter, Karen""]"
,Georgii-Hemming,,Georgii-Hemming,"[""Georgii-Hemming""]"
,Gerasch,,Gerasch,"[""Gerasch""]"
,"Gibian, Mark",1954-,Mark Gibian,"[""Gibian, Mark (1954-)""]"
,"Gibson, Anita",", born Lima, Peru",Anita Gibson,"[""Gibson, Anita (, born Lima, Peru)"",""Gibson, Anita"",""Gibson, Anita  (born Lima, Peru)""]"
,"Gibson, James",,James Gibson,"[""Gibson, James""]"
,"Gill, Casey","1981-, born Monterey, CA",Casey Gill,"[""Gill, Casey (1981-, born Monterey, CA)"",""Gill, Casey (1981, born Monterey, CA)""]"
,"Gill, Jenny","1979-, born Monterey, CA",Jenny Gill,"[""Gill, Jenny (1979-, born Monterey, CA)"",""Gill, Jenny (1979, born Monterey, CA)""]"
,"Gold, Hel",,Hel Gold,"[""Gold, Hel""]"
,"Gonzáles, Teo","1964-, born Quinto, Spain",Teo Gonzáles,"[""Gonzáles, Teo (1964-, born Quinto, Spain)""]"
,"Goodyear, J.",,J. Goodyear,"[""Goodyear, J.""]"
,"Gosnell, Patrick","1989-, born Atlanta, GA",Patrick Gosnell,"[""Gosnell, Patrick (1989-, born Atlanta, GA)""]"
,Gremillier,,Gremillier,"[""Gremillier""]"
,"Griffith, E.N.",,E.N. Griffith,"[""Griffith, E.N.""]"
,"Grzeca, Dan","1968-, born Chicago, IL",Dan Grzeca,"[""Grzeca, Dan (1968-, born Chicago, IL)""]"
,"Gualdoni, Daniel",1943-,Daniel Gualdoni,"[""Gualdoni, Daniel (1943-)""]"
,"Gutiérrez, Francisco","1915-1945, born Oaxaca, Mexico",Francisco Gutiérrez,"[""Gutiérrez, Francisco (1915-1945, born Oaxaca, Mexico)""]"
,"Gwinn, John",,John Gwinn,"[""Gwinn, John""]"
