name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
Wifred Graf Schwerin von Krosigk,Wifred Graf Schwerin von Krosigk,,,American printmaker,Q30,,,,,,,,,m,,,American,printmaker,,,,"Schwerin von Krosigk, Wifred Graf","['Schwerin von Krosigk, Wifred Graf']",100 Wifred Graf Schwerin von Krosigk /  / Wifred Graf Schwerin von Krosigk,Q11569986,Q6581097
Miriam Zartarian,Miriam Zartarian,,,American printmaker,Q30,,,,,,,,,f,,,American,printmaker,,,,"Zartarian, Miriam","['Zartarian, Miriam']",100 Miriam Zartarian /  / Miriam Zartarian,Q11569986,Q6581072
Karen Zimmermann,Karen Zimmermann,,,American printmaker,Q30,,,,,,,,,f,,,American,printmaker,,,,"Zimmermann, Karen","['Zimmermann, Karen']",100 Karen Zimmermann /  / Karen Zimmermann,Q11569986,Q6581072
James Gibson,James Gibson,,,American sculptor,Q30,,,,,,,,,m,,,American,sculptor,,,,"Gibson, James","['Gibson, James']",100 James Gibson /  / James Gibson,Q1281618,Q6581097
Adary,,,,artist,,,,,,,,,,,,,,artist,,,,Adary,['Adary'],,Q483501,
Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,,,,artist,,,,,,,,,,,,,,artist,,,al-Husayni,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]",,Q483501,
L. M. Birchall,,,,artist,,,,,,,,,,,,,,artist,,,,"Birchall, L. M.","['Birchall, L. M.']",,Q483501,
Carle,,,,artist,,,,,,,,,,,,,,artist,,,,Carle,['Carle'],,Q483501,
Chen Yuzhang,,,,artist,,,,,,,,,,,,,,artist,,,,Chen Yuzhang,['Chen Yuzhang'],,Q483501,
Irene Clairey,,,,artist,,,,,,,,,,,,,,artist,,,,"Clairey, Irene","['Clairey, Irene']",,Q483501,
Docenud,,,,artist,,,,,,,,,,,,,,artist,,,,Docenud,['Docenud'],,Q483501,
Frank E. Ellis,,,,artist,,,,,,,,,,,,,,artist,,,,"Ellis, Frank E.","['Ellis, Frank E.']",,Q483501,
Georgii-Hemming,,,,artist,,,,,,,,,,,,,,artist,,,,Georgii-Hemming,['Georgii-Hemming'],,Q483501,
C. Hallmandel,,,,artist,,,,,,,,,,,,,,artist,,,,"Hallmandel, C.","['Hallmandel, C.']",,Q483501,
Christie Hawkins,,,,artist,,,,,,,,,,,,,,artist,,,,"Hawkins, Christie","['Hawkins, Christie']",,Q483501,
Ikkoku-sai,,,,artist,,,,,,,,,,,,,,artist,,,,Ikkoku-sai,['Ikkoku-sai'],,Q483501,
Jan Janus,,,,artist,,,,,,,,,,,,,,artist,,,,"Janus, Jan","['Janus, Jan']",,Q483501,
Mark McDevitt,Mark McDevitt,,,artist,,,,,,,,,,m,,,,artist,,,,"McDevitt, Mark","['McDevitt, Mark']",100 Mark McDevitt /  / Mark McDevitt,Q483501,Q6581097
Russell Richardson,Russell Richardson,,,artist,,,,,,,,,,m,,,,artist,,,,"Richardson, Russell","['Richardson, Russell']",100 Russell Richardson /  / Russell Richardson,Q483501,Q6581097
Yoji,,,,artist,,,,,,,,,,,,,,artist,,,,Yoji,['Yoji'],,Q483501,
Knud Gastlund,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Gastlund, Knud","['Gastlund, Knud & Sert, Jose Luis']",,Q56884373,
Karen Genter,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Genter, Karen","['Genter, Karen']",,Q56884373,
Masanobu Hasegawa,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Hasegawa, Masanobu","['Hasegawa, Masanobu']",,Q56884373,
Ichimosai Hōko,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Hōko, Ichimosai","['Hōko, Ichimosai', 'Hoko, Ichimosai']",,Q56884373,
Renzan Hotta,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Hotta, Renzan","['Hotta, Renzan']",,Q56884373,
Jirobei Ichida,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Ichida, Jirobei","['Ichida, Jirobei']",,Q56884373,
Kenroku Sensei Inoue,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Inoue, Kenroku Sensei","['Inoue, Kenroku Sensei']",,Q56884373,
Shukuei Itakura,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Itakura, Shukuei","['Itakura, Shukuei']",,Q56884373,
Jichosai,,,,book artist,,,,,,,,,,,,,,book artist,,,Nichosai,Jichosai,['Jichosai (Nichosai) (1781-1788)'],,Q56884373,
Hirosuke Katsugawa,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Katsugawa, Hirosuke","['Katsugawa, Hirosuke and Haruaki Fiji']",,Q56884373,
Dojin Kinsai,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Kinsai, Dojin","['Kinsai, Dojin']",,Q56884373,
Saishuntei Matsutaka,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Matsutaka, Saishuntei","['Matsutaka, Saishuntei']",,Q56884373,
Hasegawa Mitsunobu,,,,book artist,,,,,,,,,,,,,,book artist,,,Eishun,"Mitsunobu, Hasegawa","['Mitsunobu, Hasegawa (Eishun) (1790-1848)']",,Q56884373,
Chura Nakayoshi Morishima,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Morishima, Chura Nakayoshi","['Morishima, Chura Nakayoshi']",,Q56884373,
Nishikawa,,,,book artist,,,,,,,,,,,,,,book artist,,,,Nishikawa,['Nishikawa'],,Q56884373,
Harunobu Nishikawa,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Nishikawa, Harunobu","['Nishikawa, Harunobu']",,Q56884373,
Llorenç Prats,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Prats, Llorenç","['Prats, Llorenç']",,Q56884373,
Kabocha Soyen,,,,book artist,,,,,,,,,,,,,,book artist,,,,"Soyen, Kabocha","['Soyen, Kabocha']",,Q56884373,
David MacKenzie,,,,"British architect, 20th century",Q145,,,,,,,,,,,,,printmaker,,,"British architect, 20th century","MacKenzie, David","['MacKenzie, David (British architect, 20th century)']",,Q11569986,
John Leach,,,,ceramic artist,,,,,,,,,,,,,,ceramic artist,,,,"Leach, John","['Leach, John']",,Q7541856,
T. Harrington Lyons,,,,ceramic artist,,,,,,,,,,,,,,ceramic artist,,,,"Lyons, T. Harrington","['Lyons, T. Harrington']",,Q7541856,
Heinz Handschick,,,,contemporary German painter,Q183,,,,,,,,,,,,,printmaker,,,"German painter, contemporary","Handschick, Heinz","['Handschick, Heinz (German painter, contemporary)']",,Q11569986,
Virginia F. Bill,,,,drawer,,,,,,,,,,,,,,drawer,,,,"Bill, Virginia F.","['Bill, Virginia F.']",,Q15296811,
Pierre Franz Cabanes,Pierre Franz-Cabanes,,,drawer,,,,,,,,,,m,,,,drawer,,,,"Cabanes, Pierre Franz","['Cabanes, Pierre Franz']",95 Pierre Franz-Cabanes /  / Pierre Franz Cabanes,Q15296811,Q6581097
Donovan,,,,drawer,,,,,,,,,,,,,,drawer,,,,Donovan,['Donovan'],,Q15296811,
K. Garicola,,,,drawer,,,,,,,,,,,,,,drawer,,,,"Garicola, K.","['Garicola, K.']",,Q15296811,
Judy Kniseley,Judy Kniseley,,,drawer,,,,,,,,,,f,,,,drawer,,,"-1964, ca.","Kniseley, Judy","['Kniseley, Judy (-1964, ca.)']",100 Judy Kniseley /  / Judy Kniseley,Q15296811,Q6581072
Donald McKay,,,,drawer,,,,,,,,,,,,,,drawer,,,,"McKay, Donald","['McKay, Donald']",,Q15296811,
Sanji,,,,drawer,,,,,,,,,,,,,,drawer,,,,Sanji,['Sanji'],,Q15296811,
Hidekichi Taguchi,,,,drawer,,,,,,,,,,,,,,drawer,,,,"Taguchi, Hidekichi","['Taguchi, Hidekichi']",,Q15296811,
Joy Rice White,,,,drawer,,,,,,,,,,,,,,drawer,,,,"White, Joy Rice","['White, Joy Rice']",,Q15296811,
F. Andrus,,,,painter,,,,,,,,,,,,,,painter,,,,"Andrus, F.","['Andrus, F.']",,Q1028181,
H. Axelrod,,,,painter,,,,,,,,,,,,,,painter,,,,"Axelrod, H.","['Axelrod, H.']",,Q1028181,
Dorothea Blum,,,,painter,,,,,,,,,,,,,,painter,,,,"Blum, Dorothea","['Blum, Dorothea']",,Q1028181,
Woo Bong,,,,painter,,,,,,,,,,,,,,painter,,,ca. 1948,"Bong, Woo","['Bong, Woo (ca. 1948)']",,Q1028181,
Bouslough,,,,painter,,,,,,,,,,,,,,painter,,,,Bouslough,['Bouslough'],,Q1028181,
Henry Carey,Henry Carey,,,painter,,,,,,,,,,m,,,,painter,,,,"Carey, Henry","['Carey, Henry']",100 Henry Carey /  / Henry Carey,Q1028181,Q6581097
Chang Tse-tuan,,,,painter,,,,,,,,,,,,,,painter,,,,Chang Tse-tuan,['Chang Tse-tuan'],,Q1028181,
Chao Fen,,,,painter,,,,,,,,,,,,,,painter,,,,Chao Fen,['Chao Fen'],,Q1028181,
A. Conti,,,,painter,,,,,,,,,,,,,,painter,,,,"Conti, A.","['Conti, A.']",,Q1028181,
R.H. Craig,,,,painter,,,,,,,,,,,,,,painter,,,,"Craig, R.H.","['Craig, R.H.']",,Q1028181,
Pat Cucaro,,,,painter,,,,,,,,,,,,,,painter,,,,"Cucaro, Pat","['Cucaro, Pat']",,Q1028181,
F. Drosd,,,,painter,,,,,,,,,,,,,,painter,,,,"Drosd, F.","['Drosd, F.']",,Q1028181,
A. Duret,,,,painter,,,,,,,,,,,,,,painter,,,,"Duret, A.","['Duret, A.']",,Q1028181,
Manuel Fandos,,,,painter,,,,,,,,,,,,,,painter,,,,"Fandos, Manuel","['Fandos, Manuel']",,Q1028181,
R. Fatiquant,,,,painter,,,,,,,,,,,,,,painter,,,,"Fatiquant, R.","['Fatiquant, R.']",,Q1028181,
E. Fisher,,,,painter,,,,,,,,,,,,,,painter,,,,"Fisher, E.","['Fisher, E.']",,Q1028181,
Tom Foster,,,,painter,,,,,,,,,,,,,,painter,,,,"Foster, Tom","['Foster, Tom']",,Q1028181,
Frankenstein,,,,painter,,,,,,,,,,,,,,painter,,,,Frankenstein,['Frankenstein'],,Q1028181,
E.N. Griffith,,,,painter,,,,,,,,,,,,,,painter,,,,"Griffith, E.N.","['Griffith, E.N.']",,Q1028181,
Haendil,,,,painter,,,,,,,,,,,,,,painter,,,,Haendil,['Haendil'],,Q1028181,
Bob Hollingsworth,,,,painter,,,,,,,,,,,,,,painter,,,,"Hollingsworth, Bob","['Hollingsworth, Bob']",,Q1028181,
John Howard,,,,painter,,,,,,,,,,,,,,painter,,,,"Howard, John","['Howard, John']",,Q1028181,
Jiang Hu,,,,painter,,,,,,,,,,,,,,painter,,,,"Hu, Jiang","['Hu, Jiang']",,Q1028181,
A. Itiani,,,,painter,,,,,,,,,,,,,,painter,,,,"Itiani, A.","['Itiani, A.']",,Q1028181,
Jiang Hu,,,,painter,,,,,,,,,,,,,,painter,,,,Jiang Hu,['Jiang Hu'],,Q1028181,
Kado,,,,painter,,,,,,,,,,,,,,painter,,,,Kado,['Kado'],,Q1028181,
Kim Sal Rui,,,,painter,,,,,,,,,,,,,,painter,,,,Kim Sal Rui,['Kim Sal Rui'],,Q1028181,
John Kings,,,,painter,,,,,,,,,,,,,,painter,,,,"Kings, John","['Kings, John']",,Q1028181,
Koshin,,,,painter,,,,,,,,,,,,,,painter,,,,Koshin,['Koshin'],,Q1028181,
Hector La Rouke,,,,painter,,,,,,,,,,,,,,painter,,,,"La Rouke, Hector","['La Rouke, Hector']",,Q1028181,
Charlotte Lentrein,,,,painter,,,,,,,,,,,,,,painter,,,,"Lentrein, Charlotte","['Lentrein, Charlotte']",,Q1028181,
Matsuyama,,,,painter,,,,,,,,,,,,,,painter,,,or Shozan,Matsuyama,['Matsuyama (or Shozan)'],,Q1028181,
Meitō,,,,painter,,,,,,,,,,,,,,painter,,,,Meitō,['Meitō'],,Q1028181,
Mark Miller,,,,painter,,,,,,,,,,,,,,painter,,,,"Miller, Mark","['Miller, Mark']",,Q1028181,
S. Mozzolini,,,,painter,,,,,,,,,,,,,,painter,,,,"Mozzolini, S.","['Mozzolini, S.']",,Q1028181,
Toshi Oson,,,,painter,,,,,,,,,,,,,,painter,,,,"Oson, Toshi","['Oson, Toshi']",,Q1028181,
Ou Shiang,,,,painter,,,,,,,,,,,,,,painter,,,,Ou Shiang,['Ou Shiang'],,Q1028181,
Janice Parrish,Janice Parrish,,,painter,,,,,,,,,,f,,,,painter,,,,"Parrish, Janice","['Parrish, Janice']",100 Janice Parrish /  / Janice Parrish,Q1028181,Q6581072
Qin Yi,,,,painter,,,,,,,,,,,,,,painter,,,,Qin Yi,['Qin Yi'],,Q1028181,
Zita Querida,,,,painter,,,,,,,,,,,,,,painter,,,,"Querida, Zita","['Querida, Zita']",,Q1028181,
Ravagnant,,,,painter,,,,,,,,,,,,,,painter,,,,Ravagnant,['Ravagnant'],,Q1028181,
Ren Pei,,,,painter,,,,,,,,,,,,,,painter,,,,Ren Pei,['Ren Pei'],,Q1028181,
Pablo Richman,,,,painter,,,,,,,,,,,,,,painter,,,,"Richman, Pablo","['Richman, Pablo']",,Q1028181,
Ripolles,,,,painter,,,,,,,,,,,,,,painter,,,,Ripolles,['Ripolles'],,Q1028181,
Roko,,,,painter,,,,,,,,,,,,,,painter,,,,Roko,['Roko'],,Q1028181,
Rosendahl,,,,painter,,,,,,,,,,,,,,painter,,,,Rosendahl,['Rosendahl'],,Q1028181,
Louise Rosenthal,,,,painter,,,,,,,,,,,,,,painter,,,,"Rosenthal, Louise","['Rosenthal, Louise']",,Q1028181,
Ryosen,,,,painter,,,,,,,,,,,,,,painter,,,,Ryosen,['Ryosen'],,Q1028181,
C. W. Schaever,,,,painter,,,,,,,,,,,,,,painter,,,,"Schaever, C. W.","['Schaever, C. W.']",,Q1028181,
Seizan,,,,painter,,,,,,,,,,,,,,painter,,,,Seizan,['Seizan'],,Q1028181,
Ichiin Shuki,,,,painter,,,,,,,,,,,,,,painter,,,,"Shuki, Ichiin","['Shuki, Ichiin']",,Q1028181,
Paul Shwab,,,,painter,,,,,,,,,,,,,,painter,,,,"Shwab, Paul","['Shwab, Paul']",,Q1028181,
Charles Singer,,,,painter,,,,,,,,,,,,,,painter,,,,"Singer, Charles","['Singer, Charles']",,Q1028181,
Lily Spinola,,,,painter,,,,,,,,,,,,,,painter,,,,"Spinola, Lily","['Spinola, Lily']",,Q1028181,
Suishu,,,,painter,,,,,,,,,,,,,,painter,,,,Suishu,['Suishu'],,Q1028181,
Suison,,,,painter,,,,,,,,,,,,,,painter,,,,Suison,['Suison'],,Q1028181,
Rinsho Suzuki,,,,painter,,,,,,,,,,,,,,painter,,,,"Suzuki, Rinsho","['Suzuki, Rinsho ']",,Q1028181,
Kenneth K. Thompson,,,,painter,,,,,,,,,,,,,,painter,,,,"Thompson, Kenneth K.","['Thompson, Kenneth K.']",,Q1028181,
Ron Thompson,,,,painter,,,,,,,,,,,,,,painter,,,,"Thompson, Ron","['Thompson, Ron']",,Q1028181,
Tung Tsou-ping,,,,painter,,,,,,,,,,,,,,painter,,,,Tung Tsou-ping,['Tung Tsou-ping'],,Q1028181,
Karl Turmohlen,,,,painter,,,,,,,,,,,,,,painter,,,,"Turmohlen, Karl","['Turmohlen, Karl']",,Q1028181,
Arthur Turner,,,,painter,,,,,,,,,,,,,,painter,,,,"Turner, Arthur","['Turner, Arthur']",,Q1028181,
C. Volkman,,,,painter,,,,,,,,,,,,,,painter,,,,"Volkman, C.","['Volkman, C.']",,Q1028181,
L. Walter,,,,painter,,,,,,,,,,,,,,painter,,,,"Walter, L.","['Walter, L.']",,Q1028181,
Wang Han,,,,painter,,,,,,,,,,,,,,painter,,,,Wang Han,['Wang Han'],,Q1028181,
Han Wang,,,,painter,,,,,,,,,,,,,,painter,,,,"Wang, Han","['Wang, Han']",,Q1028181,
William Whitney,,,,painter,,,,,,,,,,m,,,,painter,,,,"Whitney, William","['Whitney, William']",81 William Wise / William Wise / William Whitney / 1793-1893 / -,Q1028181,Q6581097
Wu Yang-t'ien,,,,painter,,,,,,,,,,,,,,painter,,,,Wu Yang-t'ien,"[""Wu Yang-t'ien""]",,Q1028181,
Koitsu Yasu,,,,painter,,,,,,,,,,,,,,painter,,,,"Yasu, Koitsu","['Yasu, Koitsu']",,Q1028181,
Yosho,,,,painter,,,,,,,,,,,,,,painter,,,,Yosho,['Yosho'],,Q1028181,
Runan Zhou,,,,painter,,,,,,,,,,,,,,painter,,,,"Zhou, Runan","['Zhou, Runan']",,Q1028181,
Leon Cantrell,Leon Cantrell,,,photographer,,,,,,,,,,m,,,,photographer,,,,"Cantrell, Leon","['Cantrell, Leon']",100 Leon Cantrell /  / Leon Cantrell,Q33231,Q6581097
Deborah Richardson,Deborah Richardson,,,photographer,,,,,,,,,,f,,,,photographer,,,,"Richardson, Deborah","['Richardson, Deborah']",100 Deborah Richardson /  / Deborah Richardson,Q33231,Q6581072
Jack Robertson,Jack Robertson,,,photographer,,,,,,,,,,m,,,,photographer,,,,"Robertson, Jack","['Robertson, Jack']",100 Jack Robertson /  / Jack Robertson,Q33231,Q6581097
Sheryl Robison,,,,photographer,,,,,,,,,,,,,,photographer,,,,"Robison, Sheryl","['Robison, Sheryl']",,Q33231,
G. Adam,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Adam, G.","['Adam, G.']",,Q11569986,
R. Bach,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Bach, R.","['Bach, R.']",,Q11569986,
Alfred Barrós,Alfred Barrós,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"Barrós, Alfred","['Barrós, Alfred']",100 Alfred Barrós /  / Alfred Barrós,Q11569986,Q6581097
Ann Bauer,Ann Bauer,,,printmaker,,,,,,,,,,f,,,,printmaker,,,,"Bauer, Ann","['Bauer, Ann']",100 Ann Bauer /  / Ann Bauer,Q11569986,Q6581072
Baviera,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Baviera,['Baviera '],,Q11569986,
B. Bernards,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Bernards, B.","['Bernards, B.']",,Q11569986,
Fannie B. Blakeley,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Blakeley, Fannie B.","['Blakeley, Fannie B.']",,Q11569986,
S. Boichard,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Boichard, S.","['Boichard, S.']",,Q11569986,
Gernot Branolt,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Branolt, Gernot","['Branolt, Gernot']",,Q11569986,
Clinton Brown,Clinton Brown,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"Brown, Clinton","['Brown, Clinton ']",100 Clinton Brown /  / Clinton Brown,Q11569986,Q6581097
G. Burke,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Burke, G.","['Burke, G.']",,Q11569986,
M Chwedczuk,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Chwedczuk, M","['Chwedczuk, M']",,Q11569986,
J. Clark,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Clark, J.","['Clark, J.']",,Q11569986,
Aaron Cohick,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Cohick, Aaron","['Cohick, Aaron']",,Q11569986,
Colin Connor,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Connor, Colin","['Connor, Colin']",,Q11569986,
C. Conse,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Conse, C.","['Conse, C.']",,Q11569986,
Cordnin,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Cordnin,['Cordnin'],,Q11569986,
W. Dennis,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Dennis, W.","['Dennis, W.']",,Q11569986,
Ernst,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Ernst,['Ernst'],,Q11569986,
Comp Estellido,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Estellido, Comp","['Estellido, Comp']",,Q11569986,
Flasho,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Flasho,['Flasho'],,Q11569986,
Garzon Florez,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Florez, Garzon","['Florez, Garzon']",,Q11569986,
Carol Lawton Freeman,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Freeman, Carol Lawton","['Freeman, Carol Lawton']",,Q11569986,
Gerasch,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Gerasch,['Gerasch'],,Q11569986,
Hel Gold,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Gold, Hel","['Gold, Hel']",,Q11569986,
J. Goodyear,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Goodyear, J.","['Goodyear, J.']",81 John L. Goodyear /  / J. Goodyear / 1930- / -,Q11569986,
Gremillier,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Gremillier,['Gremillier'],,Q11569986,
W.C. Hart,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Hart, W.C.","['Hart, W.C. ']",,Q11569986,
Konobu Hasegawa,,,,printmaker,,,,,,,,,,,,,,printmaker,,,fl. late 19th c.,"Hasegawa, Konobu","['Hasegawa, Konobu (fl. late 19th c.)']",,Q11569986,
Goyo Hashimoto,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Hashimoto, Goyo","['Hashimoto, Goyo & Kaburagi, Kiyokata']",,Q11569986,
Heidenreich,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Heidenreich,['Heidenreich'],,Q11569986,
D. Heidenreich,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Heidenreich, D.","['Heidenreich, D.']",,Q11569986,
A. Hendee,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Hendee, A.","['Hendee, A.']",,Q11569986,
Arturo Heras,,,,printmaker,,,,,,,,,,,,,,printmaker,,,or Heras Sanz,"Heras, Arturo","['Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)']",,Q11569986,
E.P. Hoffmann,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Hoffmann, E.P.","['Hoffmann, E.P.']",,Q11569986,
Sanji Hoseki,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Hoseki, Sanji","['Hoseki, Sanji']",,Q11569986,
Luis Jimenez,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Jimenez, Luis","['Jimenez, Luis']",,Q11569986,
Isai Katsushika,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Katsushika, Isai","['Katsushika, Isai']",,Q11569986,
Keisui,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Keisui,['Keisui '],,Q11569986,
Kitabat,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Kitabat,['Kitabat'],,Q11569986,
A Krauze,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Krauze, A","['Krauze, A']",,Q11569986,
Christophe Kutner,Christophe Kutner,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"Kutner, Christophe","['Kutner, Christophe']",100 Christophe Kutner /  / Christophe Kutner,Q11569986,Q6581097
Kwannon,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Kwannon,['Kwannon'],,Q11569986,
Andrew Lafitte,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Lafitte, Andrew","['Lafitte, Andrew']",,Q11569986,
G. Landry,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Landry, G.","['Landry, G.']",,Q11569986,
Lemoir,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Lemoir,['Lemoir'],,Q11569986,
Lillian Lent,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Lent, Lillian","['Lent, Lillian']",,Q11569986,
Lihacault,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Lihacault,['Lihacault'],,Q11569986,
Mon Lurnson,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Lurnson, Mon","['Lurnson, Mon']",,Q11569986,
Danka Lustyk,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Lustyk, Danka","['Lustyk, Danka']",,Q11569986,
Mackert,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,Mackert,['Mackert'],,Q11569986,
H.J. Malik,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Malik, H.J.","['Malik, H.J.']",,Q11569986,
Cynthia Marsh,Cynthia Marsh,,,printmaker,,,,,,,,,,f,,,,printmaker,,,,"Marsh, Cynthia","['Marsh, Cynthia']",100 Cynthia Marsh /  / Cynthia Marsh,Q11569986,Q6581072
Ronald McBurnie,Ronald McBurnie,,,printmaker,,,,,,,,,,m,,,,printmaker,,,,"McBurnie, Ronald","['McBurnie, Ronald']",100 Ronald McBurnie /  / Ronald McBurnie,Q11569986,Q6581097
John Mulder,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Mulder, John","['Mulder, John']",,Q11569986,
Joaquim Nolla,,,,printmaker,,,,,,,,,,,,,,printmaker,,,,"Nolla, Joaquim","['Nolla, Joaquim and Mir, Josep M.']",,Q11569986,
