ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Eric,Fischl,Eric Fischl,,, ,1948,1948,,American (North American),Male,http://vocab.getty.edu/page/ulan/500023590
Eric,Gill,Eric Gill,,, ,1882-1940,1882,1940,British (modern),Male,http://vocab.getty.edu/page/ulan/500025465
Eric,Rutherford,Eric Rutherford,Eric,Rutherford,Eric Rutherford,1933,1933,,British (modern),Male,http://vocab.getty.edu/page/ulan/500003217
Erica,Lennard,Erica Lennard,,, ,1950,1950,,American (North American),female,http://vocab.getty.edu/page/ulan/500223405
Erich,Heckel,Erich Heckel,,, ,1883-1970,1883,1970,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500032971
Ernest David,Roth,Ernest David Roth,Ernest David,Roth,Ernest David Roth,1879-1964,1879,1964,American (North American),,http://vocab.getty.edu/page/ulan/500124333
Ernst,Barlach,Ernst Barlach,,, ,1870-1938,1870,1938,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500013940
Ernst Ludwig,Kirchner,Ernst Ludwig Kirchner,,, ,1880-1938,1880,1938,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500027704
Ervine,Metzl,Ervine Metzl,,, ,1899-1963,1899,1963,American,Male,
Erwin,Bechtold,Erwin Bechtold,,, ,1925,1925,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500386516
Erwin,Broner,Erwin Broner,,, ,1898-1971,1898,1971,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500254518
Esphyr,Slobodkina,Esphyr Slobodkina,Esphyr,Slobodkina,Esphyr Slobodkina,1914-2002,1914,2002,American (North American),,http://vocab.getty.edu/page/ulan/500070371
Ethelbert,White,Ethelbert White,Ethelbert,White,Ethelbert White,1891-1972,1891,1972,British (modern),Male,http://vocab.getty.edu/page/ulan/500014299
Etienne,Delaune,Etienne Delaune,,, ,1514-1583,1514,1583,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500026480
Eugene,Biel-Bienne,Eugene Biel-Bienne,,, ,1902-1969,1902,1969,Austrian-American,Male,
Eugène,Delacroix,Eugène Delacroix,,Delacroix, Delacroix,1798-1863,1798,1863,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115509
Eugène,Gaujean,Eugène Gaujean,,, ,1850-1900,1850,1900,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500044559
Eugene,Higgins,Eugene Higgins,,, ,1874-1958,1874,1958,American (North American),Male,http://vocab.getty.edu/page/ulan/500020838
Eugène,Isabey,Eugène Isabey,,, ,1803-1886,1803,1886,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500007382
Eugene,Massin,Eugene Massin,,, ,1920-,1920,,American,Male,
F. Luis,Mora,F. Luis Mora,,, ,1874-1940,1874,1940,American (North American),Male,http://vocab.getty.edu/page/ulan/500012333
Faik,Husein,Faik Husein,,, ,1994-1005,1994,1005,Iraqi American,Male,
Fannie,Hillsmith,Fannie Hillsmith,,, ,1911-2007,1911,2007,American (North American),female,http://vocab.getty.edu/page/ulan/500069895
Fay G.,Lansner,Fay G. Lansner,,, ,1921,1921,,American (North American),female,http://vocab.getty.edu/page/ulan/500078485
Federico,Castellon,Federico Castellon,,, ,1914-1971,1914,1971,American (North American),Male,http://vocab.getty.edu/page/ulan/500009576
Feliks,Topolski,Feliks Topolski,Feliks,Topolski,Feliks Topolski,1907-1989,1907,1989,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500008564
Félix,Bracquemond,Félix Bracquemond,,, ,1833-1914,1833,1914,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500023048
Félix,Labisse,Félix Labisse,,, ,1905-1982,1905,1982,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500030073
Felix,Ruvolo,Felix Ruvolo,Felix,Ruvolo,Felix Ruvolo,1912-1992,1912,1992,American (North American),Male,http://vocab.getty.edu/page/ulan/500373083
Felix,Waske,Felix Waske,,, ,1942-,1942,,German,Male,
Ferdinand,Bol,Ferdinand Bol,,Pol, Pol,1616-1680,1616,1680,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500013764
Ferdinand,Springer,Ferdinand Springer,,, ,1907-2007,1907,2007,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500112929
Fernand,Léger,Fernand Léger,,Leger, Leger,1881-1955,1881,1955,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500027374
Fernando,Lerin,Fernando Lerin,,, ,1929-,1929,,Spanish,Male,
Fernando,Texidor,Fernando Texidor,,, ,1936-,1936,,Spanish,Male,
Frances Marian,Hebert,Frances Marian Hebert,,, ,1899-1960,1899,1960,American,female,
Francesc,Artigau,Francesc Artigau,,, ,1940,1940,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500124323
Francesco,Bartolozzi,Francesco Bartolozzi,,Bartolozzi, Bartolozzi,1727-1815,1727,1815,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500032318
Francesco,Bartolozzi,Francesco Bartolozzi,,Bartolozzi, Bartolozzi,1727-1815,1727,1815,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500032318
Francesco Faraone,Aquila,Francesco Faraone Aquila,,Aquila, Aquila,1670-1745,1670,1745,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500018768
Francis Davis,Millet,Francis Davis Millet,,, ,1846-1912,1846,1912,American (North American),Male,http://vocab.getty.edu/page/ulan/500028658
Francis Joseph,Gyra,Francis Joseph Gyra,,, ,1914-2007,1914,2007,American,Male,
Francis Seymour,Haden,Francis Seymour Haden,Seymour,Haden,Seymour Haden,1818-1910,1818,1910,British (modern),Male,http://vocab.getty.edu/page/ulan/500021004
Francisco de,Goya,Francisco de Goya,,Goya, Goya,1746-1828,1746,1828,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500118936
Francisco,Gutiérrez,Francisco Gutiérrez,,, ,1727-1782,1727,1782,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500035707
Franciszek,Starowieyski,Franciszek Starowieyski,Franciszek,Starowieyski,Franciszek Starowieyski,1930,1930,,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500064153
François,Ragot,François Ragot,François,Ragot,François Ragot,1638-1670,1638,1670,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500093529
Frank,Badur,Frank Badur,,, ,1944,1944,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500081618
Frank,Brangwyn,Frank Brangwyn,,, ,1867-1956,1867,1956,British (modern),Male,http://vocab.getty.edu/page/ulan/500026093
Frank C.,Penfold,Frank C. Penfold,,, ,1849-1940,1849,1940,American (North American),Male,http://vocab.getty.edu/page/ulan/500090855
Frank,Liefooghe,Frank Liefooghe,,, ,1945-,1945,,,Male,
Frank,Lobdell,Frank Lobdell,,, ,1921-2013,1921,2013,American (North American),Male,http://vocab.getty.edu/page/ulan/500095092
Frank,Newbould,Frank Newbould,,, ,1887-1951,1887,1951,British (modern),,http://vocab.getty.edu/page/ulan/500159282
Frank,Tomlinson,Frank Tomlinson,,, ,1883-1974,1883,1974,American,Male,
Franklin Chenault,Watkins,Franklin Chenault Watkins,Franklin Chenault,Watkins,Franklin Chenault Watkins,1894-1972,1894,1972,American (North American),Male,http://vocab.getty.edu/page/ulan/500025403
Frans,Masereel,Frans Masereel,,, ,1889-1972,1889,1972,Belgian (modern),Male,http://vocab.getty.edu/page/ulan/500022087
Frans the elder,Floris,Frans the elder Floris,,Flores, Flores,1509-1570,1509,1570,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500115614
Frans,Wildenhain,Frans Wildenhain,Frans,Wildenhain,Frans Wildenhain,1905-1980,1905,1980,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500059428
Fransje,Killaars,Fransje Killaars,,, ,1959,1959,,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500348728
