ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
John,Burnet,John Burnet,,Burnett, Burnett,1784-1868,1784,1868,British (modern),Male,http://vocab.getty.edu/page/ulan/500031008
John,Cage,John Cage,,, ,1912-1992,1912,1992,American (North American),Male,http://vocab.getty.edu/page/ulan/500092036
John,Chamberlain,John Chamberlain,John Angus,Chamberlain,John Angus Chamberlain,1927-2011,1927,2011,American (North American),Male,http://vocab.getty.edu/page/ulan/500118724
John,Christie,John Christie,,, ,1945,1945,,British (modern),Male,http://vocab.getty.edu/page/ulan/500347461
John,Crome,John Crome,,Crome, Crome,1768-1821,1768,1821,British (modern),Male,http://vocab.getty.edu/page/ulan/500115474
John Edward,Costigan,John Edward Costigan,John E.,Costigan,John E. Costigan,1888-1972,1888,1972,American (North American),Male,http://vocab.getty.edu/page/ulan/500025727
John,Flaxman,John Flaxman,,, ,1755-1826,1755,1826,British (modern),Male,http://vocab.getty.edu/page/ulan/500115449
John,Fraser,John Fraser,,, ,1952-,1952,,American,Male,
John,Gould,John Gould,,, ,1804-1881,1804,1881,British (modern),Male,http://vocab.getty.edu/page/ulan/500006638
John,Gwinn,John Gwinn,,, ,1936-,1936,,American,Male,
John,Hoyland,John Hoyland,,, ,1934,1934,,British (modern),Male,http://vocab.getty.edu/page/ulan/500029910
John James,Audubon,John James Audubon,,Audubon, Audubon,1785-1851,1785,1851,American (North American),Male,http://vocab.getty.edu/page/ulan/500016578
John Keyse,Sherwin,John Keyse Sherwin,,Sherwin, Sherwin,1751-1790,1751,1790,British (modern),Male,http://vocab.getty.edu/page/ulan/500021802
John L.,Goodyear,John L. Goodyear,,, ,1930,1930,,American (North American),Male,http://vocab.getty.edu/page/ulan/500073017
John,Opie,John Opie,,Opie, Opie,1761-1807,1761,1807,British (modern),Male,http://vocab.getty.edu/page/ulan/500011687
John,Piper,John Piper,,, ,1903-1992,1903,1992,British (modern),Male,http://vocab.getty.edu/page/ulan/500001054
John Postle,Heseltine,John Postle Heseltine,,, ,1843-1929,1843,1929,British (modern),Male,http://vocab.getty.edu/page/ulan/500032394
John,Rogers,John Rogers,,, ,1829-1904,1829,1904,American,Male,
John Scott,Williams,John Scott Williams,John Scott,Williams,John Scott Williams,1897-1976,1897,1976,American (North American),Male,http://vocab.getty.edu/page/ulan/500052049
John Sell,Cotman,John Sell Cotman,,, ,1782-1842,1782,1842,British (modern),Male,http://vocab.getty.edu/page/ulan/500014103
John,Sloan,John Sloan,John,Sloan,John Sloan,1885-1954,1885,1954,American (North American),Male,http://vocab.getty.edu/page/ulan/500232143
John Steuart,Curry,John Steuart Curry,,Curry, Curry,1897-1946,1897,1946,American (North American),Male,http://vocab.getty.edu/page/ulan/500115503
John Stockton,De Martelly,John Stockton De Martelly,John Stockton De,Martelly,John Stockton De Martelly,1903-1979,1903,1979,American (North American),Male,http://vocab.getty.edu/page/ulan/500331451
John Taylor,Arms,John Taylor Arms,,, ,1887-1953,1887,1953,American (North American),Male,http://vocab.getty.edu/page/ulan/500022283
John W.,Winkler,John W. Winkler,John W.,Winkler,John W. Winkler,1890-1979,1890,1979,American (North American),Male,http://vocab.getty.edu/page/ulan/500014630
John,Walker,John Walker,John,Walker,John Walker,1939,1939,,British (modern),Male,http://vocab.getty.edu/page/ulan/500022965
Jōichi,Hoshi,Jōichi Hoshi,,, ,1913-1979,1913,1979,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500490297
Jon,Carsman,Jon Carsman,,, ,1944-1987,1944,1987,American (North American),Male,http://vocab.getty.edu/page/ulan/500001369
Jon,Kuhn,Jon Kuhn,,, ,1949-,1949,,American,Male,
Jonathan,Janson,Jonathan Janson,,, ,1950,1950,,American (North American),Male,http://vocab.getty.edu/page/ulan/500148152
Joop,Birker,Joop Birker,,, ,1935-1993,1935,1993,Dutch,Male,
Jorge,Camacho,Jorge Camacho,,, ,1934,1934,,Cuban,Male,http://vocab.getty.edu/page/ulan/500079242
José Clemente,Orozco,José Clemente Orozco,,Orozco, Orozco,1883-1949,1883,1949,Mexican,Male,http://vocab.getty.edu/page/ulan/500012316
José Luis,Raymond,José Luis Raymond,,, ,,,,,Male,
Josef,Albers,Josef Albers,,Albers, Albers,1888-1976,1888,1976,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500033049
Josep,Guinovart,Josep Guinovart,,, ,1927,1927,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500089251
Joseph A.,Pecsenke,Joseph A. Pecsenke,,, ,1942-1989,1942,1989,Hungarian American,Male,
Joseph,Beuys,Joseph Beuys,,, ,1921-1986,1921,1986,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500024607
Joseph Christian,Leyendecker,Joseph Christian Leyendecker,,, ,1874-1951,1874,1951,American (North American),Male,http://vocab.getty.edu/page/ulan/500014389
Joseph,Fiore,Joseph Fiore,,, ,1925-2008,1925,2008,American,Male,
Joseph,Goupy,Joseph Goupy,,, ,1686-1770,1686,1770,British (modern),Male,http://vocab.getty.edu/page/ulan/500032559
Joseph,Kosuth,Joseph Kosuth,,, ,1945,1945,,American (North American),Male,http://vocab.getty.edu/page/ulan/500115645
Joseph Mallord William,Turner,Joseph Mallord William Turner,,Turner, Turner,1775-1851,1775,1851,British (modern),Male,http://vocab.getty.edu/page/ulan/500026846
Joseph,Pennell,Joseph Pennell,,, ,1850-1926,1850,1926,American (North American),Male,http://vocab.getty.edu/page/ulan/500020707
Joseph,Probst,Joseph Probst,,, ,1911-1997,1911,1997,Luxembourgeois (culture or style),Male,http://vocab.getty.edu/page/ulan/500195414
Joseph,Schwarz,Joseph Schwarz,Joseph,Schwarz,Joseph Schwarz,1929,1929,,American (North American),Male,http://vocab.getty.edu/page/ulan/500087117
Joseph,Wagner,Joseph Wagner,Joseph,Wagner,Joseph Wagner,1706-1780,1706,1780,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500020794
Joseph-Charles,Marin,Joseph-Charles Marin,,Marin, Marin,1759-1834,1759,1834,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500013262
Joyce,Reopel,Joyce Reopel,,, ,1933-2019,1933,2019,American,female,
Joyce,Tenneson,Joyce Tenneson,Joyce,Tenneson,Joyce Tenneson,1945,1945,,American (North American),female,http://vocab.getty.edu/page/ulan/500342274
Jozef Paul,Verrees,Jozef Paul Verrees,Jozef Paul,Verrees,Jozef Paul Verrees,1889-1942,1889,1942,Belgian (modern),Male,http://vocab.getty.edu/page/ulan/500177572
Ju,Ming,Ju Ming,,, ,1938-,1938,,Taiwanese,Male,
Juan Alonso,Villabrille y Ron,Juan Alonso Villabrille y Ron,Juan Alonso Villabrille y,Ron,Juan Alonso Villabrille y Ron,1663-1748,1663,1748,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500036382
Juan,Genovés,Juan Genovés,,, ,1930,1930,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500071097
Jud,Fine,Jud Fine,,, ,1944,1944,,American (North American),Male,http://vocab.getty.edu/page/ulan/500022723
Judith,Murray,Judith Murray,,, ,1941,1941,,American (North American),female,http://vocab.getty.edu/page/ulan/500329947
Judith,Page,Judith Page,,, ,,,,American,female,
Judy,Kniseley,Judy Kniseley,,, ,,,,,female,
Jules Adolphe,Goupil,Jules Adolphe Goupil,,, ,1839-1883,1839,1883,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500029901
Jules,Dupré,Jules Dupré,,Dupre, Dupre,1811-1889,1811,1889,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500029859
Jules Ferdinand,Jacquemart,Jules Ferdinand Jacquemart,,, ,1837-1880,1837,1880,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500006882
Jules Jacques,Veyrassat,Jules Jacques Veyrassat,Jules Jacques,Veyrassat,Jules Jacques Veyrassat,1828-1893,1828,1893,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500009250
Jules Louis,Machard,Jules Louis Machard,,, ,1839-1900,1839,1900,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500005069
Julian,Jackson,Julian Jackson,,, ,,,,American,Male,
Julius,Schmidt-Felling,Julius Schmidt-Felling,,, ,1835-1920,1835,1920,German,Male,
Julius,Wasserstein,Julius Wasserstein,,, ,1924-1985,1924,1985,American,Male,
Jusepe de,Ribera,Jusepe de Ribera,,Rivera, Rivera,1590-1652,1590,1652,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500008521
Kameda,Bōsai,Kameda Bōsai,Bōsai,Kameda,Bōsai Kameda,1752-1826,1752,1826,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500320340
Kanjirō,Kawai,Kanjirō Kawai,,, ,1890-1966,1890,1966,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500234059
Kanō,Naonobu,Kanō Naonobu,,, ,1607-1650,1607,1650,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121025
Kara,Walker,Kara Walker,Kara Elizabeth,Walker,Kara Elizabeth Walker,1969,1969,,American (North American),female,http://vocab.getty.edu/page/ulan/500123343
Karel,Appel,Karel Appel,,, ,1921,1921,,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500030857
Karel,Dujardin,Karel Dujardin,,Jardin, Jardin,1626-1678,1626,1678,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500000918
Karen,Finley,Karen Finley,,, ,1956,1956,,undetermined (information indicator),female,http://vocab.getty.edu/page/ulan/500489104
Karen Leonard,Lyles,Karen Leonard Lyles,,, ,,,,,female,
Karen,Zimmermann,Karen Zimmermann,,, ,,,,American,female,
Karl,Bodmer,Karl Bodmer,,, ,1809-1893,1809,1893,Swiss,Male,http://vocab.getty.edu/page/ulan/500006745
Karl,Hofer,Karl Hofer,,Hofer, Hofer,1878-1955,1878,1955,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500015138
Karl,Schmidt-Rottluff,Karl Schmidt-Rottluff,,, ,1884-1976,1884,1976,German,Male,
Käthe,Kollwitz,Käthe Kollwitz,,, ,1867-1945,1867,1945,"German (culture, style, period)",female,http://vocab.getty.edu/page/ulan/500016751
Katherine McCanless,Ruffin,Katherine McCanless Ruffin,,, ,,,,,female,
Kathleen,O'Connell,Kathleen O'Connell,,, ,,,,American,female,
Kathleen,Walkup,Kathleen Walkup,,, ,,,,American,female,
Katie,Risseeuw,Katie Risseeuw,,, ,,,,,female,
Katinka,Mann,Katinka Mann,,, ,1925-,1925,,American,female,
Katja,Meirowsky,Katja Meirowsky,,, ,1920-,1920,,German,female,
Katsuda,Yukio,Katsuda Yukio,,, ,1941-,1941,,Japanese,Male,
Katsukawa,Shunkō,Katsukawa Shunkō,Kiyokawa,Denjirō,Kiyokawa Denjirō,1743-1812,1743,1812,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121075
Katsukawa,Shunshō,Katsukawa Shunshō,,Fujiwara, Fujiwara,1726-1792,1726,1792,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500118856
Katsushika,Hokusai,Katsushika Hokusai,,Taito, Taito,1760-1849,1760,1849,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500060426
Katsushika II,Taito,Katsushika II Taito,Katsushika Taito,II,Katsushika Taito II,1790-1890,1790,1890,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500065516
Keith,Boyle,Keith Boyle,,, ,1930,1930,,American (North American),Male,http://vocab.getty.edu/page/ulan/500082597
Kenneth,Bushnell,Kenneth Bushnell,Kenneth Wayne,Bushnell,Kenneth Wayne Bushnell,1933,1933,,American (North American),Male,http://vocab.getty.edu/page/ulan/500059939
Kenneth Hayes,Miller,Kenneth Hayes Miller,,Miller, Miller,1876-1952,1876,1952,American (North American),Male,http://vocab.getty.edu/page/ulan/500025218
Kenneth,Martin,Kenneth Martin,,, ,1905-1984,1905,1984,British (modern),Male,http://vocab.getty.edu/page/ulan/500007319
Kenneth,Snelson,Kenneth Snelson,Kenneth,Snelson,Kenneth Snelson,1927-2016,1927,2016,British (modern),,http://vocab.getty.edu/page/ulan/500007005
Kerry,McAleer-Keeler,Kerry McAleer-Keeler,,, ,1971,1971,,American (North American),female,http://vocab.getty.edu/page/ulan/500488507
Kiki,Smith,Kiki Smith,Kiki,Smith,Kiki Smith,1954,1954,,American (North American),female,http://vocab.getty.edu/page/ulan/500115982
Kikugawa,Eizan,Kikugawa Eizan,Kikukawa,Eizan,Kikukawa Eizan,1787-1867,1787,1867,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121367
Kit,Reuther,Kit Reuther,,, ,1957-,1957,,American,female,
Kitao,Shigemasa,Kitao Shigemasa,,Karan, Karan,1739-1820,1739,1820,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500074052
Kiyoshi,Saito,Kiyoshi Saito,Kiyoshi,Saitô,Kiyoshi Saitô,1907-1997,1907,1997,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500169214
Koo Kyung,Sook,Koo Kyung Sook,,, ,,,,Korean,female,
Kristin,Capp,Kristin Capp,,, ,1964,1964,,American (North American),female,http://vocab.getty.edu/page/ulan/500343626
Kumi,Sugai,Kumi Sugai,Kumi,Sugai,Kumi Sugai,1919-1996,1919,1996,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500025060
Kunisada (Toyokuni III |,Kochoro),Kunisada (Toyokuni III | Kochoro),,Toyokuni, Toyokuni,1786-1864,1786,1864,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121373
L.,Alcopley,L. Alcopley,Alfred,Copley,Alfred Copley,1910-1992,1910,1992,American (North American),Male,http://vocab.getty.edu/page/ulan/500019879
Larry,Rivers,Larry Rivers,Larry,Rivers,Larry Rivers,1925-2002,1925,2002,American (North American),Male,http://vocab.getty.edu/page/ulan/500003280
Larue,Storm,Larue Storm,,, ,1908-2005,1908,2005,American,female,
Laura,Josephson,Laura Josephson,,, ,,,,American,female,
Laurenz,Janscha,Laurenz Janscha,,, ,1749-1812,1749,1812,Austrian,Male,http://vocab.getty.edu/page/ulan/500027878
Laurie,Simmons,Laurie Simmons,Laurie,Simmons,Laurie Simmons,1949,1949,,American (North American),female,http://vocab.getty.edu/page/ulan/500077698
Lawrence Nelson,Wilbur,Lawrence Nelson Wilbur,Lawrence Nelson,Wilbur,Lawrence Nelson Wilbur,1897-1960,1897,1960,American (North American),Male,http://vocab.getty.edu/page/ulan/500044804
Lawrence,Weiner,Lawrence Weiner,Lawrence,Weiner,Lawrence Weiner,1942,1942,,American (North American),Male,http://vocab.getty.edu/page/ulan/500013081
Lawson,Wood,Lawson Wood,Lawson,Wood,Lawson Wood,1878-1957,1878,1957,British (modern),Male,http://vocab.getty.edu/page/ulan/500002744
Le,Corbusier,Le Corbusier,,Corbu, Corbu,1887-1965,1887,1965,Swiss,Male,http://vocab.getty.edu/page/ulan/500027041
Lee,Krasner,Lee Krasner,,, ,1908-1984,1908,1984,American (North American),female,http://vocab.getty.edu/page/ulan/500010144
Lenore,Vanderkooi,Lenore Vanderkooi,,, ,1943-,1943,,American,female,
Leo,Delitz,Leo Delitz,,, ,1882-1966,1882,1966,Austrian,,http://vocab.getty.edu/page/ulan/500134446
Leon,Cantrell,Leon Cantrell,,, ,,,,,Male,
Leon,Moran,Leon Moran,John,Moran,John Moran,1864-1941,1864,1941,American (North American),Male,http://vocab.getty.edu/page/ulan/500078311
Leonard,Baskin,Leonard Baskin,,, ,1922-2000,1922,2000,American (North American),Male,http://vocab.getty.edu/page/ulan/500003136
Leonard,Bramer,Leonard Bramer,,Bremer, Bremer,1596-1674,1596,1674,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500015658
Leonard J.,Koscianski,Leonard J. Koscianski,,, ,1952,1952,,American (North American),Male,http://vocab.getty.edu/page/ulan/500083572
Leonard Tsugouharu,Foujita,Leonard Tsugouharu Foujita,Tsugouharu,Foujita,Tsugouharu Foujita,1886-1968,1886,1968,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500027059
Leonor,Fini,Leonor Fini,,, ,1908-1996,1908,1996,French (culture or style),female,http://vocab.getty.edu/page/ulan/500002643
Léopold,Flameng,Léopold Flameng,,, ,1831-1911,1831,1911,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500015671
Leopoldo,Novoa,Leopoldo Novoa,,, ,1919-2012,1919,2012,Spanish,Male,
Leroy,Lamis,Leroy Lamis,,, ,1925,1925,,American (North American),Male,http://vocab.getty.edu/page/ulan/500080873
Les,Levine,Les Levine,,, ,1935,1935,,Canadian,Male,http://vocab.getty.edu/page/ulan/500110692
Lesley,Dill,Lesley Dill,,, ,1950,1950,,American (North American),female,http://vocab.getty.edu/page/ulan/500330492
Lesley,Foxcroft,Lesley Foxcroft,,, ,1949,1949,,British (modern),Male,http://vocab.getty.edu/page/ulan/500017797
Lester F.,Johnson,Lester F. Johnson,,, ,1919-2010,1919,2010,American (North American),Male,http://vocab.getty.edu/page/ulan/500028168
Levon,West,Levon West,Levon,West,Levon West,1900-1968,1900,1968,American (North American),Male,http://vocab.getty.edu/page/ulan/500124253
Liang,Kai,Liang Kai,Kai,Liang,Kai Liang,1176-1256,1176,1256,Chinese (culture or style),Male,http://vocab.getty.edu/page/ulan/500202738
Liberale da,Verona,Liberale da Verona,Liberale da,Verona,Liberale da Verona,1435-1526,1435,1526,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500006509
Linda Samson,Talleur,Linda Samson Talleur,,, ,,,,,female,
Lionel,Barrymore,Lionel Barrymore,,, ,1878-1955,1878,1955,American,Male,
Lisa,Collado,Lisa Collado,,, ,1944,1944,,American (North American),female,http://vocab.getty.edu/page/ulan/500387117
Lorenzo,Lotto,Lorenzo Lotto,,, ,1475-1556,1475,1556,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500015631
Lorenzo,Zucchi,Lorenzo Zucchi,,, ,1704-1779,1704,1779,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500043221
Lorna,Simpson,Lorna Simpson,Lorna,Simpson,Lorna Simpson,1961,1961,,American (North American),female,http://vocab.getty.edu/page/ulan/500088695
Lou,Reed,Lou Reed,Lou,Reed,Lou Reed,1942,1942,,American (North American),Male,http://vocab.getty.edu/page/ulan/500355467
Louis,Betts,Louis Betts,,Betts, Betts,1873-1961,1873,1961,American (North American),Male,http://vocab.getty.edu/page/ulan/500019988
Louis,Binet,Louis Binet,Louis,Binet,Louis Binet,1744-1810,1744,1810,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500029964
Louis François,Roubiliac,Louis François Roubiliac,,Roubiliac, Roubiliac,1695-1762,1695,1762,British (modern),Male,http://vocab.getty.edu/page/ulan/500017615
Louis,Icart,Louis Icart,,, ,1871,1871,,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500105328
Louis,Jacob,Louis Jacob,,, ,1712-1802,1712,1802,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500049990
Louis Michel,Eilshemius,Louis Michel Eilshemius,Louis Michael,Eilshemius,Louis Michael Eilshemius,1864-1941,1864,1941,American (North American),Male,http://vocab.getty.edu/page/ulan/500030951
Louis,Morin,Louis Morin,,, ,1855-1938,1855,1938,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500028284
Louis,Silverstein,Louis Silverstein,,, ,1919-2011,1919,2011,American (North American),Male,http://vocab.getty.edu/page/ulan/500467276
Louis-Simon,Boizot,Louis-Simon Boizot,M.,Boizot,M. Boizot,1743-1809,1743,1809,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500002158
Louise,Bourgeois,Louise Bourgeois,,, ,1911-2010,1911,2010,French (culture or style),female,http://vocab.getty.edu/page/ulan/500057350
Louise De Gignilliat,Rogers,Louise De Gignilliat Rogers,,, ,,,,American,female,
Louise,LeQuire,Louise LeQuire,,, ,1924-2006,1924,2006,American,female,
Louise,Nevelson,Louise Nevelson,,, ,1899-1988,1899,1988,American (North American),female,http://vocab.getty.edu/page/ulan/500001621
Lowell,Nesbitt,Lowell Nesbitt,Lowell Blair,Nesbitt,Lowell Blair Nesbitt,1933-1993,1933,1993,American (North American),Male,http://vocab.getty.edu/page/ulan/500023038
Lubaina ,Himid,Lubaina  Himid,,, ,1954-,1954,,British,female,
Luca,Bertelli,Luca Bertelli,,, ,1530-1630,1530,1630,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500027416
Lucas the Elder,Cranach,Lucas the Elder Cranach,,Cranach, Cranach,1472-1553,1472,1553,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500115364
Lucien,Clergue,Lucien Clergue,,, ,1934-2014,1934,2014,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115463
Lucile Patterson,Marsh,Lucile Patterson Marsh,,, ,1890-1978,1890,1978,American,female,
Lucio,Pozzi,Lucio Pozzi,,, ,1935,1935,,American (North American),Male,http://vocab.getty.edu/page/ulan/500023646
Ludwig,Büsinck,Ludwig Büsinck,,, ,1580-1680,1580,1680,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500022384
Luigi,Bechi,Luigi Bechi,,, ,1830-1919,1830,1919,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500031605
Luis,Rey Polo,Luis Rey Polo,,, ,1924-2000,1924,2000,Spanish,Male,
Luis Ricardo,Falero,Luis Ricardo Falero,,, ,1851-1896,1851,1896,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500035826
Lyle Ashton,Harris,Lyle Ashton Harris,,, ,1965,1965,,American (North American),Male,http://vocab.getty.edu/page/ulan/500329853
Lynne,Harlow,Lynne Harlow,,, ,1968-,1968,,American,female,
Lynne Woods,Turner,Lynne Woods Turner,Lynne,Woods Turner,Lynne Woods Turner,1951,1951,,American (North American),female,http://vocab.getty.edu/page/ulan/500474466
Lyonel,Feininger,Lyonel Feininger,,, ,1871-1956,1871,1956,American (North American),Male,http://vocab.getty.edu/page/ulan/500115308
M. Leone,Bracker,M. Leone Bracker,,, ,1885-1937,1885,1937,American (North American),Male,http://vocab.getty.edu/page/ulan/500075828
Mabel,Dwight,Mabel Dwight,,, ,1876-1955,1876,1955,American (North American),female,http://vocab.getty.edu/page/ulan/500019538
Mabuchi,Toru,Mabuchi Toru,,, ,1920-1994,1920,1994,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500466484
Malcolm,Morley,Malcolm Morley,,, ,1931-2018,1931,2018,British (modern),Male,http://vocab.getty.edu/page/ulan/500030391
Man,Ray,Man Ray,Man,Ray,Man Ray,1890-1976,1890,1976,American (North American),Male,http://vocab.getty.edu/page/ulan/500015030
Manfred,Mohr,Manfred Mohr,,, ,1938,1938,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500333910
Manuel Boix,Alvarez,Manuel Boix Alvarez,,, ,1942-,1942,,Spanish,Male,
Manuel,Neri,Manuel Neri,,, ,1930,1930,,American (North American),Male,http://vocab.getty.edu/page/ulan/500059909
Marc,Chagall,Marc Chagall,,, ,1887-1985,1887,1985,Belorussian (culture or style),Male,http://vocab.getty.edu/page/ulan/500115354
Marcel,Gromaire,Marcel Gromaire,,, ,1892-1971,1892,1971,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500009137
Marco Sebastiano,Giampiccoli,Marco Sebastiano Giampiccoli,,, ,1722-1782,1722,1782,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500141582
Mare,Blocker,Mare Blocker,,, ,,,,American,female,
Margaret,Harrison,Margaret Harrison,,, ,1940,1940,,British (modern),female,http://vocab.getty.edu/page/ulan/500058095
Margaret,Pasek,Margaret Pasek,,, ,,,,,female,
Margareta,Stahl,Margareta Stahl,,, ,,,,Romanian,female,
María Magdalena ,Campos-Pons,María Magdalena  Campos-Pons,,, ,1959-,1959,,Cuban,female,
Marie,Laurencin,Marie Laurencin,,, ,1885-1956,1885,1956,French (culture or style),female,http://vocab.getty.edu/page/ulan/500011424
Marilyn,Murphy,Marilyn Murphy,,, ,,,,American,female,
Marion Montague,Junkin,Marion Montague Junkin,,, ,1905-1977,1905,1977,American (North American),Male,http://vocab.getty.edu/page/ulan/500079268
Mark,Di Suvero,Mark Di Suvero,Mark Di,Suvero,Mark Di Suvero,1933,1933,,American (North American),Male,http://vocab.getty.edu/page/ulan/500013375
Mark,Kostabi,Mark Kostabi,,, ,1960,1960,,American (North American),Male,http://vocab.getty.edu/page/ulan/500031393
Mark,McDevitt,Mark McDevitt,,, ,,,,,Male,
Mark,Williams,Mark Williams,Mark,Williams,Mark Williams,1850,1850,,American (North American),Male,http://vocab.getty.edu/page/ulan/500285848
Marten de the elder,Vos,Marten de the elder Vos,,Vos, Vos,1532-1603,1532,1603,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500029816
Martha,Keller,Martha Keller,,, ,1949,1949,,American (North American),female,http://vocab.getty.edu/page/ulan/500329887
Martin,Barooshian,Martin Barooshian,,, ,1929-,1929,,American,Male,
Martin,Lewis,Martin Lewis,,, ,1881-1962,1881,1962,American (North American),Male,http://vocab.getty.edu/page/ulan/500028815
Martin,Puryear,Martin Puryear,,, ,1941,1941,,American (North American),Male,http://vocab.getty.edu/page/ulan/500009936
Marvin,Bradley,Marvin Bradley,,, ,1912-1984,1912,1984,American,Male,
Marvin,Brown,Marvin Brown,,, ,1943,1943,,American (North American),Male,http://vocab.getty.edu/page/ulan/500462043
Mary,Cassatt,Mary Cassatt,,Cassatt, Cassatt,1844-1926,1844,1926,American (North American),female,http://vocab.getty.edu/page/ulan/500012368
Mary,Obering,Mary Obering,,, ,1937,1937,,American (North American),female,http://vocab.getty.edu/page/ulan/500330468
Matora,Oishi,Matora Oishi,,, ,1794-1833,1794,1833,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500476587
Matthew,Carone,Matthew Carone,,, ,1930,1930,,American,Male,
Matthias,Oesterreich,Matthias Oesterreich,,, ,1716-1778,1716,1778,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500354384
Maurice de,Vlaminck,Maurice de Vlaminck,Maurice de,Vlaminck,Maurice de Vlaminck,1876-1958,1876,1958,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500008582
Maurice,Denis,Maurice Denis,,Denis, Denis,1870-1943,1870,1943,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500032673
Maurice,Utrillo,Maurice Utrillo,Maurice,Utrillo,Maurice Utrillo,1883-1955,1883,1955,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500008404
Mauro,Gandolfi,Mauro Gandolfi,,, ,1764-1834,1764,1834,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500008969
Max,Ackermann,Max Ackermann,,, ,1887-1975,1887,1975,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500011317
Max,Bill,Max Bill,,, ,1908-1994,1908,1994,Swiss,Male,http://vocab.getty.edu/page/ulan/500005369
Max,Klinger,Max Klinger,,, ,1857-1920,1857,1920,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500023867
Max,Papart,Max Papart,,, ,1911,1911,,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500007383
Max,Pechstein,Max Pechstein,,, ,1881-1955,1881,1955,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500032015
Max,Rosenthal,Max Rosenthal,Max,Rosenthal,Max Rosenthal,1833-1918,1833,1918,American (North American),Male,http://vocab.getty.edu/page/ulan/500084267
Maxime,Lalanne,Maxime Lalanne,,, ,1827-1886,1827,1886,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500022662
Mel,Chin,Mel Chin,,, ,1951,1951,,American (North American),Male,http://vocab.getty.edu/page/ulan/500128668
