value,label,count
P6015,Handbook of Texas ID,2
P6060,MoEML ID,2
P6194,Austrian Biographical Encylopedia ID,2
P6235,ARB person ID,2
P6283,MNopedia ID,2
P6300,Hymnary author ID,2
P6327,Goodreads character ID,2
P6385,Krugosvet article,2
P6403,TheatreOnline ID,2
P6404,Treccani's Dizionario di Storia ID,2
P6482,"Image Archive, Herder Institute",2
P6634,LinkedIn personal profile ID,2
P6715,SIUSA archive producer person ID,2
P6802,related image,2
P6878,Amburger database ID,2
P6944,Bionomia ID,2
P7012,World Encyclopedia of Puppetry Arts ID,2
P7685,CALS Encyclopedia of Arkansas ID,2
P7691,The Oregon Encyclopedia ID,2
P7918,Médias 19 ID,2
P8153,Accademia delle Scienze di Torino ID,2
P8235,LiederNet composer ID,2
P8301,Montreux Jazz Festival person ID,2
P8309,Yle topic ID,2
P8313,Den Store Danske ID,2
P8580,NHK Archives Portal person ID,2
P8705,Artist ID of the department of Prints and Drawings of the Louvre,2
P8796,FilmPolski press collection ID,2
P127,owned by,2
P155,follows,2
P162,producer,2
P279,subclass of,1
P410,military rank,1
P412,voice type,1
P435,MusicBrainz work ID,1
P436,MusicBrainz release group ID,1
P454,Structurae structure ID,1
P511,honorific prefix,1
P527,has part,1
P549,Mathematics Genealogy Project ID,1
P580,start time,1
P582,end time,1
P590,GNIS ID,1
P598,commander of (DEPRECATED),1
P611,religious order,1
P669,located on street,1
P676,lyrics by,1
P803,professorship,1
P898,IPA transcription,1
P932,PMCID,1
P951,NSZL (VIAF) ID,1
P957,ISBN-10,1
P972,catalog,1
P998,Curlie ID,1
P1007,Lattes Platform number,1
P1045,Sycomore ID,1
P1056,product or material produced,1
P1150,Regensburg Classification,1
P1182,LIBRIS editions,1
P1245,OmegaWiki Defined Meaning,1
P1254,Slovenska biografija ID,1
P1258,Rotten Tomatoes ID,1
P1268,represents,1
P1287,KDG Komponisten der Gegenwart ID,1
P1289,Kritisches Lexikon zur fremdsprachigen Gegenwartsliteratur ID,1
P1290,godparent,1
P1347,military casualty classification,1
P1429,has pet,1
P1441,present in work,1
P1463,Post-Reformation Digital Library author ID,1
P1473,Nupill Literatura Digital - Author,1
P1533,family name identical to this given name,1
P1543,monogram,1
P1556,zbMATH author ID,1
P1564,At the Circulating Library ID,1
P1566,GeoNames ID,1
P1576,lifestyle,1
P1619,date of official opening,1
P1766,place name sign,1
P1785,temple name,1
P1787,art-name,1
P1786,posthumous name,1
P1825,Baseball-Reference.com major league player ID,1
P1827,ISWC,1
P1826,Baseball-Reference.com minor & foreign league player ID,1
P1901,BALaT person/organisation id,1
P1907,Australian Dictionary of Biography ID,1
P1954,Discogs master ID,1
P1989,Encyclopaedia Metallum artist ID,1
P1994,AllMusic composition ID,1
P2006,ZooBank author ID,1
P2018,Teuchos ID,1
P2038,ResearchGate profile ID,1
P2190,C-SPAN person ID,1
P2267,PolitiFact people and groups ID,1
P2277,Magdeburger Biographisches Lexikon,1
P2373,Genius artist ID,1
P2446,Transfermarkt player ID,1
P2450,Encyclopædia Britannica contributor ID,1
P2485,FMD photographer ID,1
P2492,MTMT author ID,1
P2521,female form of label,1
P2592,Québec cultural heritage directory people identifier,1
P2596,culture,1
P2610,thickness,1
P2650,interested in,1
P2697,ESPNcricinfo.com player ID,1
P2753,Dictionary of Canadian Biography ID,1
P2770,source of income,1
P2798,Loop ID,1
P2827,flower color,1
P2861,Leidse Hoogleraren ID,1
P2868,subject has role,1
P2908,SecondHandSongs work ID,1
P2944,Plarr ID,1
P2973,Spenserians person ID,1
P3074,Grace's Guide ID,1
P3106,Guardian topic ID,1
P3124,Polish scientist ID,1
P3142,EDb person ID,1
P3155,Runeberg book ID,1
P3192,Last.fm ID,1
P3265,Myspace ID,1
P3360,Nobel Prize People Nomination ID,1
P3368,Prabook ID,1
P3475,SANU member ID,1
P3509,Dagens Nyheter topic ID,1
P3541,MLB.com player ID,1
P3571,ESPN.com MLB player ID,1
P3574,FanGraphs player ID,1
P3684,Driver Database driver ID,1
P3829,Publons author ID,1
P3909,last words,1
P3938,named by,1
P3964,BDCYL authority ID,1
P4174,Wikimedia username,1
P4195,category for employees of the organization,1
P4228,Encyclopedia of Australian Science ID,1
P4248,The Black Book ID,1
P4471,Rush Parliamentary Archive ID,1
P4488,COAM architect ID,1
P4580,Berlinische Galerie artist ID,1
P4598,FAPESP researcher ID,1
P4601,Lives of WWI ID,1
P4620,Merkelstiftung person ID,1
P4724,Maitron ID,1
P4768,cinematografo.it name or company ID,1
P4781,MYmovies director ID,1
P4860,BMI work ID,1
P4862,Amazon author ID,1
P4955,MR Author ID,1
P5021,test taken,1
P5056,patronym or matronym for this person,1
P5101,Swedish Literature Bank AuthorID,1
P5121,All About Jazz musician ID,1
P5184,Daum Encyclopedia ID,1
P5226,BRAHMS artist ID,1
P5287,Songfacts artist ID,1
P5359,Operone composer ID,1
P5363,Académie des beaux-arts member ID,1
P5372,Dictionnaire critique des historiens de l'art ID,1
P5380,National Academy of Sciences member ID,1
P5390,Classiques des sciences sociales ID,1
P5392,Poetry Archive poet ID,1
P5395,Canadian Encyclopedia article ID,1
P5394,Poets & Writers author ID,1
P5398,TDKIV term ID,1
P5414,The Paris Review interviewee ID,1
P5421,Trading Card Database person ID,1
P5470,Scottish Poetry Library poet ID,1
P5477,Les Voix de la poésie poet ID,1
P6005,Muck Rack journalist ID,1
P6077,British Museum bioID,1
P6081,RIA Novosti reference,1
P6150,Academy Awards Database nominee ID,1
P6181,Disney A to Z ID,1
P6200,BBC News topic ID,1
P6226,ARLLFB member ID,1
P6264,Harvard Index of Botanists ID,1
P6325,Critique d'art ID,1
P6342,Dictionnaire des Wallons ID,1
P6351,Genius artist numeric ID,1
P6366,Microsoft Academic ID,1
P6465,Democracy Club candidate ID,1
P6705,Ming Qing Archive ID,1
P6745,Orlando author ID,1
P6784,Harper's author ID,1
P6817,SVT Open archive,1
P6839,TV Tropes identifier,1
P6851,Biographical Dictionary of Iowa ID,1
P6873,IntraText author ID,1
P6902,era name,1
P6976,Retrosheet person ID,1
P6988,Hungarian National Namespace person ID,1
P7024,Flemish Public Libraries ID,1
P7157,The Top Tens ID,1
P7203,Dizionario biografico dei Friulani ID,1
P7300,MUBI person ID,1
P7332,NMM artist ID,1
P7357,Diccionari de la Literatura Catalana ID,1
P7507,Ben Yehuda author ID,1
P7574,Swedish Royal Theater Archive,1
P7614,Dictionary of Wisconsin History ID,1
P7644,Encyclopedia of Cleveland History ID,1
P7686,Encyclopedia of the Great Plains ID,1
P7695,e-WV: The West Virginia Encyclopedia ID,1
P7697,Maine: An Encyclopedia ID,1
P7700,Slovak National Library ID,1
P7778,Museum of Modern Art online exhibition ID,1
P7786,Joconde epoch ID,1
P7803,Decine21 person ID,1
P7829,English Vikidia ID,1
P7926,Visual AIDS Artist+ Registry ID,1
P7941,Biografisch Woordenboek van Nederland: 1880-2000 ID,1
P7952,The First Amendment Encyclopedia ID,1
P8098,Biographical Dictionary of Architects in Canada 1800-1950 ID,1
P8122,DLL Catalog author ID,1
P8193,hardiness of plant,1
P8341,Dansk Biografisk Leksikon ID,1
P8408,KBpedia ID,1
P8551,Opera Online composer ID,1
P8590,Jewish Encyclopedia ID,1
P8599,Nelson-Atkins Museum of Art artwork ID,1
P8631,Canadian Women Artists History Initiative ID,1
P8653,Museen Dresden article ID,1
P8669,Encyclopaedia Beliana ID,1
P8713,Stadtwiki Dresden article,1
P8759,Polski Słownik Judaistyczny ID,1
P8848,CONOR.AL ID,1
P8852,facial hair,1
P8854,Salzburgwiki ID,1
P8856,British Phonographic Industry ID,1
P8941,The Galileo Project ID,1
P8945,Museo Galileo biography ID,1
P9017,Medieval Manuscripts in Oxford Libraries person ID,1
P9020,AV Production person ID,1
P81,connecting line,1
P86,composer,1
P94,coat of arms image,1
P105,taxon rank,1
P112,founded by,1
P123,publisher,1
P137,operator,1
P154,logo image,1
P171,parent taxon,1
P185,doctoral student,1
P184,doctoral advisor,1
P197,adjacent station,1
P212,ISBN-13,1
P225,taxon name,1
