qid,label_en,description_en,instance_of_uuid,instance_of,sex_uuid,sex,occupation_uuid,occupation,occupation_ref1_hash,occupation_ref1_referenceUrl,occupation_ref1_retrieved_nodeId,occupation_ref1_retrieved_val,occupation_ref1_retrieved_prec,birthdate_uuid,birthdate_nodeId,birthdate_val,birthdate_prec,birthdate_ref1_hash,birthdate_ref1_referenceUrl,birthdate_ref1_retrieved_nodeId,birthdate_ref1_retrieved_val,birthdate_ref1_retrieved_prec,birthplace_uuid,birthplace,birthplace_ref1_hash,birthplace_ref1_referenceUrl,birthplace_ref1_retrieved_nodeId,birthplace_ref1_retrieved_val,birthplace_ref1_retrieved_prec,deathdate_uuid,deathdate_nodeId,deathdate_val,deathdate_prec,deathdate_ref1_hash,deathdate_ref1_referenceUrl,deathdate_ref1_retrieved_nodeId,deathdate_ref1_retrieved_val,deathdate_ref1_retrieved_prec,deathplace_uuid,deathplace,deathplace_ref1_hash,deathplace_ref1_referenceUrl,deathplace_ref1_retrieved_nodeId,deathplace_ref1_retrieved_val,deathplace_ref1_retrieved_prec,works_in_collection_uuid,works_in_collection,works_in_collection_ref1_hash,works_in_collection_ref1_referenceUrl,works_in_collection_ref1_retrieved_nodeId,works_in_collection_ref1_retrieved_val,works_in_collection_ref1_retrieved_prec,citizenship_country_uuid,citizenship_country,citizenship_country_ref1_hash,citizenship_country_ref1_referenceUrl,citizenship_country_ref1_retrieved_nodeId,citizenship_country_ref1_retrieved_val,citizenship_country_ref1_retrieved_prec,ulan_uuid,ulan,ulan_ref1_hash,ulan_ref1_retrieved_nodeId,ulan_ref1_retrieved_val,ulan_ref1_retrieved_prec
,George King Stark,American sculptor,,Q5,,Q6581097,,Q1281618,,,,,,,,1923,,,,,,,,Q331380,,,,,,,,1992,,,,,,,,Q3708437,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Ralph H. Scharf,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1923,,,,,,,,Q1297,,,,,,,,1993,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Gray Phillips,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1923,,,,,,,,Q186702,,,,,,,,2005,,,,,,,,Q1370207,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Ninon Lacey,American printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1923,,,,,,,,Q759,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Louise LeQuire,American painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1924,,,,,,,,Q23197,,,,,,,,2006,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Rudolf Mauke,German artist,,Q5,,Q6581097,,Q1028181,,,,,,,,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q183,,,,,,,500094814,,,2021-01-27,
,Augustin Ubeda,Spanish artist,,Q5,,Q6581097,,Q1028181,,,,,,,,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q29,,,,,,,500175783,,,2021-01-27,
,Helen Soreff,"American painter, 20th century",,Q5,,Q6581072,,Q11569986,,,,,,,,1926,,,,,,,,Q60,,,,,,,,1998,,,,,,,,Q60,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500093844,,,2021-01-27,
,Iwami Reika,printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1927,,,,,,,,Q1490,,,,,,,,1989,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Robert W. Loberg,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1927,,,,,,,,Q1297,,,,,,,,1999,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Jean Cohen,printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1927,,,,,,,,Q18419,,,,,,,,2013,,,,,,,,Q18438,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Olen Bryant,American sculptor,,Q5,,Q6581097,,Q1281618,,,,,,,,1927,,,,,,,,Q2456192,,,,,,,,2017,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Rafael Tur Costa,Spanish drawer,,Q5,,Q6581097,,Q15296811,,,,,,,,1927,,,,,,,,Q24009589,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q29,,,,,,,,,,,
,Rolph Blakstad,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1929,,,,,,,,Q24639,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q16,,,,,,,,,,,
,Joseph Schwarz,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500087117,,,2021-01-27,
,Heiner Stackelhaus,German book artist,,Q5,,Q6581097,,Q56884373,,,,,,,,1930,,,,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q183,,,,,,,,,,,
,William Loy,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1930,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Matthew Carone,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1930,,,,,,,,Q1408,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Paul Lancaster,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1930,,,,,,,,Q1509,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Robert Hauser,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Thomas Zvi Wilson,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1931,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Alfred J. Pounders,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Alfonso Gomez Bonifacio,Spanish printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1933,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Giorgio Pagliari,printmaker,,Q5,,,,Q11569986,,,,,,,,1933,,,,,,,,Q220,,,,,,,,2015,,,,,,,,Q52631,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
