name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
William H. Boysen,William H. Boysen,"[""Bill Boysen""]",Bill,American artist,Q30,1936,,1936,,,,,,m,,,American,artist,,,,"Boysen, William H.","[""Boyse, William H."",""Boysen, William H.""]",100 William H. Boysen / Bill / William H. Boysen / 1936- / -,Q483501,Q6581097
Henk van Putten,Henk van Putten,,,Dutch sculptor,Q55,1936,1936,1936,,,,,,m,http://vocab.getty.edu/page/ulan/500058012,500058012,Dutch (culture or style),printmaker,,,"Dutch sculptor, born 1936","Putten, Henk van","['Putten, Henk van (Dutch sculptor, born 1936)']",100 Henk van Putten /  / Henk van Putten,Q11569986,Q6581097
Don Cameron,,,,printmaker,,1936,1936,,,,,,,m,,,,printmaker,,,1936-,"Cameron, Don","['Cameron, Don (1936-)']",,Q11569986,Q6581097
Ferran Teixidor,Fernando Texidor,,,Spanish painter,Q29,1936,1936,1936,,,,,,m,,,Spanish,printmaker,,,"Spanish painter, born 1936","Teixidor, Ferran","['Teixidor, Ferran (Spanish painter, born 1936)']",84 Fernando Texidor /  / Ferran Teixidor,Q11569986,Q6581097
Robert Quijada,Robert Quijada,,Robert Quijada,American artist,Q30,1937,1937,1937,1994,1994,1994,,,m,http://vocab.getty.edu/page/ulan/500096712,500096712,American (North American),painter,,,"American artist, 1937-1994","Quijada, Robert","['Quijada, Robert (American artist, 1937-1994)']",100 Robert Quijada / Robert Quijada / Robert Quijada,Q1028181,Q6581097
Oscar Magnan,Oscar Magnan,,,Cuban printmaker,Q241,1937,1937,1937,,,,Q190005,,m,,,Cuban,printmaker,Cienfuegos, Cuba,"1937-, born Cienfuegos, Cuba","Magnan, Oscar","['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']",100 Oscar Magnan /  / Oscar Magnan,Q11569986,Q6581097
Jean Wall Penland,Jean Penland,,,American painter and etcher,Q30,1938,1938,1938,2019,2019,2019,,,f,,,American,painter,,,American painter and etcher,"Penland, Jean Wall","['Penland, Jean Wall (American painter and etcher)']",83 Jean Penland /  / Jean Wall Penland,Q1028181,Q6581072
Michael Garman,,,,sculptor,,1938,1938,,,,,,,m,,,,sculptor,,,1938-,"Garman, Michael","['Garman, Michael (1938-)']",,Q1281618,Q6581097
Adolf Schlosser,Adolfo Schlosser,,,Austrian Spanish printmaker,,1939,1939,1939,2004,,2004,,,m,,,Austrian Spanish,printmaker,,,1939-,"Schlosser, Adolf","['Schlosser, Adolf (1939-)']",97 Adolfo Schlosser /  / Adolf Schlosser,Q11569986,Q6581097
Clover Vail,Clover Vail,,Clover Vail,American painter,Q30,1939,1939,1939,,,,,,m,http://vocab.getty.edu/page/ulan/500330786,500330786,American (North American),printmaker,,,"American painter, born 1939","Vail, Clover","['Vail, Clover (American painter, born 1939)']",100 Clover Vail / Clover Vail / Clover Vail,Q11569986,Q6581097
Rainer Pfnür,Rainer Pfnür,,,German artist,Q183,1939,1939,1939,,,,,,m,http://vocab.getty.edu/page/ulan/500104132,500104132,"German (culture, style, period)",printmaker,,,"German artist, born 1939","Pfnür, Rainer","['Pfnür, Rainer (German artist, born 1939)']",100 Rainer Pfnür /  / Rainer Pfnür,Q11569986,Q6581097
Miquel Vilà,Miquel Vilá,,,Spanish printmaker,Q29,1940,1940,1940,,,,Q1492,,m,,,Spanish,printmaker,Barcelona, Spain,"1940-, born Barcelona, Spain","Vilà, Miquel","['Vilà, Miquel (1940-, born Barcelona, Spain)']",91 Miquel Vilá /  / Miquel Vilà,Q11569986,Q6581097
Manzano Acisclo,,,,printmaker,,1940,1940,,,,,,,,,,,printmaker,,,1940-,"Acisclo, Manzano","['Acisclo, Manzano (1940-)']",,Q11569986,
Cis Lenerts,,,,printmaker,,1940,1940,,,,,,,,,,,printmaker,,,1940,"Lenerts, Cis","['Lenerts, Cis (1940)']",,Q11569986,
Terry Max Hochstetler,T. Max Hochstetler,"[""T. Max Hochstetler"",""Max Hochstetler""]",,American painter,Q30,1941,1964,1941,2019,,,Q492478,Q328941,m,,,American,painter,Terre Haute,IN,1964-,"Hochstetler, T. Max","['Hochstetler, T. Max (1964-)', 'Hochstetler, T. Max']",100 T. Max Hochstetler /  / T. Max Hochstetler / 1941- / 1964-,Q1028181,Q6581097
Yukio Katsuda,,,,printmaker,,1941,1941,,,,,,,m,,,,printmaker,,,1941-,"Katsuda, Yukio","['Katsuda, Yukio (1941-)']",,Q11569986,Q6581097
Watthana Watthanāphan,Wattana Wattanapun,"[""Wattana Wattanapun""]",Watthana Watthanāphan,Thai painter,Q869,1941,1941,1941,,,,,,m,http://vocab.getty.edu/page/ulan/500122968,500122968,Thais,painter,,,"Thai painter, born 1941",Wattana Wattanapun,"['Wattana Wattanapun (Thai painter, born 1941)']",100 Wattana Wattanapun / Watthana Watthanāphan / Wattana Wattanapun,Q1028181,Q6581097
Joseph A. Pecsenke,Joseph A. Pecsenke,,,Hungarian American printmaker,Q30,1942,1942,1942,1989,1989,1989,,,m,,,Hungarian American,printmaker,,,1942-1989,"Pecsenke, Joseph A.","['Pecsenke, Joseph A. (1942-1989)']",100 Joseph A. Pecsenke /  / Joseph A. Pecsenke,Q11569986,Q6581097
Phillis Ideal,Phillis Ideal,,,American printmaker,Q30,1942,1942,,,,,Q33561,,f,,,American,printmaker,Roswell, NM,"1942-, born Roswell, NM","Ideal, Phillis","['Ideal, Phillis (1942-, born Roswell, NM)']",100 Phillis Ideal /  / Phillis Ideal / - / 1942-,Q11569986,Q6581072
Diana R. Hansen,,,,printmaker,,1942,1942,,,,,,,f,,,,printmaker,,,1942-,"Hansen, Diana R.","['Hansen, Diana R. (1942-)']",,Q11569986,Q6581072
Manuel Boix Alvarez,Manuel Boix Alvarez,,,Spanish printmaker,Q29,1942,1942,1942,,,,,,m,,,Spanish,printmaker,,,1942-,"Alvarez, Manuel Boix","['Alvarez, Manuel Boix (1942-)']",100 Manuel Boix Alvarez /  / Manuel Boix Alvarez,Q11569986,Q6581097
Pere Puiggros,Pere Puiggros,,,Spanish printmaker,Q29,1942,1942,1942,,,,,,m,,,Spanish,printmaker,,,1942-,"Puiggros, Pere","['Puiggros, Pere (1942-)']",100 Pere Puiggros /  / Pere Puiggros,Q11569986,Q6581097
Chaim Kanner,Chaim Kanner,,,French photographer,Q142,1943,1943,1943,2000,2000,2005,Q33959,,m,,,French,photographer,Nice, France,"1943-2000, born Nice, France","Kanner, Chaim","['Kanner, Chaim (1943-2000, born Nice, France)']",100 Chaim Kanner /  / Chaim Kanner,Q33231,Q6581097
Lenore Vanderkooi,Lenore Vanderkooi,,,American ceramic artist,Q30,1943,1943,1943,,,,Q100,,f,,,American,ceramic artist,Boston, MA,"1943-, born Boston, MA","Vanderkooi, Lenore","['Vanderkooi, Lenore (1943-, born Boston, MA)']",100 Lenore Vanderkooi /  / Lenore Vanderkooi,Q7541856,Q6581072
James Joseph Juszczk,,,,printmaker,Q30,1943,1943,,,,,Q1297,,m,,,,printmaker,Chicago, IL,"1943-, born Chicago, IL","Juszczk, James Joseph","['Juszczk, James Joseph (1943-, born Chicago, IL)', 'Juszczyk, James Joseph (American painter, born 1943)']",,Q11569986,Q6581097
Gilbert Herreyns,Gilbert Herreyns,,,Belgian printmaker,Q31,1943,1943,1943,,,,Q203312,,m,,,Belgian,printmaker,Uccle, Belgium,"1943-, born Uccle, Belgium","Herreyns, Gilbert","['Herreyns, Gilbert (1943-, born Uccle, Belgium)']",100 Gilbert Herreyns /  / Gilbert Herreyns,Q11569986,Q6581097
David Smyth,David Smyth,,David Smyth,American painter,Q30,1943,1943,,,,,,,m,http://vocab.getty.edu/page/ulan/500021111,500021111,American (North American),printmaker,,,"American painter, born 1943","Smyth, David","['Smyth, David (American painter, born 1943)']",91 David Smith / David Smith / David Smyth / 1906-1965 / 1943-,Q11569986,Q6581097
David Shapiro,,,,American painter and printmaker,Q30,1943,1943,,,,,,,m,,,,drawer,,,"American painter and printmaker, born 1943","Shapiro, David","['Shapiro, David (American painter and printmaker, born 1943)']",,Q15296811,Q6581097
Daniel Gualdoni,Daniel Gualdoni,,,American printmaker,Q30,1943,1943,,,,,,,m,,,American,printmaker,,,1943-,"Gualdoni, Daniel","['Gualdoni, Daniel (1943-)']",100 Daniel Gualdoni /  / Daniel Gualdoni / - / 1943-,Q11569986,Q6581097
Faik Husein,Faik Husein,,,Iraqi American printmaker,Q30,1944,1944,1994,2004,2004,1005,Q38811,Q60,m,,,Iraqi American,printmaker,Nasria, Iraq,"1944-2004, born Nasria, Iraq, died New York, NY","Husein, Faik","['Husein, Faik (1944-2004, born Nasria, Iraq, died New York, NY)', 'Husein, Faik']",100 Faik Husein /  / Faik Husein / 1994-1005 / 1944-2004,Q11569986,Q6581097
Lisa Collado,Lisa Collado,,,American printmaker,Q30,1944,,1944,,,,,,f,http://vocab.getty.edu/page/ulan/500387117,500387117,American (North American),printmaker,,,,"Collado, Lisa","['Collado, Lisa']",100 Lisa Collado /  / Lisa Collado / 1944- / -,Q11569986,Q6581072
Eduardo Mira,,,,artist,,1945,1945,,,,,,,m,,,,artist,,,1945-,"Mira, Eduardo","['Mira, Eduardo (1945-)']",,Q483501,Q6581097
John P. Stewart,,,,printmaker,,1945,1945,,,,,,,m,,,,printmaker,,,1945-,"Stewart, John P.","['Stewart, John P. (1945-)']",,Q11569986,Q6581097
Judith Page,Judith Page,,,American sculptor,Q30,1946,1946,,,,,Q49241,,f,,,American,sculptor,Lexington, KY,"1946-, born Lexington, KY","Page, Judith","['Page, Judith (1946-, born Lexington, KY)']",100 Judith Page /  / Judith Page / - / 1946-,Q1281618,Q6581072
Kathleen Walkup,Kathleen Walkup,,,American printmaker,Q30,1946,1946,,,,,Q6106,,f,,,American,printmaker,Portland, OR,"1946-, born Portland, OR","Walkup, Kathleen","['Walkup, Kathleen  (1946-, born Portland, OR)']",100 Kathleen Walkup /  / Kathleen Walkup / - / 1946-,Q11569986,Q6581072
Barry Buxkamper,Barry Buxkamper,,,American painter,Q30,1946,1946,,,,,,,m,,,American,painter,,,1946-,"Buxkamper, Barry","['Buxkamper, Barry (1946-)']",100 Barry Buxkamper /  / Barry Buxkamper / - / 1946-,Q1028181,Q6581097
Alvin Garret,,,,printmaker,,1946,1946,,,,,,,m,,,,printmaker,,,1946-,"Garret, Alvin","['Garret, Alvin (1946-)']",,Q11569986,Q6581097
Dennis Lukas,Dennis Lukas,"[""Dennis Brian Lukaszczyk""]",Dennis Brian Lukaszczyk,Canadian painter,Q16,1947,1947,1947,2003,,2003,Q133116,,m,,,Canadian,painter,Hamilton, Ontario,"1947-, born Hamilton, Ontario","Lukas, Dennis","['Lukas, Dennis (1947-, born Hamilton, Ontario)']",100 Dennis Lukas / Dennis Brian Lukaszczyk / Dennis Lukas,Q1028181,Q6581097
Elliot Ross,Elliot Ross,,Elliot Ross,American book artist,Q30,1947,1947,1947,,,,Q1297,,m,http://vocab.getty.edu/page/ulan/500129424,500129424,American (North American),book artist,Chicago, IL,"1947-, born Chicago, IL","Ross, Elliot","['Ross, Elliot  (1947-, born Chicago, IL)']",100 Elliot Ross / Elliot Ross / Elliot Ross,Q56884373,Q6581097
Okada Teru,,,,ceramic artist,,1947,1947,,,,,,,,,,,ceramic artist,,,1947-,"Teru, Okada","['Teru, Okada (1947-)']",,Q7541856,
Rosalyn Richards,Rosalyn Richards,,,painter,,1947,1947,,,,,,,f,,,,painter,,,1947-,"Richards, Rosalyn","['Richards, Rosalyn (1947-)']",100 Rosalyn Richards /  / Rosalyn Richards / - / 1947-,Q1028181,Q6581072
Hernan Zúñiga Albán,,,,printmaker,Q736,1948,1948,,,,,Q210161,,m,,,,printmaker,Ambato, Ecuador,"1948-, born Ambato, Ecuador","Albán, Hernan Zúñiga","['Albán, Hernan Zúñiga (1948-, born Ambato, Ecuador)']",,Q11569986,Q6581097
Paul Eric Berger,Paul Berger,,,American photographer and printmaker,Q30,1948,1948,,,,,,,m,,,,photographer,,,"American photographer and printmaker, born 1948","Berger, Paul Eric","['Berger, Paul Eric (American photographer and printmaker, born 1948)']",81 Paul Berger /  / Paul Eric Berger / - / 1948-,Q33231,Q6581097
Dawson Nesbitt,,,,photographer,,1948,1948,,,,,,,,,,,photographer,,,1948-,"Nesbitt, Dawson","['Nesbitt, Dawson (1948-)']",,Q33231,
Cathie Ruggie-Saunders,Cathie Ruggie-Saunders,,,American printmaker,Q30,1949,1951,1949,,,,Q1297,,f,,,American,printmaker,Chicago, IL,"1951-, born Chicago, IL","Ruggie-Saunders, Cathie","['Ruggie-Saunders, Cathie (1951-, born Chicago, IL)']",100 Cathie Ruggie-Saunders /  / Cathie Ruggie-Saunders / 1949- / 1951-,Q11569986,Q6581072
Edward Shalala,Edward Shalala,,,American printmaker,Q30,1949,1949,1949,,,,Q37320,,m,,,American,printmaker,Cleveland, OH,"1949-, born Cleveland, OH","Shalala, Edward","['Shalala, Edward (1949-, born Cleveland, OH)']",100 Edward Shalala /  / Edward Shalala,Q11569986,Q6581097
Jeanne Wilkinson,Jeanne Wilkinson,,,American printmaker,Q30,1949,1949,,,,,Q485708,,f,,,American,printmaker,Duluth, MN,"1949-, born Duluth, MN","Wilkinson, Jeanne","['Wilkinson, Jeanne (1949-, born Duluth, MN)']",100 Jeanne Wilkinson /  / Jeanne Wilkinson / - / 1949-,Q11569986,Q6581072
Jay Bolotin,Jay Bolotin,,,American printmaker,Q30,1949,1949,1949,,,,Q491931,,m,http://vocab.getty.edu/page/ulan/500466991,500466991,American (North American),printmaker,Fayette County, KY,"1949-, born Fayette County, KY","Bolotin, Jay","['Bolotin, Jay (1949-, born Fayette County, KY)']",100 Jay Bolotin /  / Jay Bolotin,Q11569986,Q6581097
Creighton Michael,Creighton Michael,,,American sculptor,Q30,1949,1949,1949,,,,,,m,http://vocab.getty.edu/page/ulan/500100489,500100489,American (North American),printmaker,,,"American sculptor, born 1949","Michael, Creighton","['Michael, Creighton (American sculptor, born 1949)']",100 Creighton Michael /  / Creighton Michael,Q11569986,Q6581097
Mark Williams,,,,printmaker,Q30,1950,1950,,,,,Q1342,,m,http://vocab.getty.edu/page/ulan/500285848,500285848,,printmaker,Pittsburgh, PA,"1950-, born Pittsburgh, PA","Williams, Mark","['Williams, Mark (1950-, born Pittsburgh, PA)']",100 Mark Williams / Mark Williams / Mark Williams / 1850- / 1950-,Q11569986,Q6581097
Ann Kalmbach,,,,printmaker,Q30,1950,1950,,,,,Q49218,,f,,,,printmaker,Rochester, NY,"1950-, born Rochester, NY","Kalmbach, Ann","['Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)']",,Q11569986,Q6581072
Hans Waanders,Hans Waanders,,,Dutch printmaker,Q55,1951,1951,1951,2001,2001,2001,Q33435365,,m,,,Dutch,printmaker,Enschede, Netherlands,"1951-2001, born Enschede, Netherlands","Waanders, Hans","['Waanders, Hans (1951-2001, born Enschede, Netherlands)']",100 Hans Waanders /  / Hans Waanders,Q11569986,Q6581097
Michael Peel,Michael Peel,,,British painter,Q145,1951,1951,1951,,,,,,m,http://vocab.getty.edu/page/ulan/500014926,500014926,British (modern),printmaker,,,"British painter, born 1951","Peel, Michael","['Peel, Michael (British painter, born 1951)']",100 Michael Peel /  / Michael Peel,Q11569986,Q6581097
Dimitrije Popovic,Dimitrije Popovic,,,Montenegrin printmaker,Q403,1951,,1951,,,,,,m,,,Montenegrin,printmaker,,Serbia,,"Popovic, Dimitrije","['Popovic, Dimitrije']",100 Dimitrije Popovic /  / Dimitrije Popovic / 1951- / -,Q11569986,Q6581097
John Phillips,John  Phillips,,,printmaker,Q30,1953,1953,,,,,Q1297,,m,,,,printmaker,Chicago, IL,"1953-, born Chicago, IL","Phillips, John","['Phillips, John (1953-, born Chicago, IL)']",96 John  Phillips /  / John Phillips / - / 1953-,Q11569986,Q6581097
Julian Jackson,Julian Jackson,,,American printmaker,Q30,1953,1953,,,,,Q43421,,m,,,American,printmaker,Richmond, VA,"1953-, born Richmond, VA","Jackson, Julian","['Jackson, Julian (1953-, born Richmond, VA)']",100 Julian Jackson /  / Julian Jackson / - / 1953-,Q11569986,Q6581097
Bronlyn Jones,Bronlyn Jones,,,American drawer,Q30,1954,1954,1954,,,,Q2099362,,m,,,American,drawer,Williamsburg, IA,"1954-, born Williamsburg, IA","Jones, Bronlyn","['Jones, Bronlyn (1954-, born Williamsburg, IA)']",100 Bronlyn Jones /  / Bronlyn Jones,Q15296811,Q6581097
Paul Tosh,Paul Tosh,,,printmaker,Q30,1954,1954,,,,,Q241814,,m,,,,printmaker,Kingsport, TN,"1954-, born Kingsport, TN","Tosh, Paul,","['Tosh, Paul, (1954-, born Kingsport, TN)']",100 Paul Tosh /  / Paul Tosh / - / 1954-,Q11569986,Q6581097
Mara Held,,,,printmaker,Q30,1954,1954,,,,,Q60,,f,,,,printmaker,New York, NY,"1954-, born New York, NY","Held, Mara","['Held, Mara (1954-, born New York, NY)']",,Q11569986,Q6581072
Mark Gibian,,,,painter,,1954,1954,,,,,,,m,,,,painter,,,1954-,"Gibian, Mark","['Gibian, Mark (1954-)']",,Q1028181,Q6581097
José Luis Raymond,José Luis Raymond,,,photographer,,1954,1954,,,,,,,m,,,,photographer,,,1954-,"Raymond, José Luis","['Raymond, José Luis (1954-)']",100 José Luis Raymond /  / José Luis Raymond / - / 1954-,Q33231,Q6581097
Terri Zupanc,Terri Zupanc,,,printmaker,,1955,1955,1955,,,,Q1537,,f,,,,printmaker,Wisconsin,,"1955-, born Wisconsin","Zupanc, Terri","['Zupanc, Terri (1955-, born Wisconsin)']",100 Terri Zupanc /  / Terri Zupanc,Q11569986,Q6581072
Gabriel Warren,Gabriel Warren,,,sculptor,Q30,1955,1955,,,,,Q49145,,m,,,,sculptor,New Haven, CT,"1955-, born New Haven, CT","Warren, Gabriel","['Warren, Gabriel (1955-, born New Haven, CT)']",100 Gabriel Warren /  / Gabriel Warren / - / 1955-,Q1281618,Q6581097
Tjue Teeuwen,,,,book artist,Q55,1955,1955,,,,,Q9832,,,,,,book artist,Eindhoven,Netherlands,"1955-, 1955-, born Eindhoven, Netherlands","Teeuwen, Tjue","['Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)']",,Q56884373,
Karen Leonard Lyles,Karen Leonard Lyles,,,drawer,,1955,1955,,,,,,,f,,,,drawer,,,1955-,"Lyles, Karen Leonard","['Lyles, Karen Leonard (1955-)']",100 Karen Leonard Lyles /  / Karen Leonard Lyles / - / 1955-,Q15296811,Q6581072
Terry Thacker,Terry Thacker,,,painter,,1955,1955,,,,,,,m,,,,painter,,,1955-,"Thacker, Terry","['Thacker, Terry (1955-)']",100 Terry Thacker /  / Terry Thacker / - / 1955-,Q1028181,Q6581097
Gilbert Hsiao,,,,printmaker,Q30,1956,1956,,,,,Q1400,,m,,,,printmaker,Pennsylvania,,"1956-, born Pennsylvania","Hsiao, Gilbert","['Hsiao, Gilbert (1956-, born Pennsylvania)']",,Q11569986,Q6581097
Daniel G. Hill,Daniel G. Hill,,,American printmaker,Q30,1956,1956,1956,,,,Q60,,m,,,American,printmaker,New York, NY,"1956-, born New York, NY","Hill, Daniel G.","['Hill, Daniel G. (1956-, born New York, NY)']",100 Daniel G. Hill /  / Daniel G. Hill,Q11569986,Q6581097
Randall Lavender,Randall Lavender,,,American ceramic artist,Q30,1956,1956,,,,,,,m,,,American,ceramic artist,,,b. 1956,"Lavender, Randall","['Lavender, Randall (b. 1956)']",100 Randall Lavender /  / Randall Lavender / - / 1956-,Q7541856,Q6581097
Paul D'Amato,Paul D'Amato,,,American photographer,Q30,1956,1956,1956,,,,,,m,http://vocab.getty.edu/page/ulan/500463231,500463231,American (North American),photographer,,,"American photographer, 1956 CE-","D'Amato, Paul","[""D'Amato, Paul (American photographer, 1956 CE-)""]",100 Paul D'Amato /  / Paul D'Amato,Q33231,Q6581097
Jim Sherraden,Jim Sherraden,,,American printmaker,Q30,1957,1957,,,,,Q1650620,,m,,,American,printmaker,Salina, KS,"1957-, born Salina, KS","Sherraden, Jim","['Sherraden, Jim (1957-, born Salina, KS)', 'Sherraden, Jim (1957, born Salina, KS)', 'Sherraden, Jim (1956-, born Salina, KS)', 'Sherraden, Jim, (1957-, born Salina, KS)', 'Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)']",100 Jim Sherraden /  / Jim Sherraden / - / 1957-,Q11569986,Q6581097
Gloria DeArcangelis,,,,drawer,Q183,1957,1957,,,,,Q1726,,f,,,,drawer,Munich, Germany,"1957-, born Munich, Germany","DeArcangelis, Gloria","['DeArcangelis, Gloria (1957-, born Munich, Germany)']",,Q15296811,Q6581072
Kit Reuther,Kit Reuther,,,American painter,Q30,1957,1957,1957,,,,,,f,,,American,painter,,,1957-,"Reuther, Kit","['Reuther, Kit (1957-)']",100 Kit Reuther /  / Kit Reuther,Q1028181,Q6581072
Stephen Maine,Stephen Maine,,,American printmaker,Q30,1958,1958,,,,,Q33486,,m,,,American,printmaker,Hartford, CT,"1958-, born Hartford, CT","Maine, Stephen","['Maine, Stephen (1958-, born Hartford, CT)']",100 Stephen Maine /  / Stephen Maine / - / 1958-,Q11569986,Q6581097
Vera Vasek,Vera Vasek,,,American printmaker,Q30,1959,1959,,,,,Q40435,,f,,,American,printmaker,Buffalo, NY,"1959-, born Buffalo, NY","Vasek, Vera","['Vasek, Vera (1959-, born Buffalo, NY)']",100 Vera Vasek /  / Vera Vasek / - / 1959-,Q11569986,Q6581072
Fransje Killaars,Fransje Killaars,,,Dutch artist,Q55,1959,1959,1959,,,,,,m,http://vocab.getty.edu/page/ulan/500348728,500348728,Dutch (culture or style),printmaker,,,"Dutch artist, born 1959","Killaars, Fransje","['Killaars, Fransje (Dutch artist, born 1959)']",100 Fransje Killaars /  / Fransje Killaars,Q11569986,Q6581097
Sabine Friesicke,,,,painter,Q183,1960,1960,,,,,Q1055,,,,,,painter,Hamburg, Germany,"1960-, born Hamburg, Germany","Friesicke, Sabine","['Friesicke, Sabine (1960-, born Hamburg, Germany)']",,Q1028181,
Koo Kyung Sook,Koo Kyung Sook,,,Korean photographer,Q884,1960,1960,,,,,Q1192050,,f,,,Korean,photographer,Seoul, Korea,"1960-, born Seoul, Korea","Sook, Koo Kyung","['Sook, Koo Kyung (1960-, born Seoul, Korea)']",100 Koo Kyung Sook /  / Koo Kyung Sook / - / 1960-,Q33231,Q6581072
Steve Karlik,,,,printmaker,Q30,1960,1960,,,,,Q6106,,m,,,,printmaker,Portland, OR,"1960-, born Portland, OR","Karlik, Steve","['Karlik, Steve (1960-, born Portland, OR)']",,Q11569986,Q6581097
Kees Verbeek,,,,book artist,Q55,1961,1961,,,,,Q628616,,,,,,book artist,Son, Netherlands,"1961-, born Son, Netherlands","Verbeek, Kees","['Verbeek, Kees (1961-, born Son, Netherlands)']",,Q56884373,
Guntars Sietens,,,,printmaker,Q211,1962,1962,,,,,Q155281,,m,,,,printmaker,Kuldiga, Latvia,"1962-, born Kuldiga, Latvia","Sietens, Guntars","['Sietens, Guntars (1962-, born Kuldiga, Latvia)']",,Q11569986,Q6581097
Jeff Matz,Jeffrey Matz,,,American printmaker,Q30,1963,1963,1920,,,,Q49233,,m,http://vocab.getty.edu/page/ulan/500072728,500072728,American (North American),printmaker,Orlando, FL,"1963-, born Orlando, FL","Matz, Jeff","['Matz, Jeff (1963-, born Orlando, FL)']",86 Jeffrey Matz /  / Jeff Matz / 1920- / 1963-,Q11569986,Q6581097
Teo Gonzáles,Teo González,,,Spanish drawer,Q29,1964,1964,1964,,,,Q1752280,,m,http://vocab.getty.edu/page/ulan/500471949,500471949,Spanish (culture or style),drawer,Quinto, Spain,"1964-, born Quinto, Spain","Gonzáles, Teo","['Gonzáles, Teo (1964-, born Quinto, Spain)']",92 Teo González /  / Teo Gonzáles,Q15296811,Q6581097
Phurba Namgay,,,,painter,Q917,1964,1964,,,,,Q4511781,,m,,,,painter,Chendipji," Tongsa, Bhutan","1964-, born Chendipji, Tongsa, Bhutan","Namgay, Phurba","['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']",,Q1028181,Q6581097
Martha Chiplis,,,,printmaker,Q30,1964,1964,,,,,Q6346,,f,,,,printmaker,Indianapolis, IN,"1964-, born Indianapolis, IN","Chiplis, Martha","['Chiplis, Martha (1964-, born Indianapolis, IN)']",,Q11569986,Q6581072
Alyson Shotz,Alyson Shotz,,Alyson Shotz,American artist,Q30,1964,1964,1964,,,,,,f,http://vocab.getty.edu/page/ulan/500351075,500351075,American (North American),printmaker,,,"American artist, born 1964","Shotz, Allison","['Shotz, Allison (American artist, born 1964)']",88 Alyson Shotz / Alyson Shotz / Allison Shotz,Q11569986,Q6581072
Michael Frederick,,,,printmaker,Q30,1966,1966,,,,,Q2188558,,m,,,,printmaker,Chabanse, IL,"1966-, born Chabanse, IL","Frederick, Michael","['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']",,Q11569986,Q6581097
Ramon Marcus Kadi,,,,printmaker,Q252,1967,1967,,,,,Q11462,,m,,,,printmaker,Surabaya, Indonesia,"1967, born Surabaya, Indonesia","Kadi, Ramon Marcus","['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']",,Q11569986,Q6581097
Joel Elrod,,,,printmaker,Q30,1967,1967,,,,,Q43199,,m,,,,printmaker,Omaha, NE,"1967-, born Omaha, NE","Elrod, Joel","['Elrod, Joel (1967-, born Omaha, NE)']",,Q11569986,Q6581097
Tim Dooley,,,,printmaker,Q30,1967,1967,,,,,Q8652,,m,,,,printmaker,Miami, FL,"1967-, born Miami, FL","Dooley, Tim","['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']",,Q11569986,Q6581097
Dan Grzeca,Dan Grzeca,,,American painter,Q30,1968,1968,,,,,Q1297,,m,,,American,painter,Chicago, IL,"1968-, born Chicago, IL","Grzeca, Dan","['Grzeca, Dan (1968-, born Chicago, IL)']",100 Dan Grzeca /  / Dan Grzeca / - / 1968-,Q1028181,Q6581097
J. Suzanne Powney,J. Suzanne Powney,,,printmaker,Q30,1969,1969,,,,,Q490720,,f,,,,printmaker,Biloxi, MS,"1969-, born Biloxi, MS","Powney, J. Suzanne","['Powney, J. Suzanne  (1969-, born Biloxi, MS)']",100 J. Suzanne Powney /  / J. Suzanne Powney / - / 1969-,Q11569986,Q6581072
"Samuel L. Dunson, Jr.",,,,painter,Q30,1970,1970,,,,,Q34739,,m,,,,painter,Dayton, OH,"1970-, born Dayton, OH","Dunson, Samuel L. Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']",,Q1028181,Q6581097
Kerry McAleer-Keeler,Kerry McAleer-Keeler,,,American printmaker,Q30,1971,1971,1971,,,,Q18383,,f,http://vocab.getty.edu/page/ulan/500488507,500488507,American (North American),printmaker,Providence, RI,"1971-, born Providence, RI","McAleer-Keeler, Kerry","['McAleer-Keeler, Kerry (1971-, born Providence, RI)']",100 Kerry McAleer-Keeler /  / Kerry McAleer-Keeler,Q11569986,Q6581072
Katherine McCanless Ruffin,Katherine McCanless Ruffin,,,printmaker,Q30,1972,1972,,,,,Q79860,,f,,,,printmaker,Huntsville, AL,"1972-, born Huntsville, AL","Ruffin, Katherine McCanless","['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']",100 Katherine McCanless Ruffin /  / Katherine McCanless Ruffin / - / 1972-,Q11569986,Q6581072
