last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Chiplis, Martha","1964-, born Indianapolis, IN",1964,,Q6346,Indianapolis, IN,printmaker,printmaker,Martha Chiplis,"['Chiplis, Martha (1964-, born Indianapolis, IN)']"
"Chokosai, Eisho","Japanese printmaker, active 1793-1799",,,,,,printmaker,Japanese printmaker,Eisho Chokosai,"['Chokosai, Eisho (Japanese printmaker, active 1793-1799)']"
"Chwedczuk, M",,,,,,,printmaker,printmaker,M Chwedczuk,"['Chwedczuk, M']"
"Clairey, Irene",,,,,,,artist,artist,Irene Clairey,"['Clairey, Irene']"
"Clark, J.",,,,,,,printmaker,printmaker,J. Clark,"['Clark, J.']"
"Clayton, Charles",,,,,,,printmaker,printmaker,Charles Clayton,"['Clayton, Charles']"
"Cohen, George Etta Brinkley",,,,,,,ceramic artist,ceramic artist,George Etta Brinkley Cohen,"['Cohen, George Etta Brinkley']"
"Cohen, Jean","1927-2013, born Brooklyn, NY, died Long Island, NY",1927,2013,Q18419,Brooklyn, NY,printmaker,printmaker,Jean Cohen,"['Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)', 'Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)']"
"Cohick, Aaron",,,,,,,printmaker,printmaker,Aaron Cohick,"['Cohick, Aaron']"
"Cole, Willie","American artist, born 1955",1955,,,,,printmaker,American artist,Willie Cole,"['Cole, Willie (American artist, born 1955)']"
"Collado, Lisa",,,,,,,printmaker,printmaker,Lisa Collado,"['Collado, Lisa']"
"Connor, Colin",,,,,,,printmaker,printmaker,Colin Connor,"['Connor, Colin']"
"Conse, C.",,,,,,,printmaker,printmaker,C. Conse,"['Conse, C.']"
"Conti, A.",,,,,,,painter,painter,A. Conti,"['Conti, A.']"
Cordnin,,,,,,,printmaker,printmaker,Cordnin,['Cordnin']
"Couche, Jacques","b. 1759, born Abbeville",1759,,Q28520,Abbeville,,printmaker,printmaker,Jacques Couche,"['Couche, Jacques (b. 1759, born Abbeville)']"
"Craig, R.H.",,,,,,,painter,painter,R.H. Craig,"['Craig, R.H.']"
"Creightney, Karsten","1976-, born Albuquerque, New Mexico",1976,,Q34804,Albuquerque, New Mexico,printmaker,printmaker,Karsten Creightney,"['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']"
"Cucaro, Pat",,,,,,,painter,painter,Pat Cucaro,"['Cucaro, Pat']"
"D'Amato, Paul","American photographer, 1956 CE-",1956,,,,,photographer,American photographer,Paul D'Amato,"[""D'Amato, Paul (American photographer, 1956 CE-)""]"
"d'Harcourt, Childe de Rohan",,,,,,,drawer,drawer,Childe de Rohan d'Harcourt,"[""d'Harcourt, Childe de Rohan""]"
"Daly, Mat",1974-,1974,,,,,printmaker,printmaker,Mat Daly,"['Daly, Mat (1974-)']"
"Darnaud, Maxime","1931-, born Lyon, France",1931,,Q456,Lyon, France,painter,painter,Maxime Darnaud,"['Darnaud, Maxime (1931-, born Lyon, France)']"
"DeArcangelis, Gloria","1957-, born Munich, Germany",1957,,Q1726,Munich, Germany,drawer,drawer,Gloria DeArcangelis,"['DeArcangelis, Gloria (1957-, born Munich, Germany)']"
"Dennis, W.",,,,,,,printmaker,printmaker,W. Dennis,"['Dennis, W.']"
Docenud,,,,,,,artist,artist,Docenud,['Docenud']
Donovan,,,,,,,drawer,drawer,Donovan,['Donovan']
