last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Storm, La Rue","1908-, born Miami, FL",1908,,Q8652,Miami, FL,painter,painter,La Rue Storm,"['Storm, La Rue (1908-, born Miami, FL)']"
Su-chin Wen Chen,"1914-, born Wu-hsing, Chekiang Province, China",1914,,Q16967,Wu-hsing," Chekiang Province, China",painter,painter,Su-chin Wen Chen,"['Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)']"
"Sudyka, Diana",1972-,1972,,,,,printmaker,printmaker,Diana Sudyka,"['Sudyka, Diana (1972-)']"
"Sugawara, Hakuryu","1833-1898, born Uzen Province, Japan",1833,1898,Q1192050,Uzen Province, Japan,painter,painter,Hakuryu Sugawara,"['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']"
Suishu,,,,,,,painter,painter,Suishu,['Suishu']
Suison,,,,,,,painter,painter,Suison,['Suison']
"Suzuki, Rinsho",,,,,,,painter,painter,Rinsho Suzuki,"['Suzuki, Rinsho ']"
"Tabata, Kiyoe",,,,,,,printmaker,printmaker,Kiyoe Tabata,"['Tabata, Kiyoe']"
"Taguchi, Hidekichi",,,,,,,drawer,drawer,Hidekichi Taguchi,"['Taguchi, Hidekichi']"
"Teeuwen, Tjue","1955-, 1955-, born Eindhoven, Netherlands",1955,,Q9832,Eindhoven,Netherlands,book artist,book artist,Tjue Teeuwen,"['Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)']"
"Teixidor, Ferran","Spanish painter, born 1936",1936,,,,,printmaker,Spanish painter,Ferran Teixidor,"['Teixidor, Ferran (Spanish painter, born 1936)']"
"Teru, Okada",1947-,1947,,,,,ceramic artist,ceramic artist,Okada Teru,"['Teru, Okada (1947-)']"
"Thacker, Terry",1955-,1955,,,,,painter,painter,Terry Thacker,"['Thacker, Terry (1955-)']"
"Thompson, Kenneth K.",,,,,,,painter,painter,Kenneth K. Thompson,"['Thompson, Kenneth K.']"
"Thompson, Ron",,,,,,,painter,painter,Ron Thompson,"['Thompson, Ron']"
Torii Kiyomasu I,"Japanese woodblock print designer, active 1697-1722 (there is another one with different dates!)",,,,,,printmaker,Japanese woodblock print designer,Torii Kiyomasu I,"['Torii Kiyomasu I (Japanese woodblock print designer, active 1697-1722)']"
"Tosh, Paul,","1954-, born Kingsport, TN",1954,,Q241814,Kingsport, TN,printmaker,printmaker,Paul Tosh,"['Tosh, Paul, (1954-, born Kingsport, TN)']"
"Toshiaki, Yu-u sai",,,,,,,printmaker,printmaker,Yu-u sai Toshiaki,"['Toshiaki, Yu-u sai']"
"Toykuni, Utagawa",1769-1825,1769,1825,,,,printmaker,printmaker,Utagawa Toykuni,"['Toykuni, Utagawa  (1769-1825)']"
"Treballs Gràfics, Barcelona",,,,,,,printmaker,printmaker,Barcelona Treballs Gràfics,"['Treballs Gràfics, Barcelona']"
"Tsuchiya, Kōitsu",1870-1949,1870,1949,,,,printmaker,printmaker,Kōitsu Tsuchiya,"['Tsuchiya, Kōitsu (1870-1949)', 'Tsuchiya , Kōitsu (1870-1949)']"
Tung Tsou-ping,,,,,,,painter,painter,Tung Tsou-ping,['Tung Tsou-ping']
"Tur Costa, Rafael","1927-, born Santa Eulalia, Ibiza, Spain",1927,,Q24009589,Santa Eulalia," Ibiza, Spain",drawer,drawer,Rafael Tur Costa,"['Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)']"
"Turmohlen, Karl",,,,,,,painter,painter,Karl Turmohlen,"['Turmohlen, Karl']"
Turnbull,,,,,,,sculptor,sculptor,Turnbull,['Turnbull']
"Turner, Arthur",,,,,,,painter,painter,Arthur Turner,"['Turner, Arthur']"
"Turner, F.C.",1810-1846,1810,1846,,,,printmaker,printmaker,F.C. Turner,"['Turner, F.C. and Beckwith, Henry (1810-1846)']"
"Ubeda, Augustin","Spanish artist, born 1925",1925,,,,,painter,Spanish artist,Augustin Ubeda,"['Ubeda, Augustin (Spanish artist, born 1925)']"
"Ulman, Elenor",,,,,,,painter,painter,Elenor Ulman,"['Ulman, Elenor']"
"Unkoku,Tōteki",1606-1664,1606,1664,,,,painter,painter,Tōteki Unkoku,"['Unkoku,Tōteki (1606-1664)']"
"Vail, Clover","American painter, born 1939",1939,,,,,printmaker,American painter,Clover Vail,"['Vail, Clover (American painter, born 1939)']"
"Vanderbilt, Jacob",,,,,,,painter,painter,Jacob Vanderbilt,"['Vanderbilt, Jacob']"
"Vanderkooi, Lenore","1943-, born Boston, MA",1943,,Q100,Boston, MA,ceramic artist,ceramic artist,Lenore Vanderkooi,"['Vanderkooi, Lenore (1943-, born Boston, MA)']"
"Varin, R.",,,,,,,printmaker,printmaker,R. Varin,"['Varin, R.']"
"Vasek, Vera","1959-, born Buffalo, NY",1959,,Q40435,Buffalo, NY,printmaker,printmaker,Vera Vasek,"['Vasek, Vera (1959-, born Buffalo, NY)']"
"Verbeek, Kees","1961-, born Son, Netherlands",1961,,Q628616,Son, Netherlands,book artist,book artist,Kees Verbeek,"['Verbeek, Kees (1961-, born Son, Netherlands)']"
"Vilà, Miquel","1940-, born Barcelona, Spain",1940,,Q1492,Barcelona, Spain,printmaker,printmaker,Miquel Vilà,"['Vilà, Miquel (1940-, born Barcelona, Spain)']"
"Volkman, C.",,,,,,,painter,painter,C. Volkman,"['Volkman, C.']"
"Waanders, Hans","1951-2001, born Enschede, Netherlands",1951,2001,Q33435365,Enschede, Netherlands,printmaker,printmaker,Hans Waanders,"['Waanders, Hans (1951-2001, born Enschede, Netherlands)']"
"Wachsmity, F.S.",,,,,,,printmaker,printmaker,F.S. Wachsmity,"['Wachsmity, F.S.']"
"Wakeland, Ray","-1964, born Monteagle, TN",,1964,Q646230,Monteagle, TN,ceramic artist,ceramic artist,Ray Wakeland,"['Wakeland, Ray (-1964, born Monteagle, TN)']"
"Walker, W. H.","British watercolorist and illustrator, 1906-1926",1906,1926,,,,printmaker,British watercolorist and illustrator,W. H. Walker,"['Walker, W. H. (British watercolorist and illustrator, 1906-1926)']"
"Walkup, Kathleen","1946-, born Portland, OR",1946,,Q6106,Portland, OR,printmaker,printmaker,Kathleen Walkup,"['Walkup, Kathleen  (1946-, born Portland, OR)']"
"Walter, L.",,,,,,,painter,painter,L. Walter,"['Walter, L.']"
Wang Han,,,,,,,painter,painter,Wang Han,['Wang Han']
"Wang, Han",,,,,,,painter,painter,Han Wang,"['Wang, Han']"
"Warner, Earl A.",1883-1918,1883,1918,,,,drawer,drawer,Earl A. Warner,"['Warner, Earl A. (1883-1918)']"
"Warren, Gabriel","1955-, born New Haven, CT",1955,,Q49145,New Haven, CT,sculptor,sculptor,Gabriel Warren,"['Warren, Gabriel (1955-, born New Haven, CT)']"
"Watanabe, Shugaku",1644-1734,1644,1734,,,,painter,painter,Shugaku Watanabe,"['Watanabe, Shugaku (1644-1734)']"
Wattana Wattanapun,"Thai painter, born 1941",1941,,,,,painter,Thai painter,Wattana Wattanapun,"['Wattana Wattanapun (Thai painter, born 1941)']"
"Westphal, Fred","German artist, active 20th century",,,,,,printmaker,German artist,Fred Westphal,"['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']"
"Weyen, Herman",1643-1672,1643,1672,,,,printmaker,printmaker,Herman Weyen,"['Weyen, Herman (1643-1672)']"
"White, Joy Rice",,,,,,,drawer,drawer,Joy Rice White,"['White, Joy Rice']"
"Whitney, William",,,,,,,painter,painter,William Whitney,"['Whitney, William']"
"Wierix, Anton, III","Flemish printmaker, 1596-1624",1596,1624,,,,printmaker,Flemish printmaker,Anton Wierix III,"['Wierix, Anton, III (Flemish printmaker, 1596-1624)']"
"Wilkinson, Jeanne","1949-, born Duluth, MN",1949,,Q485708,Duluth, MN,printmaker,printmaker,Jeanne Wilkinson,"['Wilkinson, Jeanne (1949-, born Duluth, MN)']"
"Williams, Mark","1950-, born Pittsburgh, PA",1950,,Q1342,Pittsburgh, PA,printmaker,printmaker,Mark Williams,"['Williams, Mark (1950-, born Pittsburgh, PA)']"
"Wilson, Thomas Zvi",1931-,1931,,,,,painter,painter,Thomas Zvi Wilson,"['Wilson, Thomas Zvi (1931-)']"
"Winkles, K.",,,,,,,printmaker,printmaker,K. Winkles,"['Winkles, K.']"
"Wire, Melville Thomas","American painter and printmaker, 1887-1966",1887,1966,,,,painter,American painter and printmaker,Melville Thomas Wire,"['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']"
Wu Yang-t'ien,,,,,,,painter,painter,Wu Yang-t'ien,"[""Wu Yang-t'ien""]"
"Würbel, Franz",1896-,1896,,,,,printmaker,printmaker,Franz Würbel,"['Würbel, Franz (1896-)']"
Yao Zhongbao,"-1924, born Beijing, China",-192,1924,Q956,Beijing, China,painter,painter,Yao Zhongbao,"['Yao Zhongbao (-1924, born Beijing, China)']"
"Yasu, Koitsu",,,,,,,painter,painter,Koitsu Yasu,"['Yasu, Koitsu']"
Yoji,,,,,,,artist,artist,Yoji,['Yoji']
Yosho,,,,,,,painter,painter,Yosho,['Yosho']
"Young, August M.",1837-1913,1837,1913,,,,painter,painter,August M. Young,"['Young, August M. (1837-1913)']"
"Young, William Crawford","American illustrator, born 1886, active 1940",1886,,,,,printmaker,American illustrator,William Crawford Young,"['Young, William Crawford (American illustrator, born 1886, active 1940)']"
"Zartarian, Miriam",,,,,,,printmaker,printmaker,Miriam Zartarian,"['Zartarian, Miriam']"
Zhou Tao,born China,,,Q29520,,China,painter,painter,Zhou Tao,['Zhou Tao (born China)']
"Zhou, Runan",,,,,,,painter,painter,Runan Zhou,"['Zhou, Runan']"
"Zimmermann, Karen",,,,,,,printmaker,printmaker,Karen Zimmermann,"['Zimmermann, Karen']"
"Zirin, Nola","1920-, born New York, NY",1920,,Q60,New York, NY,printmaker,printmaker,Nola Zirin,"['Zirin, Nola (1920-, born New York, NY)']"
"Zivkovic, Zdenka",born Czechoslovakia,,,Q33946,,Czechoslovakia,painter,painter,Zdenka Zivkovic,"['Zivkovic, Zdenka (born Czechoslovakia)', 'Zivkovic, Zdenka (, born Czechoslovakia)']"
"Zupanc, Terri","1955-, born Wisconsin",1955,,Q1537,Wisconsin,,printmaker,printmaker,Terri Zupanc,"['Zupanc, Terri (1955-, born Wisconsin)']"
