title,start,end,dates,gallery_raw_string,raw_string
Centennial Acquisitions ,"October 1, 1975","November 12, 1975","October 1-November 12, 1975","Centennial Acquisitions (October 1-November 12, 1975)","Centennial Acquisitions (October 1-November 12, 1975)"
Centennial Club ,February 1978,February 1978,February 1978,Centennial Club (February 1978),Centennial Club (February 1978)
Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery ,"March 17, 2016","May 26, 2016","March 17 - May 26, 2016","Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery (March 17 - May 26, 2016)","Close Readings: American Abstract Art from the Vanderbilt University Fine Arts Gallery (March 17 - May 26, 2016)"
Contemporary West Coast Photographers,"February 6, 1983","March 4, 1983","February 6-March 4, 1983","Contemporary West Coast Photographers, (February 6-March 4, 1983)","Contemporary West Coast Photographers, (February 6-March 4, 1983)"
,"April 21, 1996","May 17, 1996","April 21-May 17, 1996",,"Creighton Michael: Marks & Metaphor Drawings 1990-1995 at Sarratt Gallery, Vanderbilt University (April 21-May 17, 1996)"
Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s ,"June 19, 2014","August 28, 2014","June 19 - August 28, 2014","Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)","Curiouser and Curiouser: Avant-Garde Polish Theatre Posters from the 1970s (June 19 - August 28, 2014)"
Difficult Art and the Liberal Arts Imagination ,"September 27, 2013","December 5, 2013","September 27 - December 5, 2013","Difficult Art and the Liberal Arts Imagination (September 27 - December 5, 2013)","Difficult Art and the Liberal Arts Imagination (September 27 - December 5, 2013)"
Disturbing Allegories: New Graphics by Kara Walker ,"February 8, 2001","March 22, 2001","February 8 - March 22, 2001","Disturbing Allegories: New Graphics by Kara Walker (February 8 - March 22, 2001)","Disturbing Allegories: New Graphics by Kara Walker (February 8 - March 22, 2001)"
Egypt to Expressionism ,"October 18, 1976","November 5, 1976","October 18-November 5, 1976","Egypt to Expressionism (October 18-Nov. 5, 1976)","Egypt to Expressionism (October 18-Nov. 5, 1976)"
,2001,2001,2001,,"Enrique Chagoya: The Enlightened Savage. New Paintings, Drawings, Prints, and Canned Food, George Adams Gallery, New York, (2001)"
,February 1978,February 1978,February 1978,,"Exhibited Centennial Club, Nashville, (February 1978)"
,"April 8, 2001","March 10, 2002","April 8, 2001- March 10, 2002",,"Exhibited in Art Quest at the Frist Center for the Visual Arts, Nashville, TN,  accompanying the exhibition An Enduring Legacy: Art of the Americas, (April 8, 2001- March 10, 2002)"
Eye & Mind: A Legacy of Art Collecting at Vanderbilt University ,"October 1, 2009","May 1, 2010","October 1, 2009-May 1, 2010","Eye & Mind: A Legacy of Art Collecting at Vanderbilt University (October 1, 2009-May 1, 2010)","Eye & Mind: A Legacy of Art Collecting at Vanderbilt University (October 1, 2009-May 1, 2010)"
Face Value: The Portrait and the Formulation of Identity in Art ,"October 26, 2000","December 8, 2000","October 26-December 8, 2000","Face Value: The Portrait and the Formulation of Identity in Art (October 26-December 8, 2000)","Face Value: The Portrait and the Formulation of Identity in Art (October 26-December 8, 2000)"
Five Centuries of Drawing ,"June 11, 2010","September 23, 2010","June 11-September 23, 2010","Five Centuries of Drawing (June 11-September 23, 2010)","Five Centuries of Drawing (June 11-September 23, 2010)"
Forging Identity - Imagining the Enemy: American Propaganda and the Great War,"September 18, 2015","December 10, 2015","September 18 - December 10, 2015","Forging Identity - Imagining the Enemy: American Propaganda and the Great War, (September 18 - December 10, 2015)","Forging Identity - Imagining the Enemy: American Propaganda and the Great War, (September 18 - December 10, 2015)"
Four Hundred Year of British Art ,"March 14, 2013","June 15, 2013","March 14, 2013 - June 15, 2013","Four Hundred Year of British Art (March 14, 2013 - June 15, 2013)","Four Hundred Year of British Art (March 14, 2013 - June 15, 2013)"
,1950,1950,1950,,"Frankin C. Watkins, The Museum of Modern Art, New York, (1950)"
,April 2016,April 2017,April 2016-April 2017,,French 8040 Class Exhibit in Central Library Atrium (April 2016-April 2017)
Fresh Art: Recent Acquisitions by the Fine Arts Gallery ,January 1997,February 1997,January-February 1997,Fresh Art: Recent Acquisitions by the Fine Arts Gallery (January-February 1997),Fresh Art: Recent Acquisitions by the Fine Arts Gallery (January-February 1997)
Fritz Eichenberg - Artist of the Book,"January 16, 2014","February 27, 2014","January 16 - February 27, 2014","Fritz Eichenberg - Artist of the Book, (January 16 - February 27, 2014)","Fritz Eichenberg - Artist of the Book, (January 16 - February 27, 2014)"
From Tomb to Temple: Unearthing Ancient China through the Vanderbilt Art Collection ,"June 19, 2014","October 12, 2014",06/19-10/12/14,From Tomb to Temple: Unearthing Ancient China through the Vanderbilt Art Collection (06/19-10/12/14),From Tomb to Temple: Unearthing Ancient China through the Vanderbilt Art Collection (06/19-10/12/14)
,1994,1994,1994,,"Georgia Museum of Art, The University of Georgia; Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting, (1994)"
Gifts of Chinese Art from the Collections of Chauncey P. Lowe and Naidine Nelson Herring Swayne ,1999,1999,Fall 1999,Gifts of Chinese Art from the Collections of Chauncey P. Lowe and Naidine Nelson Herring Swayne (Fall 1999),Gifts of Chinese Art from the Collections of Chauncey P. Lowe and Naidine Nelson Herring Swayne (Fall 1999)
,1992,1992,1992,,Gilbert Gaul: American Realist - An exhibition organized by the Tennessee State Museum (1992)
"Gods, Saints, and Rulers ","April 12, 1992","August 15, 1992",April 12-August 15 1992,"Gods, Saints, and Rulers (April 12-August 15 1992)","Gods, Saints, and Rulers (April 12-August 15 1992)"
Hans Hinterreiter: A Theory of Form and Color,"July 9, 2013","September 12, 2013","July 9 - September 12, 2013","Hans Hinterreiter: A Theory of Form and Color, (July 9 - September 12, 2013)","Hans Hinterreiter: A Theory of Form and Color, (July 9 - September 12, 2013)"
Harmony Korine: Pigxote ,"January 8, 2009","February 26, 2009","January 8 - February 26, 2009","Harmony Korine: Pigxote (January 8 - February 26, 2009)","Harmony Korine: Pigxote (January 8 - February 26, 2009)"
Heaven & Earth: The Figure in Religious and Secular Art,"March 25, 2000","May 12, 2000","March 25, 2000 - May 12, 2000","Heaven & Earth: The Figure in Religious and Secular Art, (March 25, 2000 - May 12, 2000)","Heaven & Earth: The Figure in Religious and Secular Art, (March 25, 2000 - May 12, 2000)"
,"September 1, 2001","November 11, 2001","September 1-November 11, 2001",,"Hieronymous Bosch, Museum Boijmans van Beuningen, Rotterdam, the Netherlands (September 1-November 11, 2001)"
History's Shadow: German Art and the Formulation of Identity ,"March 13, 2014","June 5, 2014","March 13 - June 5, 2014","History's Shadow: German Art and the Formulation of Identity (March 13 - June 5, 2014)","History's Shadow: German Art and the Formulation of Identity (March 13 - June 5, 2014)"
I Am Unbeatable - Documenting and Celebrating Stories of Empowerment - Photographs by Donna Ferrato ,September 2014,December 2014,Sept-Dec 2014,I Am Unbeatable - Documenting and Celebrating Stories of Empowerment - Photographs by Donna Ferrato (Sept-Dec 2014),I Am Unbeatable - Documenting and Celebrating Stories of Empowerment - Photographs by Donna Ferrato (Sept-Dec 2014)
,"January 16, 2007","April 3, 2007","January 16-April 3, 2007",,"Images and Their Power in Byzantium, Marlboro Gallery, Prince George's Community College, Largo, MD (January 16-April 3, 2007)"
In High Bohemia:  Photographic Portraits of Artists by Carl Van Vechten from the 1930s ,"October 29, 1998","December 12, 1998","October 29- December 12, 1998","In High Bohemia:  Photographic Portraits of Artists by Carl Van Vechten from the 1930s (October 29- December 12, 1998)","In High Bohemia:  Photographic Portraits of Artists by Carl Van Vechten from the 1930s (October 29- December 12, 1998)"
Inside Out/Outside In: Work by Chris Drury ,2006,2006,2006,Inside Out/Outside In: Work by Chris Drury (2006),Inside Out/Outside In: Work by Chris Drury (2006)
,"August 12, 2000","January 14, 2001","August 12, 2000 - January 14, 2001",,"Intimate Rituals and Personal Devotions: Spiritual Art through the Ages at the Harn Museum of Art, University of Florida, Gainesville, Florida (August 12, 2000 - January 14, 2001)"
Italian Art ,January 1983,January 1983,January 1983,Italian Art (January 1983),Italian Art (January 1983)
,"February 24, 2012","May 13, 2012","February 24 - May 13, 2012",,"John Chamberlain: Choices, Solomon R. Guggenheim Museum, (February 24 - May 13, 2012)"
Joyce Tenneson—Botanical Beauty ,"July 26, 2018","August 18, 2018","July 26-August 18, 2018","Joyce Tenneson—Botanical Beauty (July 26-August 18, 2018)","Joyce Tenneson—Botanical Beauty (July 26-August 18, 2018)"
,"June 9, 2018","October 28, 2018","June 9-October 28, 2018",,"Keepers of the Flame: Parrish, Wyeth, Rockwell and the European Narrative Tradition at the Norman Rockwell Museum (June 9-October 28, 2018)"
Landis Study Show ,1985,1985,Spring 1985,Landis Study Show (Spring 1985),Landis Study Show (Spring 1985)
,1967,1967,1967,,"Landscapes of the Norwich School, shown at the Cummer Gallery of Art, Jacksonville, FL (1967)"
Legacy of Asian Art ,1991,1993,1991-1993,Legacy of Asian Art (1991-1993),Legacy of Asian Art (1991-1993)
Light & Dark: The Fantastic World of Werner Wildner ,"October 28, 1999","December 17, 1999","October 28 - December 17, 1999","Light & Dark: The Fantastic World of Werner Wildner (October 28 - December 17, 1999)","Light & Dark: The Fantastic World of Werner Wildner (October 28 - December 17, 1999)"
Light & Shadow: The Chiaroscuro Woodcut ,"June 23, 2005","August 13, 2005","June 23 - August 13, 2005","Light & Shadow: The Chiaroscuro Woodcut (June 23 - August 13, 2005)","Light & Shadow: The Chiaroscuro Woodcut (June 23 - August 13, 2005)"
"Line Up, Strip Down, Fade Out: Polaroid Photographs and Videos by Andy Warhol, Grant Worth, and David Horvitz ","August 28, 2008","October 10, 2008","August 28 – October 10, 2008","Line Up, Strip Down, Fade Out: Polaroid Photographs and Videos by Andy Warhol, Grant Worth, and David Horvitz (August 28 – October 10, 2008)","Line Up, Strip Down, Fade Out: Polaroid Photographs and Videos by Andy Warhol, Grant Worth, and David Horvitz (August 28 – October 10, 2008)"
Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art ,"February 21, 1997","March 28, 1997","February 21-March 28, 1997","Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art (February 21-March 28, 1997)","Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art (February 21-March 28, 1997)"
,"May 13, 2006","Dec. 31, 2006","May 13-Dec. 31, 2006",,"Looking East: Orientalist Art in Nashville Collections, at Cheekwood (May 13-Dec. 31, 2006)"
Maria Magdalena Campos-Pons: MAMA/RECIPROCAL ENERGY,"October 12, 2011","December 8, 2011","December 8, 2011","Maria Magdalena Campos-Pons: MAMA/RECIPROCAL ENERGY, October 12 - (December 8, 2011)","Maria Magdalena Campos-Pons: MAMA/RECIPROCAL ENERGY, October 12 - (December 8, 2011)"
Mark di Suvero–Affinities ,"January 17, 2013","February 28, 2013","January 17, 2013–February 28, 2013","Mark di Suvero–Affinities (January 17, 2013–February 28, 2013)","Mark di Suvero–Affinities (January 17, 2013–February 28, 2013)"
Memento Mori - Looking at Death in Art and Illustration ,"March 12, 2015","May 23, 2015","March 12 - May 23, 2015","Memento Mori - Looking at Death in Art and Illustration (March 12 - May 23, 2015)","Memento Mori - Looking at Death in Art and Illustration (March 12 - May 23, 2015)"
,"July 2, 2016","November 6, 2016","July 2 - November 6, 2016",,"Milton Avery's Vermont at the Bennington Museum, VT (July 2 - November 6, 2016)"
More Than One ,2007,2007,Fall 2007,More Than One (Fall 2007),More Than One (Fall 2007)
"Multiplicity: New Directions in Contemporary Printmaking, Artists' Books, and Other Multiples ","September 3, 1998","October 18, 1998","September 3-October 18, 1998","Multiplicity: New Directions in Contemporary Printmaking, Artists' Books, and Other Multiples (September 3-October 18, 1998)","Multiplicity: New Directions in Contemporary Printmaking, Artists' Books, and Other Multiples (September 3-October 18, 1998)"
,1963,1964,1963-1964,,"Museum of Modern Art, New York, NY, organized a touring exhibition, Assemblages, (1963-1964) (multiple venues)"
N4Art: Work by Members of the Nashville African-American Arts Association ,"November 7, 1997","December 12, 1997","November 7-December 12, 1997","N4Art: Work by Members of the Nashville African-American Arts Association (November 7-December 12, 1997)","N4Art: Work by Members of the Nashville African-American Arts Association (November 7-December 12, 1997)"
,"September 6, 2008","January 18, 2009","September 6, 2008-January 18, 2009",,"Napoleon and Egyptomania in Tennessee, at the Frank H. McClung Museum at the University of Tennessee, Knoxville, (September 6, 2008-January 18, 2009)"
,1991,1991,1991,,"Old Master Paintings from Vanderbilt University, Georgia Museum of Art, The University of Georgia (1991)"
On the American Home Front; Forging Identity - Imagining the Enemy: American Propaganda and the Great War,"September 18, 2015","December 10, 2015","September 18 - December 10, 2015","On the American Home Front; Forging Identity - Imagining the Enemy: American Propaganda and the Great War, (September 18 - December 10, 2015)","On the American Home Front; Forging Identity - Imagining the Enemy: American Propaganda and the Great War, (September 18 - December 10, 2015)"
On the American Home Front: World War I Posters from the Art Collection of Vanderbilt University ,"June 19, 1994","August 28, 1994","June 19-August 28, 1994","On the American Home Front: World War I Posters from the Art Collection of Vanderbilt University (June 19-August 28, 1994)","On the American Home Front: World War I Posters from the Art Collection of Vanderbilt University (June 19-August 28, 1994)"
Out of the Vault: Stories of People and Things ,"April 26, 2016","September 9, 2016","April 26 - September 9, 2016","Out of the Vault: Stories of People and Things (April 26 - September 9, 2016)","Out of the Vault: Stories of People and Things (April 26 - September 9, 2016)"
"Pastorals, Landscapes, and the Arcadian Vision ","June 10, 2016","September 9, 2016","June 10 - September 9, 2016","Pastorals, Landscapes, and the Arcadian Vision (June 10 - September 9, 2016)","Pastorals, Landscapes, and the Arcadian Vision (June 10 - September 9, 2016)"
Polar Probings: Sculpture by Gabriel,"October 13, 2011","December 8, 2011","October 13 - December 8, 2011","Polar Probings: Sculpture by Gabriel, (October 13 - December 8, 2011)","Polar Probings: Sculpture by Gabriel, (October 13 - December 8, 2011)"
,2016,2016,Winter 2016,,"Posted Notice, at Sarratt Gallery, Vanderbilt University (Winter 2016)"
Prospect.4: The Lotus Despite of the Swamp,"November 18, 2017","February 25, 2018","November 18, 2017-February 25, 2018","Prospect.4: The Lotus Despite of the Swamp, (November 18, 2017-February 25, 2018)","Prospect.4: The Lotus Despite of the Swamp, (November 18, 2017-February 25, 2018)"
"Race, Sports, and Vanderbilt: 1966-1970 ","September 23, 2016","December 8, 2016","September 23 - December 8, 2016","Race, Sports, and Vanderbilt: 1966-1970 (September 23 - December 8, 2016)","Race, Sports, and Vanderbilt: 1966-1970 (September 23 - December 8, 2016)"
Reading Pictures: Text and Image in Contemporary Art ,"August 25, 2011","September 30, 2011",8/25-9/30/11,Reading Pictures: Text and Image in Contemporary Art (8/25-9/30/11),Reading Pictures: Text and Image in Contemporary Art (8/25-9/30/11)
,November 1995,January 1997,November 1995-January 1997,,"Red Rising: The Transcendent Paintings of Howard Thomas, organized by the Harn Museum of Art. The exhibition traveled to the Columbia Museum of Art, South Carolina and the Georgia Museum of Art in Athens. (November 1995-January 1997)"
Reflections of the Dutch Golden Age: Etchings by Adriaen van Ostade from the Vanderbilt University Fine Arts Gallery Collection ,"March 15, 2012","May 11, 2012","March 15 - May 11, 2012","Reflections of the Dutch Golden Age: Etchings by Adriaen van Ostade from the Vanderbilt University Fine Arts Gallery Collection (March 15 - May 11, 2012)","Reflections of the Dutch Golden Age: Etchings by Adriaen van Ostade from the Vanderbilt University Fine Arts Gallery Collection (March 15 - May 11, 2012)"
Reflections of War: Selections from the Vanderbilt University Fine Arts Gallery Collection ,"March 14, 2011","May 13, 2011","March 14-May 13, 2011","Reflections of War: Selections from the Vanderbilt University Fine Arts Gallery Collection (March 14-May 13, 2011)","Reflections of War: Selections from the Vanderbilt University Fine Arts Gallery Collection (March 14-May 13, 2011)"
"Ron Adams, Master Printmaker: A Survey of Work, 1984-1999 ","February 10, 2000","March 19, 2000","February 10-March 19, 2000","Ron Adams, Master Printmaker: A Survey of Work, 1984-1999 (February 10-March 19, 2000)","Ron Adams, Master Printmaker: A Survey of Work, 1984-1999 (February 10-March 19, 2000)"
Sculpture from the Vanderbilt Art Collection ,1982,1982,Summer 1982,Sculpture from the Vanderbilt Art Collection (Summer 1982),Sculpture from the Vanderbilt Art Collection (Summer 1982)
,1980,1982,Fall 1980; Summer 1982,,Sculpture show (Fall 1980; Summer 1982)
Selections from the Permanent Collection ,November 1980,November 1980,November 1980,Selections from the Permanent Collection (Nov. 1980),Selections from the Permanent Collection (Nov. 1980)
Selections from the Vanderbilt Art Collection ,September 1978,October 1978,"September-October, 1978","Selections from the Vanderbilt Art Collection (September-October, 1978)","Selections from the Vanderbilt Art Collection (September-October, 1978)"
Selma Freeman Ramsey and the Social Realist Tradition ,"September 18, 2015","January 17, 2016","September 18, 2015 - January 17, 2016","Selma Freeman Ramsey and the Social Realist Tradition (September 18, 2015 - January 17, 2016)","Selma Freeman Ramsey and the Social Realist Tradition (September 18, 2015 - January 17, 2016)"
,May 1999,June 1999,May - June 1999,,"Special Collections Exhibit, (May - June 1999)"
Spleen (After Baudelaire),"January 16, 1994","February 20, 1994",After Baudelaire,"Spleen (After Baudelaire), (January 16-February 20, 1994)","Spleen (After Baudelaire), (January 16-February 20, 1994)"
,"September 7, 2012","December 15, 2013","September 7, 2012 - December 15, 2013",,"Stage & Screen: The Star Quality of Vanderbilt's Performing Arts Collection at the Jean and Alexander Heard Library (September 7, 2012 - December 15, 2013)"
Stencil Prints by Sadao Watanabe ,1969,1969,1969,Stencil Prints by Sadao Watanabe (1969),Stencil Prints by Sadao Watanabe (1969)
,1999,2000,1999-2000,,Strauser Retrospective at Reading Museum (1999-2000)
"Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art ","June 18, 1998","August 22, 1998","June 18-August 22, 1998","Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art (June 18-August 22, 1998)","Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art (June 18-August 22, 1998)"
Symbols and Archetypes ,September 2019,December 2019,September 2019 - December 2019,Symbols and Archetypes (September 2019 - December 2019),Symbols and Archetypes (September 2019 - December 2019)
,"November 11, 2015","November 14, 2015","November 11-14, 2015",,"Tennessee Great War Commission Symposium (November 11-14, 2015)"
The Allegorical Impulse ,"October 17, 2002","December 5, 2002","October 17-December 5, 2002","The Allegorical Impulse (October 17-December 5, 2002)","The Allegorical Impulse (October 17-December 5, 2002)"
,"September 12, 2002","November 30, 2002","September 12 - November 30, 2002",,"The American Experience Through the Eyes of Gilbert Gaul, Customs House Museum & Cultural Center, Clarksville, TN (September 12 - November 30, 2002)"
,"February 18, 2010","February 18, 2010",2/18/10,,The Art of Protest at VU Divinity School (2/18/10)
,"December 21, 1997","April 12, 1998","December 21, 1997-April 12, 1998",,"The Body of Christ in the Art of Europe and New Spain, 1150-1800 at the Museum of Fine Arts, Houston (December 21, 1997-April 12, 1998)"
,"January 16, 2014","February 27, 2014","January 16 - February 27, 2014",,"The Book as Art at Jean and Alexander Heard Library [1994.141a and 1994.141j only] Fritz Eichenberg - Artist of the Book, (January 16 - February 27, 2014)"
The British Point of View ,"January 15, 1979","February 9, 1979","January 15-February 9, 1979","The British Point of View (January 15-February 9, 1979)","The British Point of View (January 15-February 9, 1979)"
The Dada Effect: An Anti-Aesthetic and Its Influence ,"March 16, 2017","May 27, 2017","March 16-May 27, 2017","The Dada Effect: An Anti-Aesthetic and Its Influence (March 16-May 27, 2017)","The Dada Effect: An Anti-Aesthetic and Its Influence (March 16-May 27, 2017)"
The Harold P. Stern Collection of the Vanderbilt Art Collection ,"April 8, 1979","August 15, 1979","April 8 to August 15, 1979","The Harold P. Stern Collection of the Vanderbilt Art Collection (April 8 to August 15, 1979)","The Harold P. Stern Collection of the Vanderbilt Art Collection (April 8 to August 15, 1979)"
,"October 17, 1993","November 7,1993","October 17-November 7,1993",,"The Margaret Stonewall Wooldridge Hamblet Award Winner Exhibition (October 17-November 7,1993)"
,"February 18, 2010","March 12, 2010","February 18-March 12, 2010",,"The Painter's Eye, at Ingram Studio Arts Center Gallery, Vanderbilt University (February 18-March 12, 2010)"
The Printed Page: Selections from the Anna C. Hoyt Collection ,"March 12, 2009","May 9, 2009","March 12–May 9, 2009","The Printed Page: Selections from the Anna C. Hoyt Collection (March 12–May 9, 2009)","The Printed Page: Selections from the Anna C. Hoyt Collection (March 12–May 9, 2009)"
,1923,1923,1923,,The Royal Society of British Artists Centenary Exhibition; Victor Rienaecker Collection (1923)
"The Satirical Eye: Lithographs by Honoré Daumier, Paul Gavarni & their Contemporaries ","September 2, 1999","October 18, 1999","September 2 - October 18, 1999","The Satirical Eye: Lithographs by Honoré Daumier, Paul Gavarni & their Contemporaries (September 2 - October 18, 1999)","The Satirical Eye: Lithographs by Honoré Daumier, Paul Gavarni & their Contemporaries (September 2 - October 18, 1999)"
,"December 21, 1971","February 20, 1972","December 21, 1971-February 20, 1972",,"The Solomon R. Guggenheim Museum, New York, NY.  John Chamberlain: A Retrospective Exhibition, (December 21, 1971-February 20, 1972)"
The Spirit of France: 500 Years of French Art & Culture ,"September 5, 1993","October 10, 1993","September 5-October 10, 1993","The Spirit of France: 500 Years of French Art & Culture (September 5-October 10, 1993)","The Spirit of France: 500 Years of French Art & Culture (September 5-October 10, 1993)"
Then & Now: Five Centuries of Woodcuts ,"January 10, 2019","March 1, 2019",1/10-3/1/2019,Then & Now: Five Centuries of Woodcuts (1/10-3/1/2019),Then & Now: Five Centuries of Woodcuts (1/10-3/1/2019)
Thrills & Chills! The Fantastic World of the American Circus ,"June 11, 2015","September 4, 2015","June 11 - September 4, 2015","Thrills & Chills! The Fantastic World of the American Circus (June 11 - September 4, 2015)","Thrills & Chills! The Fantastic World of the American Circus (June 11 - September 4, 2015)"
Up Close and Personal: Intimate Devotions and Everyday Objects in Late Antiquity ,"May 7, 2015","September 4, 2015","May 7 - September 4, 2015","Up Close and Personal: Intimate Devotions and Everyday Objects in Late Antiquity (May 7 - September 4, 2015)","Up Close and Personal: Intimate Devotions and Everyday Objects in Late Antiquity (May 7 - September 4, 2015)"
Views from the Collection I ,"August 17, 2006","October 1, 2006","August 17-October 1, 2006","Views from the Collection I (August 17-October 1, 2006)","Views from the Collection I (August 17-October 1, 2006)"
Views from the Collection II. Eye & Mind: A Legacy of Art Collecting at Vanderbilt University ,2007,2007,Spring 2007,Views from the Collection II. Eye & Mind: A Legacy of Art Collecting at Vanderbilt University (Spring 2007),Views from the Collection II. Eye & Mind: A Legacy of Art Collecting at Vanderbilt University (Spring 2007)
Views From The Collection III ,"April 3, 2008","August 15, 2008","April 3-August 15, 2008","Views From The Collection III (April 3-August 15, 2008)","Views From The Collection III (April 3-August 15, 2008)"
,1968,1968,1968,,VU Fine Arts Gallery one-person show (1968)
