title,start,end,raw_string
"The Satirical Eye: Lithographs by Honoré Daumier, Paul Gavarni & their Contemporaries",1999-09-02,1999-10-18,"The Satirical Eye: Lithographs by Honoré Daumier, Paul Gavarni & their Contemporaries (September 2 - October 18, 1999)"
"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain",1999-05-27,1999-08-20,"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)"
Byzantium: Art & Ritual,1999-02-11,1999-03-21,"Byzantium: Art & Ritual (February 11-March 21, 1999)"
In High Bohemia: Photographic Portraits of Artists by Carl Van Vechten from the 1930s,1998-10-29,1998-12-12,"In High Bohemia:  Photographic Portraits of Artists by Carl Van Vechten from the 1930s (October 29- December 12, 1998)"
"Multiplicity: New Directions in Contemporary Printmaking, Artists' Books, and Other Multiples",1998-09-03,1998-10-18,"Multiplicity: New Directions in Contemporary Printmaking, Artists' Books, and Other Multiples (September 3-October 18, 1998)"
"Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art",1998-06-18,1998-08-22,"Summer shall come, and with her all delights: Looking at Nature and the Landscape in Art (June 18-August 22, 1998)"
N4Art: Work by Members of the Nashville African-American Arts Association,1997-11-07,1997-12-12,"N4Art: Work by Members of the Nashville African-American Arts Association (November 7-December 12, 1997)"
Capital Cultures: Hogarth’s London to Hiroshige’s Edo,1997-04-11,1997-06-06,"Capital Cultures: Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)"
Board of Trust Spring Exhibition,1997-04,1997-04,Board of Trust Spring Exhibition (April 1997)
Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art,1997-02-21,1997-03-28,"Looking East: Highlights of the Vanderbilt University Fine Arts Gallery's Collection of Asian Art (February 21-March 28, 1997)"
Fresh Art: Recent Acquisitions by the Fine Arts Gallery,1997-01,1997-02,Fresh Art: Recent Acquisitions by the Fine Arts Gallery (January-February 1997)
On the American Home Front: World War I Posters from the Art Collection of Vanderbilt University,1994-06-19,1994-08-28,"On the American Home Front: World War I Posters from the Art Collection of Vanderbilt University (June 19-August 28, 1994)"
Spleen (After Baudelaire),1994-01-16,1994-02-20,"Spleen (After Baudelaire), (January 16-February 20, 1994)"
The Spirit of France: 500 Years of French Art & Culture,1993-09-05,1993-10-10,"The Spirit of France: 500 Years of French Art & Culture (September 5-October 10, 1993)"
"Gods, Saints, and Rulers",1992-04-12,1992-08-15,"Gods, Saints, and Rulers (April 12-August 15 1992)"
Contemporary West Coast Photographers,1983-02-06,1983-03-04,"Contemporary West Coast Photographers, (February 6-March 4, 1983)"
Italian Art,1983-01,1983-01,Italian Art (January 1983)
Selections from the Permanent Collection,1980-11,1980-11,Selections from the Permanent Collection (Nov. 1980)
The Harold P. Stern Collection of the Vanderbilt Art Collection,1979-04-08,1979-08-15,"The Harold P. Stern Collection of the Vanderbilt Art Collection (April 8 to August 15, 1979)"
The British Point of View,1979-01-15,1979-02-09,"The British Point of View (January 15-February 9, 1979)"
Selections from the Vanderbilt Art Collection,1978-09,1978-10,"Selections from the Vanderbilt Art Collection (September-October, 1978)"
Centennial Club,1978-02,1978-02,Centennial Club (February 1978)
Egypt to Expressionism,1976-10-18,1976-11-05,"Egypt to Expressionism (October 18-Nov. 5, 1976)"
Aspects of Classicism,1976-01,1976-02,Aspects of Classicism (January-February 1976)
Centennial Acquisitions,1975-10-01,1975-11-12,"Centennial Acquisitions (October 1-November 12, 1975)"
Beauty and Power,2007,2007,Beauty and Power (Summer 2007)
More Than One,2007,2007,More Than One (Fall 2007)
Views from the Collection II. Eye & Mind: A Legacy of Art Collecting at Vanderbilt University,2007,2007,Views from the Collection II. Eye & Mind: A Legacy of Art Collecting at Vanderbilt University (Spring 2007)
Inside Out/Outside In: Work by Chris Drury,2006,2006,Inside Out/Outside In: Work by Chris Drury (2006)
Gifts of Chinese Art from the Collections of Chauncey P. Lowe and Naidine Nelson Herring Swayne,1999,1999,Gifts of Chinese Art from the Collections of Chauncey P. Lowe and Naidine Nelson Herring Swayne (Fall 1999)
"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis",1995,1995,"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis (1995)"
Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting,1994,1994,Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting (1994)
Abstract Reality,1993,1993,Abstract Reality (1993)
Artists' Books,1993,1993,Artists' Books (1993)
Legacy of Asian Art,1991,1993,Legacy of Asian Art (1991-1993)
"Byzantine Frescoes of the 12th-15th Centuries from Yugoslavia: Copies by Zdenka Zivkovic, Belgrade",1986,1986,"Byzantine Frescoes of the 12th-15th Centuries from Yugoslavia: Copies by Zdenka Zivkovic, Belgrade (1986)"
Landis Study Show,1985,1985,Landis Study Show (Spring 1985)
Sculpture from the Vanderbilt Art Collection,1982,1982,Sculpture from the Vanderbilt Art Collection (Summer 1982)
Stencil Prints by Sadao Watanabe,1969,1969,Stencil Prints by Sadao Watanabe (1969)
