Key,Divinity Faculty,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
DCMMJGVW,"Sasson, Jack",journalArticle,1972,"Sasson, Jack M.","Numbers 5 and the ‘Waters of Judgment""",Biblische Zeitschrift,,0006-2014,,,,1972,12/11/14 19:19,8/25/21 15:02,,249-51,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQI884BP,"Miller-McLemore, Bonnie",journalArticle,2008,"Miller-McLemore, Bonnie J.","Marriage Debate (book review essay of David Blankenhorn, The Future of Marriage and Elizabeth Fox-Genovese, Marriage: the Dream That Refuses to Die)",The Christian Century,,0009-5281,,http://www.christiancentury.org/reviews/2008-09/marriage-debate,,9/23/08,5/9/16 21:01,8/26/20 16:55,,34-37,,19,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4EFU37E,"Miller-McLemore, Bonnie",journalArticle,2014,"Miller-McLemore, Bonnie J.",On the Road: A Gift for Inviting People into Practices,The Cresset,,0011-1198,,http://thecresset.org/2014/SpecialIssue/Miller-McLemore.html,,2014,4/5/16 21:42,5/30/16 21:54,,39-42,,5,LXXVII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXSBXRVX,"Rieger, Joerg",journalArticle,2015,"Rieger, Jeorg",Why Both Race and Class Matter in Religion: Taking the Long View,"The Ecumenist: A Journal of Theology, Culture, and Society",,0013-080X,,,,2015,6/26/18 16:17,6/26/18 16:21,,1-7,,2,57,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GXSANTG,"Sasson, Jack",journalArticle,1968,"Sasson, Jack M.",An Early King of Assyria: Shamsi-Adad,History Today,,0018-2753,,http://www.historytoday.com/jack-m-sasson/king-early-assyria-shamsi-adad,,1968,12/11/14 19:03,12/11/14 19:04,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973E3TKI,"Sasson, Jack",journalArticle,1976,"Sasson, Jack M.",Divine Providence or Human Plan?,Interpretation,,0020-9643,,,,1976,12/11/14 21:02,12/16/14 19:54,,415-419,,4,30,,,Book Review,,,,,,,eng,,,,,Primo,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QKN6RVNN,"Lim, Paul",journalArticle,2013,"Lim, Paul","The Devil's Book: Charles I, the Book of Sports and Puritanism in Tudor and Early Stuart England by Alistair Dougall",Journal of British Studies,,0021-9371,,http://www.jstor.org/stable/41999366,,7/1/13,5/7/14 15:43,11/18/14 22:14,5/7/14 15:43,755-757,,3,52,,Journal of British Studies,Review of The Devil's Book,,,,,,,,Copyright © 2013 Cambridge University Press,,,,JSTOR,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4EM89DPU,"Hamman, Jaco",journalArticle,1997,"Hamman, Jaco; Louw, Daniel",Religious  metaphors and symbols in a psychiatric setting,Nederduitse Gereformeerde Teologiese Tydskrif,,0028-2006,,,,1997,12/19/14 13:59,12/19/14 14:01,,,,,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G83EUKRH,"Morrill, Bruce T.",journalArticle,2008,"Morrill, Bruce T.",Liturgical Theology as Critical Practice,Spotlight on Theological Education,,0040-5620,,,,2008,7/30/14 14:34,7/30/14 14:34,,9-12,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFVI4VRE,"Michelson, David A.",journalArticle,2013,"Michelson, David A.",Basil of Caesarea: A Guide to His Life and Doctrine (Book review),Theological Studies,,0040-5639,,,,2013-09,5/20/14 16:33,7/5/18 16:50,,763,,3,74,,Theological Studies,Basil of Caesarea,,,,,,,English,,,,,Primo,,,,,,,"Book Reviews; Basil of Caesarea: A Guide to His Life and Doctrine (Nonfiction work); Radde-Gallwitz, Andrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ4XIPFR,"Hudnut-Beumler, Jim",journalArticle,1997,"Hudnut-Beumler, James David",Review of Grant Us Courage: Travels Along the Mainline of American Protestantism,Theology Today,,0040-5736,10.1177/004057369705400129,,,1997-04,6/27/14 17:25,7/8/21 18:28,,142,,1,54,,,,,,,,,,,,,,,,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2HPU4GG,"Knight, Douglas A.",journalArticle,1998,"Knight, Douglas A.",Har gammeltestamentlig tradisjonshistorie en fremtid?,Tidsskrift for teologi og kirke.,,0040-7194,,,,1998,5/16/14 17:05,8/7/14 16:26,,263-77,,,69,,Tidsskrift for teologi og kirke.,,,,,,,,Norwegian,,,,,OCLC WorldCat FirstSearch,,,,,,,Lutheran Church; Periodicals. Lutheran Church. Theology. Genre/Form: Periodicals; Periodicals. Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53RIIJD7,"Miller-McLemore, Bonnie",journalArticle,1994,"Miller-McLemore, Bonnie J.",Who's minding the children?,US Catholic,,0041-7548,,,,1994-06,12/15/14 13:55,12/15/14 13:58,,10-11,,6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KQ2UGTZ4,"Sasson, Jack",journalArticle,1976,"Sasson, Jack M.",Isaiah Lxvi 3-4a,Vetus Testamentum,,0042-4935,,,,1976,12/11/14 20:47,12/11/14 20:50,,199-207,,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ZR3SGFR,"Morrill, Bruce T.",journalArticle,2014,"Morrill, Bruce T.","Lay Liturgical Leadership in the U.S. Catholic Church: Popular Advances, Official Retreat",Worship,,0043-941X,,,,2014-01,1/20/15 18:09,1/20/15 18:11,,23-36,,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA37PAU6,"Morrill, Bruce T.",journalArticle,2020,"Morrill, Bruce T.",Book Review: Saving images: the presence of the Bible in Christian liturgy,Worship,,0043-941X,,,"The Protestant Reformation emphasized the centrality of Scripture to Christian life; the twentieth-century liturgical movement emphasized the Bible's place at the heart of liturgy. But we have not yet explored the place of the Bible as the subject of critical exegesis in contemporary liturgy, argues Gordon W. Lathrop. He seeks to remedy that lack because it is critical historical scholarship that has shown us the grounding of the text in the life of the assembly and the role of intertextuality in its creation. ""Saving"" and revitalizing images of the past are at the heart of Scripture and are the work of the gathered community. Lathrop finds patterns in biblical narratives that suggest revising our models of the ""shape"" of liturgy (after Dix and Schmemann) and our understanding of baptism, preaching, Eucharist, and congregational prayer. He lifts up the visual imagery at the Dura Europos house church and elsewhere as a corrective to the supersessionist impulse in much Christian typology. He identifies the liturgical imperative as seriousness about the present rather than an effort to dwell in an imagined past. Saving Images is a call for a new, reconceived biblical-liturgical movement that takes seriously both biblical scholarship and the mystery at the heart of worship. -- Publisher Description.",2020,8/4/21 20:43,8/4/21 20:45,,178-180,,,94,,,Saving images,,,,,,,eng,,,,,catalog.library.vanderbilt.edu,,,,,,Book review,Bible; Liturgics; Liturgical use,,,,,,,,,,,,,,,"Lathrop, Gordon W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5QVXRM3,"Sasson, Jack",journalArticle,1973,"Sasson, Jack M.",A Further Cuneiform Parallel to the Song of Songs,Learn more Zeitschrift fuer die Alttestamentliche Wissenschaft,,0044-2526,,,,1973,12/11/14 19:58,10/6/20 16:19,,359-60,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6FAE4FK,"Levine, Amy-Jill",journalArticle,2012,"Levine, Amy-Jill; Brettler, Marc Zvi",Reading the New Testament,Sh'ma: a journal of Jewish responsibility,,0049-0385,,,"Vols. for <1992-1999> have one issue a year (Feb. or Mar.) as a ""spoof"" issue celebrating the holiday of Purim and carrying a slightly different title, e.g: Sh'haman, or: Sh'am., Title from caption., $$Cjournal_title$$VSh'ma : a journal of Jewish responsibility.",2012-05,11/1/16 20:23,11/1/16 20:25,,,,,,,,Sh'ma,,,,,,,eng,,,,,discoverlibrary.vanderbilt.edu,,,,,,,Jews United States Periodicals; Judaism and social problems Periodicals; Judaism Periodicals; Social problems and Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37XSRZFT,"Miller-McLemore, Mark",journalArticle,1986,"Miller-McLemore, Mark",The Lively Congregation,The Disciple,,0092-8372,,,,1986,1/8/15 19:49,1/8/15 19:50,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F7CKA7WA,"Miller-McLemore, Mark",journalArticle,1993,"Miller-McLemore, Mark",It’s Not Just the Bakkers and the Priests: An Abuse of Power and Trust,The Disciple,,0092-8372,,,,1993,1/8/15 19:42,1/8/15 19:43,,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A34D5NQK,"Miller-McLemore, Mark",journalArticle,2000,"Miller-McLemore, Mark; Miller-McLemore, Bonnie",Two in a Canoe: Reflections on Marriage,The Disciple,,0092-8372,,,,2000,1/8/15 19:38,1/8/15 19:39,,34-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSDP9USY,"Levine, Amy-Jill",journalArticle,2018,"Levine, Amy-Jill",The Archaeological Evangelist,Biblical Archaeology Review,,0098-9444,,http://www.baslibrary.org/biblical-archaeology-review/44/2/6,"Hershel Shanks, BAR’s founder and Editor Emeritus, has changed the face of Biblical archaeology. Read contributions from Hershel’s colleagues and friends, who reflect on their interactions with Hershel over the years and on how he has influenced the field of Biblical archaeology—for better or worse!",2/2/18,6/11/20 18:53,6/11/20 18:53,4/29/20 20:15,,,March/April May/June 2018,44 Number 2,,,,,,,,,,en,,,,,www-baslibrary-org.proxy.library.vanderbilt.edu,,,,C:\Users\xus12\Zotero\storage\AA4DNUBE\6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQRIP2FV,"Rieger, Joerg",journalArticle,2008,"Rieger, Jeorg",Libertando o discurso sobre Deus: Pós-colonialismo e o desafio das margens,Estudos de Religião,,0103-801X,,,,2008-06,6/27/18 18:49,6/27/18 18:50,,84-104,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMUD3RZA,"Geller, Jay",journalArticle,1994,"Geller, Jay",Of Mice and Mensa: Antisemitism and the Jewish Genius,Centennial Review,,0162-0177,,,,1994,7/2/14 18:09,7/2/14 18:10,,361-385,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA6PPX75,"Levine, Amy-Jill",journalArticle,2011,"Levine, Amy-Jill",Quo Vadis? Die Kirche und der Skandal des judische Jesus,Kirche und Israel: Neukirchner Theologische Zeitschrift,,0179-7239,,,,2011,8/21/14 19:36,8/5/20 19:55,,108-118,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIUUT5NZ,"Geller, Jay",journalArticle,1996,"Geller, Jay",Tolerating Prejudice,Annals of Scholarship,,0192-2858,,,,1996,10/16/14 19:58,10/16/14 19:59,,389-404,,4,11,,,,,,,,,,,,,,,,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRBVG2XE,"Sasson, Jack",journalArticle,2004,"Sasson, Jack M.",Doeg's Job,"Scriptura: International Journal of Bible, Religion and Theology in Southern Africa 3 [Festschrift Yehoshua Gitay]",,0254-1807,,,,2004,12/15/14 17:06,5/1/15 18:32,,317-322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEIV9LH6,"Rieger, Joerg",journalArticle,2008,"Rieger, Joerg","Globalization, Empire, and Beyond: The Pitfalls and Promises of a Global Church","General Board of Higher Education and Ministry of the United Methodist Church, Occasional Papers",,0270-9287,,https://www.gbhem.org/publishing/publications/?cat=22,,2008-12,6/27/18 18:44,9/22/20 14:36,,12,,,101,,,,,,,,,,en,,,,,Zotero,,,,"C:\Users\xus12\Zotero\storage\2K3AWYIW\Rieger - Globalization, Empire, and Beyond The Pitfalls an.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVEI4556,"Rieger, Joerg",journalArticle,1999,"Rieger, Jeorg",Im Banne der Macht: Wie theologische Autorität neue Legitimation gewinnt,Evangelische Kommentare,,0300-4236,,,,1999-10,6/28/18 18:22,6/28/18 18:24,,10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDH8VH9T,"Geller, Jay",journalArticle,1999,"Geller, Jay",Abraham on Trial: The Social Legacy of Biblical Myth,Religious Studies Review,,0319-485X,,,,1999,7/8/14 18:31,7/8/14 18:32,,379,,,25,,,,,,,,,,,,,,,,,,,,,Book reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APT5J5MJ,"Geller, Jay",journalArticle,,"Geller, Jay",Sigmund Freud und die Religion: Überlegungen zum Verhältnis von psychoanalytischem Denken und jüdischem Glauben,Allgemeine Jüdische Wochenzeitung,,0340-272X,,,,,9/16/15 20:14,9/16/15 20:16,,7,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4JWV3KDQ,"Sasson, Jack",journalArticle,1974,"Sasson, Jack M.",Hurrians and Hurrian Personal Names in the Mari Texts,Ugarit-Forschungen,,0342-2356,,,,1974,12/11/14 20:39,12/11/14 20:40,,353-400,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU7692P,"Geller, Jay",journalArticle,2002,"Geller, Jay",The Rites of Responsibility: The Cinematic Rhetoric of Claude Lanzmann's Shoah (1985),Film and History,,0360-3695,,,,2002,7/1/14 18:23,1/20/15 19:34,,30-37,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNHAWSM3,"Sasson, Jack",journalArticle,1998,"Sasson, Jack M.",About Mari and the Bible,Revue d'assyriologie et d'archéologie orientale,,0373-6032,,,"Editors: 1884-1909, J. Oppert, E. Ledrain (with L. Heuzey, 1891-1907)--1910- V. Scheil, F. Thureau-Dangin., $$CSystem_details: $$VMode of access: World Wide Web., Journal Title:&nbsp;<span class=""searchword"">Revue</span> <span class=""searchword"">d</span>'<span class=""searchword"">assyriologie</span> <span class=""searchword"">et</span> <span class=""searchword"">d</span>'<span class=""searchword"">archéologie</span> <span class=""searchword"">orientale</span>",1998,12/15/14 19:54,10/6/20 17:41,,97-123,,,92,,,,,,,,,,fre,,,,,Primo,PJ3103,,,,,,Electronic journals; Accadian philology; Akkadian philology; Assyrian philology; Babylonian philology; nne Assyro-Babylonian philology; Cyber journals; Cyber magazines; Cyber periodicals; Cyber serials; E-journals; Ejournals; Electronic journal; Electronic magazines; Electronic periodicals; Electronic serials; Internet journals (Electronic publications); Internet magazines (Electronic publications); Internet periodicals (Electronic publications); Internet serials (Electronic publications); Online journals; Online magazines; Online periodicals; Online serials; Periodicals in machine-readable form; Web journals (Electronic publications); Web magazines (Electronic publications); Web periodicals (Electronic publications); Web serials (Electronic publications); World Wide Web journals (Electronic publications); World Wide Web magazines (Electronic publications); World Wide Web periodicals (Electronic publications); World Wide Web serials (Electronic publications); Akkadian philology Periodicals; Archeologie; Irak Antiquités Périodiques; Iraq Antiquities Periodicals; Middle East Antiquities Periodicals; Moyen-Orient Antiquités Périodiques; Philologie akkadienne Périodiques,"Oppert, J.; Ledrain, Eugène; Heuzey, Léon Alexandre; Scheil, Vincent; Thureau-Dangin, F.; Le Gac, Yves Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAZ46MC,"Sasson, Jack",journalArticle,1984,"Sasson, Jack M.",On the Jonah’s Two Missions,Henoch,,0393-6805,,,,1984,12/12/14 14:07,12/12/14 14:08,,23-30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9MRQDV3G,"Rieger, Joerg",journalArticle,2020,"Rieger, Joerg",National Capitalism and Religion in the United States: Challenges and Opportunities.”,"Kerala, India",,0453-7440,,,,2020,6/28/22 20:58,6/28/22 21:02,,7-12,,,,,,,,,,Kazhchappad Magazine,,,"English, Malayalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TL7LQ3F,"Rieger, Joerg",journalArticle,1997,"Rieger, Jeorg",Meeting God in West Dallas,Perkins Perspective,,0730-2142,,https://www.smu.edu/Perkins/News/Perspective,,1997,6/28/18 18:48,9/22/20 16:35,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8BENBQJ,"Morrill, Bruce T.",journalArticle,2002,"Morrill, Bruce T.",The Sacraments: The Word of God at the Mercy of the Body by Louis-Marie Chauvet,Doxology,,0748-4682,,http://hdl.handle.net/1803/7474,,2002,7/11/18 20:25,10/18/18 18:24,7/11/18 20:25,158-161,,,19,,,The Sacraments,,,,,,,,,,,,discoverlibrary.vanderbilt.edu,,,,,,,Catholic Church-Doctrines; Sacraments-Catholic Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QX9F6Q2M,"Sasson, Jack",journalArticle,1987,"Sasson, Jack M.",`Year: Zimri-Lim Dedicated his Statue to the God Addu of Halab’: Locating a Year in the Reign of Zimri-Lim,Mari: Annales de Recherches Interdisciplinaires,,0757-228X,,,,1987,12/12/14 14:41,12/12/14 14:41,,577-89,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P97U7NJ7,"Sasson, Jack",journalArticle,1982,"Sasson, Jack M.",An Apocalyptic vision from Mari? Speculations on ARM X:9,Mari: Annales de Recherches Interdisciplinaires,,0757-228X,,,,1982,12/12/14 4:37,12/12/14 4:37,,151-67,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LX5S5RPH,"Lim, Paul",journalArticle,2014,"Lim, Paul","Corinth, Calvin and Calcutta: Trinity, Trafficking and Transformation of Theologia",Ex Auditu,,0883-0053,,https://wipfandstock.com/ex-auditu-volume-30-encounter-with-god-the-human-response-to-the-divine-initiative.html,,2014,6/21/18 20:11,11/30/18 21:55,6/21/18 20:11,,,,30,,,,,,,,,,en,,,,,,,,,C:\Users\xus12\Zotero\storage\7JCQLQS3\ex-auditu-volume-30-encounter-with-god-the-human-response-to-the-divine-initiative.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3PDVJVIE,"Floyd-Thomas, Stacey",journalArticle,2007,"Floyd-Thomas, Stacey M.",Redemptive Difference: What Can a Black Woman Teach Me?,Spotlight on Teaching Religious Studies News,,0885-0372,,http://www.rsnonline.org/index.php?option=com_content&view=article&id=330&Itemid=415,,2007-10,5/15/14 18:21,7/21/20 18:47,,,,4,22,,,,,,,,,,,,,,,,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2JG94Q9,"Geller, Jay",journalArticle,2000,"Geller, Jay",Film and the Teaching of the Holocaust,"Spotlight on Teaching, Religious studies news (AAR ed.)",,0885-0372,,http://rsnonline.org/indexc2e4.html?option=com_content&view=article&id=1110&Itemid=1226,"Title from caption., Journal Title: Religious studies news., Other title:  AAR RSN",2000,9/16/15 20:21,9/16/15 20:25,,5-6,,"Fall, 2000",15,,,,,,,,,,eng,,,,,Primo,,,,,,,A.A.R; AAR; American Academy of Religion Periodicals; Religion Periodicals; Religion Study and teaching; Religion Study and teaching Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
