Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
2NLYY95L,"Rieger, Joerg",2012,"Rieger, Joerg; Kwok, Pui-lan; ebrary, Inc",978-1-4422-1791-1,,,http://proxy.library.vanderbilt.edu/login?url=http://site.ebrary.com/lib/vanderbilt/Doc?id=10607478,,2012,6/5/18 14:34,9/23/20 15:06,6/5/18 14:34,,,,,,,Occupy religion,Religion in the modern world,,,,Rowman & Littlefield Publishers,"Lanham, Md.",eng,,,,,discoverlibrary.vanderbilt.edu,BL65 .J87 R54 2012,,,,,,Electronic books; Public opinion United States; Occupy movement; Protest movements United States History 21st century; Social justice Religious aspects,,,,"Kwok, Pui-lan; ebrary, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Occupy religion: theology of the multitude,
FNVBE2K6,"Andrews, Dale P.",2013,,0-664-23453-4,,,,,2013,5/22/14 13:26,11/19/14 22:01,,,,,,,,Preaching God's transforming justice,,,,,Westminster John Knox Press,"Louisville, Kentucky",,,,,,acorn.library.vanderbilt.edu Library Catalog,BS680 .J8 P744 2013,,,,,,,"Andrews, Dale P.; Allen, Ronald J.; Ottoni-Wilhelm, Dawn",,,,,,,,,,,,,,,,,,,First edition,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Preaching God's transforming justice: a lectionary commentary, year A",
28BWNX8D,"Sheppard, Phillis",2018,"Andrews, Dale P; Sheppard, Phillis Isabella; Wilhelm, Dawn Ottoni; Allen, Ronald J; Townes, Emilie Maureen",978-1-5326-4339-2,,,http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=1854395,,2018,8/31/21 17:01,8/31/21 17:01,8/31/21 17:01,,,,,,,Preaching prophetic care,,,,,Pickwick Publications,"Eugene, Oregon",English,,,,,Open WorldCat,,OCLC: 1046068453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Preaching prophetic care: building bridges to justice : essays in honor of Dale P. Andrews,
4HQ2TCW5,"Seow, C.L.",2019,"Nissinen, Martti; Seow, C.L.; Rinter, Robert K.",,,,,,2019,11/15/22 20:01,11/17/22 15:47,,,371,,,,,,Writings from the ancient world,,,,Society of Biblical Literature,Atlanta,English,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAi9KZ200817001381&site=ehost-live&scope=site&scope=cite,,,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Prophets and Prophecy in the Ancient Near East,
DTW9P6WP,"Seow, C.L.",2003,"Nissinen, Martti Seow; Seow, C. L. (Choon Leong); Ritner, Robert K.",1-58983-027-X,,,,"Prophecy was a widespread phenomenon, not only in ancient Israel but in the ancient Near East as a whole. This is the first book to gather the available ancient Near Eastern, extra-biblical sources containing prophetic words or references to prophetic activities. Among the 140 texts included in this volume are oracles of prophets, personal letters, formal inscriptions, and administrative documents from ancient Mesopotamia and Levant from the second and first millennia B.C.E. Most of the texts come from Mari and Assyria. In addition, the volume provides new translations of the relevant section of the Egyptian Report of Wenamon, by Robert K. Ritner, and of various texts from Syria-Palestine containing allusions to prophets and prophetic activities, by C.L. Seow. By collecting and presenting evidence of the activities of prophets and the phenomenon of prophecy from all over the ancient Near East, the volume illumines the cultural background of biblical prophecy and its parallels. It provides scholars of the history, religions, and cultural traditions of the ancient Near East with important information about different types and forms of transmissions of divine words, and makes these valuable primary source materials accessible to students and general readers in contemporary English along with transcriptions of the original languages, indexes, and extensive bibliography.",2003,10/10/14 19:35,11/15/22 20:34,,,273,,,,,,Writings from the ancient world,12,,,Society of Biblical Literature,"Atlanta, GA",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Histoire. Littérature moyen-orientale. Profetieën. Oudheid. Prophetie. Oudheid. Profetieën. Prophetie. Middle Eastern literature. Prophecy. Prophets. Genre/Form: History; Histoire. Prophétie; History. Middle Eastern literature. Prophètes; History. Prophecy; Middle East; Moyen-Orient; Prophets,"Machinist, Peter",,,,,,,,,,,,,,,,,,,1st,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Prophets and prophecy in the ancient Near East / Ritner, Robert Kriech,; 1953-",
XFEPQC8I,"Segovia, Fernando F.",2002,,,,,,,2002,7/24/18 20:30,7/24/18 20:32,,,,,,,,,,,,,Chalice Press,Louisville:,,,,,,,,,,,,,,"Segovia, Fernando F; Culpepper, R. Alan; Painter, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Reading and Preaching John: Essays in Honor of Robert Kysar,
R2L369AM,"Segovia, Fernando F.",2022,,,,,,,2022,11/15/22 20:46,11/15/22 20:47,,,,,,,,Reading Biblical Texts Together,Semeia studies  98,,,,SBL Press,Atlanta,,,,,,EBSCOhost,,DOI: 10.2307/j.ctv2j6xr8b,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn5063326&site=ehost-live&scope=site&scope=cite,,"Minorities; Biblical Studies; Bible--Criticism, interpretation","Segovia, Fernando F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Reading Biblical Texts Together: Pursuing Minoritized Biblical Criticism,
IVIDI8K6,"Segovia, Fernando F.",1995,,,,,,,1995,5/21/14 15:18,6/30/20 23:10,,,,,1: Social location and biblical interpretation in the United States,2,,"Reading from this place, v 1",,,,,Augsburg Fortress,Minneapolis,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000046418&site=ehost-live&scope=cite,,Biblical Hermeneutics,"Segovia, Fernando F.; Tolbert, Mary Ann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Reading from this place, Volume 1",
2SEGDUTB,"Segovia, Fernando F.",1995,,,,,,,1995,5/26/14 17:48,6/30/20 23:10,,,,,2: Social location and biblical interpretation in global perspective,2,,"Reading from this place, v 2",,,,,Augsburg Fortress,Minneapolis,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000054082&site=ehost-live&scope=cite,,Biblical Hermeneutics,"Segovia, Fernando F.; Tolbert, Mary Ann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Reading from this place, Volume 2",
26APDUGR,"Knight, Douglas A.",2006,"Knight, Douglas A.",,,,,,2006,5/16/14 14:53,8/4/20 15:34,,,,,3rd ed.,,,,Studies in biblical literature,,,,Society of Biblical Literature,Atlanta,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001651357&site=ehost-live&scope=cite,,Hebrew Scriptures/Old Testament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Rediscovering the traditions of Israel,
D4QJPKB7,"Sasson, Jack",1995,"Sasson, Jack M.",1-85075-213-3,,,,"Originally published: Baltimore ; London : Johns Hopkins University PRess, 1979. -- (The Johns Hopkins Near Eastern studies).",1995,12/16/14 18:13,12/16/14 18:13,,,292,,,,,Ruth,,,,,Sheffield Academic Press,"Sheffield, England",eng,,,,,Primo,BS1315.3 .S277 1995,,,,,,Bible. Old Testament. Rāʻūth; Bible. Old Testament. Rufʹ; Bible. Old Testament. Rut; Bible. Old Testament. Ruth; Bible. Rāʻūth; Bible. Rufʹ; Bible. Ruth Commentaries; Megilat Rut; nnea Bible. O.T. Ruth; Rāʻūth (Book of the Old Testament); Rufʹ (Book of the Old Testament); Rut (Book of the Old Testament); Ruth (Book of the Old Testament),,,,,,,,,,,,,,,,,,,,2nd ed. (with corr.),,,,,,,,,,,,,,,,,,,,,,,,,,,book,Ruth : a new translation with a philological commentary and a formalist-folklorist interpretation / Jack M. Sasson.,
UBJC2PT9,"Seow, C.L.",2001,"Seow, C. L. (Choon Leong)",957-30915-1-8,,,,,2001,10/10/14 19:55,10/15/20 18:30,,,428,,,,,,,,,,中華信義神學院出版社，Zhonghua xin yi shen xue yuan chu ban she,"Xin zhu shi, Taiwan",Chinese ; Text in Chinese and Hebrew.,,,,,OCLC WorldCat FirstSearch,,,,,,,grammar; Hebrew language; Grammar. Hebrew language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Sheng jing Xibolai wen wen fa = A grammar for Biblical Hebrew,
EFE35R7M,"Levine, Amy-Jill",2018,"Levine, Amy-Jill",,,,,"Jesus was a skilled storyteller and perceptive teacher who used parables from everyday life to effectively convey his message and meaning. Life in first-century Palestine was very different from our world today, and many traditional interpretations of Jesus' stories ignore this disparity and have often allowed anti-Semitism and misogyny to color their perspectives.In Short Stories by Jesus, Amy-Jill Levine analyzes these ""problems with parables"" taking readers back in time to understand how their original Jewish audience understood them. With this revitalized understanding, she interprets these moving stories for the contemporary reader, showing how the parables are not just about Jesus, but are also about us—and when read rightly, still challenge and provoke us two thousand years later.The Leader Guide contains everything needed to guide a group through the six-week study including session plans, activities, and discussion questions, as well as multiple format options.",5/15/18,6/11/20 18:53,6/11/20 18:53,,,66,,,,,Short Stories by Jesus Leader Guide,,,,,Abingdon Press,,English,,,,,Amazon,,Amazon was the only way to get a complete citation to Zotero,,,https://www.amazon.com/Short-Stories-Jesus-Leader-Guide-ebook/dp/B074KM3G83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Short Stories by Jesus Leader Guide: The Enigmatic Parables of a Controversial Rabbi,
KXXWBK7J,"Floyd-Thomas, Stacey",2016,"Floyd-Thomas, Juan Marcial; Floyd-Thomas, Stacey M.; Toulouse, Mark G.",978-0-664-23515-4,,,,"$$Ccontents$$VBody and sex -- Big business -- Entertainment -- Politics -- Sports -- Science and technology., $$C summary$$V While a large percentage of Americans claim religious identity, the number of Americans attending traditional worship services has significantly declined in recent decades. Where, then, are Americans finding meaning in their lives, if not in the context of traditional religion? In this provocative study, the authors argue that the objects of our attention have become our god and fulfilling our desires has become our religion. They examine the religious dimensions of six specific aspects of American culture - body and sex, big business, entertainment, politics, sports, and science and technology - that function as ""altars"" where Americans gather to worship and produce meaning for their lives. The Altars Where We Worship shows how these secular altars provide resources for understanding the self, others, and the world itself. ""For better or worse,"" the authors write, ""we are faced with the reality that human experiences before these altars contain religious characteristics in common with experiences before more traditional altars."" Readers will come away with a clearer understanding of what religion is after exploring the thoroughly religious aspects of popular culture in the United States. - from publisher., $$Cbibliography_note$$VIncludes bibliographical references and index.",2016,2/13/18 19:00,2/13/18 19:00,,,,,,,,The altars where we worship,,,,,Westminster John Knox Press,"Louisville, Kentucky",eng,,,,,discoverlibrary.vanderbilt.edu,BR115 .C8 F563 2016,,,,,,United States; Christianity and culture United States; Christianity and culture; nne United States Popular culture; Popular culture; Popular culture Religious aspects Christianity; Popular culture United States,,,,,,,,,,,,,,,,,,,,First edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,book,The altars where we worship: the religious significance of popular culture,
