qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_stated_in,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",5BC5C719-BA5F-40B2-B985-4339709A0D3A,David W Sharrard,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",BB9138C3-033B-4A2B-A73F-0DF83757E2B8,Gretchen Lord Anderson,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",10691699-DFCC-4F16-88E0-A28CFCA02B62,Martin Kich,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",3573292D-0A97-4E29-B1DC-DAD557BAFAC5,Lisa Wilson Davison,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",0618F5F8-7946-4CA0-9625-C16C6B189615,Linda M Clemow,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",D1687D63-2103-4157-87A4-221718D23E1F,David W Sharrard,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",5B01B9AE-E6D9-4D3E-A245-18909A02F0D1,Dan R Dick,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",76FB71C0-6B48-4DCA-8FAF-8C4BB5A6A9EF,C Edward Bowen,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",82E451F8-F13A-441B-B607-5F3E058C24CE,Lisa Wilson Davison,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715340,"Proper 10, Ordinary 15, Pentecost 6: July 12, 2009",D63E715F-586D-4564-8AC0-968A8CBDBA2A,Gretchen Lord Anderson,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",958DE218-7A4D-4B2B-A9DD-3D868B5DB5BB,Gretchen Lord Anderson,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",DC6BC178-1724-4974-9118-BCBAA1A6A19F,Linda M Clemow,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",F6C0A6C3-BE4E-4EFA-BE34-3EFD152AF7EB,David W Sharrard,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",B2BFB0FB-5F5C-45B6-8FD9-67FCEB0A4CF6,Keith Wagner,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",B783E936-1988-4DE3-A666-E3A3551445CC,Lisa Wilson Davison,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715341,"Proper 9, Ordinary 14, Pentecost 5: July 5, 2009",D91F1546-C011-4F94-B504-BE662F9DDAB1,Dan R Dick,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",3E9BE405-E4C9-43FA-9E06-547A6910B9B7,Abigail Atkins,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",536D9C54-AC0C-4EAC-B920-F630F16734C3,E Glenn Hinson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",646F77D0-9D70-4D42-AF69-EF1F6D1F8391,Russell Pregeant,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",243FCEFD-F474-409C-B770-FE4A8BA7CCCB,Susan Phillips,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715343,"Proper Twenty-Six, Ordinary 31, Pentecost 23: October 31, 2010",33B3D123-C77B-4DD9-8DC8-BB8AC9D3D471,Teresa Lockhart Stricklen,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",45D786E1-601E-45B9-B11C-12632FE4839F,Russell Pregeant,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",936D5C40-DDCA-4114-90B7-1BB25ECE1CC5,E Glenn Hinson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",D7CF410C-81A3-43D4-847B-CCCE8020308C,Susan Phillips,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715344,"Proper Twenty-Five, Ordinary 30, Pentecost 22: October 24, 2010",11AD4E9C-863F-4830-8874-26C2A22FEB24,Teresa Lockhart Stricklen,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",6674E119-CC8C-4947-BC82-50150D59DA87,E Glenn Hinson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",74737BF2-F7E4-4889-BE29-033250D4BA1E,Russell Pregeant,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",91903DAA-B2A5-426D-910F-5C13F0224566,Teresa Lockhart Stricklen,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",9B426E92-C5C0-4FB7-A510-FA7E598D4D3B,David von Schlichten,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",BF83976E-6C09-4976-95B7-CF879D501A94,J Allison St Louis,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",DEFDFBE9-14C4-43DB-BFDF-13BC921C1C91,Daniel S Clark,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715346,"Proper Twenty-Four, Ordinary 29, Pentecost 21: October 17, 2010",20CB2BDD-8D8B-419F-A0CE-B467E247B29E,Stephen Schuette,9,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",630B3F9D-9320-4AB4-8236-D989F77B5A17,Russell Pregeant,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",9735B4C0-5D63-4553-B8CA-2222F6A5C3A5,E Glenn Hinson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",6C2B681C-3B45-4E82-8DEE-6207604CC89C,J Allison St Louis,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",AFD9C4AE-C3DD-4361-BA1A-A17AEACD6584,Teresa Lockhart Stricklen,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",EDCCE101-9C91-43A9-82C3-9E3E51AFAF9D,Virginia Miner,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715347,"Proper Twenty-Three, Ordinary 28, Pentecost 20: October 10, 2010",1C3882B5-B1CB-4B4C-8964-CBFC2CD5DE28,Robin Fish,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",37942467-A862-44C4-A514-58D71EED6B7A,Russell Pregeant,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",9BAD5996-9343-4291-A18D-0C9970A53FC2,Abigail Atkins,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",A8430ED1-2523-4C30-8404-E57A63956821,J Allison St Louis,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",D9E09793-0136-4A4D-B3CC-F3F09E680A6C,E Glenn Hinson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",E9FB2097-FC32-4EAA-B03D-695145F50811,Teresa Lockhart Stricklen,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715349,"Proper Twenty-Two, Ordinary 27, Pentecost 19: October 3, 2010",4092046C-2279-4C1A-9D37-ECE44C76D5E4,Denni Moss,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",2F88E7DD-8932-4714-96E7-53C06E4152CC,Ronald J (Ronald James) Allen,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",34B0354A-9F9C-4895-BAD8-3A453F8B3E35,Keith Cornfield,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",57F2BE73-744F-4D22-8116-D13AB716A5A4,Barbara Melosh,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",A2C00139-A004-4259-9DAD-0EE68A858385,Matthias Beier,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715350,"Proper 12, Ordinary 17, Pentecost 7: July 27, 2014",C2AD94D4-6DD1-42D3-9CBA-9B608E95BB45,Robert M Brearley,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",287A00C5-57B6-4924-9EC0-A1B1CD7EF7B6,Barbara Melosh,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",6CB373A9-5ED5-4CC9-9332-5411C669732B,Ronald J (Ronald James) Allen,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",78156F47-12D7-475C-A9DE-7D5216C342B8,Matthias Beier,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",377ED6BA-9354-4E1D-BD00-D5668CA63735,Robert M Brearley,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",FAEE4F7B-6596-4AD2-976B-2B6A8F249767,Keith Cornfield,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715351,"Proper 11, Ordinary 16, Pentecost 6: July 20, 2014",5F77D76A-2865-4B2B-A026-2C9322D3D2C1,Patrick J Willson,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",71F9C308-F69E-4C0C-B376-DE46B729B1D8,Matthias Beier,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",C24E6C84-4038-4E20-B3B6-18D89ADA071A,Ronald J (Ronald James) Allen,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",818C8997-EF27-43DA-AE82-13FEDDE5299E,Barbara Melosh,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",C0C1865C-8093-44A9-B061-92EA02E24304,Keith Cornfield,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",DFEC3D23-3EF9-4A95-A7F0-3371C20A3DCD,Robert M Brearley,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715352,"Proper 10, Ordinary 15, Pentecost 5: July 13, 2014",BC2DDE12-7FCB-4111-A14D-407020DC6C5D,Patrick J Willson,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715354,"Proper 9, Ordinary 14, Pentecost 4: July 6, 2014",2BDBD829-C063-4FD8-A394-5B129AD3CB4A,Ronald J (Ronald James) Allen,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
