Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
9PPI42UJ,"Miller-McLemore, Bonnie",2012,"Bunge, Marcia J.; Miller-McLemore, Bonnie J.",978-1-107-01114-4,,,,,2012,10/14/14 2:04,10/14/14 2:04,,171-186,,,,,,,,,,,Cambridge University Press,"Cambridge, UK ; New York",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Children; Religious aspects. Children; Religious aspects. RELIGION; Conduct of life. Children; Ethics. Children and adults. Children; Religious aspects. Conduct of life. Kind. Judentum. Christentum. Islam; Religious life. Children and adults. Conduct of life. Children's rights; Religious life. Children's rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Work, labor, and chores: Christian ethical reflection on children and vocation","Children, adults, and shared responsibilities: Jewish, Christian, and Muslim perspectives"
9WZP947T,"Miller-McLemore, Bonnie",2008,"Miller-McLemore, Bonnie J.",978-0-8272-0513-0,,,,,2008,10/14/14 2:18,10/14/14 2:18,,31-44,,,,,,,,,,,Chalice Press,"St. Louis, Mo.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Religious aspects; Religious life; Children; Christianity. Church work with children. Church work with youth. Children; Christianity. Youth; Religious life. Church work with children. Church work with youth. Parenting; Religious life. Parenting; Religious life. Youth,"Moore, Mary Elizabeth; Wright, Almeda M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Children and religion in the public square : 'too dangerous and too safe, too difficult, and too silly","Children, youth, and spirituality in a troubling world"
3WN6CTCP,"Miller-McLemore, Bonnie",2010,"Miller-McLemore, Bonnie J.",978-90-429-2247-1,,,Table of contents http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=018951067&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA,,2010,3/21/16 20:26,3/21/16 20:27,3/21/16 20:26,17-48,,,,,,,Bibliotheca Ephemeridum theologicarum Lovaniensium ; 230; Bibliotheca Ephemeridum theologicarum Lovaniensium ; 230.,,,,Peeters,Leuven,English,,,,,WorldCat Discovery Service,,,,,,,,"Dillen, Annemie.; Pollefeyt, Didier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Children’s Voices, Spirituality, and Mature Faith","Children's voices: children's perspectives in ethics, theology and religious education"
I8SBX3G8,"Meeks, M. Douglas",1992,"Meeks, M. Douglas",,,,http://www.abebooks.com/Christ-Culture-Sino-American-Dialogue-October-23-25/6621216567/bd,"AbeBooks.com: Christ and Culture: a Sino-American Dialogue. October 23-25, 1992: Photocopied and typescripted articles. Articles included: ""The Chinese Church as I See It"" by K. H. Ting, ""Constructing a Liberating Christology"" by Rosemary Radford Ruether, ""The Word Was Here Made Flesh"" by Wang Weifan, ""Making Connections: Christianity and Culture in the Sino-American Dialogue"" by Philip L. Wickeri, ""Christ and Culture Reconsidered: Globalization in the Market Society"" by M. Douglas Meeks.",1992,12/29/14 20:20,12/29/14 20:23,12/29/14 20:20,,,,,,,Christ and Culture,,,,,Columbia Theological Seminary,,,,,,,,,,,C:\Users\xus12\Zotero\storage\93EGR6P8\bd.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Christ and Culture Reconsidered: Globalization in the Market Society,"Christ and Culture: a Sino-American Dialogue. October 23-25, 1992"
9NZB98WQ,"Miller-McLemore, Bonnie",2016,"Miller-McLemore, Bonnie J.",978-0-8028-6873-2,,,,$$Cbibliography_note$$VIncludes bibliographical references and index.,2016,10/13/16 14:35,10/13/16 14:36,,175-231,,,,,,,,,,,Eerdmans Publishing Company,"Grand Rapids, Michigan",eng,,,,,discoverlibrary.vanderbilt.edu,BV4501.3 .C493 2016,,,,,,Christian Life; Discipleship; Christians Religious life; nne Christian life 1960-; Religious life Christianity; Spiritual life Christianity; Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Disciplining,"Christian practical wisdom: what it is, why it matters"
VA6ZUFHC,"Miller-McLemore, Bonnie",2016,"Miller-McLemore, Bonnie J.",978-0-8028-6873-2,,,,$$Cbibliography_note$$VIncludes bibliographical references and index.,2016,10/13/16 14:02,10/13/16 14:35,,23-44,,,,,,,,,,,Eerdmans Publishing Company,"Grand Rapids, Michigan",eng,,,,,discoverlibrary.vanderbilt.edu,BV4501.3 .C493 2016,,,,,,Christian Life; Discipleship; Christians Religious life; nne Christian life 1960-; Religious life Christianity; Spiritual life Christianity; Wisdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Spooning,"Christian practical wisdom: what it is, why it matters"
Q3E8WJEI,"Meeks, M. Douglas",1995,"Meeks, M. Douglas; Stackhouse, Max L.; Berger, Peter L.; McCann, Dennis P.",,,,,,1995,12/19/14 19:04,12/19/14 19:07,,111-126,,,,,,,,,,,Abingdon Press,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,God's oikonomia and the New World Economy,Christian social ethics in a global era
UGE4E8GK,"Miller-McLemore, Bonnie",2012,"Miller-McLemore, Bonnie J.",978-0-8028-6534-2,,,,"For the past fifty years, scholars in both pastoral and practical theology have attempted to recapture human religious experience and practice as essential sites for theological engagement -- redefining in the process what theology is, how it is done, and who does it. In this book Bonnie J. Miller-McLemore shows how this trend in scholarship has led to an expanded subject matter, alternative ways of knowing, and richer terms for analysis in doing Christian theology. Tracing more than two decades of her own search for a more inclusive discipline -- one that truly grapples with theology in the midst of life -- Christian Theology in Practice shows not only where Miller-McLemore herself has traveled in the field but also how pastoral and practical theology has developed during this time. Looking forward, Miller-McLemore calls on the academy and Christian congregations to disrupt conventional theological boundaries and to acknowledge the multiplicity of shapes and places in which the ""wisdom of God"" appears.",2012,10/14/14 2:04,8/25/20 15:41,,1-21,,,,,,,,,,,William B. Eerdmans Pub. Co.,"Grand Rapids, Mich.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Pastoral theology. Theology, Practical. Feminist theology. Feminist theology. Pastoral theology. Theology, Practical. Praktische Theologie. Pastoraltheologie. Feministische Theologie. Praktische Theologie. Feministische Theologie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Engaging practice : the work of Christian theology,Christian theology in practice: discovering a discipline
4RUWKUFK,"Rieger, Joerg",2014,"Rieger, Jeorg",978-0-334-03130-7,,,,"$$C contents$$V Editorial: Christianity, consumerism and the market -- PART ONE, Biblical and theological perspectives: Markets and the Bible / Néstor O. Míguez -- ""What do I want?"" : theological anthropology and consumerism / William T. Cavanaugh -- Reshaping desire at deeper levels / Joerg Rieger -- Commodifying sex : a view from the margins / Cristina Traina -- PART TWO, Global perspectives: South Africa's prosperity gospel churches / Anthony Egan SJ -- The God of prosperity : desconstructing images / Faustino Teixeira -- Theologies of liberation against the market and patriarchy / Geraldina Céspedes OP -- Buddhism and the market : liberation or adaptation / Thierry-Marie Courau OP -- PART THREE, Theological forum: Pope Francis' emphasis on charity / Rui Estada & Teresa Martinho Toldy -- Football in Brazil: the ambiguities of a national sport / Iuri Andréas Reblin -- Massingale, Martin and enduring white complicity / Alex Mikulich., John Louis Kesler Circulating Library., $$Cbibliography_note$$VIncludes bibliographical references.",2014,6/26/18 16:57,6/26/18 18:42,,,,,,,,,"Concilium (Glen Rock, N.J.) 2014/4",,,,SCM Press,London,eng,,,,,discoverlibrary.vanderbilt.edu,BR115 .C67 C475 2014,,,,,,Capitalism Religious aspects Christianity; Consumption (Economics) Religious aspects Christianity,"Irrárazaval, Diego; Nadar, Sarojini; Ross, Susan A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Reshaping Desire at Deeper Levels,"Christianity, consumerism and the market"
WSKI2VXD,"Hudnut-Beumler, Jim",1987,"Hudnut-Beumler, James David",978-0-313-38761-6,,,,"The second in a two-volume bibliography on church-state relations in U.S. history, this book contains eleven critical essays and accompanying bibliographical listings on periods or topics from the Civil War to the present day. Each essay reviews the available relevant literature, and the listings emphasize critical studies and documents published in the last quarter-century. This reference work will enable the reader to grasp the historiographic issues, become acquainted with the resources available, and move on to interpret current as well as past issues more knowledgebly and effectively.",1987,7/3/14 16:36,7/1/20 17:20,,143-84,,,,,,,,,,,Greenwood Publishing Group,New York,eng,,,,,Primo,Z7776.72,,,,,,Church and state United States; Church and state United States Bibliography; United States Church history Bibliography,"Wilson, John Frederick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Church and State at the Turn of the Century: Missions and Imperialism, Bureaucratization, and War, 1898-1920","Church and state in America a bibliographical guide, [2], The Civil War to the present day"
