Key,skipped,Divinity Faculty,Publication Year,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title
305,,"McClure, John S.",2013,978-0-664-23454-6,,,,"John Louis Kesler Circulating Library., $$Cbibliography_note$$VIncludes bibliographical references and index.",2013,7/5/18 16:05,7/10/20 21:23,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky.",eng,,,,,discoverlibrary.vanderbilt.edu,BS680 .J8 P74 2011,,,,,,"Church year sermons; Sermons, Church year; Social justice Biblical teaching; Social justice Sermons; Common lectionary (1992); Revised common lectionary","Allen, Ronald J.; Andrews, Dale P.; Wilhelm, Dawn Ottoni",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Preaching God's transforming justice: a lectionary commentary, year A"
306,,"McClure, John S.",2011,978-0-664-23455-3,,,,"Includes index., The Oberlin Endowment for Books.",2011,7/5/18 16:06,7/10/20 21:27,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, KY",eng,,,,,discoverlibrary.vanderbilt.edu,BS680 .J8 P742 2012,,,,,,"Church year sermons; Sermons, Church year; Social justice Biblical teaching; Social justice Sermons; Common lectionary (1992). Year C","Allen, Ronald J.; Andrews, Dale P.; Wilhelm, Dawn Ottoni",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Preaching God's transforming justice: a lectionary commentary, year B"
307,,"McClure, John S.",2012,978-0-664-23453-9,,,,,2012,7/5/18 16:08,7/10/20 21:30,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, Kentucky",eng,,,,,discoverlibrary.vanderbilt.edu,BS680 .J8 P744 2013,,,,,,"Church year sermons; Common lectionary (1992). Year A; Sermons, Church year; Social justice Biblical teaching; Social justice Sermons","Allen, Ronald J.; Andrews, Dale P.; Ottoni-Wilhelm, Dawn",,,,,,,,,,,,,,,,,,,First edition.,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Preaching God's transforming justice: a lectionary commentary, year C"
308,,"Andrews, Dale P.",2001,,,,,,2001,6/25/14 18:35,6/25/14 18:38,,,,,,,,,,,,,Chalice Press,St. Louis,,,,,,,,,,,,,,"Hedahl, Susan K.; Carson, Richard P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Preaching I Corinthians 13
309,,"McClure, John S.",2010,978-0-664-23369-3,,,,$$CContents: $$VContextual approaches to preaching -- Globalization and the context for preaching -- Humanization and transcontextual preaching -- Transcontextual hermeneutics -- Negotiating diversity : the rhetoric of appeals -- Sermons.,2010,5/1/14 18:22,11/18/14 22:18,,,,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky",eng,,,,,Primo,BV4221 .K56 2010,,,,,,"Pluralism, Cultural; Culture and Christianity; Preaching; Christianity and culture; Contextualization (Christian theology); Inculturation (Christian theology); Indigenization (Christian theology); Christian preaching; Homiletics; Speaking; Cultural diversity; Cultural pluralism; Diversity, Cultural; Diversity, Religious; Ethnic diversity; Globalization Religious aspects Christianity; nne Pluralism (Social sciences); Religious diversity; Sermons, American 21st century","Kim, Eunjoo Mary",,,,,,,,,,,,,,,,,,,1st ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Preaching in an age of globalization
310,,"Thompson, Lisa L.",2018,978-1-5326-4337-8,,,,,2018,3/30/20 17:22,3/30/20 17:25,,,,,,,,,,,,,Pickwick Publications,"Eugene, Oregon",eng,,,,,catalog.library.vanderbilt.edu,,,,,,,"Religious aspects; Christianity; Theology, Practical; Preaching; Justice; Andrews, Dale P., 1961-2017",,,,"Andrews, Dale P.; Sheppard, Phillis Isabella; Wilhelm, Dawn Ottoni; Allen, Ronald J.; Townes, Emilie Maureen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Preaching prophetic care: building bridges to justice : essays in honor of Dale P. Andrews
311,,"Segovia, Fernando F.",2009,978-0-8006-6340-7,,,,,2009,5/28/14 17:16,11/18/14 22:30,,,,,,,,,,,,,Fortress Press,"Minneapolis, MN",eng,,,,,Primo,BT745 .P74 2009,,,,,,"Apostolic Church; Bias (Psychology); Catholic Church History Early church, ca. 30-600; Church history Early church, ca. 30-600; Church history Primitive and early church, ca. 30-600; Church, Apostolic; Discrimination Religious aspects Christianity; Early Christianity; Early church; Ethnocentrism; nne Christianity Early church, ca. 30-600; nne Prejudices and antipathies; Prejudgments; Prejudice; Prejudices; Prejudices History; Primitive and early church; Primitive Christianity; Racism Religious aspects Christianity; Rome Church history; Sexism Religious aspects Christianity","Nasrallah, Laura Salah; Schüssler Fiorenza, Elisabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Prejudice and Christian beginnings : investigating race, gender, and ethnicity in early Christian studies"
312,,"Morrill, Bruce T.",2000,0-8146-6178-5,,,,,2000,10/30/14 17:42,9/2/20 14:22,,,,,,,,,,,,,Liturgical Press,"Collegeville, Minn.",eng,,,,,Primo,BV176 .P75 2000,,,,,,Liturgy; Liturgics; Liturgiology,"Vogel, Dwight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Primary sources of liturgical theology : a reader
313,,"Segovia, Fernando F.",2010,,,,,,2010,5/28/14 17:12,10/13/20 14:33,,,,,,,,,,,,,Catholic Theological Society of America,,,,,,,,,,,,,,,"Tan, Jonathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Proceedings of the CTSA 2010 Annual Meeting
314,,"McClure, John S.",2013,978-0-8006-9943-7,,,,"$$C contents$$V Part I. Ethical landscape of ministry. Sexuality, health, and integrity / Kate M. Ott -- Fiduciary duty and sacred trust / Darryl W. Stephens -- Sexing the ministry / Stanley Hauerwas -- Erotic attunement : rethinking love across pastoral power gradients / Cristina L.H. Traina -- Part II. Sources of wisdom. Sexual ethics in church history / Rosemary Radford Ruether -- David and women and power and I / John C. Holbert -- Self-love and ministerial practice / Susan A. Ross -- Orthoeros : a biblically-based sexual ethic / Miguel A. De La Torre -- Part III. Practices of ministry. Pastoral care and sexual ethics / Joretta Marshall -- Ministry with adolescents : tending boundaries, telling truths / Robert C. Dykstra -- Teaching sexual ethics in faith communities / Boyung Lee -- Touch not mine anointed / F. Douglas Powe -- Mission and sexuality / Steven Charleston -- Preaching and sexual ethics / John S. McClure -- Public worship and human sexuality / Don E. Saliers -- Part IV. Pastoral leadership. Pastor/parishioner relationships : love, power and vulnerability / Jeanne Hoeft -- Pornography and abuse of social media / Joyce Ann Mercer -- When leaders fall / Adam Hamilton -- Sexual issues in parish ministry / Youtha Hardman-Cromwell -- Sex and the pastoral life / Bonnie J. Miller-McLemore., John Louis Kesler Circulating Library., Includes index.",2013,7/5/18 16:10,7/5/18 16:16,,,,,,,,,,,,,Fortress Press,Minneapolis,eng,,,,,discoverlibrary.vanderbilt.edu,BV4011.5 .P76 2013,,,,,,"Clergy Professional ethics; Sex ethics; Sex Moral and ethical aspects; Sexual behavior, Ethics of; Sexual ethics","Jung, Patricia Beattie; Stephens, Darryl W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Professional sexual ethics: a holistic ministry approach
