accession_number,label,type
2015.075.32,"Responsible parents protect their children from HIV infection before, during and after birth. They seek MTCT services to know their HIV status to avoid passing the virus to their babies.",poster
2000.076,"Who's Your Daddy Playing your Fave, Monkees' Tunes & So Much More",poster
2001.019,Perpetual Obscurity Records Presents Paul Thorn - Trailer  Park Philosopher (and more),poster
2000.118,What a Golden Beak! (They Want War),poster
1988.028,Mother and Child,print
1997.140,Funeral de un Payaso (Funeral of a Clown),print
1988.027,Winter Wood,print
2004.061,The Salt of the Earth,poster
2005.006,Marianne Faithfull,poster
2001.063,"White Animals, Exit/In, July 6 and 7",poster
1976.019,Dawn (A Winter Scene),print
2016.013.3,The Genius on the Streets of Berlin (The Young Albert Einstein),print
1980.024,Treaty in Vermillion,print
2000.008,The Year of the Child,print
2001.026,"Asia Guitarmaker Symposium and Exhibition, March 22-26, Exhibition and sale of handmade stringed instruments",poster
1999.163,"Poster for NEA Extravaganza Showcase with Fair Verona, Excentrics, Graveblankets, Outsiders, All Weather Girl, and Wes Cunningham at Castle Door",poster
1999.162,"Poster for New Year's Eve Midnight Show with Bone Pony at Spankie's, Cookeville, Tennessee",poster
2016.005.22,Safekeeping: Katherine J. Fries MFA Thesis Exhibition,poster
1979.1245P,15th Invitational Art Exhibition at Cinema I and Cinema II,poster
2001.119,Emmylou Harris and Linda Ronstadt in Concert,poster
2000.054,"4 Food Groups We've got at least 12, Aug 19-29, 1999",poster
2005.036,"The Lamentations of Jeremiah, from ""Ten Wood Engravings for the Old Testament""",print
2005.010,Shack Shakers,poster
2001.135,"Lost and Found Sound Presents Pan American Blues on NPR's ""All Things Considered""",poster
2000.074,"The Impalers, The Elevator Punk Explosion from KC",poster
2000.079,"Two Corn Dogs Coming Right Up! Aug 19-29,1999",poster
2000.018,"An Evening With Natalie Merchant, April 21",poster
1999.154,"Poster for New Year's Eve at the Sutler with 5 Bucks & Special Guest Joy Lynn White, Nashville, Tennessee",poster
1979.1196P,"Clyde Beatty - Cole Bros. World's Largest Circus; Nashville Fair Grounds-Saturday, Oct. 8",poster
2005.041,"The Wolf and the Little Kids, from ""Fables with a Twist""",poster
2000.020,The Derailers Hank Williams III & Rob Thorworth,poster
1998.007,"American Pop Culture Gallery, Big Cat Press Artists: Tony Fitzpatrick, Diana Sudyka, Teresa Mucha",poster
2001.180,Johnny Rabb and the Jailhouse Rockers,poster
2000.060,"Live American Music Schubas, Norman Blake, and Ralph Stanley & His Clinch Mtn. Boys",poster
2000.096,"MBA Presents Black Comedy by Peter Shaffer, The Real Inspector Hound by Tom Stoppard",poster
1999.157,Promotional poster for Southern Culture on the Skids with Blue Mountain and Tedio Boys,poster
1999.147,"Poster for Freakwater with the Sadies and Joe Buck at the Bluegrass Inn, Nashville, Tennessee",poster
2005.042,"The Stock Market, from ""Fables with a Twist""",print
