accession_number,label,type
1997.045,"Antonio Mari Ribas, Galeria Carl van der Voort, Ibiza",poster
1997.046,"Homenaje a Antoni Mari Ribas: I Semana Cultural de Ibiza, Galeria Carl van der Voort, Ibiza",poster
1997.047,"Pere Puiggros, Galeria Carl van der Voort, Ibiza",poster
1997.048,"Tur Costa, Galeria Carl van der Voort, Ibiza",poster
1997.049,"Don Kunkel, Galeria Carl van der Voort, Ibiza",poster
1997.050,"Bechtold, Galeria Carl van der Voort, Ibiza",poster
1997.051,"Acisclo Escultura, Galeria Carl van der Voort, Ibiza",poster
1997.052,"Tur Costa, Galeria Carl van der Voort, Ibiza",poster
1997.053,"Zao Wou- Ki, Galeria Carl van der Voort, Ibiza",poster
1997.054,"Anita Gibson, Galeria Carl van der Voort, Ibiza",poster
1997.055,"Willy Weber, Galeria Carl van der Voort, Ibiza",poster
1997.056,"Hans Laabs, Galeria Carl van der Voort, Ibiza",poster
1997.057,"Henk Van Putten: Objekten + Reliefs, Galeria Carl van der Voort, Ibiza",poster
1997.058,"Irriguible, Galeria Carl van der Voort, Ibiza",poster
1997.059,"Marcel Floris, Galeria Carl van der Voort, Ibiza",poster
1997.060,"Kunkel, Galeria Carl van der Voort, Ibiza",poster
1997.061,"Heras, Galeria Carl van der Voort, Ibiza",poster
1997.062,"Don Kunkel, Galeria Carl van der Voort, Ibiza",poster
1997.063,"Joaquim Gomis: Fotos de los Anos 1940, Galeria Carl van der Voort, Ibiza",poster
1997.064,"Herreyns, Galeria Carl van der Voort, Ibiza",poster
1997.065,"Puiggros, Galeria Carl van der Voort, Ibiza",poster
1997.066,"Eduardo Chillida, Galeria Carl van der Voort, Ibiza",poster
1997.067,"Micus, Galeria Carl van der Voort, Ibiza",poster
1997.068,"Quijada, Galeria Carl van der Voort, Ibiza",poster
1997.069,"Schumacher, Galeria Carl van der Voort, Ibiza",poster
1997.070,"Acisclo Escultura, Galeria Carl van der Voort, Ibiza",poster
1997.071,"Amadeo Gabino, Galeria Carl van der Voort, Ibiza",poster
1997.072,"Floris: esculturas/dibujos (sculpture/drawings) Galeria Carl van der Voort, Ibiza",poster
1997.073,"Armengol, Galeria Carl van der Voort, Ibiza",poster
1997.074,"Marca-Relli, cortesia de Marlborough Gallery NY, Galeria Carl van der Voort, Ibiza",poster
1997.075,"Pagliari, Galeria Carl van der Voort, Ibiza",poster
1997.076,"Heras, Galeria Carl van der Voort, Ibiza",poster
1997.077,"Tur Costa Galeria Carl van der Voort, Ibiza",poster
1997.078,"Juan Martinez, Galeria Carl van der Voort, Ibiza",poster
1997.081a,"Hans Hinterreiter:  Lithografias Volumen I, Galeria Carl van der Voort",print
1997.081c,Hans Hinterreiter:  Lithografias Volumen I Galeria Carl van der Voort,print
1997.081d,Hans Hinterreiter:  Lithografias Volumen I Galeria Carl van der Voort,print
1997.081e,Hans Hinterreiter:  Litografias Volumen I Galeria Carl van der Voort,print
1997.081f,"Hans Hinterreiter:  Lithografias Volumen I, Galeria Carl van der Voort",print
1997.081g,"Hans Hinterreiter:  Lithografias Volumen I, Galeria Carl van der Voort",print
1997.081h,Hans Hinterreiter:  Litografias Volumen I Galeria Carl van der Voort,print
1997.082a,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082b,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082c,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082e,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082f,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082g,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082h,"Untitled, from Las Novenas, a suite of nine prints",print
1997.082i,"Untitled, from Las Novenas, a suite of nine prints",print
1997.084,Untitled,print
1997.085,Untitled,print
1997.086,Untitled,print
1997.087,Alicia IV,print
1997.088,Untitled,print
1997.092,Untitled,print
1997.093b,Mandala (suite of 5 serigraphs),print
1997.093c,Mandala (suite of 5 serigraphs),print
1997.093d,Mandala (suite of 5 serigraphs),print
1997.093e,Mandala (suite of 5 serigraphs),print
1997.094,Untitled,print
1997.095,Untitled,print
1997.096,Untitled,print
1997.098,Untitled,print
1997.110c,"Trucar, Suite of 5 Prints with poems by Celso Roman",print
1997.110d,"Trucar, Suite of 5 Prints with poems by Celso Roman",print
1997.111c,"Apollo, from a suite of four prints",print
1997.113,Untitled,print
1997.115,Untitled,print
1997.116,Untitled,print
1997.117,Untitled,print
1997.120,Untitled,print
1997.121,Untitled,print
1997.122,Untitled,print
1997.123,Untitled,print
1997.126,Untitled,print
1997.131,Hommages à Jan Palach,print
1997.132,Untitled,print
1997.137,Untitled,print
1997.138,La Sombra de lo que fue,print
1997.141,Untitled,print
1997.148,"Antonio saura-21 julio-10 agosto 1973-horas 11-2, 5-9 galería carl van der voort-plaza tur palau 13- ibiza",poster
1997.151,"En ces temps noirs de jactance et d'incroyance, Notre-Dame de la Fin des Terres vigilante  (In these dark times of vainglory and unbelief, Our Lady of Land's End keeps vigil)",print
1997.153,The Washing of the Feet or The Annointing of the Feet,print
1997.157,Ivy League,print
1998.015,LAUS 74,poster
1998.016,LAUS 77,poster
1998.017,LAUS 78,poster
1998.018,LAUS 79,poster
1998.019,LAUS 80,poster
1998.020,LAUS 81,poster
1998.021,LAUS 82 ADGFAD,poster
1998.022,LAUS 82 ADGFAD,poster
1998.023,LAUS 83 ADGFAD,poster
1998.024,LAUS 84 ADGFAD,poster
1998.025,LAUS 85 ADGFAD,poster
1998.029,LAUS 89 ADGFAD,poster
1998.030,LAUS 89 ADGFAD,poster
1998.031,LAUS 90 ADGFAD,poster
1998.034,LAUD 94 ADGFAD,poster
1998.035,LAUS 95,poster
1998.036,XVIII Trofeo de Esquí Nescafé,poster
1998.037,Mirar el Diseño ADGFAD,poster
1998.038,BRASIL 1982 ADGFAD,poster
1998.039,A La Habana me Voy  ADGFAD,poster
1998.040,Mostra Biennal ADGFAD,poster
1998.065,Submarí,print
1999.001,"Dia Del Mibre: 23 abril 1989, Generalitat de Catalunya, Department de Cultura",poster
1999.002,"Planeta Esport / Antic Mercat del born Barcelona, 1989, Olimpiada Cultural 13 maig - 23 juliol 1989",poster
1999.003,Untitled,print
1999.006,Red Eve,print
1999.007,Bechtold,print
1999.008,Untitled,print
1999.009,Untitled,print
1999.011,Untitled,print
1999.012,Untitled,print
1999.013,Untitled,print
1999.014,Untitled,print
1999.015,Untitled,print
1999.016,Untitled,print
1999.018,Untitled,print
1999.019,Untitled,print
1999.025,Untitled,print
1999.028,Untitled,print
1999.030,Untitled,print
1999.033,Untitled,print
1999.034,ars documenta,poster
1999.040,Untitled,print
1999.041,Opus 21,print
1999.042,Opus 78,print
1999.043,Opus 153,print
1999.044,Opus 61,print
1999.045,Opus 99,print
1999.046,Opus 37,print
1999.047,Opus 123,print
1999.048,Opus 95,print
1999.049,Opus 6,print
1999.050,Op 93,print
1999.052,Studie 288,print
1999.053,SWF27,print
1999.056,Untitled,print
1999.058,Untitled,print
1999.060,Untitled,print
1999.061,Untitled,print
1999.062,"Hans Hinterreiter, Museo de Arte Contemporaneo de Ibiza",podyrt
1999.064,Untitled,print
1999.065,Untitled,print
1999.066,Untitled,print
1999.074,Untitled,print
1999.075,Untitled,print
1999.076,Untitled,print
1999.077,Untitled,print
1999.078,Untitled,print
1999.079a,Trio (Two embossed vertical lines),print
1999.086,Untitled,print
1999.088,Untitled,print
1999.089,Untitled,print
1999.090,Untitled,print
1999.091,Untitled,print
1999.092,Untitled,print
1999.093,Troi,print
1999.094,Antike,print
1999.095,Untitled,print
1999.096,Untitled,print
1999.101,Untitled,print
1999.102,Untitled,print
1999.104,Untitled,print
1999.106,Untitled,print
1999.107,Untitled,print
1999.108,Untitled,print
1999.109,Untitled,print
1999.110,Untitled,print
1999.111,Untitled,print
1999.114,Untitled,print
1999.116,Untitled,print
1999.118,Untitled,print
1999.120,Untitled,print
1999.121,Untitled,print
1999.123,Untitled,print
1999.127,Untitled,print
1999.128,Untitled,print
1999.129,Untitled,print
1999.130,Untitled,print
1999.131,Untitled,print
1999.136,Hinterreiter,print
1999.141i,"The Follies of the Popes, from In Praise of Folly (Encomium Moriae)",print
1999.170,LAUS 74 (duplicate),poster
1999.257,Untitled (Grey),print
1999.258,Untitled (Black),print
2000.001,Dragonfly Mountain I,print
2000.002,Crib,print
2000.006,Neptune Washington,print
2000.007,Femme de dos drape,print
2000.053,"Banjovi, Bluegrass Explosion",poster
2001.010,Billy Gilman 2000,poster
2001.038,Superdrag - Rock Show,poster
2001.132,WXYZ!,poster
2001.134,Bombastic Plastic,poster
2001.141,Bob Dylan in Concert,poster
2001.157,Tiger Beetle,print
2001.158,Untitled,print
2001.173,Marc English,poster
2002.004,Lackmus (Litmus),print
2002.024,Blackburn,print
2003.005c,"Untitled, from: 10 West Coast Artists",print
2003.005d,"Untitled, from: 10 West Coast Artists",print
2003.005g,"Untitled, from: 10 West Coast Artists",print
2003.005i,"Untitled, from: 10 West Coast Artists",print
2003.005j,"Untitled, from: 10 West Coast Artists",print
2003.006,In the Land of Oo-Bla-Dee,print
2003.008,Goltzius,print
2003.011,"La Colegiata, Toro",print
2003.032,An Apostle Reading,print
2003.039,St. Jacob,print
2003.043,St. Thomas,print
2003.048,Kabuki actor Ichikawa Mennosuke II,print
2003.054,Netwerk Electric,poster
2004.017,The Basque Boy,print
2004.021,Ursula,print
2004.026,Oliver St. John Gogarty,print
2004.034,Connecticut Pastoral,print
2004.044,Flowers 1964,print
2004.072,Spel van Advies (Play of Advice),other works
2004.076,Thonier,print
2004.084b,"Deconstructing Seurat (blue, 2 of 2)",print
2004.085b,"Deconstructing Seurat (turquoise green, 2 of 2)",print
2004.087b,Deconstructing Piero (turquoise blue),print
2005.001a,"Street Scene 1, Portfolio",print
2005.001b,John,print
2005.001c,Girl in the Garden,print
2005.001e,Silk Stockings and Candlelit Cafes,print
2005.001f,Adriane,print
2005.003,Hooray,print
2005.004,Just Rite for Now,print
2005.007,More,print
2005.031e,"Hair, there and every where (portfolio of 10 prints, 5 of 10)",print
2007.011,"The Israelite's Cruel Bondage in Egypt, after a design by Gerard Hoet",print
2007.012,"Moses drawn out of the water, after design by Gerard Hoet",print
2007.013,Untitled (Man standing with walking stick),print
2007.023,"The Tapestried Chamber, after Stephanuoff",print
2007.024,"The Tapestried Chamber, after Stephauoff",print
2007.065,"Stab. A. Marzi, Rome, Vintage poster for Roma: Mecato di Traiano",poster
2008.157,Toledo,print
2008.164,A Drunken Peasant Pushed into a Pigsty,print
2008.165,"Sketch for the Mural ""Family""  for the Chapel of Man",print
2010.002c,SQUIGGLEshelf,print
2010.002d,SQUIGGLElinear,print
2010.006,Unknown,print
2010.007,Lucía,poster
2010.008,Mythological Figure,print
2010.009,No Alpinche Fraude,poster
2012.001b,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001c,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001d,"Orange Store Front (Project for Ed. Poligrafa) h. 113"" Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001e,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001f,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001g,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001h,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001i,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001j,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001k,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001n,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001o,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001p,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.001r,"Untitled, from a portfolio of work by 18 artists titled Ediciones Polígrafa, S.A. 15 Years of Graphic Work",print
2012.004c,"Tapestry 3610, from Tapestry Suite",print
2012.004g,"Tapestry 5810, from Tapestry Suite",print
2012.005,Poppies in Oriental Bowl,print
2012.008aa,"The Grass Maze, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008b,"Concentric II, from American Abstract Artists 60th Anniversary Print Portfolio 1997",print
2012.008e,"Trifolium, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008ee,"Rimac, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008hh,"Untitled, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008ii,"Wichita, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008k,"Untitled, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008l,"This Page, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008ll,"Sans, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008m,"Forms in Space, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008nn,"Untitled, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008q,"Prime Inclusion, from American Abstract Artists 60th Anniversary Print Portfolio",print
2012.008s,"Maze, from American Abstract Artists 60th Anniversary Print Portfolio",print
2013.002,"Henryk Tomaszewski, Wroctawski Teatr Pantomimy, ""Spor""",print
2013.003,WT Majokowski Pluskwa,print
2013.005,S'nieg,poster
2013.006,"Namotywach ST. 1. Witkiewicza, Szalona Lokomotywa tertrstu",poster
2013.007,Samuel Beckett Radosne Dni,poster
2013.008,Stara Kobieta Wysiaduje,poster
2013.009,White Marriage (Biale malzenstwo),poster
2013.010,Samuel Beckett,poster
2013.011,Współczesna tkanina Wegierska,poster
2013.012,"Burza (The Tempest), William Shakespeare",poster
2013.013,Zapowiedz Ciszy,poster
2013.014,Miesiac na wsi (Month in the Country),poster
2013.015,"Nie Ja, Samuel Beckett",poster
2013.016,Teatr Wspolczesny,poster
2013.017,Jezioro Bodenskie,poster
2013.018,Jezioro Bodenskie,poster
2013.019,IV Opolskie konfrontacje teatralne,poster
2013.020,Mickiewicz,poster
2013.021,Podroz Po Warszawie,poster
2013.022,Batatajikin I Spotika,poster
2013.036,Ready or Not,poster
2014.003,Shoes,print
2014.005,Pete Rose,print
2015.037a,"Somewhere, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037aa,"Strata, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037b,"Transl'umina Graphic, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037bb,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037cc,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037dd,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037e,"Splot, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037ee,"Detail, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037ff,"Two Codes, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037g,"PL-1-87, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037h,"Portals, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037hh,"P/C, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037j,"Untitled-m-II, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037k,"Study for a Square Dancer, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037l,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037ll,"Philadelphia, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037n,"Drawings, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037oo,"""Dead Dog on a Beach"" Series, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037p,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037pp,"Two Systems-10, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037q,"Transit III, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037qq,"AARKA, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037rr,"Square, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037s,"Prisme, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037u,"Arachne, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037v,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037w,"Untitled, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.037y,"Black/White, from American Abstract Artists 50th Anniversary Print Portfolio",print
2015.038a,"Beaded Circle, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038aa,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",
2015.038bb,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038gg,"Jill, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038h,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038i,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038kk,"Quanta, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038l,"Chapel, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038oo,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038p,"Disco 3000, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038tt,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038u,"Flyer, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.038vv,"Untitled, from American Abstract Artists 75th Anniversary Print Portfolio",print
2015.075.01,Die Stadt Hibikskus (Hibiscus Town),poster
2015.075.02,Rotes Kornfeld (Red Sorghum),poster
2015.075.04,Die Letzte Kaiserin (The Last Empress),poster
2015.075.05,"Skalpell Bitte (Scalpel, Please)",poster
2015.075.06,Die verzauberten Dollars,poster
2015.075.07,Die Brillanten der Frau Susa,poster
2015.075.08,Der Magdalenenbaum,poster
2015.075.10,Kirmes,poster
2015.075.11,Das letzte Weekend (The Last Weekend),poster
2015.075.12,Der Fluch des Schlangentals (The Curse of Snake Valley),poster
2015.075.13,Mississippi Burning: Die Wurzel Des Hasses (Mississippi Burning: The Root of Hatred),poster
2015.075.14,Cop,poster
2015.075.15,"Achtung, Banditen! Die Zeit des Verbrechens (Attention Bandits! The time of crime)",poster
2015.075.16,Der Mann vom Kapuziner-Boulevard (The man from the Boulevard des Capucines),poster
2015.075.17,Die Nachbarin,poster
2015.075.18,Milagro: Der Kreig im Bohnenfeld (The Milagro Beanfield War),poster
2015.075.20,Eros-bogen (Luk Erosa or Cupid's Bow),poster
2015.075.21,Die kleine Vera (Little Vera),poster
2015.075.22,Der Pfadfinder (Pathfinder),poster
2015.075.23,Das Messer (Jagged Edge),poster
2015.075.24,Ein Regenschirm fur Verliebte,poster
2015.075.26,Madame Sousatzka,poster
2015.075.28,Zungumza na wanaoishi na virusi vya ukimwi kuusu kinga ya virusi vya ukimwi-,poster
2015.075.42,[Ethiopian Text] [Three children; green panel to the right],poster
2015.075.43,[Ethiopian Text] [One young man in a striped t-shirt] Wegen AIDS Talkline,poster
2015.075.44,[Text in Ethiopian] [A heterosexual couple sitting on a park bench],poster
2015.075.45,"Estima els que viuen amb la SIDA [many other languages, too] SIDA",poster
2015.075.46,"Le sida est beau cet ete protegez-vous (AIDS is beautiful, this summer, protect yourself] AIDES",poster
2015.075.47,"Face aux IST/sida, ne comptez pas sur la chance. Mettez un preservatif. (Confront AIDS, don't rely on luck. Wear a condom)",poster
2015.075.48,Love Life. Stop Aids. 1. Eindringen immer mit Gummi. (Penetration always with a condom) 2. Sperma und Blut nicht in den Mund. (Sperm and blood not in the mouth),poster
2015.075.51,Antes de pensar na cor faca o teste da SIDA-,poster
2016.002.03,#116,print
2016.002.04,#117,print
2016.002.16,#502 from a set of five,print
2016.003.1,M&M,print
2016.003.2,M&M,print
2016.003.4,Untitled (black & white),print
2016.003.5,Untitled (seven-color),print
2016.005.21,Dem Bones,print
2016.006.2,Ida Mae,print
2016.013.1,Lewie Memm or Self-Portrait,print
2017.001.010,Self Portrait and Model,print
2017.001.028,Comrades in Arms,print
2017.001.034,"Heathcliff Under the Tree, from Wuthering Heights by Emily Brontë",print
2017.001.036,Brothers Karamazov: Grand Inquisitor,print
2017.001.037,Brothers Karamazov: Prone Figure at Stair,print
2017.001.040,The Light,print
2017.001.053a,Narrative cartoon in three pages (page 1),print
2017.001.053b,Narrative cartoon in three pages (page 2),print
2017.001.053c,Narrative cartoon in three pages (page 3),print
2017.001.054,Collage Hearts,
2017.001.060,Til Eulenspiegel: Treed Cat,print
2020.004,Manhattan Skyline,print
