accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0653P,en,"60000
·D·R·I",0.04504504504504504,0.6186186186186187,0.16356673960612692,0.3862144420131291,45,618,299,706
1979.0653P,,60000,0.04504504504504504,0.08808808808808809,0.3823851203501094,0.37089715536105033,45,88,699,678
1979.0653P,,·,0.3813813813813814,0.4344344344344344,0.1652078774617068,0.20568927789934355,381,434,302,376
1979.0653P,,D,0.3943943943943944,0.4544544544544545,0.16466083150984684,0.2051422319474836,394,454,301,375
1979.0653P,,·,0.4594594594594595,0.4934934934934935,0.16466083150984684,0.2051422319474836,459,493,301,375
1979.0653P,,R,0.4824824824824825,0.5535535535535535,0.16466083150984684,0.20459518599562362,482,553,301,374
1979.0653P,,·,0.5535535535535535,0.6106106106106106,0.16411378555798686,0.20459518599562362,553,610,300,374
1979.0653P,,I,0.5655655655655656,0.6186186186186187,0.16411378555798686,0.20459518599562362,565,618,300,374
1979.0655P,und,TO,0.931,0.997,0.06715806715806716,0.10319410319410319,931,997,82,126
1979.0655P,,TO,0.932,0.996,0.06715806715806716,0.10319410319410319,932,996,82,126
1979.0657P,und,411,0.7266514806378133,0.7539863325740319,0.24624624624624625,0.25725725725725723,957,993,246,257
1979.0657P,,411,0.7547456340167046,0.7274107820804859,0.25725725725725723,0.24724724724724725,994,958,257,247
1979.0658P,es,"W
es : *1",0.12012012012012012,0.5915915915915916,0.4890829694323144,0.8136826783114993,120,591,672,1118
1979.0658P,,W,0.12012012012012012,0.13613613613613615,0.8005822416302766,0.8136826783114993,120,136,1100,1118
1979.0658P,,es,0.5435435435435435,0.5535535535535535,0.4890829694323144,0.4949053857350801,543,553,672,680
1979.0658P,,:,0.5675675675675675,0.5715715715715716,0.49053857350800584,0.4949053857350801,567,571,674,680
1979.0658P,,*,0.5765765765765766,0.5825825825825826,0.4912663755458515,0.49563318777292575,576,582,675,681
1979.0658P,,1,0.5875875875875876,0.5915915915915916,0.49199417758369723,0.4963609898107715,587,591,676,682
1979.0688P,und,intisu,0.775,0.918,0.9638461538461538,0.9876923076923076,775,918,1253,1284
1979.0688P,,intisu,0.776,0.917,0.9638461538461538,0.9876923076923076,776,917,1253,1284
1979.0707P,hu,Sztereis,0.803,0.937,0.9144523655217109,0.950097213220998,803,937,1411,1466
1979.0707P,,Sztereis,0.804,0.936,0.9144523655217109,0.950097213220998,804,936,1411,1466
1979.0719P,en,"Thang Bleeding &
Drawn a Truck
Bece Signum
Parsak
W TEIGN TO
AA Assanhat
The
Saltbary Fiving
Trach g
DENOVIE",0.25425425425425424,0.996996996996997,0.3372384937238494,0.7380753138075313,254,996,403,882
1979.0719P,,Thang,0.25425425425425424,0.2922922922922923,0.497907949790795,0.507112970711297,254,292,595,606
1979.0719P,,Bleeding,0.2972972972972973,0.34034034034034033,0.49874476987447697,0.507949790794979,297,340,596,607
1979.0719P,,&,0.34434434434434436,0.34934934934934936,0.499581589958159,0.507112970711297,344,349,597,606
1979.0719P,,Drawn,0.27927927927927926,0.3153153153153153,0.507949790794979,0.5146443514644351,279,315,607,615
1979.0719P,,a,0.32732732732732733,0.3353353353353353,0.507112970711297,0.5138075313807532,327,335,606,614
1979.0719P,,Truck,0.33633633633633636,0.35935935935935936,0.507112970711297,0.5129707112970712,336,359,606,613
1979.0719P,,Bece,0.2732732732732733,0.2952952952952953,0.5179916317991632,0.5255230125523013,273,295,619,628
1979.0719P,,Signum,0.3013013013013013,0.3333333333333333,0.5179916317991632,0.5238493723849372,301,333,619,626
1979.0719P,,Parsak,0.4494494494494494,0.4144144144144144,0.3807531380753138,0.37656903765690375,449,414,455,450
1979.0719P,,W,0.4134134134134134,0.42342342342342343,0.3882845188284519,0.39330543933054396,413,423,464,470
1979.0719P,,TEIGN,0.42842842842842843,0.4594594594594595,0.38661087866108784,0.3907949790794979,428,459,462,467
1979.0719P,,TO,0.4624624624624625,0.4724724724724725,0.38410041841004183,0.3899581589958159,462,472,459,466
1979.0719P,,AA,0.6726726726726727,0.6626626626626627,0.4610878661087866,0.4535564853556485,672,662,551,542
1979.0719P,,Assanhat,0.6546546546546547,0.6056056056056056,0.4619246861924686,0.45523012552301256,654,605,552,544
