qid,label_en,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q83294324,Heather Luea,86C77E3B-111C-4BF8-923E-49EC6A4A4A52,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294327,Michelle Marcus,3C2C4696-4372-4E92-BE0A-90AC453B97BC,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294331,Kathleen McKiernan,544A5777-4A95-4844-8E39-1E5FF9BF5E3B,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294333,Andrea Moro,CA17A033-4F1A-4D04-928A-90E9CDEACC40,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294341,Sarah Quincy,A9C38224-5F7A-456D-8B4B-BBC3CDA4DB8C,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294347,Christina Rennhoff,F70993C1-A3F6-4404-85A7-6C0BA2CDFAA8,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294350,Joel Rodrigue,5CCE8D96-3052-42DC-8257-5E047D8DEE6F,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294355,Peter Rousseau,03CE5BEB-D6F0-42D3-B04F-8F2F634C760E,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294355,Peter Rousseau,B4F2F6D4-D211-47B6-B31A-CC993CE52A77,Q79117847,,,,,,,0854dd123f42f89a7de957bd4e9498e22737f5db,https://as.vanderbilt.edu/history/people/index.php?group=secondary-and-affiliated-appointments,5e77a71e2f906a75b43dc27ebe69ada8,2020-01-22T00:00:00Z,11
Q83294363,Rupinder Saggi,197B74D1-7771-4E70-8913-727A0B516D35,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294367,Zaruhi Sahakyan,66A82F37-9B9F-4842-BAD7-057086D36702,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294373,Pedro Sant'anna,B32949C1-D73F-40BC-9D26-D6E4FBDCBF58,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294376,Yuya Sasaki,334E68B4-70D7-4E56-86B5-FE7958E2AC59,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294381,Lesley J. Turner,CD338227-B8AC-4BAF-8FCD-9E7467F48556,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295477,John Weymark,1076FC93-451E-430A-B904-98C730BCE702,Q79117891,,,,,,,24947b47f1ece15460993511602b38d6e9e6215e,https://as.vanderbilt.edu/philosophy/people/,5e77a71e2f906a75b43dc27ebe69ada8,2020-01-22T00:00:00Z,11
Q83295477,John Weymark,31FBDA99-71AF-43D5-94DB-CAE7BB6F46F5,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295486,Matthew Zaragoza-Watkins,8A87CC4B-C6D9-4E56-A4E8-D68889604C13,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295491,Ariell Zimran,5751B7BF-3A3B-41B8-9E8C-726D13454994,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295514,Paige Skiba,3C6913C5-E9A6-4687-9CA6-88D905E8CE68,Q79117810,,,,,,,701c691ced49d3c91ddf742313fa3c06967a74b7,https://as.vanderbilt.edu/econ/people/index.php?group=joint-appointment,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295514,Paige Skiba,DF453280-076E-4B4F-A46A-8EECEB126C42,Q7914456,,,,,,,d43d6f78830702c4f6ae2b0b13ab5bdd9a09c05d,https://law.vanderbilt.edu/people/?type=resident,be22000638b3509c3a481d04f78778ca,2020-03-01T00:00:00Z,11
Q83295523,Adugna Olani,5DA09F97-BE7E-4957-B92D-0246A6A38504,Q79117810,,,,,,,ab0b7228e37b5c0d9ed8fb8173765443eb5199ec,https://as.vanderbilt.edu/econ/people/index.php?group=adjunct-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295529,Dario Sansone,C6A74D2C-45BC-44FC-9441-81278963D98C,Q79117810,,,,,,,ab0b7228e37b5c0d9ed8fb8173765443eb5199ec,https://as.vanderbilt.edu/econ/people/index.php?group=adjunct-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295537,Russell Spiker,18988880-B792-496A-B8E5-3CC95FA078FB,Q79117810,,,,,,,ab0b7228e37b5c0d9ed8fb8173765443eb5199ec,https://as.vanderbilt.edu/econ/people/index.php?group=adjunct-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83295537,Russell Spiker,3B80BF29-D2F0-435E-9C44-714ACC2BA070,Q79117930,,,,,,,d264d3863b66a34134cc4f4c8ff7b90ad0b74ef1,https://as.vanderbilt.edu//sociology/people/?group=affiliated-faculty,3a94d8fe5363b11f6ac8732b0b013bdf,2020-01-23T00:00:00Z,11
