qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec
Q101542377,James Duran,librarian,99F40582-4192-4D38-93CF-B10934F1E136,Q5,7493F366-FC4A-402A-B655-086CC89D9E81,Q6581097,,,,,,,9F8A8098-E4C0-4100-9AC2-5F1DBD76A393,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542378,Honora Eskridge,librarian,7DE55742-E135-48D1-8A38-367893BE0E59,Q5,9A27ED15-2C49-4992-BD21-A514B8545670,Q6581072,FE9B30C2-5332-4971-BA68-59D78D7A7947,0000-0003-0310-9952,818c31bd2e382ff588aaf7b6e11fa5248697d933,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11,8E17F681-95F2-429F-AE98-54F235501C3A,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542379,Leslie Foutch,librarian,322DF6D5-8187-477A-BD02-F5992E46A667,Q5,E5EC9CCC-9608-4016-A341-3AEC3D6EBCCB,Q6581072,,,,,,,24A40F40-1218-490A-AF24-9F7B45070C48,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542380,Jodi Gambill,librarian,7726F076-0007-436B-AF26-1CE056FD1F1A,Q5,6EBCC6DF-B9BE-42C5-B3A3-F367A90CD8A4,Q6581072,,,,,,,7B8B0085-1B8F-4018-BB36-334E19BBDD2A,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542382,Kasia Gonnerman,librarian,9CF0B473-498C-40FA-B4D8-FEE1E4D5B946,Q5,E8626376-1A85-4E2C-9AD8-7ECE48918C9B,Q6581072,,,,,,,5BE06CED-1135-4508-A70F-1E63AB8A53A0,Q29052,,,,,,,,,,,
Q101542389,Bill Hook,librarian,50E85F86-513E-4060-8877-8C5B4EE515A0,Q5,A210D457-C25A-468A-B42E-E6645A4C94BA,Q6581097,,,,,,,3514D6F0-8FEA-44C9-B56E-5ADA1624E7B4,Q29052,,,,,,,,,,,
Q101542392,Camille Ivey,librarian,7BE0CCF5-C003-4981-8C32-A1A29014FB1B,Q5,659D9F0C-BC73-4F5D-9587-7FA4C7EDE29A,Q6581072,,,,,,,DC1D452E-258C-4D8E-88F4-C7B19FD9741B,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542393,Stacy Curry-Johnson,geospatial librarian,60B86F68-B22F-4567-911A-5895A97AE253,Q5,7D189118-E040-43BD-9683-6330661ED2C5,Q6581072,,,,,,,D1193594-02B5-4A65-A3FE-7B945C41EAB4,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542394,Heather Laferriere,librarian,14562F94-97ED-4928-815C-EC7FCCB43592,Q5,364C4799-9E40-4041-835B-19956A5DC3CB,Q6581072,,,,,,,0A3CEDC6-0D62-4D38-9DCB-9F3C08C47EA2,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542395,Lee Ann Lannom,librarian,9AF6B1FB-6A11-4C4C-A3FF-45C71441B784,Q5,7B13158E-2A0A-4512-A4D3-9D170D9FFC97,Q6581072,,,,,,,920C331F-C086-4979-B511-7A26EBD253A7,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
