qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q103297175,weapon,axe,Axe head,Axe head,,,,axe
Q103297265,ceramics,bottle,Bear effigy water bottle with abstract design in black pigment,Bear effigy water bottle,,,abstract design in black pigment,bottle
Q103297298,sculpture,cat,Beckoning cat,Beckoning cat,,,,cat
Q103297330,work of art,belt,Belt,Belt,,,,belt
Q103297353,work of art,cutter,Betel Nut Cutter with a Design of a Peacock,Betel Nut Cutter,,of a Peacock,,cutter
Q103297365,work of art,cutter,Betel Nut Cutter with a Floral Design,Betel Nut Cutter,,,a Floral Design,cutter
Q103297486,textile,kimono,Black kimono with five family crests and design of grass orchids,Black kimono,,,five family crests and design of grass orchids,kimono
Q103297512,ceramics,bottle-vase,Blue and white bottle-vase with bamboo design,Blue and white bottle-vase,,,bamboo design,bottle-vase
Q103297518,ceramics,jar,Blue and white ginger jar with a carved wooded lid,Blue and white ginger jar,,,a carved wooded lid,jar
Q103297524,ceramics,jar,Blue and white ginger jar with lid,Blue and white ginger jar,,,lid,jar
Q103297532,ceramics,pitcher,Blue and white lidded sauce pitcher,Blue and white lidded sauce pitcher,,,,pitcher
Q103297588,sculpture,bodhisattva,Bodhisattva,Bodhisattva,,,,bodhisattva
Q103297592,sculpture,bodhisattva,Bodhisattva in Lotus position,Bodhisattva in Lotus position,,,,bodhisattva
Q103297600,weapon,fragment,Bone weapon (fragment),Bone weapon (fragment),,,,fragment
Q103297678,ceramics,bottle,Bottle in the shape of a sitting jaguar,Bottle,a sitting jaguar,,,bottle
Q103297684,ceramics,vase,Bottle Vase With Wax-Resistant Design of Grasses & Flowers on Both Sides,Bottle Vase,,,Wax-Resistant Design of Grasses & Flowers on Both Sides,vase
Q103297693,ceramics,bottle,Bottle with painted decoration,Bottle,,,painted decoration,bottle
Q103297702,ceramics,bottle,Bottle with stamped bird motif,Bottle,,,stamped bird motif,bottle
Q103297734,ceramics,bowl,Bowl in the form of a reclining man,Bowl,a reclining man,,,bowl
Q103297738,ceramics,bowl,Bowl with blue leaf design,Bowl,,,blue leaf design,bowl
Q103297745,ceramics,bowl,Bowl with pedestal,Bowl,,,pedestal,bowl
Q103297781,ceramics,stamp,Broken roller stamp incised with elaborate geometric designs,Broken roller stamp incised,,,elaborate geometric designs,stamp
Q103297859,ceramics,bottle,Brown ceramic bottle with hole on side,Brown ceramic bottle,,,hole on side,bottle
Q103297873,ceramics,cup,Brownish-green cup,Brownish-green cup,,,,cup
Q103297881,ceramics,glaze,"Brush holder, Northern oil-spot glaze","Brush holder, Northern oil-spot glaze",,,,glaze
Q103297892,sculpture,dais,Buddha on a dais,Buddha on a dais,,,,dais
Q103297898,sculpture,buddha,Buddha seated in lotus position,Buddha seated in lotus position,,,,buddha
Q103297906,sculpture,dais,Buddha seated on a dais,Buddha seated on a dais,,,,dais
Q103297912,sculpture,dais,Buddha seated on lotus dais,Buddha seated on lotus dais,,,,dais
Q103297918,work of art,robe,"Buddha wearing a plain monastic robe, in painted headdress, seated in dhyanasana position, hands in dhyana, seated on lotus base","Buddha wearing a plain monastic robe, in painted headdress, seated in dhyanasana position, hands in dhyana, seated on lotus base",,,,robe
Q103297924,sculpture,medal,Buddhist Medal with a Seated Figure Reading a Scroll,Buddhist Medal,,,a Seated Figure Reading a Scroll,medal
Q103297938,ceramics,pot,Buff Pot with Rim,Buff Pot,,,Rim,pot
Q103297990,ceramics,bust,Bust of Robert Burns,Bust of Robert Burns,,,,bust
Q103297996,sculpture,figure,"Butti, carved magical figure with cloth torso filled with pebbles","Butti, carved magical figure",,,cloth torso filled with pebbles,figure
Q103298071,work of art,stick,Candle stick in the shape of a ladder with one (musician) figure on the ladder near the top and two figures at the base,Candle stick,a ladder with one (musician) figure on the ladder near the top and two figures at the base,,,stick
Q103298077,work of art,candleholder,Candleholder,Candleholder,,,,candleholder
Q103298103,sculpture,bone,Carved bone in the shape of a claw,Carved bone,a claw,,,bone
Q103298110,sculpture,figure,Carved figure,Carved figure,,,,figure
Q103298116,sculpture,figure,Carved figure of a four-legged animal,Carved figure of a four-legged animal,,,,figure
Q103298122,sculpture,head,Carved human head,Carved human head,,,,head
Q103298129,sculpture,figure,Carved magical figure with pointed headdress,Carved magical figure,,,pointed headdress,figure
Q103298135,sculpture,* Noun not detected!,Carving of a Chinese landscape,Carving of a Chinese landscape,,,,* Noun not detected!
Q103298145,ceramics,vessel,Cashibo two-headed pottery vessel,Cashibo two-headed pottery vessel,,,,vessel
Q103298214,work of art,censer,"Censer in the shape of a chicken and a fish, antique style design",Censer,"a chicken and a fish, antique style design",,,censer
Q103298234,ceramics,bottle,Ceramic Bottle,Ceramic Bottle,,,,bottle
Q103298245,ceramics,* Noun not detected!,Ceramic bottle (one of a pair with 1979.0998P),Ceramic bottle (one of a pair,,,1979.0998P),* Noun not detected!
Q103298251,ceramics,jar,Ceramic Storage Jar,Ceramic Storage Jar,,,,jar
Q103298264,ceramics,jar,Ceramic storage jar with cream and red buff glazes,Ceramic storage jar,,,cream and red buff glazes,jar
Q103298269,work of art,axe,"Ceremonial axe; handle in nephrite, serpentine axe blade","Ceremonial axe; handle in nephrite, serpentine axe blade",,,,axe
Q103298272,sculpture,drum,Ceremonial drum in the shape of a male figure,Ceremonial drum,a male figure,,,drum
Q103298278,weapon,hatchet,Ceremonial hatchet with a copper handle,Ceremonial hatchet,,,a copper handle,hatchet
Q103298288,weapon,hatchet,Ceremonial hatchet with a snakeskin covered handle,Ceremonial hatchet,,,a snakeskin covered handle,hatchet
Q103298292,ceramics,caddy,Chaire (tea caddy),Chaire (tea caddy),,,,caddy
Q103298301,work of art,vase,Champion vase,Champion vase,,,,vase
Q103298308,sculpture,goddess,"Chang-e, the Moon Goddess","Chang-e, the Moon Goddess",,,,goddess
Q103298318,work of art,brazier,Charcoal brazier,Charcoal brazier,,,,brazier
Q103298335,work of art,scoop,Chashaku (tea scoop) with a design of a Banana Leaf,Chashaku (tea scoop),,of a Banana Leaf,,scoop
Q103298357,sculpture,farm,Checkers Up At the Farm,Checkers Up At the Farm,,,,farm
Q103298382,mask,mask,Chief's Amulet Mask,Chief's Amulet Mask,,,,mask
Q103298440,sculpture,ruler,Christ as Ruler of All with Five Standing Saints,Christ as Ruler of All,,,Five Standing Saints,ruler
Q103298472,work of art,mirror,Circular Mirror with a Design of a Family Crest with Paulownia,Circular Mirror,,of a Family Crest with Paulownia,,mirror
Q103298478,work of art,mirror,"Circular Mirror with a Design of a Flat Fan, Flowers, Two Birds, Grasses, and a Water Wheel",Circular Mirror,,"of a Flat Fan, Flowers, Two Birds, Grasses, and a Water Wheel",,mirror
Q103298486,work of art,mirror,Circular Mirror With a Design of Arrowroot,Circular Mirror,,of Arrowroot,,mirror
Q103298492,work of art,mirror,Circular Mirror with a Design of Chrysanthemums in a Circle,Circular Mirror,,of Chrysanthemums in a Circle,,mirror
Q103298503,work of art,mirror,"Circular Mirror with a Design of the Character for Long Life (kotobuki), and Chrysanthemums",Circular Mirror,,"of the Character for Long Life (kotobuki), and Chrysanthemums",,mirror
Q103298515,work of art,mirror,Circular Mirror with a Tortoise-Shell Pattern with Floral Motifs in Hexagons,Circular Mirror,,,a Tortoise-Shell Pattern with Floral Motifs in Hexagons,mirror
Q103298521,sculpture,mirror,"Circular Mirror with Outer Border of Early Seal Script Characters, Inner Border of 8 Scallops, and 8 Central Spirals",Circular Mirror,,,"Outer Border of Early Seal Script Characters, Inner Border of 8 Scallops, and 8 Central Spirals",mirror
Q103298529,mask,mask,Circumcision Mask,Circumcision Mask,,,,mask
Q103298568,sculpture,bell,Clapper-less Bell with a Winged Deity on a Bull,Clapper-less Bell,,,a Winged Deity on a Bull,bell
Q103298583,ceramics,hyman,Clay constructed; Salt-fired (Memorial Urn to Sylvia Hyman),Clay constructed; Salt-fired (Memorial Urn to Sylvia Hyman),,,,hyman
Q103298588,work of art,vase,Cloisonne vase,Cloisonne vase,,,,vase
Q103298619,textile,cloth,Cloth with a Design of a Mask and Decorative Border,Cloth,,of a Mask and Decorative Border,,cloth
Q103298626,weapon,club,Club,Club,,,,club
Q103298678,textile,obi,Complete Obi with a design of mountain landscape and men in boats,Complete Obi,,of mountain landscape and men in boats,,obi
Q103298725,ceramics,vessel,Cone-shapped vessel with human face and frogs,Cone-shapped vessel,,,human face and frogs,vessel
Q103298730,ceramics,container,Container in the shape of a jaguar,Container,a jaguar,,,container
Q103298738,work of art,container,Container in the shape of a llama,Container,a llama,,,container
Q103298742,ceramics,container,Container in the shape of a standing female figure,Container,a standing female figure,,,container
Q103298750,sculpture,container,Container with Five Peacocks on Lid,Container,,,Five Peacocks on Lid,container
Q103298758,ceramics,container,Container with human figure,Container,,,human figure,container
Q103298768,ceramics,container,Container with strap handle,Container,,,strap handle,container
Q103298776,ceramics,container,Container with the handle in the shape of a face,Container with the handle,a face,,,container
Q103298821,sculpture,copy,Copy of the discus thrower,Copy of the discus thrower,,,,copy
Q103298901,sculpture,lady,Court lady,Court lady,,,,lady
Q103298914,work of art,vase,"Covered vase in the shape of hu (antique bronze vessel) sitting on tree trunk with prunus leaves and two cranes, the cover with leaf-shaped knob",Covered vase,"hu (antique bronze vessel) sitting on tree trunk with prunus leaves and two cranes, the cover with leaf-shaped knob",,,vase
Q103298922,textile,lace,Cream lace,Cream lace,,,,lace
Q103298927,sculpture,figure,Crested figure,Crested figure,,,,figure
Q103298949,sculpture,corpus,Crowned Corpus of Christ (from a Limoges workshop),Crowned Corpus of Christ (from a Limoges workshop),,,,corpus
Q103299043,ceramics,dance,Dancer performing a No dance in the title Hagoromo (The Feathered Robe),Dancer performing a No dance in the title Hagoromo (The Feathered Robe),,,,dance
Q103299049,sculpture,relief,Dancing Deity Relief,Dancing Deity Relief,,,,relief
Q103299090,sculpture,david,David,David,,,,david
Q103299259,ceramics,ewer,"Ding ware ewer, incised with day lilies and flowing vines","Ding ware ewer, incised",,,day lilies and flowing vines,ewer
Q103299264,work of art,dish,Dish,Dish,,,,dish
Q103299294,work of art,doll,Doll,Doll,,,,doll
Q103299325,work of art,knocker,Door knocker in the shape of a hand,Door knocker,a hand,,,knocker
Q103299332,sculpture,netsuke,Double gourd netsuke with stained black design of willows and birds,Double gourd netsuke,,,stained black design of willows and birds,netsuke
Q103299337,ceramics,vase,"Double gourd vase with a red and gold ground and magnolia, camellia, and rose-mallow designs (Kutani ware)",Double gourd vase,,,"a red and gold ground and magnolia, camellia, and rose-mallow designs (Kutani ware)",vase
Q103299435,ceramics,mask,Eagle knight warrior figure wearing a mask,Eagle knight warrior figure wearing a mask,,,,mask
Q103299445,ceramics,tile,"Eave Tile with a Design of a Bird (Phoenix), from the Tomb of the 5th King of the Chosen Dynasty",Eave Tile,,"of a Bird (Phoenix), from the Tomb of the 5th King of the Chosen Dynasty",,tile
Q103299459,ceramics,tile,"Eave Tile with a Design of a Phoenix, from King Injo's Tomb in Channung, Korea",Eave Tile,,"of a Phoenix, from King Injo's Tomb in Channung, Korea",,tile
Q103299465,ceramics,tile,"Eave Tile with a Figure, from the Tomb of King Sanjo",Eave Tile,,,"a Figure, from the Tomb of King Sanjo",tile
Q103299526,ceramics,vase,Eight-sided Vase with main scene of a pheasant on a plum branch with acanthus and roses (Kutani ware),Eight-sided Vase,,,main scene of a pheasant on a plum branch with acanthus and roses (Kutani ware),vase
Q103299620,sculpture,figure,"Ere Ibeji, carved female twin figure with beads","Ere Ibeji, carved female twin figure",,,beads,figure
Q103299626,sculpture,figure,"Ere Ibeji, carved male twin figure","Ere Ibeji, carved male twin figure",,,,figure
Q103299640,sculpture,figure,"Ere Ibeji, carved male twin figure embellished with cowrie shells","Ere Ibeji, carved male twin figure embellished",,,cowrie shells,figure
Q103299650,sculpture,eve,Eve,Eve,,,,eve
Q103299660,ceramics,ewer,Ewer with an applied ribbon design and pale blue glaze except on the foot; qingbai ware,Ewer,,,an applied ribbon design and pale blue glaze except on the foot; qingbai ware,ewer
Q103299673,sculpture,male,Exercising Male with a Sword,Exercising Male,,,a Sword,male
Q103299697,work of art,case,Eyeglass Case,Eyeglass Case,,,,case
Q103299706,work of art,case,Eyeglass Case with a Design of a Leaping Carp and a Reed,Eyeglass Case,,of a Leaping Carp and a Reed,,case
Q103299758,ceramics,jar,Fang Hu (storage jar with lid),Fang Hu (storage jar,,,lid),jar
Q103299765,ceramics,deity,Female deity,Female deity,,,,deity
Q103299779,sculpture,figure,Female Figure,Female Figure,,,,figure
Q103299785,ceramics,figure,Female figure in ceremonial costume with baby on hip,Female figure in ceremonial costume,,,baby on hip,figure
Q103299793,ceramics,figure,Female figure with chevron design on chest,Female figure,,,chevron design on chest,figure
Q103299804,ceramics,figurine,Female standing figurine,Female standing figurine,,,,figurine
Q103299877,ceramics,boy,Figure (boy with bird),Figure (boy,,,bird),boy
Q103299887,ceramics,fragment,Figure fragment,Figure fragment,,,,fragment
Q103299898,sculpture,figure,Figure of a squatting flute player,Figure of a squatting flute player,,,,figure
Q103299919,sculpture,figure,"Figure of Wei-t'o (Viharapala), Protector of Law","Figure of Wei-t'o (Viharapala), Protector of Law",,,,figure
Q103299925,ceramics,vessel,Figure vessel,Figure vessel,,,,vessel
Q103299937,ceramics,figure,Figure with child in relief,Figure,,,child in relief,figure
Q103299949,sculpture,figure,Figure with folded hands,Figure,,,folded hands,figure
Q103299954,ceramics,figure,Figure with one hand on chest,Figure,,,one hand on chest,figure
Q103299963,ceramics,figure,Figure with transverse crown,Figure,,,transverse crown,figure
Q103299969,sculpture,* Noun not detected!,Finial of goats,Finial of goats,,,,* Noun not detected!
Q103299974,work of art,* Noun not detected!,Finial with a design of a standing figure flanked by two serpents,Finial,,of a standing figure flanked by two serpents,,* Noun not detected!
Q103299988,ceramics,fish,Fish with pattern scales,Fish,,,pattern scales,fish
Q103299999,work of art,adjustor,Fish-Shaped Hook Adjustor,Fish-Shaped Hook Adjustor,,,,adjustor
Q103300016,ceramics,bowl,Flaring bowl with human face,Flaring bowl,,,human face,bowl
Q103300023,ceramics,blue,"Flat-bottomed vase, iridescent blue","Flat-bottomed vase, iridescent blue",,,,blue
Q103300032,sculpture,piece,"Flat, carved piece of wood","Flat, carved piece of wood",,,,piece
Q103300095,sculpture,bowl,Footed bowl with dragon handle,Footed bowl,,,dragon handle,bowl
Q103300116,textile,scene,Forest Scene,Forest Scene,,,,scene
Q103300164,sculpture,crest,Four-faced crest,Four-faced crest,,,,crest
Q103300178,sculpture,fragment,Fragment of a sculpture of a male figure,Fragment of a sculpture of a male figure,,,,fragment
Q103300185,sculpture,fragment,Fragment of a sculpture with elephant head and trunk,Fragment of a sculpture,,,elephant head and trunk,fragment
Q103300192,ceramics,fragment,Fragment of Attic Black Figure,Fragment of Attic Black Figure,,,,fragment
Q103300226,work of art,pendant,Frog pendant,Frog pendant,,,,pendant
Q103300248,ceramics,figure,Funerary figure with ceremonial headdress,Funerary figure,,,ceremonial headdress,figure
Q103300253,ceramics,vase,Funnel-necked vase,Funnel-necked vase,,,,vase
Q103300259,textile,furashiki,Furashiki with a design of the character kotobuki,Furashiki,,of the character kotobuki,,furashiki
Q103300269,textile,furoshiki,Furoshiki with a design of a Buddhist temple gate and two flying angels,Furoshiki,,of a Buddhist temple gate and two flying angels,,furoshiki
Q103300281,textile,furoshiki,Furoshiki with a design of flying cranes on red background,Furoshiki,,of flying cranes on red background,,furoshiki
Q103300290,textile,furoshiki,Furoshiki with a design of four sections of landscapes,Furoshiki,,of four sections of landscapes,,furoshiki
Q103300296,textile,furoshiki,Furoshiki with a design of nine roundels,Furoshiki,,of nine roundels,,furoshiki
Q103300310,textile,furoshiki,Furoshiki with a design of three flying cranes against a red sun,Furoshiki,,of three flying cranes against a red sun,,furoshiki
Q103300412,ceramics,netsuke,Gambler's Netsuke with Dragon Design,Gambler's Netsuke,,,Dragon Design,netsuke
Q103300455,work of art,mask,Gelede cult mask,Gelede cult mask,,,,mask
Q103300516,sculpture,head,Gilded head of a Buddha,Gilded head of a Buddha,,,,head
Q103300595,work of art,vase,Glass Vase,Glass Vase,,,,vase
Q103300606,ceramics,cup,Glazed cup with blue and white design of a sparrow and peonies,Glazed cup,,,blue and white design of a sparrow and peonies,cup
Q103300617,ceramics,weight,Glazed teardrop shaped weight,Glazed teardrop shaped weight,,,,weight
Q103300627,ceramics,cup,Globular cup with a lotus petal design,Globular cup,,,a lotus petal design,cup
Q103300639,ceramics,jar,Globular Storage Jar,Globular Storage Jar,,,,jar
Q103300655,ceramics,goddess,Goddess with Headdress,Goddess,,,Headdress,goddess
Q103300683,sculpture,panel,Gothic carved wood panel,Gothic carved wood panel,,,,panel
Q103300715,ceramics,vase,Green vase with design of flowers and abstract patterning,Green vase,,of flowers and abstract patterning,,vase
Q103300728,ceramics,figure,Guardian figure,Guardian figure,,,,figure
Q103300773,work of art,bottle,Hair oil bottle with design in blue underglaze of samisen plectrum and six Chinese good luck symbols,Hair oil bottle,,in blue underglaze of samisen plectrum and six Chinese good luck symbols,,bottle
Q103300860,sculpture,prophet,Half-Figure Prophet,Half-Figure Prophet,,,,prophet
Q103300865,work of art,mirror,Hand mirror with flowers and birds,Hand mirror,,,flowers and birds,mirror
Q103300930,ceramics,figure,Head and torso from figure,Head and torso from figure,,,,figure
Q103300937,ceramics,figure,Head from a large figure,Head from a large figure,,,,figure
Q103300943,ceramics,figure,Head from figure,Head from figure,,,,figure
Q103300976,sculpture,head,Head of a boy,Head of a boy,,,,head
Q103300998,sculpture,head,Head of a Hindu Temple Guardian,Head of a Hindu Temple Guardian,,,,head
Q103301002,ceramics,head,Head of a warrior funerary figure,Head of a warrior funerary figure,,,,head
Q103301018,work of art,staff,Head to a cane or staff,Head to a cane or staff,,,,staff
Q103301027,ceramics,head,Head with beard and headdress,Head,,,beard and headdress,head
Q103301037,work of art,headrest,Headrest,Headrest,,,,headrest
Q103301070,sculpture,pulley,Heddle pulley in the shape of a carved figure,Heddle pulley,a carved figure,,,pulley
Q103301076,sculpture,pulley,Heddle pulley with carved head,Heddle pulley,,,carved head,pulley
Q103301082,sculpture,figure,"Heddle pulley, carved figure with ""x"" design on cheeks","Heddle pulley, carved figure",,,"""x"" design on cheeks",figure
Q103301089,sculpture,figure,"Heddle pulley, carved figure with horns","Heddle pulley, carved figure",,,horns,figure
Q103301096,sculpture,mask,Helmet or Cap Mask of the Gelede Society in the Yoruba Tribe,Helmet or Cap Mask of the Gelede Society in the Yoruba Tribe,,,,mask
Q103301141,work of art,burner,Hexagonal Incense Burner  with Floral Motifs on Background Meander Pattern,Hexagonal Incense Burner,,,Floral Motifs on Background Meander Pattern,burner
Q103301149,ceramics,vase,Hexagonal Vase with cobalt glaze,Hexagonal Vase,,,cobalt glaze,vase
Q103301173,sculpture,horseback,Hindu Deity on Horseback,Hindu Deity on Horseback,,,,horseback
Q103301180,sculpture,deity,Hindu Deity with a Sword,Hindu Deity,,,a Sword,deity
Q103301189,sculpture,bull,Hindu Goddess Standing on a Bull,Hindu Goddess Standing on a Bull,,,,bull
Q103301268,sculpture,fetish,Hook Fetish,Hook Fetish,,,,fetish
Q103301277,sculpture,groom,Horse Groom,Horse Groom,,,,groom
Q103301289,sculpture,sarcophagus,Horus Sarcophagus,Horus Sarcophagus,,,,sarcophagus
Q103301295,work of art,teapot,Hot water heater and teapot,Hot water heater and teapot,,,,teapot
Q103301302,work of art,teapot,Hot water heater and teapot with cloisonné insets,Hot water heater and teapot,,,cloisonné insets,teapot
Q103301313,ceramics,figure,Human figure,Human figure,,,,figure
Q103301320,ceramics,figure,Human figure with elaborate ornaments,Human figure,,,elaborate ornaments,figure
Q103301328,ceramics,bird,Human-headed bird,Human-headed bird,,,,bird
Q103301334,ceramics,figure,Hump-backed figure with cap in grey-green glaze,Hump-backed figure,,,cap in grey-green glaze,figure
Q103301349,ceramics,figure,Hunchback figure with one hand raised to the head,Hunchback figure,,,one hand raised to the head,figure
Q103301380,sculpture,figure,"Ibeji twin Figure, one of a pair of twin figures, female","Ibeji twin Figure, one of a pair of twin figures, female",,,,figure
Q103301386,sculpture,figure,"Ibeji twin figure, one of a pair of twin figures, male","Ibeji twin figure, one of a pair of twin figures, male",,,,figure
Q103301411,sculpture,icon,Icon depicting standing priestly figure,Icon,,standing priestly figure,,icon
Q103301518,sculpture,scene,Imaginary or Dream Scene,Imaginary or Dream Scene,,,,scene
Q103301571,ceramics,burner,Incense burner,Incense burner,,,,burner
Q103301583,work of art,burner,Incense burner,Incense burner,,,,burner
Q103301588,ceramics,doll,Incised Fertility Doll,Incised Fertility Doll,,,,doll
Q103301631,sculpture,container,Inro (medicine container) and netsuke,Inro (medicine container) and netsuke,,,,container
Q103301635,sculpture,inro,"Inro in four compartments with netsuke in the shape of a dog, including an ivory ojime on a silk cord",Inro in four compartments with netsuke,"a dog, including an ivory ojime on a silk cord",,,inro
Q103301713,sculpture,seal,Ivory seal with a design of a reclining elephant,Ivory seal,,of a reclining elephant,,seal
Q103301723,sculpture,seal,Ivory seal with an impression of a seated deity,Ivory seal,,,an impression of a seated deity,seal
Q103301735,ceramics,figure,Jackal figure,Jackal figure,,,,figure
Q103301740,sculpture,cong,Jade Cong,Jade Cong,,,,cong
Q103301747,work of art,stem,Jade wedding pipe stem,Jade wedding pipe stem,,,,stem
Q103301794,ceramics,jar,Jar with incised spiral designs,Jar,,,incised spiral designs,jar
Q103301806,ceramics,jar,Jar with two loop handles,Jar,,,two loop handles,jar
Q103301934,ceramics,vase,Kangxi ware vase,Kangxi ware vase,,,,vase
Q103301944,work of art,ornament,Kanzashi (Woman's Hair Ornament),Kanzashi (Woman's Hair Ornament),,,,ornament
Q103301949,work of art,ornament,Kanzashi (Woman's hair ornament) with a Design of a Peony on Both Sides,Kanzashi (Woman's hair ornament),,of a Peony on Both Sides,,ornament
Q103302091,work of art,dropper,Kidney-Shaped Suiteki (water dropper),Kidney-Shaped Suiteki (water dropper),,,,dropper
Q103302120,sculpture,figure,Kneeling female figure,Kneeling female figure,,,,figure
Q103302127,ceramics,figure,Kneeling female figure with large ear spools,Kneeling female figure,,,large ear spools,figure
Q103302136,ceramics,figure,Kneeling female figure with spots of brown glaze,Kneeling female figure,,,spots of brown glaze,figure
Q103302142,ceramics,effigy,Kneeling female human effigy,Kneeling female human effigy,,,,effigy
Q103302150,ceramics,figure,Kneeling figure with bundle on back,Kneeling figure,,,bundle on back,figure
Q103302170,work of art,dagger,Kogai (Dagger Handle) with a Design of a Phoenix and Paulownia Blossoms and Leaves,Kogai (Dagger Handle),,of a Phoenix and Paulownia Blossoms and Leaves,,dagger
Q103302177,ceramics,container,Kogo (Incense Container) in the form of a papier-maché tiger folk toy,Kogo (Incense Container),a papier-maché tiger folk toy,,,container
Q103302347,work of art,box,Lacquer box with deer and tree motif,Lacquer box,,,deer and tree motif,box
Q103304422,ceramics,head,Large hollow head,Large hollow head,,,,head
Q103304427,ceramics,figure,Large seated hollow figure of a woman,Large seated hollow figure of a woman,,,,figure
Q103304434,ceramics,container,Large tapering container with abstract slip design,Large tapering container,,,abstract slip design,container
Q103304609,ceramics,jar,Lidded jar with a design in blue under glaze of a boy in a landscape,Lidded jar,,in blue under glaze of a boy in a landscape,,jar
Q103304616,work of art,legs,Lidded rectangular vessel on four tall round legs in the form of fang ting (bronze vessel) Traditional mask carving to the front of vessel,Lidded rectangular vessel on four tall round legs,fang ting (bronze vessel) Traditional mask carving to the front of vessel,,,legs
Q103304621,work of art,censer,Lidded round censer with lotus pattern and lion head handles with loose rings,Lidded round censer,,,lotus pattern and lion head handles with loose rings,censer
Q103304626,work of art,censer,"Lidded, Four-Legged Censer","Lidded, Four-Legged Censer",,,,censer
Q103304644,ceramics,stick,Limoge candle stick,Limoge candle stick,,,,stick
Q103304649,sculpture,lion,Lion of St. Mark,Lion of St. Mark,,,,lion
Q103304690,ceramics,vase,Long Neck vase with a red and gold swirl pattern (Kutani ware),Long Neck vase,,,a red and gold swirl pattern (Kutani ware),vase
Q103304703,sculpture,flowers,Lotus Flowers in a Wood Vase (Ornament for a scholar's table),Lotus Flowers in a Wood Vase (Ornament for a scholar's table),,,,flowers
Q103304730,work of art,credenza,Louis XVI Style Credenza,Louis XVI Style Credenza,,,,credenza
Q103304751,sculpture,figure,Luluwa (carved magical figure),Luluwa (carved magical figure),,,,figure
Q103304834,work of art,pendant,Magical chest pendant with boar tusks,Magical chest pendant,,,boar tusks,pendant
Q103304839,sculpture,figure,Magical figure,Magical figure,,,,figure
Q103304843,work of art,pendant,Magical pendant,Magical pendant,,,,pendant
Q103304869,sculpture,figure,Male figure,Male figure,,,,figure
Q103304875,sculpture,figure,Male figure with a bird head,Male figure,,,a bird head,figure
Q103304887,ceramics,figurine,Male standing figurine,Male standing figurine,,,,figurine
Q103304939,ceramics,dog,Man holding a dog,Man holding a dog,,,,dog
Q103304980,sculpture,head,Man's Head,Man's Head,,,,head
Q103304988,textile,kimono,Man's Padded Winter Kimono with a Design of Squares,Man's Padded Winter Kimono,,of Squares,,kimono
Q103304996,textile,sash,Man's Silk Obi (Kimono Sash) with Tie-Dye Design of White Geometric Forms at Both Ends,Man's Silk Obi (Kimono Sash),,,Tie-Dye Design of White Geometric Forms at Both Ends,sash
Q103305004,ceramics,mandolin,Mandolin,Mandolin,,,,mandolin
Q103305031,work of art,table,Marble-topped table,Marble-topped table,,,,table
Q103305057,furniture,stool,Marital stool with male and female caryatids,Marital stool,,,male and female caryatids,stool
Q103305073,work of art,mirror,"Marriage Mirror with a Design of Two Cranes, a Tortoise, and a Pine Tree",Marriage Mirror,,"of Two Cranes, a Tortoise, and a Pine Tree",,mirror
Q103305107,mask,mask,Mask,Mask,,,,mask
Q103305119,sculpture,mask,Mask,Mask,,,,mask
Q103305153,sculpture,maz,Maz,Maz,,,,maz
Q103305271,work of art,comb,Miniature hair comb,Miniature hair comb,,,,comb
Q103305277,ceramics,pipe,Miniature pipe in human form,Miniature pipe in human form,,,,pipe
Q103305317,work of art,mirror,Mirror with a Design of a Butterfly and a Border with Peonies,Mirror,,of a Butterfly and a Border with Peonies,,mirror
Q103305327,work of art,mirror,"Mirror with a Design of Mt. Fuji, Clouds, Waves, Pine Trees, and a Pavilion",Mirror,,"of Mt. Fuji, Clouds, Waves, Pine Trees, and a Pavilion",,mirror
Q103305335,work of art,mirror,"Mirror with a Design of Plum Blossoms and Two Characters Meaning ""Flower"" (upper right) and ""Moon"" (lower left)",Mirror,,"of Plum Blossoms and Two Characters Meaning ""Flower"" (upper right) and ""Moon"" (lower left)",,mirror
Q103305340,work of art,mirror,"Mirror with a Design of Two Birds, a Stream, Flowers, and Rocks",Mirror,,"of Two Birds, a Stream, Flowers, and Rocks",,mirror
Q103305378,ceramics,jar,Mizusashi (Tea Ceremony Water Jar),Mizusashi (Tea Ceremony Water Jar),,,,jar
Q103305411,work of art,sorter,Money Sorter,Money Sorter,,,,sorter
Q103305420,sculpture,figure,Monkey figure with turned head,Monkey figure,,,turned head,figure
Q103305430,ceramics,monkey,Mono (monkey) figurine,Mono (monkey) figurine,,,,monkey
Q103305435,sculpture,trachant,"Monsieur Lefebvre, L'Esprit Fin et Trachant","Monsieur Lefebvre, L'Esprit Fin et Trachant",,,,trachant
Q103305621,textile,mask,Mwaashmboy Mushal (King's Mask),Mwaashmboy Mushal (King's Mask),,,,mask
Q103305667,work of art,necklace,Nassa shell necklace,Nassa shell necklace,,,,necklace
Q103305673,textile,textile,Navy blue and white textile,Navy blue and white textile,,,,textile
Q103305692,work of art,toggle,Netsuke (Toggle) in the Form of a Bearded Man Seated on a Partially Unrolled Scroll,Netsuke (Toggle),a Bearded Man Seated on a Partially Unrolled Scroll,,,toggle
Q103305702,work of art,toggle,Netsuke (Toggle) in the Form of a Demon Noh Mask,Netsuke (Toggle),a Demon Noh Mask,,,toggle
