qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102962651,ceramics,bowl,Bowl with red medallion design of landscape with pheasant (Kutani ware),Bowl,,,red medallion design of landscape with pheasant (Kutani ware),bowl
Q102962660,ceramics,bowl,Bowl with scholars objects and precious things,Bowl,,,scholars objects and precious things,bowl
Q102962667,work of art,bowl,Bowl with three handles in the shape of leopards,Bowl with three handles,leopards,,,bowl
Q102962676,ceramics,bowl,Bowl with three written characters for the number 2,Bowl,,,three written characters for the number 2,bowl
Q102962685,ceramics,bowl,Bowl with under glaze blue border and flower design in center with four leaf designs on the underside,Bowl,,,under glaze blue border and flower design in center with four leaf designs on the underside,bowl
Q102962696,work of art,box,Box,Box,,,,box
Q102962716,work of art,figurine,Brass figurine,Brass figurine,,,,figurine
Q102962736,ceramics,vase,Bright blue pottery vase,Bright blue pottery vase,,,,vase
Q102962742,work of art,bowl,Bright Green Bowl,Bright Green Bowl,,,,bowl
Q102962750,work of art,vessel,Bronze dragon handled vessel,Bronze dragon handled vessel,,,,vessel
Q102962760,work of art,gong,Bronze gong,Bronze gong,,,,gong
Q102962766,work of art,mirror,Bronze mirror with a design of phoenix and bamboo,Bronze mirror,,of phoenix and bamboo,,mirror
Q102962779,ceramics,pitcher,Brown and cream glazed pitcher,Brown and cream glazed pitcher,,,,pitcher
Q102962786,work of art,bottle,Brown bottle,Brown bottle,,,,bottle
Q102962796,ceramics,pitcher,Brown ceramic pitcher,Brown ceramic pitcher,,,,pitcher
Q102962805,ceramics,pitcher,Brown Glazed Pottery Pitcher,Brown Glazed Pottery Pitcher,,,,pitcher
Q102962810,ceramics,pot,Brown one handled pottery pot,Brown one handled pottery pot,,,,pot
Q102962815,ceramics,pot,Brown pot with rim,Brown pot,,,rim,pot
Q102962823,ceramics,bowl,Brown Pottery Bowl,Brown Pottery Bowl,,,,bowl
Q102962829,ceramics,pitcher,Brown Pottery Pitcher,Brown Pottery Pitcher,,,,pitcher
