noun,freq,nomenclature,n_pref,wikidata,w_pref,getty,g_pref
musical instrument,1,10655,Musical Instruments,Q34379,musical instrument,300041620,musical instruments
pen holder,1,11499,Pen Holder,Q107197368,pencil/pen holder,300411361,pen holders
pin,1,2081,Clothing Pin,Q29405120,pin,300423336,clothing pin
placemat,1,5010,Placemat,Q1757989,placemat,300204964,placemats
planter,1,1502,Planter,Q869381,flowerpot,300237566,planters (containers)
powder horn,1,7870,Powder Horn,Q7236012,powder horn,300225671,powder horns
purse,1,2856,Purse,Q467505,handbag,300046230,purse
quilt,1,12924,Art Quilt ,Q1064538,quilt,300197990,quilts
robe,1,2459,Robe,Q345127,robe,300209852,robes (main garments)
sarcophagus,1,12999,Sarcophagus,Q48634,sarcophagus,300005947,sarcophagi (coffins)
scales,1,10357,Scale,Q134566,weighing scale,300196293,scales (weighing devices)
scroll,1,13790,Scroll,Q720106,scroll,300028629,scrolls (information artifacts)
spindle,1,7095,Spindle,Q213761,spindle,300265738,spindles (textile working equipment)
stained glass,1,15116,Stained Glass,Q1473346,stained glass,300263722,stained glass (visual works)
steamer,1,4004,Steamer,Q1158805,food steamer,300198949,steamers (cookware)
stirrup,1,11980,Stirrup,Q191657,stirrup,300255573,stirrups
stool,1,1158,Stool,Q33163,stool,300038418,stools (seating furniture)
sword ornament,1,,,Q107471838,edged weapon component,300037110,edged weapon components
table,1,1349,Table,Q14748,table,300039548,tables (support furniture)
tablecloth,1,5011,Tablecloth,Q536168,tablecloth,300204969,tablecloths
throne,1,,,Q189233,throne,300038141,thrones
toy,1,14815,Toy,Q11422,toy,300211037,toys (recreational artifacts)
trivet,1,4036,Trivet,Q2569925,trivet,300216958,trivets
tub,1,11782,Tub,Q38942,tub,300195311,tubs (containers)
underclothing,1,2626,Underwear,Q198763,undergarment,300209267,underwear
walking stick,1,2805,Walking Stick,Q1347864,walking stick,300221268,walking sticks
wall hanging,1,1448,Wall Hanging,Q44740228,wall hanging,300204886,wall hangings
yarn,1,7141,Yarn,Q49007,yarn,300014252,yarn
