accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2001.090,,S,0.102,0.211,0.3139240506329114,0.4588607594936709,102,211,496,725
2001.090,,+,0.22,0.282,0.31329113924050633,0.4582278481012658,220,282,495,724
2001.090,,H,0.323,0.423,0.31329113924050633,0.4582278481012658,323,423,495,724
2001.090,,+,0.445,0.504,0.31265822784810127,0.45759493670886076,445,504,494,723
2001.090,,O,0.525,0.646,0.31265822784810127,0.45759493670886076,525,646,494,723
2001.090,,+,0.652,0.718,0.3120253164556962,0.4569620253164557,652,718,493,722
2001.090,,W,0.75,0.877,0.3120253164556962,0.4569620253164557,750,877,493,722
2001.090,,NOV.22,0.107,0.438,0.4854430379746835,0.5759493670886076,107,438,767,910
2001.090,,★,0.455,0.572,0.48670886075949366,0.5759493670886076,455,572,769,910
2001.090,,6:30,0.581,0.808,0.4873417721518987,0.5772151898734177,581,808,770,912
2001.090,,PM,0.801,0.89,0.4879746835443038,0.5772151898734177,801,890,771,912
2001.090,,GRAND,0.108,0.328,0.6107594936708861,0.670253164556962,108,328,965,1059
2001.090,,OLE,0.346,0.465,0.6120253164556962,0.6708860759493671,346,465,967,1060
2001.090,,OPRY,0.487,0.662,0.6126582278481013,0.6715189873417722,487,662,968,1061
2001.090,,HOUSE,0.686,0.895,0.6132911392405064,0.6727848101265823,686,895,969,1063
2001.090,,ON,0.105,0.186,0.8012658227848102,0.8278481012658228,105,186,1266,1308
2001.090,,STAGE,0.079,0.215,0.8468354430379746,0.8873417721518987,79,215,1338,1402
2001.090,,IN,0.802,0.864,0.8,0.829746835443038,802,864,1264,1311
2001.090,,PERSON,0.752,0.921,0.8493670886075949,0.8867088607594936,752,921,1342,1401
2001.090,,HATCH,0.748,0.788,0.9512658227848101,0.9569620253164557,748,788,1503,1512
2001.090,,SHOW,0.797,0.833,0.9512658227848101,0.9569620253164557,797,833,1503,1512
2001.090,,PRINT,0.841,0.877,0.9512658227848101,0.9569620253164557,841,877,1503,1512
2001.090,,-,0.884,0.889,0.9512658227848101,0.9569620253164557,884,889,1503,1512
2001.090,,m.fred,0.893,0.93,0.9512658227848101,0.9569620253164557,893,930,1503,1512
