act_id,flickr_id,license,new_license,url
54334,3571938407,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721293, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634138, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3571938407/
54335,3572753772,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721293, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634138, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3572753772/
54336,4265934026,by-nc/2.0/,All Rights Reserved,http://www.flickr.com/photos/40843170@N02/4265934026/
54386,2848857911,by-nc-nd/2.0/,,http://www.flickr.com/photos/d1v1d/2848857911/
54339,3549919373,by/2.0/,,http://www.flickr.com/photos/bigberto/3549919373/
54340,2831885038,by-nc-nd/2.0/,,http://www.flickr.com/photos/riot/2831885038/
54342,4366367659,by-nc/2.0/,,http://www.flickr.com/photos/dragonpreneur/4366367659/
54354,2723654105,by-nc-sa/2.0/,,http://www.flickr.com/photos/24443965@N08/2723654105/
54344,3481306467,,,http://www.flickr.com/photos/laurasue/3481306467/
54345,3555052980,by-nd/2.0/,,http://www.flickr.com/photos/martinvirtualtours/3555052980/
54346,2744904354,,,http://www.flickr.com/photos/yourdon/2744904354/in/set-72157606611500226/
54351,111045024,by-nc-sa/2.0/,,http://www.flickr.com/photos/skip/111045024/
54353,307851438,by-nc/2.0/,,http://www.flickr.com/photos/aeortiz/307851438/
54356,268820093,by-sa/2.0/,,http://www.flickr.com/photos/debaird/268820093/
54357,1588593670,"[{'date_change': 1240563236, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'Attribution License', 'new_license_url': 'https://creativecommons.org/licenses/by/2.0/'}, {'date_change': 1245276209, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}]",,http://www.flickr.com/photos/kwerfeldein/1588593670/
54350,3580213825,"[{'date_change': 1330756731, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-ShareAlike License', 'new_license_url': 'https://creativecommons.org/licenses/by-sa/2.0/'}, {'date_change': 1330850295, 'old_license': 'Attribution-ShareAlike License', 'old_license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1492308871, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'Attribution-NonCommercial-ShareAlike License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-sa/2.0/'}]",,http://www.flickr.com/photos/eustaquio/3580213825/
54358,2872370482,All Rights Reserved,by-nc-sa/2.0/,http://www.flickr.com/photos/citizensheep/2872370482/
54359,1871908002,by/2.0/,,http://www.flickr.com/photos/nouveau/1871908002/
54392,2422986231,All Rights Reserved,by-nc/2.0/,http://www.flickr.com/photos/brokendrumphotography/2422986231/
