accession_number,mid,description,score,topicality
1979.1132P,/m/03gq5hm,Font,0.722575,0.722575
1979.1186P,/m/03gq5hm,Font,0.83550984,0.83550984
1979.1186P,/m/01n5jq,Poster,0.7621718,0.7621718
1979.1186P,/m/016pp7,Happy,0.7085182,0.7085182
1979.1186P,/m/0j62f,Rectangle,0.7078588,0.7078588
1979.1186P,/m/05p553,Comedy,0.70236576,0.70236576
1979.1186P,/m/0bby24z,Moustache,0.670424,0.670424
1979.1186P,/m/011s0,Advertising,0.6440874,0.6440874
1979.1186P,/m/0hgs54_,Costume hat,0.63524383,0.63524383
1979.1186P,/m/0ds5b,Facial hair,0.63263625,0.63263625
1979.1186P,/m/09kqc,Humour,0.62086403,0.62086403
1979.1187P,/m/04cvmfc,Roar,0.9612137,0.9612137
1979.1187P,/m/0307l,Felidae,0.90031385,0.90031385
1979.1187P,/m/01lrl,Carnivore,0.89664507,0.89664507
1979.1187P,/m/01k9lj,Jaw,0.8816484,0.8816484
1979.1187P,/m/0cdnk,Big cats,0.83864236,0.83864236
1979.1187P,/m/0jjw,Art,0.832525,0.832525
1979.1187P,/m/05qdh,Painting,0.8096723,0.8096723
1979.1187P,/m/03g_gn8,Fang,0.8058746,0.8058746
1979.1187P,/m/0fbf1m,Terrestrial animal,0.7867004,0.7867004
1979.1187P,/m/096mb,Lion,0.7832282,0.7832282
1979.1188P,/m/01h1dd,Publication,0.8724459,0.8724459
1979.1188P,/m/0bt_c3,Book,0.8684224,0.8684224
1979.1188P,/m/03gq5hm,Font,0.84265393,0.84265393
1979.1188P,/m/09xbm8,Book cover,0.71312344,0.71312344
1979.1188P,/m/05t_yt,Carmine,0.6146895,0.6146895
1979.1188P,/m/011s0,Advertising,0.60666335,0.60666335
1979.1188P,/m/06zsq,Sign,0.59267133,0.59267133
1979.1188P,/m/0j62f,Rectangle,0.591729,0.591729
1979.1188P,/m/01kr8f,Illustration,0.58653116,0.58653116
