accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1980.024,Person,0.6335369,0.17428873,0.27163494,0.69917935,0.8955097,174,272,938,1202
1980.024,Person,0.600743,0.6737899,0.9019036,0.5900597,0.8598717,674,902,792,1154
1980.024,Animal,0.5815943,0.6986094,0.83990234,0.7588825,0.9207649,699,840,1018,1236
1980.024,Person,0.5696183,0.3765836,0.5656716,0.5284158,0.95415163,377,566,709,1280
1980.024,Person,0.5567745,0.09680458,0.17699121,0.6854444,0.9070403,97,177,920,1217
1980.042,Picture frame,0.5755773,0.0040015406,0.9937783,0.007237105,0.99657375,6,1503,7,997
1980.044,Lighting,0.6830036,0.28076622,0.8724508,0.0,0.6347188,281,872,0,958
1980.046,Packaged goods,0.7132636,0.026610842,0.98488575,0.0035450582,0.9729867,27,985,5,1254
1980.048,Person,0.5074303,0.23476313,0.60110193,0.18628126,0.90294796,286,732,186,903
1980.053,Packaged goods,0.61803275,0.26258042,0.57345074,0.26416466,0.753783,341,745,264,753
1980.053,Packaged goods,0.54559934,0.80522084,0.93640417,0.52373964,0.722025,1047,1217,523,721
1980.053,Packaged goods,0.54030085,0.047506705,0.39400798,0.2818013,0.720248,62,512,282,720
1980.053,Packaged goods,0.51003116,0.7780408,0.92487526,0.7189371,0.89127594,1011,1202,718,890
1980.056,Animal,0.6675572,0.29714128,0.70096964,0.36020342,0.63916045,449,1059,360,639
1980.056,Picture frame,0.58317006,0.011258115,0.96697134,0.02986207,0.9694665,17,1461,30,969
1980.057,Picture frame,0.927087,0.054916706,0.877013,0.09893014,0.9172454,73,1169,99,917
1980.066,Bracelet,0.78479505,0.8360557,0.9956195,0.29188177,0.5718116,1698,2022,292,572
1980.066,Bracelet,0.7225367,0.75635904,0.9208167,0.0,0.30629852,1536,1870,0,306
1980.066,Bracelet,0.6018747,0.42770144,0.637904,0.0007751759,0.40859964,869,1296,1,409
1980.068,Packaged goods,0.5768595,0.142791,0.5174218,0.08266125,0.6079198,291,1053,83,608
1980.070,Packaged goods,0.75403166,0.010046863,0.9813473,0.020693868,0.9973959,13,1289,21,997
1980.086,Packaged goods,0.52901167,0.0039180145,0.9973958,0.0,0.9973958,4,996,0,1280
1980.090,Animal,0.75235295,0.122704685,0.35492036,0.2159716,0.83800197,123,355,273,1058
1980.090,Animal,0.63947606,0.38175058,0.96689326,0.17656092,0.9339025,381,966,223,1179
1980.091,Hat,0.6671781,0.13094473,0.8650832,0.09119001,0.9426124,131,865,108,1119
1980.091,Packaged goods,0.5357685,0.13185656,0.8712074,0.0855144,0.8971361,132,871,102,1065
1980.096,Packaged goods,0.5659966,0.18080007,0.85812646,0.17430155,0.7324315,181,858,232,976
1980.096,Luggage & bags,0.5128031,0.18925846,0.86367315,0.16337317,0.7563441,189,864,218,1008
1980.097,Packaged goods,0.5645933,0.05665123,0.9973958,0.00796649,0.9973958,75,1313,8,997
1980.098,Pillow,0.63802814,0.0057283384,0.9833214,0.00919424,0.9467468,8,1296,9,947
1980.101,Packaged goods,0.5290816,0.06229393,0.9973958,0.0102631105,0.9973958,82,1315,10,997
1980.102,Lighting,0.5030534,0.0035375084,0.9842217,0.007599361,0.98557013,5,1319,8,986
1980.103,Animal,0.6011242,0.2759743,0.36803785,0.22187047,0.33574548,364,485,222,336
1980.103,Animal,0.5600515,0.22467615,0.30771467,0.22589304,0.3574482,296,406,226,357
1980.104,Pillow,0.5910317,0.0066467132,0.9924354,0.030867716,0.9658099,9,1322,31,965
1980.105,Pillow,0.61940724,0.0045953807,0.9894414,0.0077490243,0.94637346,6,1290,8,946
1980.106,Pillow,0.5865562,0.0068035405,0.98583007,0.009901569,0.971755,9,1299,10,972
1980.107,Animal,0.5936489,0.6304892,0.81194764,0.57973605,0.8783388,818,1054,580,878
1980.107,Pillow,0.5254617,0.041972157,0.98741794,0.032676317,0.98218375,54,1282,33,982
1980.107,Luggage & bags,0.5017364,0.19222645,0.29413435,0.6161857,0.7860486,250,382,616,786
1980.108,Animal,0.57739866,0.26347145,0.36495087,0.22515143,0.34153375,345,477,225,342
1980.108,Animal,0.57397115,0.033448797,0.1789413,0.43795297,0.59348446,44,234,438,593
1980.108,Animal,0.5706907,0.2241262,0.30734506,0.22909586,0.35569057,293,402,229,356
1980.108,Packaged goods,0.5122619,0.0017943323,0.99552983,0.0,0.9973958,2,1302,0,997
1980.111,Painting,0.9367454,0.014699197,0.989737,0.019025808,0.94798714,7,499,7,364
1980.112,Packaged goods,0.54593205,0.02798745,0.98315656,0.019280637,0.973598,38,1320,19,974
1980.113,Painting,0.85993683,0.0009719981,0.98976207,0.015374691,0.9718938,0,499,6,373
1980.114,Packaged goods,0.6654407,0.015698245,0.9902869,0.008472553,0.96756023,21,1306,8,968
1980.117,Packaged goods,0.60632175,0.008303955,0.99687093,0.0,0.9869075,11,1351,0,986
