accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0884P,,G.,0.31654676258992803,0.32434052757793763,0.69,0.703,528,541,690,703
1979.0884P,,Wowbiod,0.3261390887290168,0.3657074340527578,0.69,0.702,544,610,690,702
1979.0884P,,K.,0.8267386091127098,0.8393285371702638,0.947,0.962,1379,1400,947,962
1979.0884P,,Du,0.8411270983213429,0.8567146282973621,0.947,0.962,1403,1429,947,962
1979.0884P,,Jardin,0.8615107913669064,0.894484412470024,0.947,0.962,1437,1492,947,962
1979.0908P,und,k,0.12534059945504086,0.14168937329700274,0.98,0.988,46,52,490,494
1979.0908P,,k,0.12534059945504086,0.14168937329700274,0.98,0.988,46,52,490,494
1979.0909P,de,"Nach Brecklin.camp
ruc. v:
wlinger.",0.3166175024582104,0.6529006882989183,0.895,0.993,322,664,895,993
1979.0909P,,Nach,0.3176007866273353,0.38839724680432647,0.901,0.937,323,395,901,937
1979.0909P,,Brecklin.camp,0.3913470993117011,0.5457227138643068,0.901,0.936,398,555,901,936
1979.0909P,,ruc,0.41297935103244837,0.4473942969518191,0.956,0.969,420,455,956,969
1979.0909P,,.,0.4464110127826942,0.45624385447394294,0.955,0.969,454,464,955,969
1979.0909P,,v,0.4631268436578171,0.4768928220255654,0.954,0.967,471,485,954,967
1979.0909P,,:,0.4768928220255654,0.4857423795476893,0.953,0.967,485,494,953,967
1979.0909P,,wlinger,0.4916420845624385,0.6135693215339233,0.936,0.993,500,624,936,993
1979.0909P,,.,0.6293018682399213,0.6529006882989183,0.937,0.992,640,664,937,992
1979.0911P,fr,"Du Cabinet de MC.
De la grandeur
4.3
Bines Sculps
le Duc de Choiseul
de 10 pouces sur 8",0.07007007007007007,0.933933933933934,0.034509803921568626,0.9780392156862745,70,933,44,1247
1979.0911P,,Du,0.07007007007007007,0.13113113113113112,0.92,0.9443137254901961,70,131,1173,1204
1979.0911P,,Cabinet,0.14414414414414414,0.2702702702702703,0.9176470588235294,0.9411764705882353,144,270,1170,1200
