qid,label_en,description_en,instance_of_uuid,instance_of,handle_uuid,handle,handle_ref1_hash,handle_ref1_retrieved_nodeId,handle_ref1_retrieved_val,handle_ref1_retrieved_prec,full_text_available_uuid,full_text_available,full_text_available_ref1_hash,full_text_available_ref1_retrieved_nodeId,full_text_available_ref1_retrieved_val,full_text_available_ref1_retrieved_prec,published_uuid,published_nodeId,published_val,published_prec,published_ref1_hash,published_ref1_referenceUrl,published_ref1_retrieved_nodeId,published_ref1_retrieved_val,published_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,language_uuid,language,language_ref1_hash,language_ref1_referenceUrl,language_ref1_retrieved_nodeId,language_ref1_retrieved_val,language_ref1_retrieved_prec,dissert_submit_to_uuid,dissert_submit_to,dissert_submit_to_ref1_hash,dissert_submit_to_ref1_referenceUrl,dissert_submit_to_ref1_retrieved_nodeId,dissert_submit_to_ref1_retrieved_val,dissert_submit_to_ref1_retrieved_prec
,"""On account of you I have no translator!"" Michael Chabon and Cynthia Ozick's Literary Conceptions of Intergenerational Yiddishlands",master's thesis,,Q1907875,,http://hdl.handle.net/1803/16362,,,2022-04-08,,,http://hdl.handle.net/1803/16362,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16362,,2022-04-08,,,"""On account of you I have no translator!"" Michael Chabon and Cynthia Ozick's Literary Conceptions of Intergenerational Yiddishlands",,http://hdl.handle.net/1803/16362,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16362,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16362,,2022-04-08,
,“Spinning with the brain”: Spinsterhood in Margaret Cavendish’s Poems and Fancies,master's thesis,,Q1907875,,http://hdl.handle.net/1803/16363,,,2022-04-08,,,http://hdl.handle.net/1803/16363,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16363,,2022-04-08,,,“Spinning with the brain”: Spinsterhood in Margaret Cavendish’s Poems and Fancies,,http://hdl.handle.net/1803/16363,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16363,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16363,,2022-04-08,
,Functional Characterization of an AMPA receptor auxiliary subunit GSG1L in vivo,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/16364,,,2022-04-08,,,http://hdl.handle.net/1803/16364,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16364,,2022-04-08,,,Functional Characterization of an AMPA receptor auxiliary subunit GSG1L in vivo,,http://hdl.handle.net/1803/16364,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16364,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16364,,2022-04-08,
,The Aesthetics of Water Reclamation: Cinema and the Irrigated West,master's thesis,,Q1907875,,http://hdl.handle.net/1803/16365,,,2022-04-08,,,http://hdl.handle.net/1803/16365,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16365,,2022-04-08,,,The Aesthetics of Water Reclamation: Cinema and the Irrigated West,,http://hdl.handle.net/1803/16365,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16365,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16365,,2022-04-08,
,"A Martial Meteorology: Carceral Ecology in the US South of Jesmyn Ward’s Sing, Unburied, Sing",master's thesis,,Q1907875,,http://hdl.handle.net/1803/16366,,,2022-04-08,,,http://hdl.handle.net/1803/16366,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16366,,2022-04-08,,,"A Martial Meteorology: Carceral Ecology in the US South of Jesmyn Ward’s Sing, Unburied, Sing",,http://hdl.handle.net/1803/16366,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16366,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16366,,2022-04-08,
,"""I'm a person like any goddamn man's a person"": Feminine Cognitive Embodiment in 'Kathy Goes to Haiti'",master's thesis,,Q1907875,,http://hdl.handle.net/1803/16367,,,2022-04-08,,,http://hdl.handle.net/1803/16367,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16367,,2022-04-08,,,"""I'm a person like any goddamn man's a person"": Feminine Cognitive Embodiment in 'Kathy Goes to Haiti'",,http://hdl.handle.net/1803/16367,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16367,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16367,,2022-04-08,
,Embedded and Embodied: The Cognition of Movement in A Sicilian Romance,master's thesis,,Q1907875,,http://hdl.handle.net/1803/16368,,,2022-04-08,,,http://hdl.handle.net/1803/16368,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16368,,2022-04-08,,,Embedded and Embodied: The Cognition of Movement in A Sicilian Romance,,http://hdl.handle.net/1803/16368,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16368,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16368,,2022-04-08,
,Internalized Racial Oppression In La Négresse Blanche,master's thesis,,Q1907875,,http://hdl.handle.net/1803/16369,,,2022-04-08,,,http://hdl.handle.net/1803/16369,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16369,,2022-04-08,,,,,,,,,,Q1860,,http://hdl.handle.net/1803/16369,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16369,,2022-04-08,
,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,doctoral thesis,,Q187685,,http://hdl.handle.net/1803/16370,,,2022-04-08,,,http://hdl.handle.net/1803/16370,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16370,,2022-04-08,,,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,,http://hdl.handle.net/1803/16370,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16370,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16370,,2022-04-08,
,Impact of Delayed Event Time on Cox and Logistic Regression Models and Its Application to GWAS,master's thesis,,Q1907875,,http://hdl.handle.net/1803/16371,,,2022-04-08,,,http://hdl.handle.net/1803/16371,,,2022-04-08,,,,2020,,,http://hdl.handle.net/1803/16371,,2022-04-08,,,Impact of Delayed Event Time on Cox and Logistic Regression Models and Its Application to GWAS,,http://hdl.handle.net/1803/16371,,2022-04-08,,,Q1860,,http://hdl.handle.net/1803/16371,,2022-04-08,,,Q29052,,http://hdl.handle.net/1803/16371,,2022-04-08,
