Title,Url,yes/no
Review of Knowing Other-wise,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAS000152007&site=ehost-live,
Review of Feminist Interpretations of Søren Kierkegaard,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAS000152007&site=ehost-live,
"Review of Feminism, Sexuality and the Return of Religion",http://ndpr.nd.edu/news/36868-feminism-sexuality-and-the-return-of-religion/,
Review of Eros for the other: retaining truth in a pluralistic world,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000345033&site=ehost-live,
Review of Feminist theory and Christian theology: cartographies of grace,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001412625&site=ehost-live,
"Review of Powers and Submissions: Spirituality, Philosophy, and Gender",http://www.jstor.org/stable/4139891,
"Questioning ""Woman"" in Feminist/Womanist Theology: Irigaray, Ruether and Daly",,
Jacques Derrida on Religion,,
"'The End of Man: Foucault, Derrida, and the Auto-Bio-Graphical'",,
Bodily citations: religion and Judith Butler,,
Artful Self-Reflection as Bio-medical Intervention: Some Theological Musings,http://ebookcentral.proquest.com/lib/vand/detail.action?docID=5325025,
"Justice for Alan Kurdi? Philosophy, Photography, and the (Cosmo)Politics of Life and Death - ProQuest",https://www.pdcnet.org/collection/authorizedshow?id=philtoday_2019_0999_8_1_267&pdfname=philtoday_2019_0999_8_1_267.pdf&file_type=pdf&googlescholar=true,
"Performative, Queer Theories of Religion: Judith Butler",,
Transing the Study of Religion: A (Christian) Theological Response,https://www.jstor.org/stable/10.2979/jfemistudreli.34.1.07,
"For Inspiration, Look Not in Obvious Places",,
Review: Feminist Theory and Christian Theology: Cartographies of Grace,https://doi.org/10.1093/jaar/71.1.212,
The private lives of women in Persian Egypt,,
An Achaemenid Loanword in the Legal Code of Hermopolis: 3bykrm,,
Un giuramento ebraico ad Elefantina d’Egitto,,
Women and Property in Persian Egypt and Mesopotamia,https://archive.chs.harvard.edu/CHS/article/display/1304,
"From the Persepolis Fortification Archive Project, 5:	The Aramaic Epigraph ns(y)ḥ on Elamite Persepolis Fortification Documents",www.achemenet.com/pdf/arta/ARTA_2015.004-Azzoni-Stolper.pdf,
"Review of Filologia storica della Bibbia ebraica. Vol. 1, Da Origene al Medioevo; Filologia storica della Bibbia ebraica. Vol. 2, Dall'età moderna ai nostri giorni",http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001482176&site=ehost-live,
The Bowman MS and the Aramaic Tablets,http://www.academia.edu/6805494/The_Bowman_MS_and_the_Aramaic_Tablets,
Persepolis Fortification Aramaic Tablet Seal 0002 and the Keeping of Horses,,
Women at Elephantine and Women in the Land,,
Elephantine Papyri,,
Where Will Yehoyišmaʿ Go?: A Reconsideration of TAD B3.8,,
A Demotic Tablet or Two in the Persepolis Fortification Archive,http://www.achemenet.com/pdf/arta/ARTA_2019_003_Azzoni.pdf,
From Mari to Jerusalem and back: Assyriological and Biblical studies in honor of Jack Murad Sasson,,
The Empire as Visible in the Aramaic Documents from Persepolis,https://catalog.library.vanderbilt.edu/discovery/fulldisplay/WorldCat1197391350/01VAN_INST:vanui,
Betraying the Text: Their Creation Story and Ours,https://catalog.library.vanderbilt.edu/discovery/fulldisplay/WorldCat920832598/01VAN_INST:vanui,
"Persepolis Administrative Archives: two groups of clay tablets, fragments, and sealings produced and stored by administrative agencies based at Persepolis",http://www.iranicaonline.org/articles/persepolis-admin-archive,
Marriage and Divorce: Hebrew Bible”,,
Family Life and Law at Elephantine,http://ebookcentral.proquest.com/lib/vand/detail.action?docID=6935234,
PFAT 783: fruit and the bazikara,http://ebookcentral.proquest.com/lib/vand/detail.action?docID=6533486,
Comeback Cities: A Blueprint for Urban Neighborhood Revival,,
Black Intimacies: A Gender Perspective on Families and Relationships,,
"Thomas, Clarence (1948- )",,
Kwanzaa,,
Malcolm X (1925-1965),,
One-Drop Rule,,
"Parks, Rosa (1913- )",,
Race Matters,,
Racial Difference in Poverty Rate,,
Racial Ghettoes,,
Redlining,,
"Douglass, Frederick (1817-1895)",,
"Farrakhan, Louis (1933- )",,
Culture of Poverty Thesis,,
Repositioning race: prophetic research in a post-racial Obama age,,
"The cost of being poor: a comparative study of life in poor urban neighborhoods in Gary, Indiana",,
Black mother-daughter narratives about sexuality : the influence of black religious symbolism on attitudes and behavior,,
Live long and prosper: how Black megachurches address HIV/AIDS and poverty in the age of prosperity theology,,
Subverting the power of prejudice: resources for individual and social change,,
On the market: strategies for a successful academic job search,,
The effect of child care on employment tardiness and absences for mothers: does marital status matter?,,
"Positive Homeownership Attitudes, Homeownership Behavior, and Neighborhood Ties in Poor Urban Neighborhoods",,
Achievement or Ascription Ideology? An Analysis of Attitudes about Future Success for Residents in Poor Urban Neighborhoods,http://search.proquest.com/socabs/docview/60448412/87F29F70DDF54883PQ/1?accountid=14816,
"Too Poor to Get Sick? The Implications of Place, Race, and Costs on the Health Care Experiences of Residents in Poor Urban Neighborhoods",http://search.proquest.com/socabs/docview/60549870/C6BEB668113C48A1PQ/30?accountid=14816,
A Case Study of the Working Poor Single Mother Experience: An Analysis of the Structure versus Agency Discourse,http://search.proquest.com/socabs/docview/61740966/C6BEB668113C48A1PQ/27?accountid=14816,
