accession_number,status,description,image_url
1956.052,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.052.jpg/pct:0.61950684,1.550293,98.59924316,96.105957/full/0/default.jpg"
1956.053,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.053.jpg/pct:1.7211914,1.6967773000000002,96.3256836,97.5219727/full/0/default.jpg"
1956.057,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.057.jpg/pct:1.2023926,2.8808594,95.2819824,94.7753906/full/0/default.jpg"
1956.058,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.058.tif/pct:8.886719,5.5908203,80.957031,80.7373047/!512,512/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:26.5625,51.953125,11.328125,25.0/full/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:35.9375,46.09375,7.226561999999998,15.625/full/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:43.554688000000006,49.804688000000006,9.179686999999998,23.242186999999998/full/0/default.jpg"
1957.005,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:26.5625,51.953125,11.328125,25.0/full/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:51.5625,47.460938000000006,8.203125,24.023436999999998/full/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:59.375,35.9375,5.859375,19.921875/full/0/default.jpg"
1957.005,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:44.140625,50.390625,7.8125,22.65625/full/0/default.jpg"
1957.005,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.005.jpg/pct:59.375,35.9375,5.859375,19.921875/full/0/default.jpg"
1957.007,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957-007.tif/pct:13.769530999999999,24.121094000000003,66.699219,71.582031/!512,512/0/default.jpg"
1957.007,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957-007.tif/pct:1.0620117,11.1328125,81.3598633,86.9140625/!512,512/0/default.jpg"
1957.008,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.008.tif/pct:5.102538999999999,5.6640625,89.819336,85.7421875/!512,512/0/default.jpg"
1957.009,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.009.jpg/pct:3.0883789,2.1484375,93.7866211,88.8671875/full/0/default.jpg"
1957.010,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:46.484375,39.0625,41.796875,37.5/full/0/default.jpg"
1957.010,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:8.4472656,35.9375,44.287109400000006,41.796875/full/0/default.jpg"
1957.010,uploaded,Hat,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:14.648438,18.066405999999997,29.882812,16.503905999999997/full/0/default.jpg"
1957.010,uploaded,Hat,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:43.554688000000006,20.800780999999997,31.054686999999998,17.871094000000003/full/0/default.jpg"
1957.010,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:42.578125,20.3125,46.484375,57.03125/full/0/default.jpg"
1957.010,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:8.691406,18.164062,44.042969,60.742188/full/0/default.jpg"
1957.010,uploaded,Sun hat,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:43.554688000000006,20.800780999999997,31.054686999999998,17.871094000000003/full/0/default.jpg"
1957.010,uploaded,Sun hat,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:14.648438,18.066405999999997,29.882812,16.503905999999997/full/0/default.jpg"
1957.010,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.010.jpg/pct:8.691406,18.164062,44.042969,60.742188/full/0/default.jpg"
1957.012,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.012.jpg/pct:59.375,50.78125,25.0,26.5625/full/0/default.jpg"
1957.014,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.014.jpg/pct:8.691406,3.1127930000000004,88.183594,92.199707/full/0/default.jpg"
1957.014,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1957%2F1957.014.jpg/pct:19.726562,67.96875,74.804688,25.78125/full/0/default.jpg"
