accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
2015.075.20,0.5078125,0.35,0.762,0.0,0.17183098591549295,350,762,0,244,6.302285,46.96899,-3.703121,,1,1,1,1,1,1,1,0.03440636
2015.075.21,0.62109375,0.001,0.999,0.0,0.8085409252669039,1,999,0,1136,11.954666,-2.9304838,19.550795,,1,1,1,1,1,1,1,0.39872763
2015.075.27,0.5703125,0.415,0.471,0.5570710696338838,0.6044508255563532,415,471,776,842,-11.882229,33.078747,7.1003513,,1,1,1,1,1,1,1,0.0048531904
2015.075.27,0.796875,0.841,0.914,0.3503230437903805,0.4113424264178033,841,914,488,573,3.6627414,-6.3325396,-8.541697,,1,1,1,1,2,1,1,0.14564058
2015.075.27,0.51953125,0.748,0.793,0.46518305814788224,0.5032304379038047,748,793,648,701,13.864601,1.629225,-5.053054,,1,1,1,1,1,3,1,0.0080530485
2015.075.29,0.9921875,0.3483483483483483,0.5525525525525525,0.4317055909412597,0.5994338287331918,348,552,610,847,1.1287378,-3.3548539,-6.7441607,,5,1,1,1,1,1,1,0.73793006
2015.075.29,0.9921875,0.3283283283283283,0.5155155155155156,0.19886765746638357,0.3524416135881104,328,515,281,498,13.115701,6.8513823,9.086075,,4,1,1,1,1,1,1,0.8450834
2015.075.29,0.9921875,0.5015015015015015,0.6786786786786787,0.25902335456475584,0.4041047416843595,501,678,366,571,-1.4272295,-9.36241,1.0099754,,3,1,1,1,1,1,1,0.7337005
2015.075.30,0.9140625,0.342,0.515,0.018335684062059238,0.1607898448519041,342,515,26,228,4.9058137,86.409424,-0.50908107,,1,1,1,1,3,1,1,0.070921384
2015.075.30,0.9453125,0.667,0.835,0.1071932299012694,0.2447108603667137,667,835,152,347,10.065801,-23.642843,-0.17623031,,5,1,1,1,1,1,1,0.29022694
2015.075.33,0.8671875,0.7797797797797797,0.998998998998999,0.1617440225035162,0.3488045007032349,779,998,230,496,-10.126437,-52.535614,5.2183647,,1,1,1,1,1,1,1,0.19360545
2015.075.33,0.734375,0.031031031031031032,0.2702702702702703,0.28973277074542897,0.48523206751054854,31,270,412,690,-8.217534,53.995907,1.1224327,,3,1,1,1,1,1,2,0.28979543
2015.075.33,0.59375,0.32232232232232233,0.5675675675675675,0.23066104078762306,0.4310829817158931,322,567,328,613,-11.382224,3.3323638,8.96848,,5,1,1,1,1,1,2,0.6427196
2015.075.34,0.56640625,0.6226226226226226,0.6756756756756757,0.12151536812008577,0.1651179413867048,622,675,170,231,15.412639,50.80622,-2.4416206,,1,1,1,1,1,1,1,0.14899719
2015.075.34,0.80859375,0.5145145145145145,0.5905905905905906,0.3774124374553252,0.4403145103645461,514,590,528,616,-11.259759,-39.039486,-9.611079,,2,1,1,1,1,1,1,0.34897333
2015.075.35,0.83203125,0.06306306306306306,0.14114114114114115,0.1646557842441448,0.22924059616749468,63,141,232,323,3.6331303,7.1617556,4.938052,,5,1,1,1,1,1,1,0.42408714
2015.075.35,0.85546875,0.3203203203203203,0.47047047047047047,0.14762242725337119,0.27111426543647976,320,470,208,382,-5.738728,-15.734761,12.405655,,5,1,1,1,1,1,1,0.57498616
2015.075.39,0.5,0.152,0.211,0.49291784702549574,0.5410764872521246,152,211,696,764,5.0340347,27.760145,1.0339442,,1,1,1,1,1,1,1,0.32440943
2015.075.40,0.94921875,0.276,0.475,0.3497229916897507,0.5096952908587258,276,475,505,736,8.668193,59.96029,4.6923018,,5,1,1,1,1,1,4,0.309262
2015.075.40,0.90234375,0.548,0.688,0.3864265927977839,0.4986149584487535,548,688,558,720,-43.603325,-64.82709,2.56022,,3,1,1,1,1,1,3,0.1135625
2015.075.42,0.984375,0.0,0.21521521521521522,0.298220640569395,0.501779359430605,0,215,419,705,9.898646,2.7962084,-9.196982,,5,1,1,1,1,1,5,0.68004835
2015.075.42,0.9609375,0.13313313313313313,0.4124124124124124,0.10889679715302492,0.3395017793594306,133,412,153,477,-8.649942,-4.038458,-17.836187,,3,1,1,1,1,1,1,0.33768442
2015.075.42,0.95703125,0.2012012012012012,0.46646646646646645,0.34306049822064055,0.5622775800711743,201,466,482,790,-7.3079033,-0.34279436,-17.80087,,3,1,1,1,1,1,1,0.46414334
