qid,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_statedIn,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeid,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,label_en
Q15764425,D9887632-053F-406A-BDDF-417147D0BACF,Q217595,,,,,,,Sociology of Religion
Q18392457,,,,,,,,,Spring
Q50814896,20316B3F-5D5C-424C-86A5-1D13C5AF5934,Q52635783,c5367a1fbab249d7251738285f0cf5ef1b24ea8d,Q1227538,https://doaj.org/toc/1930-3777,,,,Studies in Christian-Jewish Relations
Q15755905,EC29988B-2DA5-4298-A3CB-C8ECA5C6E64B,Q7895937,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,Studies in Philology
Q7628082,BAB6DE0C-2CB8-4C0A-8638-56A298735825,Q3719191,,,,,,,Studies in World Christianity
Q15746447,e2481217-4027-3cda-28df-b90334d7e0e2,Q94327058,,,,,,,The Bible Today
Q50478535,3D69A613-2211-42AA-8735-4A942D970F88,Q52609467,24b796ba642e9036f7210ce7af6591dabefdf817,Q1227538,https://doaj.org/toc/0361-0934,,,,The Covenant Quarterly
Q2412214,BD1DF949-7750-47E6-A26C-8D07AA5470FA,Q2037236,,,,,,,The Jewish Quarterly Review
Q7743622,B60FC602-B391-4B8F-A2CC-45FF664DD65B,Q1814982,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,The Journal of Religion
Q4041903,5F98E4C5-89BA-4E7A-8A75-B2D23D9221BA,Q217595,,,,,,,The Journal of Theological Studies
Q63871802,049494A3-2B00-4160-BDA3-22B9797897F1,Q880582,,,,,,,The Review of Faith & International Affairs
Q15755134,9f313541-4895-87b3-b88e-d7bbd93d74fc,Q4071515,,,,,,,Theological Education
Q3523724,02677F41-2E97-465C-ADF2-1A5CB9480910,Q188370,,,,,,,Theological Studies
Q4051386,D1D10172-8795-4DA3-9928-A8C3ADD0A49D,Q251266,,,,,,,Theology Today
Q15710287,88417F6C-87A7-4D3C-9EA3-A17026993AEA,Q3577914,,,,,,,Toronto Journal of Theology
Q7989227,F9373AC4-81DC-4DEC-89D1-A24AC3738036,Q1073873,,,,,,,Westminster Theological Journal
Q88977207,f236b58d-4d58-d098-883b-e82757518c52,Q2080232,,,,,,,"Women, Gender, and Families of Color"
Q8075881,447C0CA5-DA84-438A-B3C9-F5FC8722207D,Q767319,,,,,,,Zygon
