qid,label_en,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeId,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec
Q102962009,"Beggar with Dog, from Les Gueux (The Beggars), a series of 25 etchings",,,,,,,,
Q102962014,"Beggar Woman Holding Coins, from Les Gueux (The Beggars), a series of 25 etchings",,,,,,,,
Q102962018,"Beggar Woman with a Bowl, from Les Gueux (The Beggars), a series of 25 etchings",,,,,,,,
Q102962026,"Behind the Door, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102962035,Being in the Moment,,,,,,,,
Q102962043,Being in the Moment,,,,,,,,
Q102962048,Bellum,,,,,,,,
Q102962054,Belt buckle with a design of a beast,,,,,,,,
Q102962062,Belt hook in the shape of two facing dragons,,,,,,,,
Q102962070,"Benkei and Others Around a Bell, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",,,,,,,,
Q102962078,Bent bowl with a fish design,,,,,,,,
Q102962087,Beppu ware incense container (Kogo) in the shape of an ox,,,,,,,,
Q102962100,Between the Acts,,,,,,,,
Q102962106,Between the Lines,,,,,,,,
Q102962116,Bi disc,,,,,,,,
Q102962130,Big Reclining Nude,,,,,,,,
Q102962140,Big Yellow,,,,,,,,
Q102962145,"Bingata Cloth With Design of Camellia, a Stream, and Two Other Flowers",,,,,,,,
Q102962150,Bird feeder with a design in blue underglaze of chrysanthemums,,,,,,,,
Q102962162,Bird feeder with wooden fastener with a design in blue under glaze of birds,,,,,,,,
Q102962171,Bird Head Bowl,,,,,,,,
Q102962176,Bird on a Branch,,,,,,,,
Q102962180,Bird on a Fruit Tree Branch (Lychee),,,,,,,,
Q102962187,Bird sitting on a medallion,,,,,,,,
Q102962195,Birds on a Branch,,,,,,,,
Q102962200,Bizen ware Chawan (tea bowl),,,,,,,,
Q102962205,Bizen ware figurine of a kappa,,,,,,,,
Q102962213,Bizen ware sake bottle (Tokkuri),,,,,,,,
Q102962219,Bizen ware vase with two simulated handles on shoulders,,,,,,,,
Q102962225,Black bowl with serpentine bands,,,,,,,,
Q102962233,"Black Square Reflection, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102962245,Black teapot,,,,,,,,
Q102962251,"Black, yellow, and blue glass beads with geometric designs",,,,,,,,
Q102962260,Blackburn,,,,,,,,
Q102962270,Blanc de chine quatrefoil cup with applied plums (the end of winter; the coming of spring),,,,,,,,
Q102962276,"Block with Three Rice Cake Molds; On One Side, a Lotus Blossom and a Lotus Petal, and on the Other, a Lotus Leaf",,,,,,,,
Q102962281,Block with Two Circular Rice Cake Molds (See Notes),,,,,,,,
Q102962287,"Blowup Doll Jay St, from the series Tribeca, 10013",,,,,,,,
Q102962297,Blue and white bowl,,,,,,,,
Q102962303,Blue and white hexagonal cup,,,,,,,,
Q102962309,Blue and white incense burner,,,,,,,,
Q102962315,Blue and white porcelain plate with a blue under-glaze of a wagtail perched on a rock,,,,,,,,
Q102962318,Blue Cat,,,,,,,,
Q102962324,Blue glazed pottery mug,,,,,,,,
Q102962331,Blue gray jar with design of mountainous harbor scene,,,,,,,,
Q102962339,Blue Ovals,,,,,,,,
Q102962347,"Boat Building, from American Abstract Artists 60th Anniversary Print Portfolio",,,,,,,,
Q102962350,Boat Landing,,,,,,,,
Q102962356,Bok Choy (Chinese Cabbage),,,,,,,,
Q102962361,"Bondo Mitsugoro (on the right), Nakamura Rikan (on the left)",,,,,,,,
Q102962367,Bonfire,,,,,,,,
Q102962379,Book Illustration & Text on The Life of the 9th-Century Poetess,,,,,,,,
Q102962384,"Bosnian-Muslim Displaced Refugees, Croatia",,,,,,,,
Q102962390,Boston Harbor,,,,,,,,
Q102962398,Bottle shaped vase with painted design of willow tree and grass orchids,,,,,,,,
Q102962404,Bottle vase with design of flowers,,,,,,,,
Q102962409,Bound book of unknown title with designs for transoms over fusuma (sliding interior panels),,,,,,,,
Q102962419,Bowl,,,,,,,,
Q102962426,Bowl with a brown and white motif,,,,,,,,
Q102962433,"Bowl with a design in blue under glaze of medallions, Lung-shan seal, and interior scene of a scholar in landscape",,,,,,,,
Q102962439,Bowl with a design in blue under-glaze of buildings and mountains,,,,,,,,
Q102962447,Bowl with a design in blue underglaze of two dragons,,,,,,,,
Q102962456,Bowl with a design of a landscape in blue underglaze,,,,,,,,
Q102962463,Bowl with a design of bamboo in blue underglaze,,,,,,,,
Q102962469,Bowl with a design of flowers and arabesques (Export ware),,,,,,,,
Q102962477,Bowl with a design of Japanese women and girls,,,,,,,,
Q102962482,Bowl with a Design of Japanese Women and Girls and 500 Rakan (Sanskrit: Arhats),,,,,,,,
Q102962489,Bowl with a design of landscape in the center of mountains and ocean (Ao-Kutani ware),,,,,,,,
Q102962504,Bowl with a design of plum blossoms on the interior and blue-green glaze over brown on the exterior,,,,,,,,
Q102962509,Bowl with a lotus motif,,,,,,,,
Q102962517,Bowl with a lotus motif (celadon ware),,,,,,,,
Q102962526,Bowl with an abstract design in blue under glaze,,,,,,,,
Q102962532,Bowl with an interior design in blue under glaze of a bird and exterior design of a landscape with fishermen in boats and a scholar figure,,,,,,,,
Q102962540,Bowl with crackle glaze with an abstract design in blue underglaze  with a silver rim,,,,,,,,
Q102962547,Bowl with design in blue under glaze of two phoenixes and three flowers and two concentric rings with four abstract designs on the underside,,,,,,,,
Q102962556,Bowl with design of a rabbit in the center,,,,,,,,
Q102962565,"Bowl with designs of cranes, flowers and pines (Imari ware)",,,,,,,,
Q102962573,Bowl with floral motif,,,,,,,,
Q102962581,Bowl with foliate rim with a design of blue and green clouds with inscription,,,,,,,,
Q102962591,Bowl with glossy-black glaze with wax-resist and matte blue glaze and brown interior glaze,,,,,,,,
Q102962597,Bowl with green crackle glaze,,,,,,,,
Q102962602,Bowl with guan-type white crackle glaze,,,,,,,,
Q102962608,Bowl with incised faces and geometric designs on underside,,,,,,,,
Q102962620,Bowl With Inlay Design on Interior and Exterior,,,,,,,,
Q102962626,Bowl with landscape design,,,,,,,,
Q102962632,"Bowl with lip and foot (Ko style, Celadon ware)",,,,,,,,
Q102962640,Bowl with red decoration; from the Imperial kiln,,,,,,,,
Q102962651,Bowl with red medallion design of landscape with pheasant (Kutani ware),,,,,,,,
Q102962660,Bowl with scholars objects and precious things,,,,,,,,
Q102962667,Bowl with three handles in the shape of leopards,,,,,,,,
Q102962676,Bowl with three written characters for the number 2,,,,,,,,
Q102962685,Bowl with under glaze blue border and flower design in center with four leaf designs on the underside,,,,,,,,
Q102962696,Box,,,,,,,,
Q102962703,"Boxed Lightning, from American Abstract Artists 75th Anniversary Print Portfolio",,,,,,,,
Q102962711,"Brachmonat, Juin (June), from a suite of allegorical prints illustrating the months of the year with text in German and French",,,,,,,,
Q102962716,Brass figurine,,,,,,,,
Q102962721,Brawl with Knives,,,,,,,,
Q102962729,Break of Day (Vermont),,,,,,,,
Q102962736,Bright blue pottery vase,,,,,,,,
Q102962742,Bright Green Bowl,,,,,,,,
Q102962750,Bronze dragon handled vessel,,,,,,,,
Q102962760,Bronze gong,,,,,,,,
Q102962766,Bronze mirror with a design of phoenix and bamboo,,,,,,,,
Q102962772,Brooklyn Bridge,,,,,,,,
Q102962779,Brown and cream glazed pitcher,,,,,,,,
Q102962786,Brown bottle,,,,,,,,
Q102962796,Brown ceramic pitcher,,,,,,,,
Q102962805,Brown Glazed Pottery Pitcher,,,,,,,,
Q102962810,Brown one handled pottery pot,,,,,,,,
Q102962815,Brown pot with rim,,,,,,,,
Q102962823,Brown Pottery Bowl,,,,,,,,
Q102962829,Brown Pottery Pitcher,,,,,,,,
Q102962834,Brush washer in the design of a dragon with the bowl portion in the shape of a peach with an incised design on the bottom of a fish and moon,,,,,,,,
Q102962840,Brush washer with a design in blue underglaze of abstract patterns,,,,,,,,
Q102962844,"Brush washer with design of snail, cicada, peaches, and leaves",,,,,,,,
Q102962850,Brush washer with marble pattern in brown and beige,,,,,,,,
Q102962856,Brush-washer,,,,,,,,
Q102962863,Buddhist bell,,,,,,,,
Q102962868,Buddhist shrine with gold lacquer,,,,,,,,
Q102962876,Bulbous vase with black animal motif,,,,,,,,
Q102962882,Burial of Dead in the Snow,,,,,,,,
Q102962889,"Burza (The Tempest), William Shakespeare",,,,,,,,
Q102962896,Butter Pot,,,,,,,,
Q102962907,"Cain and Abel, after a ceiling design by Titian in the Santa Maria della Salute Church, Venice",,,,,,,,
Q102962914,Cake dish with a design in blue under glaze of fish and seaweed,,,,,,,,
Q102962917,Calligraphy,,,,,,,,
Q102962924,"Cambridge, London & North Eastern Railway of England and Scotland",,,,,,,,
Q102962934,Candle stick,,,,,,,,
Q102962942,Caney Fork Cabin,,,,,,,,
Q102962948,Capítulo III de Apocalypse de St. Jean (Chapter III of the Apocalypse of St. John),,,,,,,,
Q102962954,"Capt. Sterrett in the Schr Enterprise paying tribute to Tripoli, August 1801",,,,,,,,
Q102962958,Captain Coram,,,,,,,,
Q102962971,Captivity,,,,,,,,
Q102962978,"Card game counter device for European game with a design of pheasant and wisteria,  birds and insects",,,,,,,,
Q102962984,"Card game counter device for European game with a design of trailing vine, birds and insects",,,,,,,,
Q102962992,Carmi,,,,,,,,
Q102962997,Carnival,,,,,,,,
Q102963004,Carpenter's plumb line,,,,,,,,
Q102963012,Carved Architectural Detail in the Shape of a Phoenix,,,,,,,,
Q102963018,Carved box with lid,,,,,,,,
Q102963026,Carved Container with a Ceremonial Tea Scoop,,,,,,,,
Q102963031,Carved ochre-colored bowl with a design of birds and flowers,,,,,,,,
Q102963038,Carved rhinoceros horn with a design of plants and Mandarin ducks,,,,,,,,
Q102963043,"Casper (also called Casper, Son of Chenil)",,,,,,,,
Q102963048,Cassone from the Colonna family,,,,,,,,
Q102963052,Cassone with Mannerist Design Elements,,,,,,,,
Q102963058,Cast iron wine server with simulated ray skin texture,,,,,,,,
Q102963068,Cat Asleep,,,,,,,,
Q102963075,Cat in the Night,,,,,,,,
Q102963082,"Cat Looking Up, Facing Front",,,,,,,,
Q102963087,"Cat Looking Up, Facing Left",,,,,,,,
Q102963093,"Catching Kittens with Bonito - A Bride Receiving a Gift of Dried Bonito, from the series Yoshitoshi ryakuga (Sketches by Yoshitoshi)",,,,,,,,
Q102963099,Catherine nue se coiffant,,,,,,,,
Q102963106,"Ce pauver henri iv voyant, from Album du Siége",,,,,,,,
Q102963113,Ceci a tué cela. (This has done away with that.) from Album du Siége,,,,,,,,
Q102963120,Celadon ware dish with a molded design of spiral and cherry blossoms,,,,,,,,
Q102963128,Celebrating the Birth of the Buddha in the Inner Palace of Edo Castle (from the series The Inner Palace of Chiyoda Castle),,,,,,,,
Q102963138,Censer in the shape of a duck with a hinged lid (dark patina),,,,,,,,
