qid,name,name_lang,wdt,wdt_label,value,value_datatype
Q94702974,St. Sebastian,en,P186,material used,Q1348059,
Q94824558,Cat,en,P180,depicts,Q146,
Q94824558,Cat,en,P186,material used,Q34095,
Q94824558,Cat,en,P276,ISSN,Q23197,
Q94826345,Ding ware vessel with incised designs of lilies,en,P186,material used,Q130693,
Q94826345,Ding ware vessel with incised designs of lilies,en,P276,ISSN,Q23197,
Q94827808,Byzantine coin,en,P180,depicts,Q178342,
Q94827808,Byzantine coin,en,P180,depicts,Q1293376,
Q94827808,Byzantine coin,en,P186,material used,Q897,
Q94827808,Byzantine coin,en,P276,ISSN,Q23197,
Q94830050,Running Bear Effigy,en,P180,depicts,Q30090244,
Q94830050,Running Bear Effigy,en,P186,material used,Q830894,
Q94830050,Running Bear Effigy,en,P276,ISSN,Q23197,
Q94830050,Running Bear Effigy,en,P2596,culture,Q1052095,
Q94832545,Still-life with Poppies,en,P136,genre,Q170571,
Q94832545,Still-life with Poppies,en,P186,material used,Q296955,
Q94832545,Still-life with Poppies,en,P186,material used,Q12321255,
Q94835121,Reclining Nude,en,P136,genre,Q40446,
Q94835121,Reclining Nude,en,P180,depicts,Q40446,
Q94835121,Reclining Nude,en,P186,material used,Q296955,
Q94835121,Reclining Nude,en,P186,material used,Q12321255,
Q94837681,Angry Cat,en,P180,depicts,Q146,
Q94837681,Angry Cat,en,P186,material used,Q127418,
Q94970906,Ball player in warrior bird costume,en,P186,material used,Q45621,
Q94970906,Ball player in warrior bird costume,en,P276,ISSN,Q23197,
Q94971052,Quilt with blue & red star pattern,en,P186,material used,Q11457,
Q94971052,Quilt with blue & red star pattern,en,P276,ISSN,Q23197,
Q94971493,Red-figure kylix,en,P186,material used,Q60424,
Q94971493,Red-figure kylix,en,P276,ISSN,Q23197,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,en,P180,depicts,Q692,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,en,P180,depicts,Q1078867,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,en,P180,depicts,Q3368369,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,en,P186,material used,Q296955,
Q94971573,The Infant Shakespeare Attended by Nature and the Passions,en,P186,material used,Q12321255,
Q96063416,West African Doll,en,P180,depicts,Q5937779,
Q96063416,West African Doll,en,P186,material used,Q76626,
Q96063416,West African Doll,en,P186,material used,Q1161827,
Q96063416,West African Doll,en,P276,ISSN,Q23197,
Q102305506,The Christ of the Breadlines,en,P276,ISSN,Q29052,
Q102315563,Seated female funerary figure,en,P276,ISSN,Q29052,
Q95743325,Polaroid of Dolly Parton,en,P136,genre,Q134307,
Q95743325,Polaroid of Dolly Parton,en,P180,depicts,Q161439,
Q95743325,Polaroid of Dolly Parton,en,P180,depicts,Q180453,
Q95743325,Polaroid of Dolly Parton,en,P276,ISSN,Q23197,
Q95743495,Supper at Emmaus,en,P180,depicts,Q302,
Q95743495,Supper at Emmaus,en,P180,depicts,Q165887,
Q95743495,Supper at Emmaus,en,P180,depicts,Q12213330,
Q95743495,Supper at Emmaus,en,P186,material used,Q286,
Q95743495,Supper at Emmaus,en,P276,ISSN,Q23197,
Q102315787,Head of a Young Girl or a Goddess,en,P276,ISSN,Q29052,
Q102969948,Portrait of George Peabody,en,P136,genre,Q134307,
Q102969953,Portrait of Julián Trujillo Largacha,en,P136,genre,Q134307,
Q103306879,Portrait of a Lady,en,P136,genre,Q134307,
Q103306922,Portrait of a Man in Armor,en,P136,genre,Q134307,
Q103306927,Portrait of a Man in Red,en,P136,genre,Q134307,
Q103306973,Portrait of a Young Man (Peabody Official),en,P136,genre,Q134307,
Q103306980,Portrait of a Young Woman,en,P136,genre,Q134307,
Q103306890,Portrait of a Lady with Rose,en,P136,genre,Q134307,
Q103306897,Portrait of a Man,en,P136,genre,Q134307,
Q103306902,Portrait of a Man,en,P136,genre,Q134307,
Q103306908,Portrait of a Man,en,P136,genre,Q134307,
Q103307033,"Portrait of Jacob McGavock Dickinson, Peabody Trustee, 1909-1928",en,P136,genre,Q134307,
Q103307047,Portrait of Joseph Montgomery Peters,en,P136,genre,Q134307,
Q103307053,"Portrait of Judge James C. Bradford (1852-1914), First Chairman of the Executive Board of Directors of Peabody College",en,P136,genre,Q134307,
Q103306938,Portrait of a Woman,en,P136,genre,Q134307,
Q103306950,Portrait of a Woman,en,P136,genre,Q134307,
Q103306966,Portrait of a Young Girl,en,P136,genre,Q134307,
Q103307100,Portrait of Mrs. Algernon Sidney Sullivan (Mary Mildred Hammond),en,P136,genre,Q134307,
Q103307126,Portrait of Robert C. Winthrup,en,P136,genre,Q134307,
Q103307007,Portrait of Confederate General Edmund Kirby Smith,en,P136,genre,Q134307,
Q103307013,Portrait of Edward Bridgen,en,P136,genre,Q134307,
Q104031981,Figure Studies from the Artist's Cornwall Sketchbook,en,P17,country,Q145,
Q104031982,Figure Studies from the Artist's Cornwall Sketchbook,en,P17,country,Q145,
Q104031972,Female funerary figure,en,P571,inception,-0023-01-01T00:00:00Z,dateTime
Q104032067,Gypsy Encampment,en,P17,country,Q145,
Q104032090,Horse and Rider,en,P571,inception,-0097-01-01T00:00:00Z,dateTime
Q104032142,"Lincoln, London & North Eastern Railway of England and Scotland",en,P17,country,Q145,
Q104032236,Pitcher,en,P17,country,Q145,
Q104032243,Portrait (after a painting by Angelica Kauffmann),en,P17,country,Q145,
Q104032249,Portrait of a Young Woman,en,P136,genre,Q134307,
Q104032250,Portrait of George Peabody,en,P136,genre,Q134307,
Q104032242,Portrait (after a painting by Angelica Kauffmann),en,P17,country,Q145,
Q104032711,Una,en,P17,country,Q145,
Q104032714,Una,en,P17,country,Q145,
Q104032888,Untitled,en,P17,country,Q145,
Q104032889,Untitled,en,P17,country,Q145,
Q104032890,Untitled,en,P17,country,Q145,
Q104032891,Untitled,en,P17,country,Q145,
