accession,has_image
1976.028,yes
1976.029,yes
1976.030,yes
1976.031,yes
1976.032,yes
1976.033,yes
1977.003,yes
1977.009,yes
1977.013,yes
1977.001,yes
1977.005,yes
1977.006,yes
1977.007,yes
1977.010,yes
1977.008,yes
1977.015,yes
1977.014,yes
1977.011,yes
1978.001,yes
1978.002,yes
1978.003,yes
1978.004,yes
1978.005,yes
1978.006,yes
1978.007,yes
1978.008,yes
1978.009,yes
1978.010,yes
1978.011,yes
1978.012,yes
1978.016,yes
1978.017,yes
1978.019,yes
1978.021,yes
1978.022,yes
1978.023,yes
1978.024,yes
1978.025,yes
1978.032,yes
1978.036,yes
1978.039,yes
1978.038,yes
1978.040,yes
1978.013,yes
1978.014,yes
1978.020,yes
1978.027,yes
1978.028,yes
1978.029,yes
1978.033,yes
1978.034,yes
1978.035,yes
1978.041,yes
1978.042a,yes
1978.042b,yes
1978.042c,yes
1978.042d,yes
1978.042e,yes
1978.043,yes
1978.044,yes
1978.045,yes
1978.046a,yes
1978.046b,yes
1978.046c,yes
1978.047,yes
1978.048,yes
1978.049a,yes
1978.049b,yes
1978.049c,yes
1978.050,yes
1978.052,yes
1978.051,yes
1978.053,yes
1978.054a,yes
1978.054b,yes
1978.054c,yes
1978.054d,yes
1978.054e,yes
1978.054f,yes
1978.054g,yes
1978.054h,yes
1978.054i,yes
1978.054j,yes
1978.055,yes
1978.056,yes
1978.057,yes
1978.058b,yes
1978.058c,yes
1978.058d,yes
1978.058e,yes
1978.058f,yes
1978.059b,yes
1978.059c,yes
1978.059d,yes
1978.059e,yes
1978.060a,yes
1978.060b,yes
1978.060c,yes
1978.060d,yes
1978.061,yes
1978.062,yes
1978.063,yes
1978.064,yes
1978.065,yes
1978.066,yes
1978.067,yes
1978.068,yes
1978.069,yes
1978.070,yes
1978.071,yes
1978.072,yes
1978.073,yes
1978.074,yes
1978.074a,yes
1978.074b,yes
1978.074c,yes
1978.074d,yes
1978.074e,yes
1978.075,yes
1978.076,yes
1978.077,yes
1978.078,yes
1978.079a,yes
1978.079c,yes
1978.080c,yes
1978.080cb,yes
1978.080e,yes
1978.081b,yes
1978.081a,yes
1978.082,yes
1978.083e,yes
1978.083g,yes
1978.084 b&f,yes
1978.084h,yes
1978.085a,yes
1978.085b,yes
1978.085c,yes
1978.085e,yes
1978.085g,yes
1978.085h,yes
1978.085f,yes
1978.085i,yes
1978.085j,yes
1978.087,yes
1978.086,yes
1978.088,yes
1978.089,yes
1978.090,yes
1978.091,yes
1978.092,yes
1978.093,yes
1978.094,yes
1978.095,yes
1978.096,yes
1978.097,yes
1978.098,yes
1978.097b,yes
1978.099,yes
1978.100,yes
1978.102,yes
1978.103a,yes
1978.104,yes
1978.103b,yes
1978.105,yes
1978.106,yes
1978.108,yes
1978.110,yes
1978.109,yes
1978.111a,yes
1978.111ac,yes
1978.111b,yes
1978.111bc,yes
1978.111c,yes
1978.111cc,yes
1978.111d,yes
1978.111dc,yes
1978.112a,yes
1978.112b,yes
1978.112c,yes
1978.113,yes
1978.114,yes
1978.115a,yes
1978.115b,yes
1978.115c,yes
1978.117a,yes
1978.117b,yes
1978.116,yes
1978.118,yes
1978.119,yes
1978.120,yes
1978.122,yes
1978.121,yes
1978.123,yes
1978.124,yes
1978.125,yes
1978.126,yes
1978.127,yes
1978.128,yes
1978.129,yes
1978.130,yes
1978.131,yes
1978.132,yes
1978.133,yes
1978.134,yes
1978.135,yes
1978.137a&b,yes
1978.136,yes
1978.139,yes
1978.141,yes
1978.142,yes
1978.143a&b,yes
1978.144a,yes
1978.144b,yes
1978.145a,yes
1978.145,yes
1978.145b,yes
1978.145c,yes
1978.145d,yes
1978.145e,yes
1978.146,yes
1978.147,yes
1978.148,yes
1978.149,yes
1978.151,yes
1978.152a,yes
1978.152b,yes
1978.152c,yes
1978.153,yes
1978.154,yes
1978.155,yes
1978.156,yes
1978.157,yes
1978.158,yes
1978.159,yes
1978.160,yes
1978.161b,yes
1978.161a,yes
1978.162,yes
1978.163,yes
1978.164,yes
1978.165,yes
1978.165b,yes
1978.166,yes
1978.167,yes
1978.168,yes
1978.169,yes
1987.023,yes
1979.0014,yes
1979.0027,yes
1979.0070,yes
1979.0072,yes
1979.0071,yes
1979.0085,yes
1979.0073,yes
1979.0087,yes
1979.0095,yes
1979.0098,yes
1979.0104,yes
1979.0105,yes
1979.0121,yes
1979.0126,yes
1979.0184P,yes
1979.0183P,yes
1979.0238P,yes
1979.024P,yes
1979.0260P,yes
1979.0274P,yes
1979.0275P,yes
1979.0293P,yes
1979.0296P,yes
1979.0303P,yes
1979.0336P,yes
1979.0337P,yes
1979.0348P,yes
1979.0353P,yes
1979.0359P,yes
1979.0364P,yes
1979.0369P,yes
1979.0370P,yes
1979.0381P,yes
1979.0393P,yes
1979.0409P,yes
1979.0410P,yes
1979.0411P,yes
1979.0412P,yes
1979.0413P,yes
1979.0414P,yes
1979.0415P,yes
1979.0416P,yes
1979.0417P,yes
1979.0418P,yes
1979.0419P,yes
1979.0421P,yes
1979.0423P,yes
1979.0425P,yes
1979.0426P,yes
1979.0427P,yes
1979.0428P,yes
1979.0433P,yes
1979.0444P,yes
1979.0446P,yes
1979.0448P,yes
1979.0449P,yes
1979.0450P,yes
1979.0451P,yes
1979.0452P,yes
1979.0454P,yes
1979.0456P,yes
1979.0458P,yes
1979.0459P,yes
1979.0460P,yes
1979.0462P,yes
1979.0463P-109,yes
1979.0463P-110,yes
1979.0463P-113,yes
1979.0463P,yes
1979.0464P,yes
1979.0465P-118,yes
1979.0469P,yes
1979.0485P,yes
1979.0487P,yes
1979.0489P,yes
1979.0490P,yes
1979.0504P,yes
1979.0505P,yes
1979.0506P,yes
1979.0507P,yes
1979.0532P,yes
1979.0567P,yes
1979.0582P,yes
1979.0589P,yes
1979.0593P,yes
1979.0600P,yes
1979.0601P,yes
1979.0602P,yes
1979.0606P,yes
1979.0607P,yes
1979.0608P,yes
1979.0628P,yes
1979.0634P,yes
1979.0673P,yes
1979.0676P,yes
1979.0682P,yes
1979.0730P,yes
1979.0887P,yes
1979.0888P,yes
1979.0889P,yes
1979.0890P,yes
1979.0891P,yes
1979.0892P,yes
1979.0893P,yes
1979.0894P,yes
1979.0905,yes
1979.0908P,yes
1979.0911,yes
1979.0914P,yes
1979.0913P,yes
1979.0916P,yes
1979.0918,yes
1979.0920,yes
1979.0922P,yes
1979.0917P,yes
1979.0923P,yes
1979.0944P,yes
1979.0948P,yes
1979.0949P,yes
1979.0950P,yes
1979.0951P,yes
1979.0953P,yes
1979.0954P,yes
1979.0956P,yes
1979.0957P,yes
1979.0959P,yes
1979.0964P,yes
1979.1010P,yes
1979.1012P,yes
1979.1004P,yes
1979.1011P,yes
1979.1013P,yes
1979.1015P,yes
1979.1017P,yes
1979.1018P,yes
1979.1019P,yes
1979.1022P,yes
1979.1023P,yes
1979.1024P,yes
1979.1025P,yes
1979.1026P,yes
1979.1027P,yes
1979.1028P,yes
1979.1030P,yes
1979.1031P,yes
1979.1032P,yes
1979.1034P,yes
1979.1035P,yes
1979.1036P,yes
1979.1037P,yes
1979.1038P,yes
1979.1039P,yes
1979.1043P,yes
1979.1044P,yes
1979.1045P,yes
1979.1046P,yes
1979.1047P,yes
1979.1048P,yes
1979.1049P,yes
1979.1051P,yes
1979.1052P,yes
1979.1053P,yes
1979.1056P,yes
1979.1110P,yes
1979.4248P,yes
1979.0002,yes
1979.0003,yes
1979.0004,yes
1979.0005,yes
1979.0006,yes
1979.0007,yes
1979.0008,yes
1979.0009,yes
1979.0012,yes
1979.0015,yes
1979.0016,yes
1979.0026,yes
1979.0028,yes
1979.0029,yes
1979.0030,yes
1979.0031,yes
1979.0032,yes
1979.0033,yes
1979.0034,yes
1979.0035,yes
1979.0036,yes
1979.0037,yes
1979.0054,yes
1979.0055,yes
1979.0056,yes
1979.0058,yes
1979.0060,yes
1979.0062,yes
1979.0063,yes
1979.0064,yes
1979.0065,yes
1979.0074,yes
1979.0075,yes
1979.0076,yes
1979.0077,yes
1979.0079,yes
1979.0078,yes
1979.0080,yes
1979.0082,yes
1979.0081,yes
1979.0083,yes
1979.0084,yes
1979.0086,yes
1979.0089,yes
1979.0090,yes
1979.0093,yes
1979.0096,yes
1979.0097,yes
1979.0099,yes
1979.0101,yes
1979.0134,yes
1979.0159,yes
1979.0141,yes
1979.0163,yes
1979.0165,yes
1979.0164,yes
1979.0166,yes
1979.0167,yes
1979.0168,yes
1979.0171,yes
1979.0174,yes
1979.0175,yes
1979.0176,yes
1979.0177,yes
1979.0178P,yes
1979.0179,yes
1979.0180,yes
1979.0180P,yes
1979.0186P,yes
1979.0188P,yes
1979.0189P,yes
1979.0190P,yes
1979.0193P,yes
1979.0195P,yes
1979.0198P,yes
1979.0200P,yes
1979.0203P,yes
1979.0211P,yes
1979.0212P,yes
1979.0215P,yes
1979.0218P,yes
1979.0223P,yes
1979.0224P,yes
1979.0225P,yes
1979.0226P,yes
1979.0227P,yes
1979.0228P,yes
1979.0230P,yes
1979.0231P,yes
1979.0232P,yes
1979.0233P,yes
1979.0234P,yes
1979.0235P,yes
1979.0236P,yes
1979.0241P,yes
1979.0243P,yes
1979.0244,yes
1979.0244P,yes
1979.0246P,yes
1979.0247P,yes
1979.0249P,yes
1979.0251P,yes
1979.0252,yes
1979.0252P,yes
1979.0255P,yes
1979.0259P,yes
1979.0264P,yes
1979.0268P,yes
1979.0270P,yes
1979.0272P,yes
1979.0277P,yes
1979.0278P,yes
1979.0280P,yes
1979.0281P,yes
1979.0282P,yes
1979.0284P,yes
1979.0288P,yes
1979.0294P,yes
1979.0298P,yes
1979.0299P,yes
1979.0300P,yes
1979.0301P,yes
1979.0302P,yes
1979.0304P,yes
1979.0306P,yes
1979.0308P,yes
1979.0309P,yes
1979.0310P,yes
1979.0311P,yes
1979.0312P,yes
1979.0316P,yes
1979.0321P,yes
1979.0322P,yes
1979.0323P,yes
1979.0324P,yes
1979.0326P,yes
1979.0329P,yes
1979.0331P,yes
1979.0332P,yes
1979.0333P,yes
1979.0334P,yes
1979.0336,yes
1979.0342P,yes
1979.0346,yes
1979.0347P,yes
1979.0350P,yes
1979.0351P,yes
1979.0353,yes
1979.0352P,yes
1979.0354,yes
1979.0354P,yes
1979.0356P,yes
1979.0360P,yes
1979.0363P,yes
1979.0365P,yes
1979.0366P,yes
1979.0368P,yes
1979.0369,yes
1979.0371,yes
1979.0371P,yes
1979.0372P,yes
1979.0373P,yes
1979.0376,yes
1979.0376P,yes
1979.0377P,yes
1979.0378,yes
1979.0378P,yes
1979.0379P,yes
1979.0380,yes
1979.0380P,yes
1979.0381,yes
1979.0382,yes
1979.0382P,yes
1979.0383,yes
1979.0383P,yes
1979.0384P,yes
1979.0384,yes
1979.0385,yes
1979.0385P,yes
1979.0389P,yes
1979.0389,yes
1979.0395P,yes
1979.0398P,yes
1979.0403P,yes
1979.0404P,yes
1979.0424P,yes
1979.0434P,yes
1979.0465P,yes
1979.0471P,yes
1979.0484P,yes
1979.0513P,yes
1979.0524P,yes
1979.0525P,yes
1979.0553,yes
1979.0553P,yes
1979.0595P,yes
1979.0596P,yes
1979.0597P,yes
1979.0611P,yes
1979.0616P,yes
1979.0621P,yes
1979.0625,yes
1979.0625P,yes
1979.0626P,yes
1979.0628,yes
1979.0629P,yes
1979.0630P,yes
1979.0631P,yes
1979.0640P,yes
1979.0642P,yes
1979.0643,yes
1979.0643P,yes
1979.0648P,yes
1979.0649P,yes
1979.0650P,yes
1979.0651P,yes
1979.0652P,yes
1979.0653P,yes
1979.0654P,yes
1979.0655P,yes
1979.0656P,yes
1979.0657P,yes
1979.0658P,yes
1979.0659P,yes
1979.0660P,yes
1979.0665P,yes
1979.0667,yes
1979.0667P,yes
1979.0674P,yes
1979.0677P,yes
1979.0678P,yes
1979.0680P,yes
1979.0682,yes
1979.0683,yes
1979.0684P,yes
1979.0685P,yes
1979.0687P,yes
1979.0688P,yes
1979.0690P,yes
1979.0691P,yes
1979.0692P,yes
1979.0693P,yes
1979.0694P,yes
1979.0697P,yes
1979.0698,yes
1979.0698P,yes
1979.0699P,yes
1979.0700,yes
1979.0700P,yes
1979.0699,yes
1979.0701,yes
1979.0701P,yes
1979.0702,yes
1979.0702P,yes
1979.0703,yes
1979.0703P,yes
1979.0704P,yes
1979.0706P,yes
1979.0707P,yes
1979.0708P,yes
1979.0709P,yes
1979.0712P,yes
1979.0710P,yes
1979.0713P,yes
1979.0719P,yes
1979.0720P,yes
1979.0721P,yes
1979.0722P,yes
1979.0724P,yes
1979.0730,yes
1979.0725P,yes
1979.0731P,yes
1979.0732P,yes
1979.0733P,yes
1979.0735P,yes
1979.0736P,yes
1979.0737P,yes
1979.0739P,yes
1979.0739,yes
1979.0740P,yes
1979.0744P,yes
1979.0751P,yes
1979.0750P,yes
1979.0752P,yes
1979.0753P,yes
1979.0754P,yes
1979.0761P,yes
1979.0762,yes
1979.0762P,yes
1979.0764P,yes
1979.0763P,yes
1979.0765P,yes
1979.0767P,yes
1979.0768P,yes
1979.0773P,yes
1979.0779P,yes
1979.0775P,yes
1979.0780P,yes
1979.0781P,yes
1979.0786P,yes
1979.0788P,yes
1979.0787P,yes
1979.0789P,yes
1979.0790P,yes
1979.0792P,yes
1979.0791P,yes
1979.0793P,yes
1979.0794P,yes
1979.0795P,yes
1979.0796P,yes
1979.0797P,yes
1979.0799P,yes
1979.0800P,yes
1979.0801P,yes
1979.0804P,yes
1979.0806P,yes
1979.0807P,yes
1979.0808P,yes
1979.0835P,yes
1979.0810P,yes
1979.0836P,yes
1979.0837P,yes
1979.0838P,yes
1979.0839P,yes
1979.0840P,yes
1979.0841P,yes
1979.0842P,yes
1979.0843,yes
1979.0844,yes
1979.0845P,yes
1979.0846P,yes
1979.0847P,yes
1979.0848Pa,yes
1979.0848Pb,yes
1979.0849P,yes
1979.0851P,yes
1979.0850P,yes
1979.0852P,yes
1979.0853P,yes
1979.0857P,yes
1979.0858P,yes
1979.0859P,yes
1979.0860,yes
1979.0860P,yes
1979.0861,yes
1979.0861P,yes
1979.0862,yes
1979.0862P,yes
1979.0863P,yes
1979.0863,yes
1979.0864P,yes
1979.0864,yes
1979.0865,yes
1979.0865P,yes
1979.0866P,yes
1979.0866,yes
1979.0867,yes
1979.0867P,yes
1979.0868,yes
1979.0869P,yes
1979.0868P,yes
1979.0869,yes
1979.0870,yes
1979.0871,yes
1979.0871P,yes
1979.0870P,yes
1979.0872,yes
1979.0872P,yes
1979.0873,yes
1979.0873P,yes
1979.0874P,yes
1979.0874,yes
1979.0875,yes
1979.0875P,yes
1979.0876P,yes
1979.0876,yes
1979.0877,yes
1979.0877P,yes
1979.0878P,yes
1979.0878,yes
1979.0879,yes
1979.0879P,yes
1979.0883P,yes
1979.0885,yes
1979.0886,yes
1979.0894,yes
1979.0902,yes
1979.0902P,yes
1979.0904P,yes
1979.0904,yes
1979.0905P,yes
1979.0908,yes
1979.0909P,yes
1979.0912,yes
1979.0912P,yes
1979.0913,yes
1979.0914,yes
1979.0915P,yes
1979.0916,yes
1979.0917,yes
1979.0918P,yes
1979.0919,yes
1979.0921P,yes
1979.0922,yes
1979.0924,yes
1979.0923,yes
1979.0925P,yes
1979.0924P,yes
1979.0926,yes
1979.0927,yes
1979.0928,yes
1979.0929,yes
1979.0930,yes
1979.0931,yes
1979.0932,yes
1979.0933,yes
1979.0934,yes
1979.0935,yes
1979.0936,yes
1979.0937,yes
1979.0938,yes
1979.0939,yes
1979.0940,yes
1979.0940P,yes
1979.0941,yes
1979.0942,yes
1979.0943,yes
1979.0944,yes
1979.0945P,yes
1979.0946P,yes
1979.0948,yes
1979.0949,yes
1979.0950,yes
1979.0951,yes
1979.0952P,yes
1979.0953,yes
1979.0954,yes
1979.0955P,yes
1979.0956,yes
1979.0957,yes
1979.0958,yes
1979.0959,yes
1979.0960,yes
1979.0961P,yes
1979.0962,yes
1979.0982P,yes
1979.0985P,yes
1979.1001P,yes
1979.1005P,yes
1979.1014,yes
1979.1063P,yes
1979.1118P,yes
1979.1122P,yes
1979.1127P,yes
1979.1132P,yes
1979.1136P,yes
1979.1140P,yes
1979.1174P,yes
1979.1178P,yes
1979.1177P,yes
1979.1180P,yes
1979.1182P,yes
1979.1183P,yes
1979.1184P,yes
1979.1185P,yes
1979.1186P,yes
1979.1187P,yes
1979.1188P,yes
1979.1189P,yes
1979.1190P,yes
1979.1191P,yes
1979.1192P,yes
1979.1193P,yes
1979.1194P,yes
1979.1195P,yes
1979.1196P,yes
1979.1197P,yes
1979.1198P,yes
1979.1200P,yes
1979.1199P,yes
1979.1201P,yes
1979.1202P,yes
1979.1203P,yes
1979.1204P,yes
1979.1205P,yes
1979.1206P,yes
1979.1207P,yes
1979.1208P,yes
1979.1209P,yes
1979.1210P,yes
1979.1211P,yes
1979.1212P,yes
1979.1213P,yes
1979.1214P,yes
1979.1215P,yes
1979.1216P,yes
1979.1217P,yes
1979.1218P,yes
1979.1219P,yes
1979.1220P,yes
1979.1221P,yes
1979.1222P,yes
1979.1223P,yes
1979.1224P,yes
1979.1225P,yes
1979.1226P,yes
1979.1227P,yes
1979.1228P,yes
1979.1230P,yes
1979.1229P,yes
1979.1230,yes
1979.1231P,yes
1979.1232P,yes
1979.1233P,yes
1979.1234P,yes
1979.1235P,yes
1979.1236P,yes
1979.1237P,yes
1979.1238P,yes
1979.1239P,yes
1979.1241P,yes
1979.1240P,yes
1979.1242P,yes
1979.1243P,yes
1979.1244P,yes
1979.1245P,yes
1979.1246P,yes
1979.369,yes
1979.737P,yes
1979.884P,yes
1979.885P,yes
1979.886P,yes
1979.913,yes
1980.011,yes
1980.012,yes
1980.013,yes
1980.014,yes
1980.031,yes
1980.021,yes
1980.038,yes
1980.129,yes
1980.039,yes
1980.092,yes
1980.150,yes
1980.003,yes
1980.004,yes
1980.006,yes
1980.005,yes
1980.007,yes
1980.008,yes
1980.010,yes
1980.016,yes
1980.015,yes
1980.017,yes
1980.018,yes
1980.022,yes
1980.024,yes
1980.026,yes
1980.025,yes
1980.030,yes
1980.032,yes
1980.028,yes
1980.027,yes
1980.033,yes
1980.034,yes
1980.035,yes
1980.037,yes
1980.036,yes
1980.040,yes
1980.041,yes
1980.042,yes
1980.043,yes
1980.044,yes
1980.045,yes
1980.046,yes
1980.047,yes
1980.048,yes
1980.053,yes
1980.056,yes
1980.057,yes
1980.058,yes
1980.059,yes
1980.060a,yes
1980.060b,yes
1980.060c,yes
1980.060d,yes
1980.060e,yes
1980.060f,yes
1980.060g,yes
1980.060h,yes
1980.060i,yes
1980.060j,yes
1980.060k,yes
1980.060l,yes
1980.060n,yes
1980.060m,yes
1980.060o,yes
1980.060p,yes
1980.060q,yes
1980.061,yes
1980.060r,yes
1980.065,yes
1980.062,yes
1980.066,yes
1980.067,yes
1980.068,yes
1980.069,yes
1980.070,yes
1980.071,yes
1980.073,yes
1980.076,yes
1980.078,yes
1980.079,yes
1980.080,yes
1980.083,yes
1980.086,yes
1980.089,yes
1980.090,yes
1980.091,yes
