qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q102973273,,B3EB6305-B651-47B5-960C-3A7FD095B9CA,Q4684426,4279d81068a2789925c7986c8ab35dc384da22a0,,https://library.artstor.org/#/asset/26753964,1865e5ee-d0c0-4b17-bb48-b417abcc0db9,2021-02-01T00:00:00Z,11
Q102973809,,8953A921-8732-4F33-A225-D19385386115,Q482193,c8a950c6fe504197fedb096c017dca98a42209b7,,https://library.artstor.org/#/asset/26758368,d7d3f9d7-964b-479d-84f8-d42f8bed32f1,2021-02-01T00:00:00Z,11
Q102974220,,80618112-DCF5-43E7-849B-D04108AC02B9,Q2871122,ebc388c8bc52f596491fc38a45b766f0d5de1bce,,https://library.artstor.org/#/asset/26753452,f1979a9b-ccac-49af-ad81-10c0ac0db9f4,2021-02-01T00:00:00Z,11
Q102974279,,228C9B41-FA94-4506-854A-D8602E5EBCAA,Q170509,3950fe6a468473c649448760f7b4dc7af7ea59df,,https://library.artstor.org/#/asset/26758601,7e761b02-c8a3-4c10-a681-6a98b5c86940,2021-02-01T00:00:00Z,11
Q102974286,,8EC8F748-8499-49FE-B45E-3A726CF08EE7,Q170509,cff22b7ed2ad069810fe1344e8dc3ed873bb116f,,https://library.artstor.org/#/asset/26758602,477968d0-c637-4e75-9a17-f8b21e02dcfe,2021-02-01T00:00:00Z,11
Q102974293,,B1656E81-4E86-44D2-B4AE-708A2C5652E3,Q170509,2119a8c435510e12dbac3c89f1d3ffdb48a21d29,,https://library.artstor.org/#/asset/26758603,1201dce5-afdb-4ed7-98c1-c9ebfc3d9a9b,2021-02-01T00:00:00Z,11
Q102974302,,4F861FBB-5DD6-41B6-A3E8-82963BF327D7,Q170509,c04f0f3cec0f1b472c9c57fdeb4e308994a6d014,,https://library.artstor.org/#/asset/26758604,2889b058-e57a-4bcb-900f-530d587e31bb,2021-02-01T00:00:00Z,11
Q102974311,,FA83B2D4-E8B0-495E-8F6B-35607B57E86C,Q170509,ccc229818153ca999cc5127b72029077153b9092,,https://library.artstor.org/#/asset/26758605,17b3d9e9-c6d8-440c-9d92-77b45457ffcf,2021-02-01T00:00:00Z,11
Q102974323,,B7FDD4E7-D71B-4516-8702-4EC202510EB3,Q170509,b00b9636defdf70f701551847386783ab0cff798,,https://library.artstor.org/#/asset/26758606,0426f174-1862-4bc7-9623-bd31c7887280,2021-02-01T00:00:00Z,11
Q102974331,,CD8244BD-D29D-4F53-8714-BBFBDCD3DA49,Q170509,ecb5fd23c101e6897de0955c55d02008ed7f5e25,,https://library.artstor.org/#/asset/26758607,60a8b4b2-ac64-435b-8973-e4e83512dd99,2021-02-01T00:00:00Z,11
Q102974343,,E3693D9B-DCF3-421F-BEA4-5B448D120DFF,Q170509,cc697f1a91ab676b1e154fda7c8b41c5f1c5ff4a,,https://library.artstor.org/#/asset/26758608,f3f199b4-cdbf-4271-a6a9-bef8c92cb608,2021-02-01T00:00:00Z,11
Q102974352,,BEAD0C5F-FA2E-4413-B228-DB8FF8299FEC,Q170509,cdb594e56c5cce906853ac30048cce5bbfce9e7f,,https://library.artstor.org/#/asset/26758609,3d2b33f2-b86f-4fb5-b9ad-ff2b4d91f75a,2021-02-01T00:00:00Z,11
Q102974359,,6E6B75D9-1557-410B-87B1-E2A2A7BCCE8C,Q170509,d89121a9e0a9d1bdd27ca52651333623adb6970d,,https://library.artstor.org/#/asset/26758610,2b2c5829-c72e-494f-99cc-a17cdf6c51bf,2021-02-01T00:00:00Z,11
Q102974367,,9C96F65C-ECAF-4DD7-A308-B6E61A79E1B0,Q170509,31e8ddd6e4f92b9510888219a899c640066c7522,,https://library.artstor.org/#/asset/26758611,cddf7891-0eac-425d-90c7-faee69a81973,2021-02-01T00:00:00Z,11
Q102974374,,0349F995-3CEA-40E7-AAF1-034577C48B3E,Q170509,397eb887612ece2ba738db23e760b1efa5b24c38,,https://library.artstor.org/#/asset/26758612,a28c037a-5aaa-4a08-b002-d8e8a4d879a1,2021-02-01T00:00:00Z,11
Q102974379,,96AF7915-5086-4195-9A0D-1C462E85FF35,Q170509,b781f696bdc49e2eee7b41806a145385a480e1da,,https://library.artstor.org/#/asset/26758613,01026cb6-39ca-40e2-a180-ff1c10a6580b,2021-02-01T00:00:00Z,11
Q102974385,,41457718-4F5E-4A81-84F7-19A208917687,Q170509,a2df37f51a4389165cf2680626d5769de4952a85,,https://library.artstor.org/#/asset/26758614,a3d03adc-94e3-4e6c-8d1c-b6560f597e3f,2021-02-01T00:00:00Z,11
Q102974391,,A93D1DBF-D8C7-427C-893A-50AAB000A24D,Q170509,a3a8c0e7fb8bad416b0fcd570539d7d21bd2e5bc,,https://library.artstor.org/#/asset/26758615,d226fac9-8ced-4cb2-9513-a724dd920b96,2021-02-01T00:00:00Z,11
