qid,label_en,description_en,image_uuid,image,image_ref1_hash,image_ref1_statedIn,image_ref1_referenceUrl,image_ref1_retrieved_nodeid,image_ref1_retrieved_val,image_ref1_retrieved_prec,country_uuid,country,country_ref1_hash,country_ref1_statedIn,country_ref1_referenceUrl,country_ref1_retrieved_nodeid,country_ref1_retrieved_val,country_ref1_retrieved_prec,movement_uuid,movement,movement_ref1_hash,movement_ref1_statedIn,movement_ref1_referenceUrl,movement_ref1_retrieved_nodeid,movement_ref1_retrieved_val,movement_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeid,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,genre_uuid,genre,genre_ref1_hash,genre_ref1_statedIn,genre_ref1_referenceUrl,genre_ref1_retrieved_nodeid,genre_ref1_retrieved_val,genre_ref1_retrieved_prec,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeid,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec,main_subject_uuid,main_subject,main_subject_ref1_hash,main_subject_ref1_statedIn,main_subject_ref1_referenceUrl,main_subject_ref1_retrieved_nodeid,main_subject_ref1_retrieved_val,main_subject_ref1_retrieved_prec,material_used_uuid,material_used_nodeid,material_used_val,material_used_prec,material_used_ref1_hash,material_used_ref1_statedIn,material_used_ref1_referenceUrl,material_used_ref1_retrieved_nodeid,material_used_ref1_retrieved_val,material_used_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_statedIn,title_ref1_referenceUrl,title_ref1_retrieved_nodeid,title_ref1_retrieved_val,title_ref1_retrieved_prec,owned_by_uuid,owned_by,owned_by_ref1_hash,owned_by_ref1_statedIn,owned_by_ref1_referenceUrl,owned_by_ref1_retrieved_nodeid,owned_by_ref1_retrieved_val,owned_by_ref1_retrieved_prec,inception_uuid,inception_nodeid,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeid,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,height_uuid,height,height_ref1_hash,height_ref1_statedIn,height_ref1_referenceUrl,height_ref1_retrieved_nodeid,height_ref1_retrieved_val,height_ref1_retrieved_prec,width_uuid,width,width_ref1_hash,width_ref1_statedIn,width_ref1_referenceUrl,width_ref1_retrieved_nodeid,width_ref1_retrieved_val,width_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeid,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,catalog_code_uuid,catalog_code,catalog_code_ref1_hash,catalog_code_ref1_statedIn,catalog_code_ref1_referenceUrl,catalog_code_ref1_retrieved_nodeid,catalog_code_ref1_retrieved_val,catalog_code_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_ref1_hash,copyright_status_ref1_statedIn,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeid,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,thickness_uuid,thickness,thickness_ref1_hash,thickness_ref1_statedIn,thickness_ref1_referenceUrl,thickness_ref1_retrieved_nodeid,thickness_ref1_retrieved_val,thickness_ref1_retrieved_prec,culture_uuid,culture,culture_ref1_hash,culture_ref1_statedIn,culture_ref1_referenceUrl,culture_ref1_retrieved_nodeid,culture_ref1_retrieved_val,culture_ref1_retrieved_prec
Q94696965,Madonna and Child,Painting by Giovanni Agostino da Lodi,,,,,,,,,db54df65-406a-127f-2b2d-173cf7cfe5c4,Q153529,,,,,,,,,,,,,,,7bb0e735-41c8-6383-7b44-a46887fb7ccc,Q1452239,,,,,,,B9FBAE08-A2B7-444A-AC67-6924145C9ED8,Q2864737,,,,,,,,,,,,,,,45A25CC7-F385-4EDB-B988-49725827A63C,Q9309699,,,,,,,,,,,,,,,,,b9007a2f-4018-82b9-1533-5d99eda361b3,Madonna and Child,,,,,,,,,,,,,,,2975e360-4af0-599b-e9ad-cb0f9e58e5f0,d6f74d6ff6f996c18de644f34e2970a5,1520-01-01T00:00:00Z,9,,,,,,,6f167e46-4f8a-9ae7-3606-cc1438ff8e6b,20.5,,,,,,,4c7a01e8-49b7-4de2-49aa-b26162f73696,15.25,,,,,,,,,,,,,,,,,,,,,,,8eb8bf2d-40ca-40e5-1483-cc2de3abffb6,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q80566046,Madonna and Child with Apollonia and Another Female Saint,painting by Girolamo Giovenone,CB434F98-E696-4046-8EDE-2B55E3995E1A,http://commons.wikimedia.org/wiki/Special:FilePath/Gerolamo%20Giovenone%20-%20Madonna%20and%20Child%20with%20Saint%20Apollonia%20and%20one%20other%20saint.jpg,,,,,,,,,,,,,,,,,,,,,,,f546e95b-41ed-ee2b-9c2e-8ffc64a4ea73,Q3104278,,,,,,,5ABF2508-CABC-4485-9059-5F25CE5970CF,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51AFCFB2-8D15-421D-A374-0077789331D5,Q14945481,,,,,,,E96BDE89-67F0-4A5B-AABA-9B2D9D84B17A,06346cf1603d99b7d48443a5cf931d04,1530-01-01T00:00:00Z,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFA45FC1-EB59-4809-B7BE-8C49E75547A1,115,68f59ce09a539d3c23954e3749e2b1736537de59,,https://archive.org/details/gri_33125001303847/page/n321,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94696481,Madonna and Child with St. Anne,Painting by Goswijn van der Weyden,,,,,,,,,7a394f5b-4cdf-c506-fad0-9e02160338dd,Q6581823,,,,,,,,,,,,,,,9625ff6d-4b35-0df4-8bbe-f9982e6bbc15,Q1537756,,,,,,,68A1762B-C69D-47B1-8CF7-E27062D41AA2,Q2864737,,,,,,,,,,,,,,,12A18651-148B-4B40-B55B-EEDAFB8413D5,Q563707,,,,,,,,,,,,,,,,,e1cbc72c-43c7-14c2-61c7-baf9984a3f91,Madonna and Child with St. Anne,,,,,,,,,,,,,,,e96d3485-4ece-20c8-22f1-93484af5538c,759017485cd190e7d88754a219613547,1500-01-01T00:00:00Z,7,,,,,,,98560de5-45ba-e69b-595d-9a2f878d30fc,19,,,,,,,eb0fd898-4487-083b-c669-a1fb1f2ebc27,12.75,,,,,,,,,,,,,,,,,,,,,,,bec62148-4944-4ff3-d026-3002e3f92515,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",Painting by Lorenzo di Bicci,,,,,,,,,,,,,,,,,,,,,,,,,5bc0458c-4d4e-323e-4e61-a1bb167206de,Q2254738,,,,,,,551136A3-0D8B-429D-B01B-95011BED55C1,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acb5b939-417b-0a4d-6bae-ce6c5833cf2a,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",,,,,,,,,,,,,,,15ff9796-472d-1646-d318-eaced7ebe53e,c586778917718b23aa6c4c78def116f4,1400-01-01T00:00:00Z,9,,,,,,,a17e6fdd-4765-03f0-c135-0206f06a2bb6,28.5,,,,,,,90616535-4efc-cd55-5cd2-8f9bd5ba03f1,19.5,,,,,,,,,,,,,,,,,,,,,,,4b35b46e-4216-fd74-5b20-608605a6ad31,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94696574,Madonna with Three Saints and John,Painting by Bonifazio de Pitati,,,,,,,,,7457de4d-40c1-8668-1fe6-2f800fc0afd7,Q4948,,,,,,,,,,,,,,,9fd6d96d-49fc-f1f5-a839-fd430fe291d8,Q744747,,,,,,,907A6BE7-75EF-49CC-AE53-8D65CD61CD80,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4cb64e4-4150-74ae-9060-38a768a4be3d,Madonna with Three Saints and John,,,,,,,,,,,,,,,ed86e34b-411e-0bff-368d-f84575eab53d,eab843210563f36bdd1dbab9be4d2258,1530-01-01T00:00:00Z,9,,,,,,,8081c250-40d1-e201-835a-3982fd189640,25.5,,,,,,,bbc7fcc4-4ab3-e4d3-d2a4-aadae6dad113,34,,,,,,,,,,,,,,,,,,,,,,,04ed9d96-43f4-0911-d10c-745159a69795,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94002062,Marine Landscape,oil painting,d0bae5d9-4011-e68c-c72d-adc551cbbff6,http://commons.wikimedia.org/wiki/Special:FilePath/Paul-Jean%20Clays%20-%20Paysage%20marin.jpg,,,,,,,,,,,,,,,,,,,,,,,e6063df3-43d5-efb5-ecbc-443f6c3b2623,Q2959082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475e7421-4aec-63bf-4b67-fba5d893ac4b,Marine Landscape,,,,,,,,,,,,,,,D06030D7-267D-42AF-880B-599E760EA63B,19e910ea900e9f417fc7510aa548f8b8,1850-01-01T00:00:00Z,7,,,,,,,8d47edf9-43f1-4482-2ed7-ffbed2d9cc33,20.2,,,,,,,5d072a1d-45f6-3526-0ab4-c21de6807f94,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q95743325,Polaroid of Dolly Parton,Photograph by Andy Warhol,,,,,,,,,,,,,,,,,,,,,,,,,d9ee48f4-4c13-5369-543a-045f7ee4a579,Q5603,,,,,,,b04589c3-4cba-5027-1e4e-71e39783e595,Q134307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bdcd4099-4e23-662b-400f-ece93b3c7517,Dolly Parton,,,,,,,,,,,,,,,582c9f6b-4f24-a87c-21e2-cb9c28156ad4,e8f77db64726e19e2d0716c59ff3f15b,1985-01-01T00:00:00Z,9,,,,,,,ed133726-4660-a27e-79de-f67d430a6ab5,4.25,,,,,,,f0333ee5-41d4-47f7-4785-70dec2391878,3.5,,,,,,,,,,,,,,,,,,,,,,,82d189aa-4c25-3bde-6cb2-72c803e27c0e,Q50423863,,,,,,,,,,,,,,,,,,,,,,
Q94440586,Portrait of a Gentleman,Painting by Michiel van Musscher,,,,,,,,,,,,,,,,,,,,,,,,,d417916f-457b-a68a-ca71-5b752e283daf,Q185495,,,,,,,1c65c025-cc0e-40c5-9d52-513bc55bdef0,Q134307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410124b4-45a2-25ff-5434-09f311e0b3a3,Portrait of a Gentleman,,,,,,,,,,,,,,,6d10e003-404c-4ce2-57ae-15a7b49d00ee,abeb23780e013a038ac342b314972da1,1689-01-01T00:00:00Z,9,,,,,,,28c7c92d-4420-32c7-7fcf-220f8c27436e,22.25,,,,,,,8847ea8b-400b-4f43-a6f1-ebff3f6c1b7d,19.5,,,,,,,,,,,,,,,,,,,,,,,86e5a65f-491e-616c-1c08-b5ce409ca983,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q95743293,Portrait of Dolly Parton,Photograph by Andy Warhol,,,,,,,,,,,,,,,,,,,,,,,,,39952004-4ae2-1825-12d1-17c27185412a,Q5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94971052,Quilt with blue & red star pattern,quilt by Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,b1c053f2-4a79-9567-715e-f8cd9921e54a,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c0ad54d0-4f22-5c2d-42b9-1daded01ff24,Quilt with blue & red star pattern,,,,,,,,,,,,,,,5c5caa60-4b33-6a11-33f9-cf294092bf42,81a3e72fc2456b38491077cdeef9ff11,1900-01-01T00:00:00Z,7,,,,,,,1394049a-4b77-a12d-9acb-a592ce4fa2a4,88,,,,,,,1b8dc1a9-4d7a-8f4e-8194-93cfed7f3295,90,,,,,,,,,,,,,,,,,,,,,,,b7a67ee3-48b6-a7e0-4630-ddd9dec46fa5,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94835121,Reclining Nude,Painting by Léonard Tsuguharu Foujita,,,,,,,,,7c0f6323-450f-3ee6-0336-1ab99d358926,Q142,,,,,,,,,,,,,,,fc3f7943-4a26-fa53-1264-400b3a4b4536,Q261846,,,,,,,3c0c3589-4e54-a012-fe3f-e02170796a68,Q40446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a920a365-4e01-88fe-4ba6-7e1c6a60008e,Reclining Nude,,,,,,,,,,,,,,,9fa95c17-4d01-a26d-9867-539426eb058e,1f60dbf5b0beacf2064b14fa4183d8ec,1937-01-01T00:00:00Z,9,,,,,,,8507496e-436a-f5b8-3042-62ff3a12c7ac,18,,,,,,,a0c95e13-45ae-3367-35ce-c5faed346a60,21,,,,,,,,,,,,,,,,,,,,,,,15d85a5d-43e0-d320-62fa-7e432a237b7a,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94971493,Red-figure kylix,Kylix by the Aberdeen Painter,,,,,,,,,c1c25f78-4252-792e-d89e-8e5ef5306ee6,Q11772,,,,,,,,,,,,,,,423497a2-4935-39cf-df8d-e746d19586de,Q18670007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217bad68-4cd5-2077-8a52-53594338b3e0,Red-figure kylix,,,,,,,,,,,,,,,8914aac3-426a-4ecd-6554-d54a6ceb7a35,ae88ca0c847befa7802c902f376a2328,-0500-01-01T00:00:00Z,7,,,,,,,2b4fed05-4ad9-ae00-7e58-aaa40c6987b3,3.25,,,,,,,1c95de97-4c1f-147e-c5d0-6d15df1f2700,11.25,,,,,,,,,,,,,,,,,,,,,,,f41a0a44-4ede-dcba-e16e-856d0263547c,Q19652,,,,,,,,,,,,,,,,,,,,,,
