artstor_url,accession,height,width,classification
https://library.artstor.org/#/asset/26753536,/ 1967.003,7,4.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753563,/ 1969.016,24.75,8.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753564,/ 1969.017,14.25,10.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753565,/ 1969.018,64,37.5,Painting
https://library.artstor.org/#/asset/26753568,/ 1969.021,14.75,11.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753569,/ 1969.022,14.75,11.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753571,/ 1969.024,14.75,12,printmaking
https://library.artstor.org/#/asset/26753573,/ 1969.026,15.25,12.75,printmaking
https://library.artstor.org/#/asset/26753574,/ 1969.027,15.25,12.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753575,/ 1969.028,15.25,12.5,Printmaking
https://library.artstor.org/#/asset/26753576,/ 1969.029,15.25,12.5,printmaking
https://library.artstor.org/#/asset/26753578,/ 1969.031,15.25,12.75,printmaking
https://library.artstor.org/#/asset/26753579,/ 1969.032,15.25,12.5,printmaking
https://library.artstor.org/#/asset/26753580,/ 1969.033,15.25,12.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753639,/ 1970.014,19.75,15.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753648,/ 1970.023,13.75,13,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753649,/ 1970.024,13.75,13.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753678,/ 1970.053,11.75,7.75,Painting
https://library.artstor.org/#/asset/26753704,/ 1971.009,9.75,7.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753717,/ 1971.022,8.5,6.5,Painting
https://library.artstor.org/#/asset/26753728,/ 1971.033,15,11.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753760,/ 1971.065,9.5,7.5,Painting
https://library.artstor.org/#/asset/26753790,/ 1972.024,13.5,8.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26754069,/ 1978.027,14.5,9.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26754089,/ 1978.047,9,6.25,Artists' Books
https://library.artstor.org/#/asset/26754090,/ 1978.048,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754103,/ 1978.061,10.25,7,Artists' Books
https://library.artstor.org/#/asset/26754104,/ 1978.062,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754105,/ 1978.063,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754106,/ 1978.064,11,7.5,Artists' Books
https://library.artstor.org/#/asset/26754107,/ 1978.065,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754108,/ 1978.066,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754109,/ 1978.067,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754111,/ 1978.069,10.5,7.5,Artists' Books
https://library.artstor.org/#/asset/26754113,/ 1978.071,10.25,6.75,Artists' Books
https://library.artstor.org/#/asset/26754114,/ 1978.072,9.75,6.75,Artists' Books
https://library.artstor.org/#/asset/26754115,/ 1978.073,10,7,Artists' Books
https://library.artstor.org/#/asset/26754116,/ 1978.074,9.75,7,Artists' Books
https://library.artstor.org/#/asset/26754117,/ 1978.075,10,7,Artists' Books
https://library.artstor.org/#/asset/26754118,/ 1978.076,8.75,6,Artists' Books
https://library.artstor.org/#/asset/26754119,/ 1978.077,9,6.5,Artists' Books
https://library.artstor.org/#/asset/26754124,/ 1978.082,10,7,Artists' Books
https://library.artstor.org/#/asset/26754129,/ 1978.087,10.5,7.25,Artists' Books
https://library.artstor.org/#/asset/26754137,/ 1978.095,6.5,4.5,Artists' Books
https://library.artstor.org/#/asset/26754138,/ 1978.096,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754139,/ 1978.097,6.75,4.75,Artists' Books
https://library.artstor.org/#/asset/26754140,/ 1978.098,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754141,/ 1978.099,8.75,6,Artists' Books
https://library.artstor.org/#/asset/26754144,/ 1978.102,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754145,/ 1978.103a,9.75,6.75,Artists' Books
https://library.artstor.org/#/asset/26754146,/ 1978.104,10.25,7,Artists' Books
https://library.artstor.org/#/asset/26754148,/ 1978.106,7,6.5,Artists' Books
https://library.artstor.org/#/asset/26754151,/ 1978.109,9.25,6.25,Artists' Books
https://library.artstor.org/#/asset/26754156,/ 1978.114,8.5,6,Artists' Books
https://library.artstor.org/#/asset/26754158,/ 1978.116,9,6.25,Artists' Books
https://library.artstor.org/#/asset/26754160,/ 1978.118,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754163,/ 1978.121,9.75,6.75,Artists' Books
https://library.artstor.org/#/asset/26754164,/ 1978.122,9,6.25,Artists' Books
https://library.artstor.org/#/asset/26754166,/ 1978.124,7.25,5,Artists' Books
https://library.artstor.org/#/asset/26754168,/ 1978.126,7.25,5.25,Artists' Books
https://library.artstor.org/#/asset/26754169,/ 1978.127,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754170,/ 1978.128,8.5,6.25,Artists' Books
https://library.artstor.org/#/asset/26754171,/ 1978.129,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754173,/ 1978.131,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754177,/ 1978.135,9.75,7,Artists' Books
https://library.artstor.org/#/asset/26754183,/ 1978.141,8.75,6.25,Artists' Books
https://library.artstor.org/#/asset/26754184,/ 1978.142,9,6.25,Artists' Books
https://library.artstor.org/#/asset/26754187,/ 1978.145,10.25,7,Artists' Books
https://library.artstor.org/#/asset/26754191,/ 1978.149,9.5,6.75,Artists' Books
https://library.artstor.org/#/asset/26754193,/ 1978.151,9.75,6.5,Artists' Books
https://library.artstor.org/#/asset/26754195,/ 1978.153,9.75,6.75,Artists' Books
https://library.artstor.org/#/asset/26754197,/ 1978.155,8.75,5.75,Artists' Books
https://library.artstor.org/#/asset/26754198,/ 1978.156,8.75,6,Artists' Books
https://library.artstor.org/#/asset/26754200,/ 1978.158,9,6.25,Artists' Books
https://library.artstor.org/#/asset/26754201,/ 1978.159,9.5,7,artists' books
https://library.artstor.org/#/asset/26754204,/ 1978.162,10,7.5,Artists' Books
https://library.artstor.org/#/asset/26754206,/ 1978.164,10.75,7.75,Artists' Books
https://library.artstor.org/#/asset/26754208,/ 1978.166,6.25,4.5,Artists' Books
https://library.artstor.org/#/asset/26754210,/ 1978.168,10,7,Artists' Books
https://library.artstor.org/#/asset/26754215,/ 1979.0004,7.5,6.5,Graphic Arts-Drawing
https://library.artstor.org/#/asset/26754449,/ 1979.0238P,22.75,18.25,Painting
https://library.artstor.org/#/asset/26754479,/ 1979.0268P,17.5,14.5,Painting
https://library.artstor.org/#/asset/26754507,/ 1979.0296P,7.5,6.25,Painting
https://library.artstor.org/#/asset/26754509,/ 1979.0298P,26.25,23.25,Painting
https://library.artstor.org/#/asset/26754544,/ 1979.0333P,11,9,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26754597,/ 1979.0385P,15.5,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26754601,/ 1979.0389P,13.5,8.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26754840,/ 1979.0629P,20,16,Graphic Arts-Painting
https://library.artstor.org/#/asset/26754852,/ 1979.0640P,71,54.5,Painting
https://library.artstor.org/#/asset/26754950,/ 1979.0739P,13.75,11,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755021,/ 1979.0810P,24.25,24,Painting
https://library.artstor.org/#/asset/26753375,/ 1956.012,3.5,2.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753385,/ 1956.022,12.25,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753386,/ 1956.023,12.25,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753387,/ 1956.024,12.25,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753388,/ 1956.025,12.25,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753402,/ 1956.041,10.25,7.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753403,/ 1956.042,9.25,7.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753407,/ 1956.046,15.25,10.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753413,/ 1956.052,18.75,11.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753417,/ 1956.057,14.75,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753421,/ 1957.002,9.75,4.5,Graphic Arts-Printmaking
