qid,searched,last_first,description,name,creator_string
,,"Armengol, Rafael","Spanish painter and printmaker, born 1940",Rafael Armengol,"[""Armengol, Rafael (Spanish painter and printmaker, born 1940)""]"
,,"Armin, Emil","American painter, graphic artist, and illustrator, 1883-1971",Emil Armin,"[""Armin, Emil (American painter, graphic artist, and illustrator, 1883-1971)""]"
,,"Arms, John Taylor","American printmaker, 1887-1953",John Taylor Arms,"[""Arms, John Taylor (American printmaker, 1887-1953)""]"
,,"Arp, Hans","French sculptor, painter, and collagist, 1886-1966",Hans Arp,"[""Arp, Hans (French sculptor, painter, and collagist, 1886-1966)""]"
,,"Artigau, Francesc","Spanish painter and printmaker, born 1940",Francesc Artigau,"[""Artigau, Francesc (Spanish painter and printmaker, born 1940)""]"
,,"Ashe, Edmund M.","American painter, illustrator, and teacher, 1867-1941",Edmund M. Ashe,"[""Ashe, Edmund M. (American painter, illustrator, and teacher, 1867-1941)""]"
,,"Aspertini, Amico","Italian painter, sculptor, and illuminator, born 1474 or 1475, died 1552",Amico Aspertini,"[""Aspertini, Amico (Italian painter, sculptor, and illuminator, born 1474 or 1475, died 1552)""]"
,,"Atkinson, Conrad","British printmaker, born 1940",Conrad Atkinson,"[""Atkinson, Conrad (British printmaker, born 1940)""]"
,,"Audubon, John James","American painter and naturalist, 1785-1851",John James Audubon,"[""Audubon, John James (American painter and naturalist, 1785-1851)""]"
,,"Avery, Milton","American painter, 1885 or 1893-1965",Milton Avery,"[""Avery, Milton (American painter, 1885 or 1893-1965)""]"
,,"Axelrod, H.",,H. Axelrod,"[""Axelrod, H.""]"
,,"Azechi, Umetarō","Japanese woodcutter and graphic artist, 1902-1999",Umetarō Azechi,"[""Azechi, Umetarō (Japanese woodcutter and graphic artist, 1902-1999)""]"
,,"Bach, R.",,R. Bach,"[""Bach, R.""]"
,,"Bacher, Otto Henry","American painter, etcher, and illustrator, 1856-1909",Otto Henry Bacher,"[""Bacher, Otto Henry (American painter, etcher, and illustrator, 1856-1909)""]"
,,"Badur, Frank","German painter and printmaker, born 1944",Frank Badur,"[""Badur, Frank (German painter and printmaker, born 1944)""]"
,,"Bailey, Vernon Howe","American illustrator and draftsman, 1874-1953",Vernon Howe Bailey,"[""Bailey, Vernon Howe (American illustrator and draftsman, 1874-1953)""]"
,,Baisetsudo,1751-1764,Baisetsudo,"[""Baisetsudo (1751-1764)""]"
