work_qid,ssid,work_accession_number,artist_qid,artist_name
Q104032062,https://library.artstor.org/#/asset/26758869,2003.002n,Q3174119,Jean Proal
Q104032063,https://library.artstor.org/#/asset/26758870,2003.002o,Q3174119,Jean Proal
Q105095902,https://library.artstor.org/#/asset/26757707,1996.022,Q467712,Jose Luis Sert
Q105095947,https://library.artstor.org/#/asset/26758116,1998.016,,Josep M. Mir
Q102966086,https://library.artstor.org/#/asset/26759827,2013.002,,Joseph Wright
Q102966195,https://library.artstor.org/#/asset/26753965,1975.041,Q18508439,Jules Gaildreau
Q105095928,https://library.artstor.org/#/asset/26757897,1996.195,Q1241113,Kiyokata Kaburagi
Q105091966,https://library.artstor.org/#/asset/26760192,2016.005.06,Q67394955,Matt Runkle
Q102970654,https://library.artstor.org/#/asset/26755711,1982.092,Q372225,Alexander Melamid
,https://library.artstor.org/#/asset/26754103,1978.061,Q11562124,Nangaku Watanabe
Q105096044,https://library.artstor.org/#/asset/26755709,1982.090,Q11172645,Newton Harrison
Q102966478,https://library.artstor.org/#/asset/26759039,2004.067,Q153905,Paul Celan
Q105091849,https://library.artstor.org/#/asset/26759024,2004.052,Q105207980,Peter Foolen
Q105092337,https://library.artstor.org/#/asset/26754344,1979.0133,Q21466076,S. Melville Harden
Q105095932,https://library.artstor.org/#/asset/26754330,1979.0119,,S.G. Hughes
Q105091769,https://library.artstor.org/#/asset/26760198,2016.005.12,Q29219293,Tatana Kellner
Q105091770,https://library.artstor.org/#/asset/26760199,2016.005.13,Q29219293,Tatana Kellner
Q105091565,https://library.artstor.org/#/asset/26760200,2016.005.14,Q29219293,Tatana Kellner
Q105091571,https://library.artstor.org/#/asset/26760201,2016.005.15,Q29219293,Tatana Kellner
Q102975030,https://library.artstor.org/#/asset/26758906,2003.007,Q272194,Ted Hughes
Q102977529,https://library.artstor.org/#/asset/26755712,1982.093,Q188176,William Burroughs
