qid,label_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec
Q17301597,,46252ECD-D5A5-4496-AC8F-F50B3442F914,57038,d3e5214f59a5c284c269af012d46b4cb3aac7528,131fe53b-bd06-4dab-ab12-c130da550130,2021-02-02T00:00:00Z,11
Q17327750,,5D94B22C-0B74-4BDC-9209-C980C3FAC498,56212,d3e5214f59a5c284c269af012d46b4cb3aac7528,3b59391a-a19d-494b-a4c9-ff3e22970752,2021-02-02T00:00:00Z,11
Q17328685,,7C9229B6-ED3C-4543-AD0B-88693CABD166,55489,d3e5214f59a5c284c269af012d46b4cb3aac7528,d8908a31-de0b-4888-ba63-025f4e047315,2021-02-02T00:00:00Z,11
Q17331263,,2AAB65F4-7553-4220-A799-7196741E5D3C,57187,d3e5214f59a5c284c269af012d46b4cb3aac7528,5ba5970d-2634-4b01-a2be-a5962eca235d,2021-02-02T00:00:00Z,11
Q17341728,,AB1357E5-F376-47A6-85F0-406D9BEAFC37,55797,d3e5214f59a5c284c269af012d46b4cb3aac7528,01217a67-1b3a-4f8d-bf6d-c9b6b1dee7ca,2021-02-02T00:00:00Z,11
Q17522178,,DBCFF650-E243-4AD4-9403-A75937E060D8,56248,d3e5214f59a5c284c269af012d46b4cb3aac7528,9547e2e6-4b60-4e0f-aefa-adb31cbabce7,2021-02-02T00:00:00Z,11
Q17522671,,B537C1C2-AC70-4BBD-A4E5-55E1140C4076,57945,d3e5214f59a5c284c269af012d46b4cb3aac7528,6d70c2bd-d39d-484e-9ecc-046240d8eb87,2021-02-02T00:00:00Z,11
Q17780704,,1BACE467-1564-4C76-8F16-3A17A0887529,56703,d3e5214f59a5c284c269af012d46b4cb3aac7528,086ebd13-4343-4f5b-bf0a-f03028e11060,2021-02-02T00:00:00Z,11
Q179962,,91F8952D-CA58-4794-AB8B-6E2DE40C7EAB,57624,d3e5214f59a5c284c269af012d46b4cb3aac7528,a5feaa9b-2583-4e24-b00b-4165dd44b9c2,2021-02-02T00:00:00Z,11
Q18147656,,3B84B40C-A548-4E71-B6F4-79C729593363,54713,d3e5214f59a5c284c269af012d46b4cb3aac7528,ac78aa32-49b5-4be7-8cf3-31a2e2df941a,2021-02-02T00:00:00Z,11
Q18430656,,3F683F33-1BD4-4CDE-A706-F1171C76025C,57343,d3e5214f59a5c284c269af012d46b4cb3aac7528,96a05d66-1a8b-4162-9493-c2769004e554,2021-02-02T00:00:00Z,11
Q1851182,,26F107CA-60A7-451C-8CC1-1B85D10316B3,55280,d3e5214f59a5c284c269af012d46b4cb3aac7528,4bcfb5d1-7870-49cd-8b7e-866a45d0d6a4,2021-02-02T00:00:00Z,11
Q18601322,,FEE86200-408C-4BBE-8488-CE2C1EBB0429,57739,d3e5214f59a5c284c269af012d46b4cb3aac7528,62787de8-4363-403c-bf0f-bc23d4128079,2021-02-02T00:00:00Z,11
Q1866167,,7EFC5E88-2F82-4C0B-9F55-4D702315050C,55178,d3e5214f59a5c284c269af012d46b4cb3aac7528,bde45c07-ee85-43d1-b044-bd07b8afddd4,2021-02-02T00:00:00Z,11
Q18668586,,F67DC275-A1D7-4290-8606-19845C89E947,58104,d3e5214f59a5c284c269af012d46b4cb3aac7528,dbf2d42f-dc4f-4c76-ac0c-4673b1bcd7a2,2021-02-02T00:00:00Z,11
Q18674614,,29C56509-04F8-4E87-90A7-3B4148FE3557,58135,d3e5214f59a5c284c269af012d46b4cb3aac7528,99547a10-d854-4a00-bf38-61d6c006136a,2021-02-02T00:00:00Z,11
Q18683101,,787BC754-A8EE-4CAE-9156-AD243B702542,54932,d3e5214f59a5c284c269af012d46b4cb3aac7528,fb07e41c-1739-45c9-a23a-3c6ea465adb2,2021-02-02T00:00:00Z,11
Q18683211,,AB0DDE06-DB32-4BEE-9CA0-650D1AE432B1,56778,d3e5214f59a5c284c269af012d46b4cb3aac7528,806a6316-dc6e-4718-94e4-31f368d85e5d,2021-02-02T00:00:00Z,11
Q18683338,,F5ADD838-DFB4-41A3-880F-9A460330190E,56970,d3e5214f59a5c284c269af012d46b4cb3aac7528,1a56f5a2-36d9-4978-8091-3912b89a1cea,2021-02-02T00:00:00Z,11
