act_id,qid,filename,url
56753,Q18685777,Gherardo_delle_Notti_o_Gheritt_van_Hontorst_-_Adorazione_del_Bambino_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gherardo%20delle%20Notti%20o%20Gheritt%20van%20Hontorst%20-%20Adorazione%20del%20Bambino%20-%20Google%20Art%20Project.jpg
56694,Q18686003,Henri_Rousseau_-_Meadowland_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Rousseau%20-%20Meadowland%20-%20Google%20Art%20Project.jpg
54717,Q18686218,Jacopo_Bassano_-_The_Good_Samaritan_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20-%20The%20Good%20Samaritan%20-%20Google%20Art%20Project.jpg
58171,Q18686218,Jacopo_Bassano_-_The_Good_Samaritan_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Bassano%20-%20The%20Good%20Samaritan%20-%20Google%20Art%20Project.jpg
58068,Q18688959,Anonymous_Cusco_School_-_Holy_Family_with_Saint_John_and_a_Goldfinch_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20Cusco%20School%20-%20Holy%20Family%20with%20Saint%20John%20and%20a%20Goldfinch%20-%20Google%20Art%20Project.jpg
55751,Q18689337,Saturnino_Herr%C3%A1n_-_The_offering_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Saturnino%20Herr%C3%A1n%20-%20The%20offering%20-%20Google%20Art%20Project.jpg
55961,Q1873244,Dura_Europos_fresco_Moses_from_river.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dura%20Europos%20fresco%20Moses%20from%20river.jpg
55475,Q18748352,Alexandre-Gabriel_Decamps_-_The_Suicide_-_Walters_3742.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre-Gabriel%20Decamps%20-%20The%20Suicide%20-%20Walters%203742.jpg
55421,Q18748376,Andrea_Solario_-_Mary_Magdalen_-_Walters_37509.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Solario%20-%20Mary%20Magdalen%20-%20Walters%2037509.jpg
55473,Q18748543,Gerbrand_van_den_Eeckhout_-_Vision_of_Cornelius_the_Centurion_-_Walters_372492.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gerbrand%20van%20den%20Eeckhout%20-%20Vision%20of%20Cornelius%20the%20Centurion%20-%20Walters%20372492.jpg
55738,Q18748592,Hugues_Merle_-_The_Scarlet_Letter_-_Walters_37172.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Hugues%20Merle%20-%20The%20Scarlet%20Letter%20-%20Walters%2037172.jpg
56528,Q18815217,Angels_dancing_sun_Giovanni_di_Paolo_Cond%C3%A9_Chantilly.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Angels%20dancing%20sun%20Giovanni%20di%20Paolo%20Cond%C3%A9%20Chantilly.jpg
56306,Q18891196,Edvard_Munch_-_The_Sun_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20-%20The%20Sun%20-%20Google%20Art%20Project.jpg
56141,Q1890012,Stumpf_Mosaik_1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Stumpf%20Mosaik%201.jpg
57223,Q19018954,Claude_Monet_-_Heavy_Sea_at_Pourville_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Heavy%20Sea%20at%20Pourville%20-%20Google%20Art%20Project.jpg
57307,Q19242594,Annibale_Carracci_-_Healing_the_Man_Born_Blind_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Annibale%20Carracci%20-%20Healing%20the%20Man%20Born%20Blind%20-%20Google%20Art%20Project.jpg
58046,Q1938388,Feuerbach_Mirjam_2.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Feuerbach%20Mirjam%202.jpg
56863,Q1938388,Miriam_IMG_28071.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Miriam%20IMG%2028071.JPG
56052,Q19398982,Christian_Krohg_-_Struggle_for_Survival_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Krohg%20-%20Struggle%20for%20Survival%20-%20Google%20Art%20Project.jpg
54948,Q1959777,Belles_heures_jean_duc_de_berry_annunciation.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Belles%20heures%20jean%20duc%20de%20berry%20annunciation.jpg
57410,Q19820166,Nicolas_Poussin_073.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Poussin%20073.jpg
56515,Q19825936,Edward_Burne-Jones_-_The_Annunciation_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20Burne-Jones%20-%20The%20Annunciation%20-%20Google%20Art%20Project.jpg
55114,Q19858364,Brooklyn_Museum_-_Barabbas_-_James_Tissot.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Barabbas%20-%20James%20Tissot.jpg
57156,Q19858614,Jean-Fran%C3%A7ois_Millet_-_Shepherd_Tending_His_Flock_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Fran%C3%A7ois%20Millet%20-%20Shepherd%20Tending%20His%20Flock%20-%20Google%20Art%20Project.jpg
