RecordNumber,CopyrightStatement,filename,iri
55449,http://commons.wikimedia.org/wiki/File:2012-02-Kathedrale_Sancti_Spiritus_04_anagoria.JPG,2012-02-Kathedrale_Sancti_Spiritus_04_anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-Kathedrale_Sancti_Spiritus_04_anagoria.JPG
55902,http://commons.wikimedia.org/wiki/File:2013-08-14--Artoklasia_during_Feast_of_the_Dormition_of_the_Virgin_Mary.JPG,2013-08-14--Artoklasia_during_Feast_of_the_Dormition_of_the_Virgin_Mary.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2013-08-14--Artoklasia_during_Feast_of_the_Dormition_of_the_Virgin_Mary.JPG
55438,http://commons.wikimedia.org/wiki/File:230718_88-olinda-maspe.jpg,230718_88-olinda-maspe.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/230718_88-olinda-maspe.jpg
55711,http://commons.wikimedia.org/wiki/File:30a_protest_christians_against_greed.jpg,30a_protest_christians_against_greed.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/30a_protest_christians_against_greed.jpg
55208,"http://commons.wikimedia.org/wiki/File:8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg","8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg","http://commons.wikimedia.org/wiki/Special:FilePath/8_Nicolo_di_Pietro,1413-15._The_Saint_Augustine_Baptized_by_Saint_Ambrose._Pinacoteca,_Vatican..jpg"
54972,http://commons.wikimedia.org/wiki/File:A_z.JPG,A_z.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/A_z.JPG
55552,"http://commons.wikimedia.org/wiki/File:A.Y._Jackson_-_A_Copse,_Evening,_1918.jpg","A.Y._Jackson_-_A_Copse,_Evening,_1918.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/A.Y._Jackson_-_A_Copse,_Evening,_1918.jpg"
55439,http://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Carrying_the_Cross_1921.jpg,Aba-Nov%C3%A1k_Carrying_the_Cross_1921.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k_Carrying_the_Cross_1921.jpg
55428,http://commons.wikimedia.org/wiki/File:Aba-Nov%C3%A1k_Laughing_1931.jpg,Aba-Nov%C3%A1k_Laughing_1931.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aba-Nov%C3%A1k_Laughing_1931.jpg
54751,http://commons.wikimedia.org/wiki/File:Abbazia_Rodengo_Romanino_Samaritana.JPG,Abbazia_Rodengo_Romanino_Samaritana.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abbazia_Rodengo_Romanino_Samaritana.JPG
55382,"http://commons.wikimedia.org/wiki/File:Abbey_of_Port-Royal,_Distributing_Alms_to_the_Poor_by_Louise-Magdeleine_Hortemels_c._1710.jpg","Abbey_of_Port-Royal,_Distributing_Alms_to_the_Poor_by_Louise-Magdeleine_Hortemels_c._1710.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abbey_of_Port-Royal,_Distributing_Alms_to_the_Poor_by_Louise-Magdeleine_Hortemels_c._1710.jpg"
54806,"http://commons.wikimedia.org/wiki/File:Abraham_and_Isaac_before_the_Sacrifice,_Jan_Victors,_1642.jpg","Abraham_and_Isaac_before_the_Sacrifice,_Jan_Victors,_1642.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_and_Isaac_before_the_Sacrifice,_Jan_Victors,_1642.jpg"
55025,http://commons.wikimedia.org/wiki/File:Abraham_Bloemaert_-_The_Emmaus_Disciples_-_WGA02276.jpg,Abraham_Bloemaert_-_The_Emmaus_Disciples_-_WGA02276.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Bloemaert_-_The_Emmaus_Disciples_-_WGA02276.jpg
54824,http://commons.wikimedia.org/wiki/File:Abraham_und_Isaak.JPG,Abraham_und_Isaak.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_und_Isaak.JPG
54825,http://commons.wikimedia.org/wiki/File:Abraham_und_Isaak.JPG,Abraham_und_Isaak.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_und_Isaak.JPG
55730,http://commons.wikimedia.org/wiki/File:Abraham_van_Dijck_Der_Prophet_Elisa_weist_Naamans_Gaben_zur%C3%BCck_c1655.jpg,Abraham_van_Dijck_Der_Prophet_Elisa_weist_Naamans_Gaben_zur%C3%BCck_c1655.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_van_Dijck_Der_Prophet_Elisa_weist_Naamans_Gaben_zur%C3%BCck_c1655.jpg
54362,http://commons.wikimedia.org/wiki/File:Absalom-Jones_Peale.jpg,Absalom-Jones_Peale.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Absalom-Jones_Peale.jpg
55578,http://commons.wikimedia.org/wiki/File:Adam_Elsheimer_-_Glorification_of_the_Cross_-_WGA7498.jpg,Adam_Elsheimer_-_Glorification_of_the_Cross_-_WGA7498.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Elsheimer_-_Glorification_of_the_Cross_-_WGA7498.jpg
55232,http://commons.wikimedia.org/wiki/File:Adriaen_van_der_Werff_Sarah_presenting_Hagar_to_Abraham.jpg,Adriaen_van_der_Werff_Sarah_presenting_Hagar_to_Abraham.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen_van_der_Werff_Sarah_presenting_Hagar_to_Abraham.jpg
54949,http://commons.wikimedia.org/wiki/File:Aert_de_Gelder_-_Het_loflied_van_Simeon.jpg,Aert_de_Gelder_-_Het_loflied_van_Simeon.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aert_de_Gelder_-_Het_loflied_van_Simeon.jpg
55440,"http://commons.wikimedia.org/wiki/File:Afro-American_Monument,_circa_1897.jpg","Afro-American_Monument,_circa_1897.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Afro-American_Monument,_circa_1897.jpg"
55679,http://commons.wikimedia.org/wiki/File:Ai_Weiwei-So_sorry.JPG,Ai_Weiwei-So_sorry.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Ai_Weiwei-So_sorry.JPG
56003,http://commons.wikimedia.org/wiki/File:Aix-en-Provence_Mausolee_Joseph_Sec_08_20061227.jpg,Aix-en-Provence_Mausolee_Joseph_Sec_08_20061227.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Aix-en-Provence_Mausolee_Joseph_Sec_08_20061227.jpg
