RecordNumber,CopyrightStatement
46319,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_010.jpg
46320,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_014.jpg
46322,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_022.jpg
46323,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_043.jpg
46324,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_032.jpg
46325,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_027.jpg
46326,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_026.jpg
46327,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_025.jpg
55218,http://commons.wikimedia.org/wiki/File:Gottvater_mit_dem_Leichnam_Christi_15_Jh.jpg
55219,http://commons.wikimedia.org/wiki/File:Nationalmuseet_-_Cophenaghne_-_God.jpg
54407,https://commons.wikimedia.org/wiki/File:Roma2010_(5003218039).jpg
46404,https://commons.wikimedia.org/wiki/File:Bartolom%C3%A9_Esteban_Murillo_-_The_Young_Christ_as_the_Good_Shepherd_-_58.1425_-_Museum_of_Fine_Arts.jpg
46410,https://commons.wikimedia.org/wiki/File:Berthe_Morisot_006.jpg
46411,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_004.jpg
46412,https://commons.wikimedia.org/wiki/File:Benozzo_Gozzoli_005.jpg
46413,https://commons.wikimedia.org/wiki/File:Bernardo_Daddi_001.jpg
46414,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_9._Jahrhunderts_003.jpg
46416,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1000_001.jpg
46417,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1000_002.jpg
46418,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_705_001.jpg
46446,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_066.jpg
46447,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_063.jpg
46448,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_057.jpg
46449,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_056.jpg
46450,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_054.jpg
46451,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_064.jpg
46465,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_055.jpg
46466,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_048.jpg
46468,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_037.jpg
46469,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_038.jpg
46470,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_042.jpg
46471,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_046.jpg
46472,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_045.jpg
46473,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_049.jpg
46474,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_047.jpg
46476,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_050.jpg
46477,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_053.jpg
46478,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_051.jpg
46491,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_057.jpg
46492,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_079.jpg
46511,https://commons.wikimedia.org/wiki/File:Guido_Reni_042.jpg
46512,https://commons.wikimedia.org/wiki/File:Guido_Reni_043.jpg
46513,https://commons.wikimedia.org/wiki/File:Guido_Reni_-_Massacre_of_the_Innocents_-_Pinacoteca_Nazionale_Bologna.jpg
46514,https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Tiepolo_011.jpg
46515,https://commons.wikimedia.org/wiki/File:Guido_Reni_-_Massacre_of_the_Innocents_detail2_-_Pinacoteca_Nazionale_Bologna.jpg
46516,https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Tiepolo_012.jpg
46517,https://commons.wikimedia.org/wiki/File:Giovanni_Antonio_Pellegrini_001.jpg
46518,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_042.jpg
46519,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_080.jpg
46520,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_039.jpg
46521,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_036.jpg
56776,https://commons.wikimedia.org/wiki/File:Pascal_Dagnan-Bouveret_-_Blessing_of_the_Young_Couple_Before_Marriage.JPG
46524,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_085.jpg
46525,https://commons.wikimedia.org/wiki/File:Jan_van_Eyck_056.jpg
46526,https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Tiepolo_075.jpg
46551,https://commons.wikimedia.org/wiki/File:Gustav_Klimt_035.jpg
46552,https://commons.wikimedia.org/wiki/File:Guido_Reni_056.jpg
46553,https://commons.wikimedia.org/wiki/File:Guido_Reni_016.jpg
46554,https://commons.wikimedia.org/wiki/File:Guido_Reni_044.jpg
46556,https://commons.wikimedia.org/wiki/File:Giovanni_di_Paolo_003.jpg
57338,https://commons.wikimedia.org/wiki/File:The_Artist%27s_Garden_at_Giverny_by_Claude_Monet_1900.jpeg
46558,https://commons.wikimedia.org/wiki/File:Giunta_Pisano_001.jpg
46559,https://commons.wikimedia.org/wiki/File:Guariento_002.jpg
46560,https://commons.wikimedia.org/wiki/File:Grigorij_Grigorjewitsch_Mjassojedow_001.jpg
46561,https://commons.wikimedia.org/wiki/File:Guido_Reni_Neapolitan_Baroque_painting_(1630%E2%80%931642).jpg
46562,https://commons.wikimedia.org/wiki/File:Guido_Reni_003.jpg
46566,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_010.jpg
58457,https://commons.wikimedia.org/wiki/File:Wisdom_-_Sister_Maurice_Schnell.jpg
58459,https://commons.wikimedia.org/wiki/File:Jan_Victors_-_The_Banquet_of_Esther_and_Ahasuerus_-_WGA25059.jpg
46581,https://commons.wikimedia.org/wiki/File:Irischer_Meister_001.jpg
46582,https://commons.wikimedia.org/wiki/File:Byzantinischer_Maler_um_1020_002.jpg
46584,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_001.jpg
46585,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_12._Jahrhunderts_002.jpg
46586,https://commons.wikimedia.org/wiki/File:Br%C3%BCgger_Meister_von_1482_001.jpg
46587,https://commons.wikimedia.org/wiki/File:Bernhard_Strigel_001.jpg
46588,https://commons.wikimedia.org/wiki/File:Bernt_Notke_002.jpg
46589,https://commons.wikimedia.org/wiki/File:Berthe_Morisot_008.jpg
46590,https://commons.wikimedia.org/wiki/File:Bartholomeus_Breenbergh_002.jpg
46605,https://commons.wikimedia.org/wiki/File:Bayerischer_Meister_001.jpg
46606,https://commons.wikimedia.org/wiki/File:Lucas_van_Leyden_-_Moses_and_the_Israelites_after_the_Miracle_of_Water_from_the_Rock_-_54.1432_-_Museum_of_Fine_Arts.jpg
46607,https://commons.wikimedia.org/wiki/File:Bartolom%C3%A9_Esteban_Perez_Murillo_022.jpg
46608,https://commons.wikimedia.org/wiki/File:Bernaerd_van_Orley_001FXD.jpg
46609,https://commons.wikimedia.org/wiki/File:Bernaerd_van_Orley_006.jpg
46610,https://commons.wikimedia.org/wiki/File:Bartolom%C3%A9_Esteban_Perez_Murillo_-_The_Holy_Family_with_a_Bird_-_WGA16356.jpg
46611,https://commons.wikimedia.org/wiki/File:Bartolom%C3%A9_Esteban_Perez_Murillo_007.jpg
46612,https://commons.wikimedia.org/wiki/File:Berner_Nelkenmeister_001.jpg
46613,https://commons.wikimedia.org/wiki/File:Bernardo_Daddi_003.jpg
46614,"https://commons.wikimedia.org/wiki/File:Barth%C3%A9lemy_d%27Eyck_-_Aix_Verk%C3%BCndigung,_ca._1443%E2%80%9345.jpg"
46616,https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Tiepolo_074.jpg
46618,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_029.jpg
46619,https://commons.wikimedia.org/wiki/File:Francisco_de_Zurbar%C3%A1n_005.jpg
46620,"https://commons.wikimedia.org/wiki/File:Georges_de_La_Tour_-_The_New-born_(detail,_Mus%C3%A9e_des_Beaux-Arts_de_Rennes).jpg"
