value,label,count
P5368,National Gallery of Canada artist ID,1
P5407,MHK object ID,1
P5489,artist-info artist ID,1
P5597,Artcyclopedia artist ID,1
P5731,Angelicum ID,1
P5739,Pontificia Università della Santa Croce ID,1
P5775,image of interior,1
P6004,Brasiliana Iconográfica ID,1
P6104,maintained by WikiProject,1
P6257,right ascension,1
P6259,epoch,1
P6258,declination,1
P6275,copyright representative,1
P6394,ELNET ID,1
P6412,Gran Enciclopèdia de la Música ID,1
P6482,"Image Archive, Herder Institute",1
P6525,Fondation Maeght artist ID,1
P6578,MutualArt artist ID,1
P6594,Guggenheim fellows ID,1
P6656,BHCL ID,1
P6683,Alexander Turnbull Library ID,1
P6714,Whitney Museum of American Art artist ID,1
P6804,Art Gallery of South Australia creator ID,1
P6821,Uppsala University Alvin ID,1
P7038,Documenta Catholica Omnia author ID,1
P7369,National Library of Chile ID,1
P7457,creator's signature,1
P7545,askArt person ID,1
P7561,category for the interior of the item,1
P7775,RationalWiki ID,1
P7889,Cambridge Encyclopedia of Anthropology ID,1
P7929,Roglo person ID,1
P7928,BioLexSOE ID,1
P7959,historic county,1
P7982,Hrvatska enciklopedija ID,1
P7984,depicted format,1
P8094,GeneaStar person ID,1
P8189,National Library of Israel J9U ID,1
P8210,LombardiaBeniCulturali artwork author ID,1
P8317,Philadelphia Museum of Art entity ID,1
P8341,Dansk Biografisk Leksikon ID,1
P8349,Proleksis enciklopedija ID,1
P8366,GCatholic person ID,1
P8383,Goodreads work ID,1
P8456,ASCRG 2016 ID,1
P8519,RKD thesaurus ID,1
P8596,category for the exterior of the item,1
P8599,Nelson-Atkins Museum of Art artwork ID,1
P8669,Encyclopaedia Beliana ID,1
P8795,General Diamond Catalogue ID,1
P8799,Twitch tag ID,1
P8849,CONOR.BG ID,1
P8916,DIA ID,1
P8924,State Catalogue of the Museum Fund of Russia artwork ID,1
P8962,PBA artwork ID,1
P9017,Medieval Manuscripts in Oxford Libraries person ID,1
P59,constellation,1
P61,discoverer or inventor,1
P84,architect,1
P94,coat of arms image,1
P97,noble title,1
P123,publisher,1
P157,killed by,1
P212,ISBN-13,1
P243,OCLC control number,1
P242,locator map image,1
