qid,label_en,instance_of_uuid,instance_of
Q107277075,On Intellectual Hospitality and the Plenitude of Time: A Response to Bardawil,421518e5-4fca-775b-d019-c17fe6c4b66d,Q36774
Q107277189,On The Real Tragedy of Secular Modernity: Anand Vivek Taneja,c5d796e1-4a83-9573-8835-499308066a85,Q17928402
Q107277767,"Village Cosmopolitanisms: Or, I See Kabul from Lado Sarai",64415a13-48a8-8446-7afe-d3e90e38675a,Q17928402
Q108748206,In a Blaze of Glory: Womanist Spirituality as Social Witness,36D9E383-15A9-4EE2-9ECD-A28AD31EB2B6,Q3331189
Q108748206,In a Blaze of Glory: Womanist Spirituality as Social Witness,80E39A60-BBDC-41B7-873A-7194D19BE60B,Q571
Q108765612,Beyond Monotheism: A Theology of Multiplicity,241F5B0F-29A8-4FF9-A2F0-60E834E095D6,Q3331189
Q108765612,Beyond Monotheism: A Theology of Multiplicity,F5CB32DB-863A-44B7-AF6A-C8116210B942,Q571
Q108765613,Re-imagining the Divine: Confronting the Backlash Against Feminist Theology,1B83C3EE-B2AB-4413-81A5-A2BBE18C5DE6,Q3331189
Q108765613,Re-imagining the Divine: Confronting the Backlash Against Feminist Theology,BCF5591D-97D6-496D-9527-6ED2E7F946E0,Q571
Q108765616,Queer Soul and Queer Theology: Ethics and Redemption in Real Life,08602C80-70BA-4298-BE80-5A1575EFA03B,Q571
Q108765616,Queer Soul and Queer Theology: Ethics and Redemption in Real Life,C6682CE6-0B8D-48E7-8784-BEF0E9A5B1E9,Q3331189
Q108802810,"Setting the Context: A Brief History of Science by a Sympathetic Theologian: Aristotle and Plato, Islamic Science, Medieval Science and the West, Reformation and the Renaissance, Descartes, Newton, Darwin, Freud",BDAC4D9A-60B6-4083-80F5-EF1220EFE5E2,Q21481766
Q108802811,Promiscuous Incarnation,F4C3D53A-2649-45E1-B3D1-AB7D3B7014DF,Q21481766
Q108802812,What Race is Your Sex?,75DA98F0-2FEB-4999-86F2-9A86DDC0E901,Q21481766
Q108802813,Love We Cannot Not Want: A Response to Kwok Pui-lan,C42A21E0-A125-43F5-93A2-15677ED1ACE6,Q21481766
Q108802814,What if it is a Choice?: Some Implications of the Homosexuality Debates for Theology,DA9EF013-59E8-46FD-BCD7-F88FF7C0D5B4,Q21481766
