qid,label_en,description_en,exhibition_history_uuid,exhibition_history,exhibition_history_start_time_nodeId,exhibition_history_start_time_val,exhibition_history_start_time_prec,exhibition_history_end_time_nodeId,exhibition_history_end_time_val,exhibition_history_end_time_prec,exhibition_history_ref1_hash,exhibition_history_ref1_referenceUrl,exhibition_history_ref1_retrieved_nodeId,exhibition_history_ref1_retrieved_val,exhibition_history_ref1_retrieved_prec
Q103304807,Madonna and Child,photograph by Andy Warhol,0D9FAB6F-765C-43E0-BCE7-42EC6D090844,Q109133749,1cb1b9fd-97d3-4601-b9b0-d1c5377bf416,2021-08-26T00:00:00Z,11,fa609321-785d-496e-89ed-a3e915a81de5,2022-01-30T00:00:00Z,11,fdd77ac7827ab145c3db9956498e8017ba43e473,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/madonna-and-child/,15ba073b-7966-49cf-b2cd-b589968426f7,2021-10-23T00:00:00Z,11
Q103301096,Helmet or Cap Mask of the Gelede Society in the Yoruba Tribe,sculpture by Artist Unknown,6A372EC3-8332-474C-A628-5C43472FBBD9,Q109133749,2b31f9d3-afe3-4f3d-ba50-14e7d9d6911a,2021-08-26T00:00:00Z,11,a9c2e3ee-a42e-42e5-87fb-0d8588acc75b,2022-01-30T00:00:00Z,11,f1180d0fa80c3028e42c0b86768830e70b5fe22c,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/mask-of-the-gelede-society-in-the-yoruba-tribe/,a74fa34a-3b35-4d22-ae7f-f8d946c62835,2021-10-23T00:00:00Z,11
Q103305107,Mask,mask by Artist Unknown,BE9A67CD-8676-4899-A655-6F10FF3B327F,Q109133749,79c40233-5311-433c-833b-5608367de20f,2021-08-26T00:00:00Z,11,a8a84980-d552-4a48-9f7c-4b0ec070da1d,2022-01-30T00:00:00Z,11,fae19619aef47a60d132dd8117f2d91cf6a3934b,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/mask/,407eb2f9-71c4-46d5-a96d-15221adcaae8,2021-10-23T00:00:00Z,11
Q102968507,Medicine steamer,work of art by Artist Unknown,E2F37582-1212-412A-BF8E-622C9A4E1A6E,Q109133749,af30e3d8-a566-4e7d-9053-f3bf945612bd,2021-08-26T00:00:00Z,11,d6b5ecf1-0960-457e-be5f-162685430d23,2022-01-30T00:00:00Z,11,008b57b25e23336d5e07e2900377cf37799c684a,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/medicine-steamer/,994f517c-69ee-4fe9-88d4-79b7f4651e18,2021-10-23T00:00:00Z,11
Q102968532,Mercury and Argus,painting by Artist Unknown,e468565c-4a6a-0b08-ecf6-9f5de5c748ee,Q109133749,7f79b38373ae269917c5dad0e48d05bd,2021-08-26T00:00:00Z,11,34c9a459ccf968916abaef15a4619650,2022-01-30T00:00:00Z,11,a957b700e946e58744ba57d904b025a1576e468d,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/mercury-and-argus/,b1b1173880c22fdc6d875560faca663f,2021-10-23T00:00:00Z,11
Q103305488,Moses,print by Marc Chagall,96864598-C313-4F19-8FF1-9C6093FF1F9F,Q109133749,4830891c-571b-403f-9e26-0b65bb770eef,2021-08-26T00:00:00Z,11,1aa49c2c-2dd3-4081-b0fe-d4f48923911c,2022-01-30T00:00:00Z,11,b5945c7b00eab0d571dc2349714da3d67daeeab7,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/moses/,64ef5eb9-ea91-4fed-a752-036d3c039f11,2021-10-23T00:00:00Z,11
Q103306555,Pipe bowl in the shape of a seated human,ceramics by Artist Unknown,FDEC7315-5350-4190-8B27-73FE1B0C0EE7,Q109133749,4b802fde-7e31-4cd1-b4fd-a9d2dc9bb48c,2021-08-26T00:00:00Z,11,a58c18cb-fa02-4888-9ddd-d3d22dd663ae,2022-01-30T00:00:00Z,11,bdc4f82ce845f46601fcd8f90496a825e73c6b1c,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/pipe-bowl-in-the-shape-of-a-seated-human/,05d695ba-c36c-405d-9e81-954489b2f069,2021-10-23T00:00:00Z,11
Q103307536,REsurrection,lithograph,641AB998-A8E4-45B1-B3B9-42762F67E6E7,Q109133749,fcfd17b1-7399-4dd3-a66d-9d9a3679f39b,2021-08-26T00:00:00Z,11,7ac38afd-f6d3-469b-8947-83127d024311,2022-01-30T00:00:00Z,11,e70c1f40673188aea755b50ff9f14ed1e7ae507f,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/resurrection/,83e0367f-3a68-4fe4-a12b-8c513b5cecf7,2021-10-23T00:00:00Z,11
Q94830050,Running Bear Effigy,earthen,C6CB7479-9528-44F7-ACA1-69D7630EEA22,Q109133749,1a9f501f-97b4-4205-a16c-af9d07e669b7,2021-08-26T00:00:00Z,11,c5a36724-64b6-489e-928a-76a8acff7050,2022-01-30T00:00:00Z,11,1c64f65d919b85264709af2b47533ff907d99e8f,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/running-bear-effigy/,132fa314-b8da-4fdc-8d0c-31fe777782b4,2021-10-23T00:00:00Z,11
Q103308814,St. John Consoling the Virgin,painting by Johannes Adam Simon Oertel,B42D13A7-7D1C-4D08-986A-40E15035AB27,Q109133749,85456086-76c9-4360-bc6d-074fc0e9433a,2021-08-26T00:00:00Z,11,143f67cd-efb7-46c0-8cb3-3a65af991103,2022-01-30T00:00:00Z,11,ba33d165e2072c8bd7b1eda7b7ffc9a6a40ce4d3,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/st-john-consoling-the-virgin/,2b2e3041-ce59-493e-978d-b2c6fc9ba36a,2021-10-23T00:00:00Z,11
Q102974719,The Repentance of Mary Magdalene,painting by Carlo Antonio Tavella,D79FB8E6-0BF5-4102-A510-31603180E946,Q109133749,d1408532-a26e-4f51-9d40-47c8b03d196f,2021-08-26T00:00:00Z,11,fd709704-02a5-41d4-92e7-7e64d5f0b7b4,2022-01-30T00:00:00Z,11,7ecfba0345b29e95fb9b9613a7dec2492bec51e2,https://exhibitions.library.vanderbilt.edu/sympathetic-magic/item/the-repentance-of-mary-magdalene/,31674ec5-40fa-4b25-a08c-71989c6a1d21,2021-10-23T00:00:00Z,11
