accession_number,mid,description,score,topicality
1964.001,/m/03gq5hm,Font,0.76543146,0.76543146
1964.001,/m/05qdh,Painting,0.7575508,0.7575508
1964.001,/m/0j62f,Rectangle,0.7551032,0.7551032
1964.001,/m/01x314,Facade,0.75326073,0.75326073
1964.002,/m/0j62f,Rectangle,0.8900913,0.8900913
1964.002,/m/078hm,Slope,0.86079097,0.86079097
1964.002,/m/0cgh4,Building,0.826358,0.826358
1964.002,/m/03r_vp,Adaptation,0.7925309,0.7925309
1964.002,/m/07j7r,Tree,0.78509235,0.78509235
1964.002,/m/03gq5hm,Font,0.7843121,0.7843121
1964.002,/m/0jjw,Art,0.7583742,0.7583742
1964.002,/m/01kr8f,Illustration,0.7350128,0.7350128
1964.002,/m/030zfn,Parallel,0.7346057,0.7346057
1964.002,/m/03jm5,House,0.713522,0.713522
1964.003,/m/0cgh4,Building,0.92970324,0.92970324
1964.003,/m/0jjw,Art,0.84226376,0.84226376
1964.003,/m/083vt,Wood,0.83579105,0.83579105
1964.003,/m/03jm5,House,0.8247348,0.8247348
1964.003,/m/05qdh,Painting,0.81835955,0.81835955
1964.003,/m/0j62f,Rectangle,0.81152654,0.81152654
1964.003,/m/0d4v4,Window,0.75789934,0.75789934
1964.003,/m/01kr8f,Illustration,0.74240166,0.74240166
1964.003,/m/05s2s,Plant,0.7342228,0.7342228
1964.003,/m/01x314,Facade,0.73314786,0.73314786
1964.004,/m/01fdzj,Tower,0.9074519,0.9074519
1964.004,/m/05s2s,Plant,0.88752604,0.88752604
1964.004,/m/0cgh4,Building,0.88295835,0.88295835
1964.004,/m/0j62f,Rectangle,0.8416346,0.8416346
1964.004,/m/01x3z,Clock,0.8379135,0.8379135
1964.004,/m/07j7r,Tree,0.81288135,0.81288135
1964.004,/m/03gq5hm,Font,0.8069682,0.8069682
1964.004,/m/0jjw,Art,0.7771692,0.7771692
1964.004,/m/05_5t0l,Landmark,0.7754792,0.7754792
1964.004,/m/02qd_7,Clock tower,0.74835974,0.74835974
1964.005,/m/0cgh4,Building,0.89290726,0.89290726
1964.005,/m/07j7r,Tree,0.87164235,0.87164235
1964.005,/m/05nnm,Organism,0.85418856,0.85418856
1964.005,/m/03jm5,House,0.8407797,0.8407797
1964.005,/m/05s2s,Plant,0.81024116,0.81024116
1964.005,/m/0j62f,Rectangle,0.79748476,0.79748476
1964.005,/m/0jjw,Art,0.7769725,0.7769725
1964.005,/m/05qdh,Painting,0.7348356,0.7348356
1964.005,/m/083vt,Wood,0.7346908,0.7346908
1964.005,/m/03gq5hm,Font,0.7304113,0.7304113
1964.006,/m/0cgh4,Building,0.8854079,0.8854079
1964.006,/m/0jjw,Art,0.8215195,0.8215195
1964.006,/m/03jm5,House,0.8174107,0.8174107
1964.006,/m/05qdh,Painting,0.80602396,0.80602396
1964.006,/m/03r_vp,Adaptation,0.79238343,0.79238343
1964.006,/m/07j7r,Tree,0.7804543,0.7804543
1964.006,/m/03nxtz,Cottage,0.7737112,0.7737112
1964.006,/m/0j62f,Rectangle,0.7665479,0.7665479
1964.006,/m/08yp1s,Hut,0.73608106,0.73608106
1964.006,/m/02csf,Drawing,0.719088,0.719088
1964.007,/m/0cgh4,Building,0.9124568,0.9124568
1964.007,/m/01fdzj,Tower,0.8238285,0.8238285
1964.007,/m/0j62f,Rectangle,0.7795858,0.7795858
1964.007,/m/0d4v4,Window,0.7739937,0.7739937
1964.007,/m/0jjw,Art,0.76107323,0.76107323
1964.007,/m/03jm5,House,0.7581457,0.7581457
1964.007,/m/01x314,Facade,0.7493574,0.7493574
1964.007,/m/07j7r,Tree,0.72515565,0.72515565
1964.007,/m/051rmm,Steeple,0.70408297,0.70408297
1964.007,/m/01kr8f,Illustration,0.6829783,0.6829783
1964.008,/m/0j62f,Rectangle,0.8593062,0.8593062
1964.008,/m/0cgh4,Building,0.8212069,0.8212069
1964.008,/m/03gq5hm,Font,0.8070474,0.8070474
1964.008,/m/0jjw,Art,0.7652899,0.7652899
1964.008,/m/01mwkf,Monochrome,0.74713176,0.74713176
1964.008,/m/03d49p1,Monochrome photography,0.7467796,0.7467796
1964.008,/m/01lynh,Stairs,0.73645735,0.73645735
1964.008,/m/01x314,Facade,0.72580373,0.72580373
1964.008,/m/01kr8f,Illustration,0.7186184,0.7186184
1964.008,/m/0dpvm,Arch,0.70905083,0.70905083
1964.009,/m/0cgh4,Building,0.9417296,0.9417296
1964.009,/m/0j62f,Rectangle,0.88019174,0.88019174
1964.009,/m/03jm5,House,0.80804497,0.80804497
1964.009,/m/0jjw,Art,0.7935202,0.7935202
1964.009,/m/05qdh,Painting,0.777971,0.777971
1964.009,/m/07j7r,Tree,0.7738872,0.7738872
1964.009,/m/01x314,Facade,0.7399424,0.7399424
1964.009,/m/03gq5hm,Font,0.73576456,0.73576456
1964.009,/m/02csf,Drawing,0.7089853,0.7089853
1964.009,/m/01kr8f,Illustration,0.7067048,0.7067048
1964.010,/m/0cgh4,Building,0.8833938,0.8833938
1964.010,/m/03gq5hm,Font,0.8198284,0.8198284
1964.010,/m/0jjw,Art,0.8165273,0.8165273
1964.010,/m/01x3z,Clock,0.76559025,0.76559025
1964.010,/m/03jm5,House,0.7539315,0.7539315
1964.010,/m/0d9wj,Urban design,0.731712,0.731712
1964.010,/m/01kr8f,Illustration,0.731062,0.731062
1964.010,/m/02csf,Drawing,0.70847034,0.70847034
1964.010,/m/05qdh,Painting,0.7064773,0.7064773
1964.010,/m/06ht1,Room,0.6711511,0.6711511
1964.011,/m/0cgh4,Building,0.9027582,0.9027582
1964.011,/m/0j62f,Rectangle,0.8463114,0.8463114
1964.011,/m/03jm5,House,0.8044016,0.8044016
1964.011,/m/0838f,Water,0.8021423,0.8021423
1964.011,/m/0jjw,Art,0.7936495,0.7936495
1964.011,/m/07j7r,Tree,0.77905303,0.77905303
1964.011,/m/01mwkf,Monochrome,0.7279104,0.7279104
1964.011,/m/01kr8f,Illustration,0.71034557,0.71034557
1964.011,/m/05qdh,Painting,0.69165885,0.69165885
1964.011,/m/02csf,Drawing,0.69059896,0.69059896
1964.012,/m/0cgh4,Building,0.96385074,0.96385074
1964.012,/m/0d4v4,Window,0.9342711,0.9342711
1964.012,/m/02dgv,Door,0.8839984,0.8839984
1964.012,/m/0j62f,Rectangle,0.8711156,0.8711156
1964.012,/m/03jm5,House,0.8674039,0.8674039
1964.012,/m/0jjw,Art,0.791171,0.791171
1964.012,/m/03nxtz,Cottage,0.78056294,0.78056294
1964.012,/m/02q_bfg,Tints and shades,0.75560063,0.75560063
1964.012,/m/01x314,Facade,0.7200233,0.7200233
1964.012,/m/02zkn_,Log cabin,0.70605725,0.70605725
1964.013,/m/05nnm,Organism,0.8638284,0.8638284
1964.013,/m/07j7r,Tree,0.8467838,0.8467838
1964.013,/m/05s2s,Plant,0.82180953,0.82180953
1964.013,/m/0jjw,Art,0.7750854,0.7750854
1964.013,/m/03gq5hm,Font,0.7680465,0.7680465
1964.013,/m/05qdh,Painting,0.7534154,0.7534154
1964.013,/m/02tcwp,Trunk,0.71881974,0.71881974
1964.013,/m/0hwky,Pattern,0.70396215,0.70396215
1964.013,/m/01kr8f,Illustration,0.6997823,0.6997823
1964.013,/m/02csf,Drawing,0.68723035,0.68723035
1964.014,/m/0cgh4,Building,0.9380292,0.9380292
1964.014,/m/05s2s,Plant,0.9258634,0.9258634
1964.014,/m/07j7r,Tree,0.8713207,0.8713207
1964.014,/m/05qdh,Painting,0.8467616,0.8467616
1964.014,/m/01fdzj,Tower,0.8293752,0.8293752
1964.014,/m/0jjw,Art,0.81287766,0.81287766
1964.014,/m/0lhr,Arecales,0.7788869,0.7788869
1964.014,/m/01x314,Facade,0.7639846,0.7639846
1964.014,/m/01mwkf,Monochrome,0.7607478,0.7607478
1964.014,/m/01kr8f,Illustration,0.7543666,0.7543666
1964.015,/m/05qdh,Painting,0.8605153,0.8605153
1964.015,/m/03r_vp,Adaptation,0.7922108,0.7922108
1964.015,/m/0jjw,Art,0.78990996,0.78990996
1964.015,/m/0838f,Water,0.77245724,0.77245724
1964.015,/m/02q_bfg,Tints and shades,0.7717616,0.7717616
1964.015,/m/01kr8f,Illustration,0.74674165,0.74674165
1964.015,/m/083vt,Wood,0.73681766,0.73681766
1964.015,/m/02csf,Drawing,0.7221103,0.7221103
1964.015,/m/0dpvm,Arch,0.7209499,0.7209499
1964.015,/m/01vkl,Circle,0.72043735,0.72043735
1964.016,/m/0cgh4,Building,0.92065024,0.92065024
1964.016,/m/0j62f,Rectangle,0.8626974,0.8626974
