accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1964.006,,Cathì,0.23,0.266,0.916230366492147,0.931937172774869,115,133,350,356
1964.006,,–,0.272,0.28,0.916230366492147,0.931937172774869,136,140,350,356
1964.006,,Rəhim,0.284,0.324,0.916230366492147,0.931937172774869,142,162,350,356
1964.006,,ma,0.328,0.342,0.916230366492147,0.931937172774869,164,171,350,356
1964.007,und,EXE,0.757281553398058,0.779126213592233,0.742,0.798,312,321,371,399
1964.007,,EXE,0.781553398058252,0.759708737864078,0.742,0.798,322,313,371,399
1964.008,en,"Kirkland Hall
Vanderbilt
Left VitfassAN",0.730414746543779,0.898617511520737,0.126,0.942,317,390,63,471
1964.008,,Kirkland,0.730414746543779,0.811059907834101,0.126,0.14,317,352,63,70
1964.008,,Hall,0.815668202764977,0.852534562211982,0.126,0.14,354,370,63,70
1964.008,,Vanderbilt,0.744239631336406,0.834101382488479,0.144,0.156,323,362,72,78
1964.008,,Left,0.751152073732719,0.792626728110599,0.926,0.94,326,344,463,470
1964.008,,VitfassAN,0.799539170506913,0.898617511520737,0.926,0.94,347,390,463,470
1964.009,de,"Great
Hause Me Mine Tan",0.072,0.44,0.915730337078652,0.932584269662921,36,220,326,332
1964.009,,Great,0.072,0.116,0.915730337078652,0.932584269662921,36,58,326,332
1964.009,,Hause,0.248,0.288,0.915730337078652,0.929775280898876,124,144,326,331
1964.009,,Me,0.304,0.326,0.915730337078652,0.929775280898876,152,163,326,331
1964.009,,Mine,0.328,0.392,0.915730337078652,0.929775280898876,164,196,326,331
1964.009,,Tan,0.41,0.44,0.915730337078652,0.929775280898876,205,220,326,331
1964.010,und,"KALKINMINAMI NEDINOSTUNEE
&
SLEE
etô 114 A A
ᎪᎱᏂᏓᏗ .
INN
AMAN
MAN
MININA",0.072,0.926,0.0798898071625344,0.903581267217631,36,463,29,328
1964.010,,KALKINMINAMI,0.072,0.084,0.809917355371901,0.663911845730028,36,42,294,241
1964.010,,NEDINOSTUNEE,0.072,0.084,0.512396694214876,0.369146005509642,36,42,186,134
1964.010,,&,0.1,0.152,0.823691460055096,0.895316804407714,50,76,299,325
1964.010,,SLEE,0.432,0.418,0.223140495867769,0.338842975206612,216,209,81,123
1964.010,,etô,0.18,0.242,0.853994490358127,0.889807162534435,90,121,310,323
1964.010,,114,0.314,0.476,0.820936639118457,0.898071625344353,157,238,298,326
1964.010,,A,0.512,0.548,0.829201101928375,0.898071625344353,256,274,301,326
1964.010,,A,0.59,0.63,0.831955922865014,0.903581267217631,295,315,302,328
1964.010,,ᎪᎱᏂᏓᏗ,0.928,0.846,0.121212121212121,0.0881542699724518,464,423,44,32
1964.010,,.,0.84,0.83,0.126721763085399,0.0909090909090909,420,415,46,33
