accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1980.010,0.5625,0.551521099116781,0.623159960745829,0.176176176176176,0.261261261261261,562,635,176,261,-5.593622,19.127579,4.2151537,,1,1,1,1,1,1,2,0.33920708
1980.048,0.546875,0.309778142974528,0.452752670501233,0.193,0.395,377,551,193,395,-5.954968,25.30926,12.5606985,,1,1,1,1,1,1,1,0.2823607
1982.081,0.78515625,0.636,0.68,0.358641358641359,0.40959040959041,636,680,359,410,3.7023597,175.36061,-16.070578,,1,1,1,1,1,1,1,0.004856638
1982.086,0.9140625,0.17,0.76,0,0.50597609561753,170,760,0,508,-0.094945855,-3.9904125,-10.152042,,1,1,1,1,1,1,1,0.49680236
1982.094,0.95703125,0.619,0.875,0.280719280719281,0.578421578421578,619,875,281,579,-5.6581907,-9.103499,0.93687046,,3,1,1,1,1,1,5,0.84361917
1982.100,0.7578125,0.7,0.844,0.436436436436436,0.603603603603604,700,844,436,603,120.508194,57.290974,18.23,,1,1,1,1,1,1,1,0.080985285
1996.015,0.96484375,0.424,0.725,0.428470254957507,0.676345609065156,424,725,605,955,2.8994253,-46.249844,-1.8826308,,2,1,1,1,1,1,1,0.38530216
1998.016,0.84375,0.359,0.625,0.0170709793351303,0.155435759209344,359,625,38,346,4.66201,-0.056271497,19.099049,,1,1,1,1,1,1,1,0.70236695
1998.017,0.67578125,0.75158371040724,0.81131221719457,0.316,0.47,1661,1793,316,470,-26.485542,-68.92415,1.2059414,,1,1,1,1,1,1,1,0.19507393
1998.017,0.7421875,0.802714932126697,0.871040723981901,0.207,0.383,1774,1925,207,383,-10.8094015,-88.54271,-5.17899,,1,1,1,1,1,1,2,0.014924296
1998.020,0.8125,0.221715328467153,0.371350364963504,0.146,0.527,486,814,146,527,1.1692238,19.597311,-17.50141,,4,1,1,1,1,1,1,0.20313679
1998.027,0.6640625,0.619,0.999,0.573369565217391,0.860394021739131,619,999,1688,2533,-10.919015,-71.94469,-8.852668,,1,1,1,1,1,1,1,0.015944913
1998.027,0.93359375,0,0.386,0.53023097826087,0.753396739130435,0,386,1561,2218,-0.20038177,2.3537462,-14.698811,,5,1,1,1,1,1,1,0.34228653
1998.027,0.6796875,0,0.512,0,0.217391304347826,0,512,0,640,3.866007,-0.052410524,-13.730719,,1,2,1,1,1,1,1,0.195296
1998.030,0.609375,0,0.673673673673674,0,0.432345360824742,0,673,0,671,9.23686,27.432676,-10.265454,,1,1,1,1,1,1,1,0.25449583
1998.037,0.875,0.593657817109145,0.882743362831858,0,0.423,805,1197,0,423,2.8914602,-4.792159,9.860734,,1,1,1,1,1,1,1,0.15635154
1998.039,0.54296875,0.155890804597701,0.354885057471264,0.413413413413413,0.735735735735736,217,494,413,735,-19.853342,2.7206542,-16.471226,,4,1,1,1,1,1,1,0.032303505
1999.141g,0.55078125,0.0570570570570571,0.304304304304304,0.0633608815426997,0.261019283746557,57,304,92,379,-6.0663495,34.56654,-13.412949,,1,1,1,1,1,1,3,0.08118923
1999.158,0.703125,0.429429429429429,0.57957957957958,0.286909742976689,0.390914524805738,429,579,480,654,7.8717895,12.238887,0.467274,,3,1,1,1,1,1,1,0.21510734
1999.160,0.7578125,0.495,0.567,0.334812935954344,0.388712745719721,495,567,528,613,9.360956,23.874657,-5.372828,,1,1,1,1,1,1,1,0.3560418
