qid,artistLabel,birthdate,deathdate,sexgender,ulan,birthplace,birthLabel,citizenship,citizenLabel
Q467337,Yoshitoshi,1839-04-30T00:00:00Z,1892-06-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121372,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1724-01-01T00:00:00Z,1770-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1724-01-01T00:00:00Z,1770-07-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan
Q321715,Kumi Sugai,1919-03-13T00:00:00Z,1996-05-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500025060,http://www.wikidata.org/entity/Q48320,Kōbe,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1725-01-01T00:00:00Z,1770-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan
Q360978,Suzuki Harunobu,1724-01-01T00:00:00Z,1770-07-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500057319,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q344166,Hasui Kawase,1883-05-18T00:00:00Z,1957-11-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500333884,http://www.wikidata.org/entity/Q10530734,Shiba-ku,http://www.wikidata.org/entity/Q17,Japan
Q467337,Yoshitoshi,1839-04-30T00:00:00Z,1892-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500121372,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q317736,Utagawa Kuniyoshi,1798-01-01T00:00:00Z,1861-04-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500063102,http://www.wikidata.org/entity/Q1141952,Nihonbashi,http://www.wikidata.org/entity/Q17,Japan
Q317736,Utagawa Kuniyoshi,1798-01-01T00:00:00Z,1861-04-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500063102,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q317736,Utagawa Kuniyoshi,1797-01-01T00:00:00Z,1861-04-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500063102,http://www.wikidata.org/entity/Q1141952,Nihonbashi,http://www.wikidata.org/entity/Q17,Japan
Q1092559,Joan Ponç,1927-11-28T00:00:00Z,1984-04-04T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500009446,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q537652,Antoni Clavé,1913-04-05T00:00:00Z,2005-08-31T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500124348,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q537652,Antoni Clavé,1913-04-05T00:00:00Z,2005-09-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500124348,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q558505,Richard Anuszkiewicz,1930-05-23T00:00:00Z,2020-05-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500025580,http://www.wikidata.org/entity/Q234061,Erie,http://www.wikidata.org/entity/Q30,United States of America
Q536197,Chryssa,1933-12-31T00:00:00Z,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500022002,http://www.wikidata.org/entity/Q1524,Athens,http://www.wikidata.org/entity/Q30,United States of America
Q556534,Albert Herter,1871-03-02T00:00:00Z,1950-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500024105,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q30,United States of America
Q542496,Miriam Schapiro,1923-11-15T00:00:00Z,2015-06-20T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500028006,http://www.wikidata.org/entity/Q172,Toronto,http://www.wikidata.org/entity/Q30,United States of America
Q537266,James Montgomery Flagg,1877-06-18T00:00:00Z,1960-05-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500003051,http://www.wikidata.org/entity/Q3452762,Pelham Manor,http://www.wikidata.org/entity/Q30,United States of America
Q536197,Chryssa,1933-12-31T00:00:00Z,2013-12-23T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500022002,http://www.wikidata.org/entity/Q1524,Athens,http://www.wikidata.org/entity/Q30,United States of America
Q536884,Saul Bass,1920-05-08T00:00:00Z,1996-04-25T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500021030,http://www.wikidata.org/entity/Q18426,The Bronx,http://www.wikidata.org/entity/Q30,United States of America
Q970016,Gabor Peterdi,1915-09-17T00:00:00Z,2001-08-13T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500022299,http://www.wikidata.org/entity/Q1233483,Pestújhely,http://www.wikidata.org/entity/Q30,United States of America
Q1100270,Clement Meadmore,1929-02-09T00:00:00Z,2005-04-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500105583,http://www.wikidata.org/entity/Q3141,Melbourne,http://www.wikidata.org/entity/Q30,United States of America
Q1233831,Ralph Gibson,1939-01-16T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500094623,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q30,United States of America
Q991589,Bruce Conner,1933-11-18T00:00:00Z,2008-07-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500116235,http://www.wikidata.org/entity/Q2189250,McPherson,http://www.wikidata.org/entity/Q30,United States of America
Q1239543,Don Thompson,1963-03-30T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,,http://www.wikidata.org/entity/Q1297,Chicago,http://www.wikidata.org/entity/Q30,United States of America
Q562540,Augustus John,1878-01-04T00:00:00Z,1961-10-31T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500018892,http://www.wikidata.org/entity/Q558878,Tenby,http://www.wikidata.org/entity/Q25,Wales
Q2406301,Antoni Muntadas,1942-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500027740,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q1455806,Joan Hernández Pijuan,1931-02-15T00:00:00Z,2005-12-28T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500014460,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q1710483,Juan Genovés,1930-05-31T00:00:00Z,2020-05-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500071097,http://www.wikidata.org/entity/Q8818,Valencia,http://www.wikidata.org/entity/Q29,Spain
Q763477,August Puig,1929-04-01T00:00:00Z,1999-10-25T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500348310,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q768731,Josep Riera i Aragó,1954-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q1106798,Pietro Santi Bartoli,1635-01-01T00:00:00Z,1700-11-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500019038,http://www.wikidata.org/entity/Q3437,Perugia,http://www.wikidata.org/entity/Q38,Italy
Q551426,Eric Gill,1882-02-22T00:00:00Z,1940-11-17T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500025465,http://www.wikidata.org/entity/Q131491,Brighton,http://www.wikidata.org/entity/Q145,United Kingdom
Q970016,Gabor Peterdi,1915-09-17T00:00:00Z,2001-08-13T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500022299,http://www.wikidata.org/entity/Q1233483,Pestújhely,http://www.wikidata.org/entity/Q28,Hungary
Q539036,Allaert van Everdingen,1621-06-18T00:00:00Z,1675-11-08T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500115159,http://www.wikidata.org/entity/Q972,Alkmaar,http://www.wikidata.org/entity/Q55,Netherlands
Q539036,Allaert van Everdingen,1621-06-18T00:00:00Z,1675-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500115159,http://www.wikidata.org/entity/Q972,Alkmaar,http://www.wikidata.org/entity/Q55,Netherlands
Q548205,Hubert Robert,1733-05-22T00:00:00Z,1808-04-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500009558,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q142,France
Q1133546,Cornelis Dusart,1660-04-24T00:00:00Z,1704-10-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500002441,http://www.wikidata.org/entity/Q9920,Haarlem,http://www.wikidata.org/entity/Q55,Netherlands
Q981631,Jan Both,1618-01-01T00:00:00Z,1652-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500032845,http://www.wikidata.org/entity/Q803,Utrecht,http://www.wikidata.org/entity/Q55,Netherlands
Q981631,Jan Both,1618-01-01T00:00:00Z,1652-08-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500032845,http://www.wikidata.org/entity/Q803,Utrecht,http://www.wikidata.org/entity/Q55,Netherlands
Q979381,Leonaert Bramer,1596-12-24T00:00:00Z,1674-02-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500015658,http://www.wikidata.org/entity/Q690,Delft,http://www.wikidata.org/entity/Q55,Netherlands
Q1133546,Cornelis Dusart,1660-04-24T00:00:00Z,1704-04-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500002441,http://www.wikidata.org/entity/Q9920,Haarlem,http://www.wikidata.org/entity/Q55,Netherlands
Q536197,Chryssa,1933-12-31T00:00:00Z,2013-12-23T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500022002,http://www.wikidata.org/entity/Q1524,Athens,http://www.wikidata.org/entity/Q41,Greece
Q536197,Chryssa,1933-12-31T00:00:00Z,2013-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500022002,http://www.wikidata.org/entity/Q1524,Athens,http://www.wikidata.org/entity/Q41,Greece
Q451736,Amadeo Gabino,1922-01-01T00:00:00Z,2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500025957,http://www.wikidata.org/entity/Q8818,Valencia,http://www.wikidata.org/entity/Q29,Spain
Q326813,Jorge Castillo,1933-06-16T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500017765,http://www.wikidata.org/entity/Q12411,Pontevedra,http://www.wikidata.org/entity/Q29,Spain
Q358061,Josep Guinovart,1927-03-20T00:00:00Z,2007-12-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500089251,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q460198,Ignacio Zuloaga,1870-07-26T00:00:00Z,1945-10-31T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500015091,http://www.wikidata.org/entity/Q496567,Eibar,http://www.wikidata.org/entity/Q29,Spain
Q316531,Julio González,1876-09-21T00:00:00Z,1942-03-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500024353,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q467712,Josep Lluís Sert,1902-07-01T00:00:00Z,1983-03-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500010456,http://www.wikidata.org/entity/Q1492,Barcelona,http://www.wikidata.org/entity/Q29,Spain
Q551426,Eric Gill,1882-02-22T00:00:00Z,1940-11-17T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500025465,http://www.wikidata.org/entity/Q131491,Brighton,http://www.wikidata.org/entity/Q174193,United Kingdom of Great Britain and Ireland
Q559004,Hans Rottenhammer,1564-01-01T00:00:00Z,1625-08-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500010371,http://www.wikidata.org/entity/Q1726,Munich,http://www.wikidata.org/entity/Q183,Germany
Q1074290,Paul Gavarni,1804-01-13T00:00:00Z,1866-11-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500006992,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q142,France
Q559004,Hans Rottenhammer,1564-01-01T00:00:00Z,1625-08-17T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500010371,http://www.wikidata.org/entity/Q1726,Munich,http://www.wikidata.org/entity/Q183,Germany
Q1074290,Paul Gavarni,1804-01-13T00:00:00Z,1866-11-23T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500006992,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q142,France
Q555200,Oswaldo Guayacolin,1919-07-06T00:00:00Z,1999-03-10T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500037784,http://www.wikidata.org/entity/Q2900,Quito,http://www.wikidata.org/entity/Q736,Ecuador
Q555200,Oswaldo Guayacolin,1919-07-06T00:00:00Z,1999-03-10T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500037784,http://www.wikidata.org/entity/Q2900,Quito,http://www.wikidata.org/entity/Q739,Colombia
Q560787,Frederic Remington,1861-10-04T00:00:00Z,1909-12-26T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500024759,http://www.wikidata.org/entity/Q2936647,Canton,http://www.wikidata.org/entity/Q30,United States of America
Q1100270,Clement Meadmore,1929-02-09T00:00:00Z,2005-04-19T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500105583,http://www.wikidata.org/entity/Q3141,Melbourne,http://www.wikidata.org/entity/Q408,Australia
Q153320,Rai San'yo,1781-01-21T00:00:00Z,1832-10-16T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q153320,Rai San'yo,1781-01-21T00:00:00Z,1832-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q114709,Toko Shinoda,1913-03-28T00:00:00Z,2021-03-01T00:00:00Z,http://www.wikidata.org/entity/Q6581072,500171912,http://www.wikidata.org/entity/Q74881,Dalian,http://www.wikidata.org/entity/Q17,Japan
Q153320,Rai San'yo,1780-01-01T00:00:00Z,1832-10-16T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q153320,Rai San'yo,1780-01-01T00:00:00Z,1832-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q200798,Utagawa Hiroshige,1797-01-01T00:00:00Z,1858-10-12T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500019641,http://www.wikidata.org/entity/Q215646,Edo,http://www.wikidata.org/entity/Q17,Japan
Q153320,Rai San'yo,1780-01-21T00:00:00Z,1832-10-16T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q153320,Rai San'yo,1780-01-21T00:00:00Z,1832-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500324574,,,http://www.wikidata.org/entity/Q17,Japan
Q708763,Philip Pearlstein,1924-05-29T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500011988,http://www.wikidata.org/entity/Q1342,Pittsburgh,http://www.wikidata.org/entity/Q30,United States of America
Q664291,Larry Rivers,1923-08-17T00:00:00Z,2002-08-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500003280,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q30,United States of America
Q569505,R. B. Kitaj,1932-10-29T00:00:00Z,2007-10-21T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500007852,http://www.wikidata.org/entity/Q534836,Chagrin Falls,http://www.wikidata.org/entity/Q30,United States of America
Q704588,Stuart Davis,1894-12-07T00:00:00Z,1964-06-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500115507,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q30,United States of America
Q966864,Edward Moran,1829-08-19T00:00:00Z,1901-06-08T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500018805,http://www.wikidata.org/entity/Q184579,Bolton,http://www.wikidata.org/entity/Q30,United States of America
Q737635,Childe Hassam,1859-10-17T00:00:00Z,1935-08-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500018088,http://www.wikidata.org/entity/Q1024037,Dorchester,http://www.wikidata.org/entity/Q30,United States of America
Q565457,J. C. Leyendecker,1874-03-23T00:00:00Z,1951-07-25T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500014389,http://www.wikidata.org/entity/Q632991,Montabaur,http://www.wikidata.org/entity/Q30,United States of America
Q567421,Mark di Suvero,1933-09-18T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500013375,http://www.wikidata.org/entity/Q8686,Shanghai,http://www.wikidata.org/entity/Q30,United States of America
Q704868,George Inness,1825-05-01T00:00:00Z,1894-08-03T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500013380,http://www.wikidata.org/entity/Q7017154,"Newburgh (town), New York",http://www.wikidata.org/entity/Q30,United States of America
Q1082620,Christiane Baumgartner,1967-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6581072,500386167,http://www.wikidata.org/entity/Q2079,Leipzig,http://www.wikidata.org/entity/Q183,Germany
Q861756,John Sloan,1871-08-02T00:00:00Z,1951-09-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500014645,http://www.wikidata.org/entity/Q1187817,Lock Haven,http://www.wikidata.org/entity/Q30,United States of America
Q610532,David Burliuk,1882-07-21T00:00:00Z,1967-01-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500026962,http://www.wikidata.org/entity/Q12152027,Semyrotivschyna,http://www.wikidata.org/entity/Q30,United States of America
Q704588,Stuart Davis,1892-12-07T00:00:00Z,1964-06-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500115507,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q30,United States of America
Q583959,Edward Kienholz,1927-10-23T00:00:00Z,1994-06-10T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500028686,http://www.wikidata.org/entity/Q1507983,Fairfield,http://www.wikidata.org/entity/Q30,United States of America
Q659858,Seymour Lipton,1903-11-06T00:00:00Z,1986-12-05T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500028802,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q30,United States of America
Q706462,Duane Hanson,1925-01-17T00:00:00Z,1996-01-06T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500007844,http://www.wikidata.org/entity/Q538210,Alexandria,http://www.wikidata.org/entity/Q30,United States of America
Q724401,Mark Kostabi,1960-11-27T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500031393,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q30,United States of America
Q664291,Larry Rivers,1923-08-17T00:00:00Z,2002-08-14T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500003280,http://www.wikidata.org/entity/Q18426,The Bronx,http://www.wikidata.org/entity/Q30,United States of America
Q966864,Edward Moran,1829-08-19T00:00:00Z,1901-06-09T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500018805,http://www.wikidata.org/entity/Q184579,Bolton,http://www.wikidata.org/entity/Q30,United States of America
Q583959,Edward Kienholz,1927-10-23T00:00:00Z,1994-06-10T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500028686,http://www.wikidata.org/entity/Q485276,Spokane County,http://www.wikidata.org/entity/Q30,United States of America
Q659858,Seymour Lipton,1903-11-06T00:00:00Z,1986-12-15T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500028802,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q30,United States of America
Q708763,Philip Pearlstein,1924-05-24T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500011988,http://www.wikidata.org/entity/Q1342,Pittsburgh,http://www.wikidata.org/entity/Q30,United States of America
Q708763,Philip Pearlstein,1924-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6581097,500011988,http://www.wikidata.org/entity/Q1342,Pittsburgh,http://www.wikidata.org/entity/Q30,United States of America
Q861756,John Sloan,1871-08-02T00:00:00Z,1951-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,500014645,http://www.wikidata.org/entity/Q1187817,Lock Haven,http://www.wikidata.org/entity/Q30,United States of America
