qid,artistLabel,count
Q105090218,Ninon Lacey,1
Q105090196,Nola Zirin,1
Q105090427,Okada Teru,1
Q105090236,Olen Bryant,1
Q105090313,Oscar Magnan,1
Q105090289,Patricia Jean Burg,1
Q105090655,Patrick Gosnell,1
Q105090514,Paul D'Amato,1
Q105090435,Paul Eric Berger,1
Q105090259,Paul Lancaster,1
Q105090478,Paul Tosh,1
Q105090073,Peggy Smith,1
Q105090357,Phillis Ideal,1
Q105090555,Phurba Namgay,1
Q105090329,Rainer Pfnür,1
Q105090213,Ralph H. Scharf,1
Q105090565,Ramon Marcus Kadi,1
Q105090510,Randall Lavender,1
Q105090665,Ray Wakeland,1
Q105090082,Richard Mueller,1
Q105090263,Robert Hauser,1
Q105090536,Sabine Friesicke,1
Q105090126,Sadie Skoletsky Rosenblum,1
Q105090582,"Samuel L. Dunson, Jr.",1
Q105090671,Sara Langworthy,1
Q105090691,Sarah Hulsey,1
Q105090613,Sarah McCoy,1
Q105090694,Scott Russell,1
Q105090040,Shugaku Watanabe,1
Q105090527,Stephen Maine,1
Q105090541,Steve Karlik,1
Q105090181,Su-chin Wen Chen,1
Q105090057,Sugawara Hakuryu,1
Q105090491,Terri Zupanc,1
Q105090501,Terry Thacker,1
Q105090267,Thomas Zvi Wilson,1
Q105090152,Tibbie Levy,1
Q105090682,Tim Hooper,1
Q105090496,Tjue Teeuwen,1
Q105090192,Toru Mabuchi,1
Q105090034,Tōteki Unkoku,1
Q105090530,Vera Vasek,1
Q105090167,Vincent McPharlin,1
Q105090141,W. H. Walker,1
Q105090349,Watthana Watthanāphan,1
Q105090094,William Crawford Young,1
Q105090119,William MacLean,1
Q105090198,Yves Johnston,1
Q105090662,Zhongbao Yao,1
