qid,artistLabel,count
Q95226775,Johann Hertel,2
Q6231284,John Edward Costigan,2
Q100816989,John Jackson,2
Q3290532,John Steuart Curry,2
Q358061,Josep Guinovart,2
Q23892587,Joseph Fiore,2
Q50321227,Julius Wasserstein,2
Q11514864,Kanenari Akatsuki,2
Q6390816,Kenneth Wayne Bushnell,2
Q447300,Kiki Smith,2
Q947896,Kikukawa Eizan,2
Q97607711,Kyle E. Walker,2
Q47512777,Le Corbusier,2
Q18023286,Les Levine,2
Q295593,Lionel Barrymore,2
Q2073966,Louis Raemaekers,2
Q16019224,Louis Silverstein,2
Q7531,Louise Nevelson,2
Q22958009,Lucile Patterson Marsh,2
Q16197627,Ludolph Büsinck,2
Q3271802,Léopold Flameng,2
Q65953414,Mac Wells,2
Q724401,Mark Kostabi,2
Q56480543,Markus Ackermann,2
Q6776001,Martin Lewis,2
Q173223,Mary Cassatt,2
Q22002909,Mary Obering,2
Q104439468,Maxime Darnaud,2
Q2059329,Maxime Lalanne,2
Q63037456,Nancy Manter,2
Q62958479,Naomi Boretz,2
Q19629062,Nicolas de Launay,2
Q3109429,Nishikawa Sukenobu,2
Q11541091,Nobukazu Yōsai,2
Q555200,Oswaldo Guayacolin,2
Q79461952,Paul Heald,2
Q99604489,Peter Stroud,2
Q1379395,Philip Galle,2
Q1970087,Philip James de Loutherbourg,2
Q322341,Pierre-Jean Mariette,2
Q724760,Pieter de Jode I,2
Q44433952,Power Boothe,2
Q55946479,Rafael Amengual,2
Q153320,Rai San'yo,2
Q654902,Raoul Ubac,2
Q63090034,Raquel Rabinovich,2
Q5598,Rembrandt,2
Q558505,Richard Anuszkiewicz,2
Q19654778,Richard Samuel Chattock,2
Q312786,Robert Mapplethorpe,2
Q164358,Robert Rauschenberg,2
Q114405,Rockwell Kent,2
Q278068,Romeyn de Hooghe,2
Q11946185,Romà Vallès,2
Q100742953,Ron Adams,2
Q21454750,Ronald King,2
Q690790,Rufino Tamayo,2
Q77325168,Ruth Eckstein,2
Q384860,Serge Poliakoff,2
Q1251247,Shikō Munakata,2
Q262413,Shirin Neshat,2
Q3482366,Shiro Kasamatsu,2
Q16007123,Sidney H. Riesenberg,2
Q61911552,Stephen Tourlentes,2
Q7610832,Stephen Westfall,2
Q94404007,Sterling Boyd Strauser,2
Q7615294,Steven Spurrier,2
Q143595,Stradanus,2
Q11599029,Takehara Shunchōsai,2
Q2405602,Terry Haass,2
Q100960618,Terry Winters,2
Q28048030,Thomas Cheesman,2
Q52155555,Thomas G. Moses,2
Q18508689,Thomas Sutherland,2
Q7807116,Timothy Cole,2
Q7827716,Toshiko Takaezu,2
Q3541630,Tsuchiya Kōitsu,2
Q15992554,Vittorio Grassi,2
Q22086935,Ward Jackson,2
Q448555,Wenceslaus Hollar,2
Q18811399,William Gibbs Rogers,2
Q1616131,William Home Lizars,2
Q18508744,William Unger,2
Q8021437,Willie Cole,2
Q8056314,Yoshitoshi Mori,2
Q220545,Zoran Mušič,2
Q264193,Émile Bernard,2
Q18670007,Aberdeen painter,1
Q76335886,Abraham Bloemaert,1
Q56617289,Abraham Le Blond,1
Q345569,Ad Reinhardt,1
Q20973068,Adolphe Paul Émile Balfourier,1
Q365874,Adolphe Willette,1
Q948338,Adrien Étienne Gaudez,1
Q316269,Agostino Carracci,1
Q2827531,Ahmed Cherkaoui,1
Q17130120,Akira Kurosaki,1
Q43264278,Albany E. Howarth,1
Q34670,Albert Camus,1
Q556534,Albert Herter,1
Q65565560,Albrecht Altdorfer,1
Q56025387,Alcide-Joseph Lorentz,1
Q61963892,Alejandra Garrido,1
Q21542105,Alessandro Turchi,1
Q96788382,Aleta Cornelius,1
Q21682728,Alex Redein,1
Q157578,Alexander Archipenko,1
Q151580,Alexander Calder,1
Q372225,Alexander Melamid,1
Q4721520,Alexis Rockman,1
Q3611295,Alfred L. Copley,1
Q664268,Alfred Manessier,1
Q460186,Alice Neel,1
Q4738749,Alyson Shotz,1
Q16165783,America Sanchez,1
Q470846,Amico Aspertini,1
Q65524523,Anders Zorn,1
Q390098,Andrea di Bartolo,1
Q503335,Andres Serrano,1
Q97608201,Andrew Karoly,1
Q18069312,Andrew Picken,1
Q516950,André Beaudin,1
Q156272,André Derain,1
Q321657,André Lanskoy,1
Q123098,Angelica Kauffmann,1
Q105086214,Angélique Tilliard,1
Q4765608,Anita Parkhurst Willcox,1
Q41261783,Ankie Crommelin,1
Q2734012,Anne Claude de Caylus,1
Q63540053,Ansei Uchima,1
Q314350,Antoine Bourdelle,1
Q27942021,Antoine Radigues,1
Q18123317,Antoine-Jean Duclos,1
Q80013984,Antoine-Louis Barye,1
Q10803129,Antoni Abad i Roses,1
Q537652,Antoni Clavé,1
Q2406301,Antoni Muntadas,1
Q194820,Antonie Waterloo,1
Q5547,Antonio Canova,1
Q3610506,Antonio Frasconi,1
Q5700294,Antonio Salamanca,1
Q3620374,Antonio da Trento,1
Q4782029,April Gornik,1
Q96401814,Armand Étienne Bracony,1
Q18511480,Arnold van Westerhout,1
Q710479,Arthur Luiz Piza,1
Q29364862,Arthur William Heintzelman,1
Q4802573,Ary Stillman,1
Q30132143,Asa Cheffetz,1
Q763477,August Puig,1
Q2871039,Auguste André Lançon,1
Q30755,Auguste Rodin,1
Q781120,Augustin Feyen-Perrin,1
Q43132705,Augustus Koopman,1
Q2591295,Avigdor Arikha,1
Q262284,Barbara Kruger,1
Q61030012,Barbara Kwasniewska,1
Q4865508,Bartolomeo Coriolano,1
Q27979251,Beatrice Riese,1
Q3638203,Benigno Bossi,1
Q4888453,Benjamin Curtis Porter,1
Q817668,Benjamin Haydon,1
Q817749,Benjamin Wilson,1
Q822388,Bernard Dufour,1
Q2898210,Bernard Leach,1
Q825382,Bernhard Jäger,1
Q105320,Berthe Morisot,1
Q72967120,Betty Esman,1
Q437616,Bill Viola,1
Q744747,Bonifazio Veronese,1
Q569021,Bram van Velde,1
Q28948928,Brenda Miller,1
Q21461198,Bruce Burn,1
Q96757477,Bruce Currie,1
Q4978091,Bruce Onobrakpeya,1
Q47508828,Bryant Baker,1
Q102289,Buckminster Fuller,1
Q2641808,Budd Hopkins,1
Q79460884,Burton Rice,1
Q50546546,Byron Gordon McKeeby,1
Q3076784,Bōsai Kameda,1
Q57615161,Camilla B Hill,1
Q6958929,Carlo Antonio Tavella,1
Q2918353,Carlo Cesio,1
Q43899608,Carlo Faucci,1
Q5044573,Carol Summers,1
Q464603,Cass Gilbert,1
Q94418252,Cecily Kahn,1
Q4976935,Chaim Gross,1
Q103896852,Cham,1
Q59525409,Charles Bouleau,1
Q82291,Charles Despiau,1
Q52155066,Charles Edmond Renault,1
Q21556352,Charles Frederick Naegele,1
Q18508039,Charles Green Bush,1
Q5079004,Charles Herbert Woodbury,1
Q18516464,Charles Joseph Grips,1
Q271676,Charles Le Brun,1
Q247505,Charles Méryon,1
Q21288650,Charles Stuart Forbes,1
Q252357,Charles-François Daubigny,1
Q28854657,Charles-Marie Dulac,1
Q2958262,Charles-Nicolas Cochin the Elder,1
Q20487023,Cheryl Goldsleger,1
Q2963561,Chikutō Nakabayashi,1
Q5102670,Chizuko Yoshida,1
Q42745780,Christo,1
Q1976706,Christoffel Jegher,1
Q536197,Chryssa,1
Q453883,Chuck Close,1
Q2972135,Chōkōsai Eishō,1
Q18347825,Clarissa Sligh,1
Q559969,Claude Gillot,1
Q1100270,Clement Meadmore,1
Q32947646,Clement Rollins Grant,1
Q21288694,Conrad Atkinson,1
Q51909432,Conrad J Burden,1
Q105207251,Cornelia Wieg,1
Q1133546,Cornelis Dusart,1
Q22018621,Cornelius Hankins,1
Q55228971,Cornelius Tiebout,1
Q18596481,Crescenzio Onofri,1
Q94940731,Cushman Parker,1
Q22226795,Cécile Delphine Gaudez,1
Q61940111,Dan Smith,1
Q11916574,Daniel Giralt-Miracle i Rodríguez,1
Q334351,Daoguang Emperor,1
Q11774380,Dave McCabe,1
Q315647,David Alfaro Siqueiros,1
Q30019620,David Deuchar,1
Q47513332,David Driskell,1
Q159907,David Hockney,1
Q3695975,David Johnson,1
Q99590174,David Leach,1
Q141478,David Levine,1
Q43136021,David Row,1
Q2637678,David Salle,1
Q726169,David Smith,1
Q364498,David d'Angers,1
Q12278090,Dean Wolstenholme the elder,1
Q21757749,Denny Winters,1
Q3027925,Dikran Daderian,1
Q63929089,Dineh Moghdam,1
Q66686055,Don Kunkel,1
Q5293660,Don Voisine,1
Q5294237,Donald De Lue,1
Q29373888,Donald Shaw MacLaughlan,1
Q98121146,Donald Wilson,1
Q96024602,Douglas Gordon,1
Q706462,Duane Hanson,1
Q5790356,Dudley Hardy,1
Q28842044,Edgar Parker,1
Q19668052,Edmund Marion Ashe,1
Q165397,Eduardo Paolozzi,1
Q9250846,Edward Dwurnik,1
Q583959,Edward Kienholz,1
Q26703615,Edward Knippers,1
Q2605527,Edward Lamson Henry,1
Q966864,Edward Moran,1
Q2912571,Edward Penfield,1
Q1293858,Edward Theodore Compton,1
Q535048,Edwin Scharff,1
Q5346807,Edwin Scheier,1
Q3048809,Edwin Schlossberg,1
Q1325708,Eleanor Antin,1
Q29510471,Elena del Rivero,1
Q2575649,Elisabeth Frink,1
Q18671113,Elisha Kirkall,1
Q96749882,Elizabeth N. Erlanger,1
Q5366175,Ellsworth Young,1
Q28731157,Elmer Boyd Smith,1
Q21481715,Emil Armin,1
Q5371205,Emil Carlsen,1
Q152788,Emil Nolde,1
Q936534,Eric Fischl,1
Q551426,Eric Gill,1
Q156700,Erich Heckel,1
Q18508149,Ernest David Roth,1
Q77262864,Ernst Barlach,1
Q229272,Ernst Ludwig Kirchner,1
Q5396074,Ervine Metzl,1
Q23071496,Erwin Broner,1
Q19352738,Eugene Higgins,1
Q97095687,Eugene Massin,1
Q33477,Eugène Delacroix,1
Q51952268,Eugène Gaujean,1
Q5423958,F. Luis Mora,1
Q5433958,Fannie Hillsmith,1
Q78164423,Fay Lansner,1
Q5441839,Feliks Topolski,1
Q52157263,Felix Ruvolo,1
Q1403886,Felix Waske,1
Q374039,Ferdinand Bol,1
Q95287880,Ferdinand Springer,1
Q3069483,Fernando Lerin,1
Q56682344,Francesco Aquila,1
Q447991,Francesco Fontebasso,1
Q21117631,Francis Calcraft Turner,1
Q1345302,Francis Davis Millet,1
Q936876,Franciszek Starowieyski,1
Q16831391,Frank Badur,1
Q560115,Frank Brangwyn,1
Q5485626,Frank C. Penfold,1
Q17466741,Frank Lobdell,1
Q21866302,Frank Tomlinson,1
Q20877821,Franklin C. Watkins,1
Q559297,Frans Masereel,1
Q647812,Franz Hanfstaengl,1
Q94888280,Franz Stuck,1
Q3083787,François Aman-Jean,1
Q56692101,François Ragot,1
Q81003794,Fred G. Cooper,1
Q27964788,Fred Nagler,1
Q5496654,Freda Lingstrom,1
Q560787,Frederic Remington,1
Q20950183,Frédéric-Auguste Laguillermie,1
Q13585004,Frédérique Émilie Auguste O'Connell,1
Q2012984,Félix Labisse,1
Q67215243,G Schreiber,1
Q970016,Gabor Peterdi,1
Q5517088,Gail Gregg,1
Q1480173,Georg Ehrlich,1
Q167132,George Bellows,1
Q5538976,George Elmer Browne,1
Q5540204,George Hand Wright,1
Q704868,George Inness,1
Q52156792,George John Illian,1
Q59507385,George Luks,1
Q2405427,George Morland,1
Q64633,George Peter Alexander Healy,1
Q1920946,George Sugarman,1
Q2028017,Georges Michel,1
Q5546919,Georges William Thornley,1
Q61507,Gerhard Marcks,1
Q164351,Gerhard Richter,1
Q3104278,Gerolamo Giovenone,1
Q1880444,Gerrit Claesz Bleker,1
Q60594130,Gertrude Hamilton,1
Q2704031,Giacomo Cavedone,1
Q17302923,Giacomo Maria Giovannini,1
Q2696819,Gianni Bertini,1
Q3764824,Gioacchino Fortini,1
Q1452239,Giovanni Agostino da Lodi,1
Q27493848,Giovanni Antonio Faldoni,1
Q5563765,Giovanni Battista de'Cavalieri,1
Q27078403,Giovanni Dalessi,1
Q89506125,Giovanni Guerra,1
Q47537705,Giovanni Venturini,1
Q215305,Giulio Romano,1
Q52154483,Giuseppe Acquaroni,1
Q872778,Giuseppe Galli da Bibbiena,1
Q3108086,Giuseppe Maria Mazza,1
Q5565479,Giuseppe Niccolò Vicentino,1
Q77348303,Gloria Ortiz-Hernández,1
Q21176767,Gordon Grant,1
Q1537756,Goswin van der Weyden,1
Q28052050,Graham Vivian Sutherland,1
Q217434,Grant Wood,1
Q1545366,Gregory Masurovsky,1
Q1623328,Guglielmo della Porta,1
Q17107128,Guillermo Silva Santamaria,1
Q59511477,Guntars Sietiņš,1
Q6682,Gustave Doré,1
Q94687983,H. Peter Kahn,1
Q15489989,Hale Woodruff,1
Q325142,Hamish Fulton,1
Q3109209,Hanabusa Itchō,1
Q254663,Hannah Wilke,1
Q52911390,Hans Buchner,1
Q559004,Hans Rottenhammer,1
Q65018568,Hans Sebald Beham,1
Q269079,Hans Springinklee,1
Q21466076,Harden Sidney Melville,1
Q22091105,Harmen Brethouwer,1
Q52151111,Harold Krisel,1
Q5668720,Harry Everett Townsend,1
Q21929739,Harry Shokler,1
Q61714992,Harvey Dunn,1
Q15488059,Harvey Littleton,1
Q5677520,Harvey Quaytman,1
Q344166,Hasui Kawase,1
Q105086491,Haverford Painter,1
Q21550356,Heidi Gluck,1
Q1596187,Heiner Stachelhaus,1
Q62514,Heinrich Aldegrever,1
Q1597438,Heinrich Guttenberg,1
Q99043869,Helen Harrison,1
Q5713854,Hendrik Carré,1
Q1605029,Hendrik Dirk Kruseman van Elten,1
Q926814,Hendrik Hondius I,1
Q18508277,Hendrik Hulk,1
Q310715,Henri Fantin-Latour,1
Q926308,Henri Gaudier-Brzeska,1
Q5589,Henri Matisse,1
Q82445,Henri de Toulouse-Lautrec,1
Q56280260,Henry Brown,1
Q5721138,Henry Farrer,1
Q75597332,Henry Farrer,1
Q122382,Henry Fuseli,1
Q151097,Henry Moore,1
Q733780,Henry Salt,1
Q5730446,Henry Wolf,1
Q379956,Henry de Montherlant,1
Q610767,Henryk Tomaszewski,1
Q1608029,Herbert Bayer,1
Q481327,Hervé Télémaque,1
Q11620184,Hishikawa Moronobu,1
Q11619850,Hobun Kikuchi,1
Q15109511,Horatio Joseph Lucas,1
Q5917300,Hovsep Pushman,1
Q3141534,Howard Chandler Christy,1
Q21598753,Howard Thomas,1
Q548205,Hubert Robert,1
Q3787466,Hugo Ballin,1
Q1488149,Ida Applebroog,1
Q460198,Ignacio Zuloaga,1
Q3148401,Ikeda Mitsumasa,1
Q467613,Ikkyū,1
Q19571518,Ilonka Karasz,1
Q19630842,Inez Nathaniel Walker,1
Q93232541,Irene Lawrence,1
Q3155497,Isoda Koryūsai,1
Q358612,Israel Silvestre,1
Q49724699,J Spring,1
Q6104584,J. Allen St. John,1
Q76042238,J. Butler,1
Q565457,J. C. Leyendecker,1
Q159758,J. M. W. Turner,1
Q6111358,Jack Boynton,1
Q55219798,Jack Sonenberg,1
Q6115333,Jack Stauffacher,1
Q1375551,Jacobus Houbraken,1
Q3805978,Jacopo di Paolo,1
Q1366347,Jacques Courtois,1
Q53505543,Jacques Louis Pérée,1
Q452254,Jacques Villon,1
Q3160350,Jacques de Tonnancour,1
Q280936,Jacques-Philippe Le Bas,1
Q6130862,James Caldwall,1
Q20081176,James Charles Oldmeadow,1
Q6133916,James Fittler,1
Q94533007,James O. Clark,1
Q6140645,James Ormsbee Chapin,1
Q6141049,James Pattison Cockburn,1
Q2646288,Jan Pauwel Gillemans the Younger,1
Q21646595,Jan Ruyscher,1
Q42424649,Jan Wijga,1
Q94760542,Jan de Bisschop,1
Q6150317,Jan de Visscher,1
Q527869,Jan van Huysum,1
Q16062742,Jane Stuart,1
Q55937531,Janet Boulton,1
Q1451318,Jasper Francis Cropsey,1
Q153739,Jean Arp,1
Q1373528,Jean Bérain the Elder,1
Q83158,Jean Cocteau,1
Q728088,Jean Hélion,1
Q744442,Jean Ignace Isidore Gérard Grandville,1
Q3173212,Jean Leymarie,1
Q827495,Jean Messagier,1
Q30014874,Jean Moyreau,1
Q43948017,Jean-Baptiste Delafosse,1
Q347139,Jean-Baptiste Greuze,1
Q562013,Jean-Baptiste Le Prince,1
Q3164251,Jean-Baptiste Mallet,1
Q719614,Jean-Louis Forain,1
Q354786,Jean-Louis-Ernest Meissonier,1
Q19868567,Jeanne Miles,1
Q94617719,Jerrold Ballaine,1
Q77353684,Jerzy Czerniawski,1
Q98765930,Jim Bird,1
Q1689162,Jim Melchert,1
Q1641647,Jo Davidson,1
Q1689979,Joachim Berthold,1
Q1092559,Joan Ponç,1
Q60533514,Joel Turner,1
Q214458,Johann Christian Reinhart,1
Q509724,Johann Georg Wille,1
Q22669889,Johann Lorenz Haid,1
Q6216496,Johannes Adam Simon Oertel,1
Q105086429,Johannes Beeldemaker,1
Q1697296,Johannes Bosboom,1
Q1699461,John Burnet,1
Q468760,John Chamberlain,1
Q94065651,John Christie,1
Q6234155,John Frederick Tayler,1
Q313787,John Gould,1
Q17314304,John Hoyland,1
Q6243041,John Keyse Sherwin,1
Q20887178,John Langley Howard,1
Q2481088,John Opie,1
Q4363211,John Piper,1
Q17626379,John Postle Heseltine,1
Q61468000,John R. Albers,1
Q96747782,John Scott Williams,1
Q1288248,John Sell Cotman,1
Q861756,John Sloan,1
Q41732933,John W. Winkler,1
Q324571,John Walker,1
Q6265578,John de Martelly,1
Q52157275,Joichi Hoshi,1
Q26262461,Jon Carsman,1
Q94512539,Jon Kuhn,1
Q6273482,Jonathan Janson,1
Q1703783,Jorge Camacho,1
Q326813,Jorge Castillo,1
Q332041,Jose Clemente Orozco,1
Q467712,Josep Lluís Sert,1
Q768731,Josep Riera i Aragó,1
Q77010447,Joseph Beuys,1
Q3184747,Joseph Charles Marin,1
Q13489389,Joseph Goupy,1
Q313113,Joseph Kosuth,1
Q6286362,Joseph Probst,1
Q11728479,Joseph Wagner,1
Q12068855,Joshua Shaw,1
Q99671839,José Luis Balagueró Cucurull,1
Q64667799,Joyce Reopel,1
Q714363,Ju Ming,1
Q5947128,Juan Alonso Villabrille y Ron,1
Q1710483,Juan Genovés,1
Q1710844,Jud Fine,1
Q63044600,Judith Murray,1
Q18600486,Jules Adolphe Goupil,1
Q347455,Jules Coignet,1
Q959212,Jules Dupré,1
