qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec,department
,Andrea Semlow,,,Q5,,,,0000-0001-8148-2045,,,2021-03-27,,,Q29052,,2019-03-04,,,,,,https://orcid.org/0000-0001-8148-2045,,2021-03-27,,,,,,,,,,,,,,,Center for Research on Men's Health
,Patricia Labosky,,,Q5,,,,0000-0001-5880-2194,,,2021-03-27,,,Q7914455,,2006-06,,,2012-06,,,https://orcid.org/0000-0001-5880-2194,,2021-03-27,,,,,,,,,,,,,,,Center for Stem Cell Biology
,Harikrishna Sekar Jayanthan,,,Q5,,,,0000-0003-1540-4190,,,2021-03-27,,,Q29052,,2017-04,,,,,,https://orcid.org/0000-0003-1540-4190,,2021-03-27,,,,,,,,,,,,,,,Center for Structural Biology
,Kathryn McEwen,,,Q5,,,,0000-0003-1407-0272,,,2021-03-27,,,Q29052,,2012,,,2013,,,https://orcid.org/0000-0003-1407-0272,,2021-03-27,,,,,,,,,,,,,,,Center for Teaching
,Douglas Ahler,,,Q5,,,,0000-0001-7298-6233,,,2021-03-27,,,Q29052,,2016-08,,,2017-07,,,https://orcid.org/0000-0001-7298-6233,,2021-03-27,,,,,,,,,,,,,,,Center for the Study of Democratic Institutions
,Marika Csapo,,,Q5,,,,0000-0002-4336-2154,,,2021-03-27,,,Q29052,,2016,,,2017,,,https://orcid.org/0000-0002-4336-2154,,2021-03-27,,,,,,,,,,,,,,,Center for the Study of Democratic Institutions
,Gary Hollibaugh,,,Q5,,,,0000-0001-9844-2437,,,2021-03-27,,,Q29052,,2012,,,2013,,,https://orcid.org/0000-0001-9844-2437,,2021-03-27,,,,,,,,,,,,,,,Center for the Study of Democratic Institutions
,Taneisha Gillyard,,,Q5,,,,0000-0002-4536-3724,,,2021-03-27,,,Q29052,,2019-10-03,,,2020-09-30,,,https://orcid.org/0000-0002-4536-3724,,2021-03-27,,,,,,,,,,,,,,,Collaborative for STEM Education and Outreach
,H. Lori Schnieders,,,Q5,,,,0000-0001-6957-4510,,,2021-03-27,,,Q29052,,2002,,,2006,,,https://orcid.org/0000-0001-6957-4510,,2021-03-27,,,,,,,,,,,,,,,Counseling and Community Psychology
,Jennifer K. Doersam,,,Q5,,,,0000-0001-9535-7018,,,2021-03-27,,,Q29052,,2010,,,2020-10,,,https://orcid.org/0000-0001-9535-7018,,2021-03-27,,,,,,,,,,,,,,,CRDS
,Pedro Rodriguez,,,Q5,,,,0000-0003-4762-4550,,,2021-03-27,,,Q29052,,2019-09-09,,,,,,https://orcid.org/0000-0003-4762-4550,,2021-03-27,,,,,,,,,,,,,,,Data Science Institute
,Bassel Alhashemi,,,Q5,,,,0000-0003-1614-2073,,,2021-03-27,,,Q7914455,,2018-07-01,,,,,,https://orcid.org/0000-0003-1614-2073,,2021-03-27,,,,,,,,,,,,,,,Discharge Pharmacy
,Wayne Birch,,,Q5,,,,0000-0001-8235-1944,,,2021-03-27,,,Q29052,,2013-06,,,2013-07,,,https://orcid.org/0000-0001-8235-1944,,2021-03-27,,,,,,,,,,,,,,,Education
,Kelsey Dreier,,,Q5,,,,0000-0003-0357-3835,,,2021-03-27,,,Q29052,,2011-10,,,2015-04,,,https://orcid.org/0000-0003-0357-3835,,2021-03-27,,,,,,,,,,,,,,,Education and Brain Research Lab
,Thomas Donnelly,,,Q5,,,,0000-0002-5958-6291,,,2021-03-27,,,Q7914455,,2019-06,,,,,,https://orcid.org/0000-0002-5958-6291,,2021-03-27,,,,,,,,,,,,,,,Energy Balance Lab
,Adam Steffanick,,,Q5,,,,0000-0002-8449-6263,,,2021-03-27,,,Q29052,,2015-05-01,,,,,,https://orcid.org/0000-0002-8449-6263,,2021-03-27,,,,,,,,,,,,,,,English Language Center
,Francois Cocquemas,,,Q5,,,,0000-0001-9819-7232,,,2021-03-27,,,Q29052,,2016-08-15,,,2018-08-14,,,https://orcid.org/0000-0001-9819-7232,,2021-03-27,,,,,,,,,,,,,,,Finance
,Nicholas Crain,,,Q5,,,,0000-0002-4453-4309,,,2021-03-27,,,Q29052,,2013-06-01,,,2018-06-30,,,https://orcid.org/0000-0002-4453-4309,,2021-03-27,,,,,,,,,,,,,,,Finance
,Justin de Leon,,,Q5,,,,0000-0002-2578-2550,,,2021-03-27,,,Q29052,,2018,,,2019,,,https://orcid.org/0000-0002-2578-2550,,2021-03-27,,,,,,,,,,,,,,,Global Feminist Research Collaborative
,Zainab Latif,,,Q5,,,,0000-0003-2558-5618,,,2021-03-27,,,Q7914455,,2018-03-26,,,,,,https://orcid.org/0000-0003-2558-5618,,2021-03-27,,,,,,,,,,,,,,,Health IT Education Informatics
,Zilu Zhou,,,Q5,,,,0000-0002-7714-6089,,,2021-03-27,,,Q7914455,,2016-02-22,,,,,,https://orcid.org/0000-0002-7714-6089,,2021-03-27,,,,,,,,,,,,,,,Health Policy
,Edward Mitchel,,,Q5,,,,0000-0002-1151-1397,,,2021-03-27,,,Q7914455,,1988-05-09,,,,,,https://orcid.org/0000-0002-1151-1397,,2021-03-27,,,,,,,,,,,,,,,Health Policy
,Kyle Gavulic,,,Q5,,,,0000-0001-8613-0823,,,2021-03-27,,,Q7914455,,2020-06-22,,,,,,https://orcid.org/0000-0001-8613-0823,,2021-03-27,,,,,,,,,,,,,,,Health Policy
,Manideepthi Pemmaraju,,,Q5,,,,0000-0003-4772-4295,,,2021-03-27,,,Q7914455,,2018-05-01,,,,,,https://orcid.org/0000-0003-4772-4295,,2021-03-27,,,,,,,,,,,,,,,Health Policy
,Dominique Lyew,,,Q5,,,,0000-0003-2345-1480,,,2021-03-27,,,Q29052,,,,,,,,https://orcid.org/0000-0003-2345-1480,,2021-03-27,,,,,,,,,,,,,,,HOD
,Deborah Morley,,,Q5,,,,0000-0001-8125-9898,,,2021-03-27,,,Q7914455,,1995,,,2000,,,https://orcid.org/0000-0001-8125-9898,,2021-03-27,,,,,,,,,,,,,,,"Informatics Center, Biomedical Library"
,Jessica Edwards,,,Q5,,,,0000-0003-2297-0131,,,2021-03-27,,,Q7914455,,2017-02,,,2018-05,,,https://orcid.org/0000-0003-2297-0131,,2021-03-27,,,,,,,,,,,,,,,Inpatient Medicine
,Amy Gross,,,Q5,,,,0000-0002-2194-5287,,,2021-03-27,,,Q7914455,,2016,,,,,,https://orcid.org/0000-0002-2194-5287,,2021-03-27,,,,,,,,,,,,,,,Institute for Clinical & Translational Research
,Loretta Byrne,,,Q5,,,,0000-0003-0009-1144,,,2021-03-27,,,Q7914455,,2003-04-14,,,,,,https://orcid.org/0000-0003-0009-1144,,2021-03-27,,,,,,,,,,,,,,,Institute for Clinical and Translational Research
,Gayathri Narasimham,,,Q5,,,,0000-0002-2201-9621,,,2021-03-27,,,Q29052,,2016-07-01,,,2019-06-30,,,https://orcid.org/0000-0002-2201-9621,,2021-03-27,,,,,,,,,,,,,,,Institute for Digital Learning
,Sarah Jones,,,Q5,,,,0000-0002-2588-7264,,,2021-03-27,,,Q7914455,,2002,,,,,,https://orcid.org/0000-0002-2588-7264,,2021-03-27,,,,,,,,,,,,,,,Institute for Medicine & Public Health
,Waseem Abbas,,,Q5,,,,0000-0002-9013-1463,,,2021-03-27,,,Q29052,,2014-03,,,2017-08,,,https://orcid.org/0000-0002-9013-1463,,2021-03-27,,,,,,,,,,,,,,,Institute for Software Integrated Systems
,Mary Metelko,,,Q5,,,,0000-0002-8449-6407,,,2021-03-27,,,Q29052,,,,,,,,https://orcid.org/0000-0002-8449-6407,,2021-03-27,,,,,,,,,,,,,,,Institute for Software Integrated Systems
,Andrew Sogokon,,,Q5,,,,0000-0002-5849-7991,,,2021-03-27,,,Q29052,,2016-09-01,,,2017-05-05,,,https://orcid.org/0000-0002-5849-7991,,2021-03-27,,,,,,,,,,,,,,,Institute for Software Integrated Systems
,Stephen Rees,,,Q5,,,,0000-0003-0949-7351,,,2021-03-27,,,Q29052,,2012-07,,,,,,https://orcid.org/0000-0003-0949-7351,,2021-03-27,,,,,,,,,,,,,,,Institute for Software Integrated Systems
,Shitanshu Mishra,,,Q5,,,,0000-0002-9436-4491,,,2021-03-27,,,Q29052,,2018-08-01,,,,,,https://orcid.org/0000-0002-9436-4491,,2021-03-27,,,,,,,,,,,,,,,"Institute for Software Integrated Systems, Electrical Engineering and Computer Science"
,Timothy Haeffner,,,Q5,,,,0000-0002-9515-4541,,,2021-03-27,,,Q29052,,2005-01-19,,,,,,https://orcid.org/0000-0002-9515-4541,,2021-03-27,,,,,,,,,,,,,,,Institute for Space and Defense Electronics
,Jennifer Shuman,,,Q5,,,,0000-0003-3106-0703,,,2021-03-27,,,Q29052,,2018-08,,,2019-04,,,https://orcid.org/0000-0003-3106-0703,,2021-03-27,,,,,,,,,,,,,,,Interdisciplinary Graduate Program
,Boden Vanderloop,,,Q5,,,,0000-0003-3426-3266,,,2021-03-27,,,Q29052,,2020-07-01,,,,,,https://orcid.org/0000-0003-3426-3266,,2021-03-27,,,,,,,,,,,,,,,Interdisciplinary Graduate Program
,Kathleen Moyer,,,Q5,,,,0000-0002-8179-8151,,,2021-03-27,,,Q29052,,2016-08,,,2019-12,,,https://orcid.org/0000-0002-8179-8151,,2021-03-27,,,,,,,,,,,,,,,Interdisciplinary Materials Science
,Kody Wolfe,,,Q5,,,,0000-0002-6452-0107,,,2021-03-27,,,Q29052,,2017-08-01,,,,,,https://orcid.org/0000-0002-6452-0107,,2021-03-27,,,,,,,,,,,,,,,Interdisciplinary Materials Science & Engineering
,Akram Hakiri,,,Q5,,,,0000-0001-7151-5499,,,2021-03-27,,,Q29052,,2010-11-01,,,2011-01-30,,,https://orcid.org/0000-0001-7151-5499,,2021-03-27,,,,,,,,,,,,,,,ISIS
,Travis Thompson,,,Q5,,,,0000-0002-9211-1159,,,2021-03-27,,,Q29052,,1990,,,1999,,,https://orcid.org/0000-0002-9211-1159,,2021-03-27,,,,,,,,,,,,,,,John F. Kennedy Ctr Human Development
,Paula M. Campbell,,,Q5,,,,0000-0002-3496-3214,,,2021-03-27,,,Q29052,,2011-07-05,,,2013-06-15,,,https://orcid.org/0000-0002-3496-3214,,2021-03-27,,,,,,,,,,,,,,,Kennedy Center
,Matthew Collins,,,Q5,,,,0000-0001-8199-1659,,,2021-03-27,,,Q7914455,,1996,,,1997,,,https://orcid.org/0000-0001-8199-1659,,2021-03-27,,,,,,,,,,,,,,,Learning Center
,Michael Wolfe,,,Q5,,,,0000-0001-7431-9274,,,2021-03-27,,,Q29052,,1998,,,2000,,,https://orcid.org/0000-0001-7431-9274,,2021-03-27,,,,,,,,,,,,,,,Learning Technology Center
,Claire Abely,,,Q5,,,,0000-0003-0493-8234,,,2021-03-27,,,Q29052,,2016-08-01,,,2016-12-31,,,https://orcid.org/0000-0003-0493-8234,,2021-03-27,,,,,,,,,,,,,,,Legal Writing
,Mark Ratchford,,,Q5,,,,0000-0002-0988-4047,,,2021-03-27,,,Q29052,,2009,,,2017,,,https://orcid.org/0000-0002-0988-4047,,2021-03-27,,,,,,,,,,,,,,,Marketing
,Tengfei Cao,,,Q5,,,,0000-0003-4674-6855,,,2021-03-27,,,Q29052,,2016-06-01,,,,,,https://orcid.org/0000-0003-4674-6855,,2021-03-27,,,,,,,,,,,,,,,Materials Science
,Emil Petrusa,,,Q5,,,,0000-0002-7482-0402,,,2021-03-27,,,Q29052,,2006-12,,,2012-05,,,https://orcid.org/0000-0002-7482-0402,,2021-03-27,,,,,,,,,,,,,,,Medical Education and Administration
,Sheri Spears,,,Q5,,,,0000-0003-1832-2430,,,2021-03-27,,,Q7914455,,2011-08-23,,,,,,https://orcid.org/0000-0003-1832-2430,,2021-03-27,,,,,,,,,,,,,,,Medical Infusion OHO/Breast Center
,Martha Coates,,,Q5,,,,0000-0002-2846-8321,,,2021-03-27,,,Q7914455,,2009-06-22,,,2012-02-01,,,https://orcid.org/0000-0002-2846-8321,,2021-03-27,,,,,,,,,,,,,,,Medical Intensive Care Unit
,Jillian Entrup,,,Q5,,,,0000-0001-8822-0005,,,2021-03-27,,,Q7914455,,2017-07,,,,,,https://orcid.org/0000-0001-8822-0005,,2021-03-27,,,,,,,,,,,,,,,Medical Speech-Adult
,Brano Kusy,,,Q5,,,,0000-0001-9082-3243,,,2021-03-27,,,Q29052,,2002-09-01,,,2007-08-31,,,https://orcid.org/0000-0001-9082-3243,,2021-03-27,,,,,,,,,,,,,,,Network Embedded Systems Group
,Anne Taylor,,,Q5,,,,0000-0001-7449-5358,,,2021-03-27,,,Q29052,,2017-06,,,,,,https://orcid.org/0000-0001-7449-5358,,2021-03-27,,,,,,,,,,,,,,,Neuroscience
,Rodney Chenault,,,Q5,,,,0000-0001-5498-8489,,,2021-03-27,,,Q7914455,,2014-04-01,,,,,,https://orcid.org/0000-0001-5498-8489,,2021-03-27,,,,,,,,,,,,,,,Occupational Health
,Shelley Atkinson,,,Q5,,,,0000-0002-2217-0217,,,2021-03-27,,,Q7914455,,,,,,,,https://orcid.org/0000-0002-2217-0217,,2021-03-27,,,,,,,,,,,,,,,Office of Advanced Practice
,Gordon Maples,,,Q5,,,,0000-0001-5368-8767,,,2021-03-27,,,Q29052,,2018,,,2019,,,https://orcid.org/0000-0001-5368-8767,,2021-03-27,,,,,,,,,,,,,,,Office of Assessment and Special Projects
,Gabrielle Davis,,,Q5,,,,0000-0003-0134-2865,,,2021-03-27,,,Q29052,,2019-12,,,2020-05,,,https://orcid.org/0000-0003-0134-2865,,2021-03-27,,,,,,,,,,,,,,,Office of Health Equity
,Kyle Broach,,,Q5,,,,0000-0002-7479-438X,,,2021-03-27,,,Q29052,,2011-01,,,2012-05,,,https://orcid.org/0000-0002-7479-438X,,2021-03-27,,,,,,,,,,,,,,,Office of Housing and Residential Education
,Maxine Kelly,,,Q5,,,,0000-0001-5373-0814,,,2021-03-27,,,Q7914455,,2006-10-16,,,,,,https://orcid.org/0000-0001-5373-0814,,2021-03-27,,,,,,,,,,,,,,,Office of Sponsored Programs
,Crystal Doochin,,,Q5,,,,0000-0003-2259-1393,,,2021-03-27,,,Q7914455,,2019-05,,,,,,https://orcid.org/0000-0003-2259-1393,,2021-03-27,,,,,,,,,,,,,,,Office of Sponsored Programs
,Gordon Maples,,,Q5,,,,0000-0001-5368-8767,,,2021-03-27,,,Q29052,,2017-08,,,2019-05,,,https://orcid.org/0000-0001-5368-8767,,2021-03-27,,,,,,,,,,,,,,,Office of the University Chaplain and Religious Life
,Hayley Rector,,,Q5,,,,0000-0002-8828-724X,,,2021-03-27,,,Q7914455,,2004-06,,,,,,https://orcid.org/0000-0002-8828-724X,,2021-03-27,,,,,,,,,,,,,,,Pharmacy
,Lauren Schmidt,,,Q5,,,,0000-0002-6711-6636,,,2021-03-27,,,Q7914455,,2018-07-02,,,2019-06-28,,,https://orcid.org/0000-0002-6711-6636,,2021-03-27,,,,,,,,,,,,,,,Pharmacy
,Jennifer K. Doersam,,,Q5,,,,0000-0001-9535-7018,,,2021-03-27,,,Q29052,,2020-10,,,,,,https://orcid.org/0000-0001-9535-7018,,2021-03-27,,,,,,,,,,,,,,,Planning and Institutional Effectiveness
,John Shupe,,,Q5,,,,0000-0001-6011-557X,,,2021-03-27,,,Q7914455,,2017-07-01,,,,,,https://orcid.org/0000-0001-6011-557X,,2021-03-27,,,,,,,,,,,,,,,PMI
,Jennifer Scanlon,,,Q5,,,,0000-0002-2598-6166,,,2021-03-27,,,Q7914455,,2020-09-14,,,,,,https://orcid.org/0000-0002-2598-6166,,2021-03-27,,,,,,,,,,,,,,,Primary Care
,Yanjun Liu,,,Q5,,,,0000-0001-6850-107X,,,2021-03-27,,,Q29052,,,,,,,,https://orcid.org/0000-0001-6850-107X,,2021-03-27,,,,,,,,,,,,,,,Psychological and Brain Science
,Hyeon-Seung Lee,,,Q5,,,,0000-0003-0927-5361,,,2021-03-27,,,Q29052,,2015-08-13,,,2023-05-12,,,https://orcid.org/0000-0003-0927-5361,,2021-03-27,,,,,,,,,,,,,,,Psychological Science
,Austin Yoders,,,Q5,,,,0000-0003-2117-5777,,,2021-03-27,,,Q29052,,2017-01-09,,,2018-05-10,,,https://orcid.org/0000-0003-2117-5777,,2021-03-27,,,,,,,,,,,,,,,Psychology Statistics
,Joseph Schneider,,,Q5,,,,0000-0002-2567-4891,,,2021-03-27,,,Q7914455,,2013-02,,,,,,https://orcid.org/0000-0002-2567-4891,,2021-03-27,,,,,,,,,,,,,,,Research Informatics Core
,Jennifer Young-Glazer,,,Q5,,,,0000-0002-3265-9112,,,2021-03-27,,,Q7914455,,2019-07-01,,,,,,https://orcid.org/0000-0002-3265-9112,,2021-03-27,,,,,,,,,,,,,,,Rheumatology 
,Nathan Haag,,,Q5,,,,0000-0002-9036-2261,,,2021-03-27,,,Q29052,,2018-08-14,,,,,,https://orcid.org/0000-0002-9036-2261,,2021-03-27,,,,,,,,,,,,,,,School for Science and Math
,Eric Hall,,,Q5,,,,0000-0002-5228-1217,,,2021-03-27,,,Q29052,,2019-12-02,,,,,,https://orcid.org/0000-0002-5228-1217,,2021-03-27,,,,,,,,,,,,,,,Skills & Simulation Lab
,Michael Gerasimopoulos,,,Q5,,,,0000-0001-7792-6272,,,2021-03-27,,,Q29052,,2011-02-20,,,,,,https://orcid.org/0000-0001-7792-6272,,2021-03-27,,,,,,,,,,,,,,,SUPPLY CHAIN
,Andrew Flowers,,,Q5,,,,0000-0002-2998-7377,,,2021-03-27,,,Q7914455,,2018-01-02,,,,,,https://orcid.org/0000-0002-2998-7377,,2021-03-27,,,,,,,,,,,,,,,Telehealth
,Dingding Shen,,,Q5,,,,0000-0002-4016-6166,,,2021-03-27,,,Q29052,,2012-08,,,,,,https://orcid.org/0000-0002-4016-6166,,2021-03-27,,,,,,,,,,,,,,,The Graduate Program of Neuroscience
,Mujibul Anam,,,Q5,,,,0000-0002-2166-7694,,,2021-03-27,,,Q29052,,2011-06-01,,,2019-10-30,,,https://orcid.org/0000-0002-2166-7694,,2021-03-27,,,,,,,,,,,,,,,The ISEE Bangladesh Project
,Sam Nancarrow,,,Q5,,,,0000-0002-5645-1949,,,2021-03-27,,,Q29052,,2020-10-12,,,,,,https://orcid.org/0000-0002-5645-1949,,2021-03-27,,,,,,,,,,,,,,,The Office of Health Sciences Education
,Stormi White,,,Q5,,,,0000-0002-9850-3858,,,2021-03-27,,,Q29052,,2011-08,,,2012-09,,,https://orcid.org/0000-0002-9850-3858,,2021-03-27,,,,,,,,,,,,,,,Treatment and Research Institute in Autism Spectrum Disorders
,Rachana Nitin,,,Q5,,,,0000-0002-3331-1580,,,2021-03-27,,,Q29052,,2015-08-01,,,,,,https://orcid.org/0000-0002-3331-1580,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Brain Institute
,Celeste Greer,,,Q5,,,,0000-0001-6876-1189,,,2021-03-27,,,Q29052,,2016-08-15,,,,,,https://orcid.org/0000-0001-6876-1189,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Brain Institute
,Charles Perry,,,Q5,,,,0000-0001-9835-3434,,,2021-03-27,,,Q29052,,2018-07-16,,,,,,https://orcid.org/0000-0001-9835-3434,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Center for Neuroscience Drug Discovery
,Melissa Basford,,,Q5,,,,0000-0002-0703-2422,,,2021-03-27,,,Q7914455,,,,,,,,https://orcid.org/0000-0002-0703-2422,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute for Clinical and Translational Research
,Zhanwen Chen,,,Q5,,,,0000-0001-7427-1768,,,2021-03-27,,,Q7914455,,2020-07,,,,,,https://orcid.org/0000-0001-7427-1768,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute for Clinical and Translational Research
,Michael Orr,,,Q5,,,,0000-0001-5023-8197,,,2021-03-27,,,Q7914455,,2020-06-29,,,,,,https://orcid.org/0000-0001-5023-8197,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute for Clinical and Translational Research
,Adrienne Roman,,,Q5,,,,0000-0001-6703-5433,,,2021-03-27,,,Q7914455,,2020-01-20,,,,,,https://orcid.org/0000-0001-6703-5433,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute for Clinical and Translational Research
,Donna Ingles,,,Q5,,,,0000-0002-5981-0900,,,2021-03-27,,,Q7914455,,2015-10-12,,,,,,https://orcid.org/0000-0002-5981-0900,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute for Global Health
,Roxana Loperena,,,Q5,,,,0000-0002-4783-3291,,,2021-03-27,,,Q7914455,,2018-06,,,,,,https://orcid.org/0000-0002-4783-3291,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute of Clinical and Translational Research 
,Bo K. Choi,,,Q5,,,,0000-0002-4984-5958,,,2021-03-27,,,Q29052,,2013-09,,,2017-04-30,,,https://orcid.org/0000-0002-4984-5958,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Institute of Nanoscale Science and Engineering
,Hung-Chung Huang,,,Q5,,,,0000-0001-8147-7203,,,2021-03-27,,,Q7914455,,2009-10-01,,,2010-07-31,,,https://orcid.org/0000-0001-8147-7203,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Microarray Shared Resource
,Sabrina Livezey,,,Q5,,,,0000-0001-8565-0114,,,2021-03-27,,,Q7914455,,2017-04,,,,,,https://orcid.org/0000-0001-8565-0114,,2021-03-27,,,,,,,,,,,,,,,Vanderbilt Specialty Pharmacy
