qid,accession_number,dimension,type,label,creator,inception_val,inception_earliest_date_val,inception_latest_date_val,style_period,rights,media_url,status
Q106577282,1980.059,2D,artists book,Antony and Cleopatra,Q21454750,1979-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26755486/representation-view,inception was after copyright cutoff
Q106577284,1978.063,2D,artists book,Artist's sketchbook,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754105/representation-view,assessed to be out of copyright
Q106577285,1978.066,2D,artists book,Artist's sketchbook,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754108/representation-view,assessed to be out of copyright
Q106577286,1978.065,2D,artists book,Artist's sketchbook with figure sketches,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754107/representation-view,assessed to be out of copyright
Q103550902,1978.070,2D,artists book,Artist's sketchbook with landscape drawings,Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754112/representation-view,assessed to be out of copyright
Q106577287,1978.067,2D,artists book,"Artist's sketchbook with large figures and small landscapes, Volume 7",Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754109/representation-view,assessed to be out of copyright
Q103297085,1978.068,2D,artists book,"Artist's sketchbook with small ink sketches of figures, animals, birds, flowers, and landscapes",Q4233718,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754110/representation-view,assessed to be out of copyright
Q106566602,,2D,artists book,"Assorted ephemera, October Foundation, 33 cards including Hans Waanders, Perches (and more)",,,,,,,,
Q106577291,1978.106,2D,artists book,Bankoku Jinbutsu Ezu (International Costumes or People types),,1861-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754148/representation-view,inception prior to copyright cutoff
Q105091646,,2D,artists book,Bechtold (Dedicated book),,,,,,,,
Q103297290,,2D,artists book,"Bechtold: Painting, Graphic, Integration (Dedicated book)",,,,,,,,
Q102962035,2004.051,2D,artists book,Being in the Moment,Q368645,1999-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26759023/representation-view,inception was after copyright cutoff
Q103297396,,2D,artists book,Bichunokuni Ooezu (Map of Okayama Prefecture) with accordian folding pages,,,,,,,,
Q106577294,1994.539a,2D,artists book,Biotherm (For Bill Berkson),Q531234,1990-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26757568/representation-view,inception was after copyright cutoff
Q106577298,1978.151,2D,artists book,Book with accordian folds,Q5586,,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754193/representation-view,artist died before copyright cutoff
Q102962409,,2D,artists book,Bound book of unknown title with designs for transoms over fusuma (sliding interior panels),,,,,,,,
Q103297846,2004.064,2D,artists book,Brount,Q567547,1995-01-01T00:00:00Z,,,,,https://forum.jstor.org/assets/26759036/representation-view,inception was after copyright cutoff
Q106577299,1978.075,2D,artists book,Bunpo Gafu (The Album of Drawings of Bunpo),Q11553926,1813-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754117/representation-view,inception prior to copyright cutoff
Q106577300,1978.076,2D,artists book,Bunpo Kanga (Chinese Style Drawings by Bunpo),Q11553926,1803-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754118/representation-view,inception prior to copyright cutoff
Q106577305,1978.131,2D,artists book,Chushin Renri No Hachiue,Q4233718,,,,,,https://forum.jstor.org/assets/26754173/representation-view,unknown
Q106577316,1978.142,2D,artists book,"Contains comic poem Ritka Tei Kofan, Volume 2 or 3",,1752-01-01T00:00:00Z,,,,NO KNOWN COPYRIGHT,https://forum.jstor.org/assets/26754184/representation-view,inception prior to copyright cutoff
Q102963806,2004.075a,2D,artists book,Corrugated (1 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759047/representation-view,assessed to in copyright
Q102963816,2004.075b,2D,artists book,Corrugated (2 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759048/representation-view,assessed to in copyright
Q102963822,2004.075c,2D,artists book,Corrugated (3 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759049/representation-view,assessed to in copyright
Q102963828,2004.075d,2D,artists book,Corrugated (4 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759050/representation-view,assessed to in copyright
Q102963839,2004.075e,2D,artists book,Corrugated (5 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759051/representation-view,assessed to in copyright
Q102963848,2004.075f,2D,artists book,Corrugated (6 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759052/representation-view,assessed to in copyright
Q102963856,2004.075g,2D,artists book,Corrugated (7 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759053/representation-view,assessed to in copyright
Q102963866,2004.075h,2D,artists book,Corrugated (8 of 8),Q18686182,2000-01-01T00:00:00Z,,,,IN COPYRIGHT,https://forum.jstor.org/assets/26759054/representation-view,assessed to in copyright
