qid,commons_id,local_identifier,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q102965629,,1978.091,Furyu Kyoken Shyami Sen,1978,1978.091.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.091.json,
Q103300435,,1978.094,Gazo Su Chi (Monk's Robes),1978,1978.094.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.094.json,
Q106577336,,1978.149,Gendei Asahi No Gunbai,1978,1978.149.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.149.json,
Q106577337,,1978.096,Gion Kaizu (Pictures of Ceremonial Carriages),1978,1978.096.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.096.json,
Q106577342,,1978.141,Hanano Edo Kabuki Nendai Ki,1978,1978.141.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.141.json,
Q106577343,,1978.116,Harikae Andon,1978,1978.116.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.116.json,
Q103301237,,1978.100,Hitsuyu,1978,1978.100.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.100.json,
Q103301423,,1978.051,Ikkyu Gaikotsu (The Teaching of Skeletons by Ikkyu),1978,1978.051.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.051.json,
Q103301689,,1978.154,Isame Gusa (Four volumes bound together),1978,1978.154.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.154.json,
Q106577352,,1978.072,Itso Hyakutai (A Hundred Figures in a Single Sweep),1978,1978.072.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.072.json,
Q106577354,,1978.124,Jitpeishya Ikku Hizakurige,1978,1978.124.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.124.json,
Q103301924,,1978.089,"Kabuki Kitohajime, Volume 1",1978,1978.089.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.089.json,
Q106577355,,1978.061,"Kaido Kyoka Awase (Comparision of Comic Poems on the Highway), Volume 2 of 2; illustrations for poems in Volume 1",1978,1978.061.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.061.json,
Q103551076,,1978.110,Karakasa (Paper Umbrella),1978,1978.110.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.110.json,
Q103302083,,1978.045,"Keisai Ukiyo Gafu (The Book of Keisai's Popular Pictures), Volume 1 of 10",1978,1978.045.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.045.json,
Q102966937,,1978.136,"Kinchakuzan Hukuzanji Ni Hiromaru Shishu, Volume 3",1978,1978.136.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.136.json,
Q106577360,,1978.128,Kintoki Shutse Oogi,1978,1978.128.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.128.json,
Q103302182,,1978.078,Kojitsuke,1978,1978.078.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.078.json,
Q106577362,,1978.104,Kozo Shiso,1978,1978.104.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.104.json,
Q103302218,,1978.148,Kyaku shu Kantan Kyo,1978,1978.148.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.148.json,
Q106577363,,1978.071,"Kyo Warabe (Kyoto Boys), Volume 6 of 6",1978,1978.071.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.071.json,
Q106577364,,1978.069,Kyochuzan (Mountains of the Heart),1978,1978.069.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.069.json,
Q106577365,,1978.153,Kyoga Shu with accordion folding pages,1978,1978.153.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.153.json,
Q103302228,,1978.111a,Kyosai Gaden Gaihen (First Part),1978,1978.111a.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.111a.json,
Q103304858,,1978.092,"Mai So Ho Taizen (On Physiognomy, Eyebrows, Eyes and Noses)",1978,1978.092.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.092.json,
Q102968401,,1978.139,Map of Edo,1978,1978.139.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.139.json,
Q103305124,,1978.050,Masu Kagami (A Manual for Young Girls),1978,1978.050.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.050.json,
Q103305608,,1978.147,"Mukashi (Ehon) Monogatari, Volume 1",1978,1978.147.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.147.json,
Q106577392,,1978.103a,"Nihon Mohitsu Gacho (Nippon Paintbrush Picture Album), Volume 1",1978,1978.103a.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.103a.json,
Q103305869,,1978.053,Nijushi-Ko Zue (Pictorial Accounts of the Four Examples of Filial Piety),1978,1978.053.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.053.json,
Q106577398,,1978.082,"Ogura Hyakushu Ruidai Hanashi (stories with the poems of Hyakunin Isshu taken as the titles), Volume 2 of 3",1978,1978.082.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.082.json,
Q106577400,,1978.099,"Oranda Sanbutsu Ko, Volumes 2 and 3",1978,1978.099.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.099.json,
Q106577401,,1978.064,Oson Gafu (Album of Pictures by Oson),1978,1978.064.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.064.json,
Q106577419,,1978.166,Saiken,1978,1978.166.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.166.json,
Q105092083,,1978.044,Sanno Shinki (Views of Mt. Fuji),1978,1978.044.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.044.json,
Q106577421,,1978.129,"Sayo Arashi, Volume 6",1978,1978.129.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.129.json,
Q106577422,,1978.098,"Sayoarashi, Volume 10",1978,1978.098.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.098.json,
Q103308359,,1978.113,Shin Mizudori Ki,1978,1978.113.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.113.json,
Q106577426,,1978.126,Shin Ryakuga (sketch),1978,1978.126.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.126.json,
Q103308386,,1978.043,"Shinji Ando (Festival of Lanterns), Volume 4 of 5",1978,1978.043.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.043.json,
Q103308391,,1978.052,Shinji Ando (Shohen) (Festival of Lanterns); first in series of five,1978,1978.052.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.052.json,
Q106577427,,1978.164,Shinzo E Ruiko (Ukiyo E Ruiko),1978,1978.164.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.164.json,
Q102971440,,1978.163,Shinzo Ukiyo E Ruiko,1978,1978.163.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.163.json,
Q106577428,,1978.168,Sho Shiki Gakan (Writing Instructions ),1978,1978.168.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.168.json,
Q103308426,,1978.132,Shokuni Gakyo Utaawase,1978,1978.132.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.132.json,
Q106577431,,1978.135,"Soga Kamakura Hikyaku, Volume 5",1978,1978.135.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.135.json,
Q103309379,,1978.125,Taieki Temjin Ki,1978,1978.125.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.125.json,
Q106577443,,1978.127,Tenkoki,1978,1978.127.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.127.json,
Q106577457,,1978.118,Title unknown (subject is about Korean people),1978,1978.118.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.118.json,
Q102975267,,1978.167,Tokudaiji Family Lineage,1978,1978.167.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.167.json,
Q106577460,,1978.109,Torii Ga Keifu (Family Tree of Torii School),1978,1978.109.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.109.json,
Q106577461,,1978.062,Toto Nijushi-ko (The Twenty-Four Chinese Paragons of Filial Piety),1978,1978.062.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.062.json,
Q102975692,,1978.157,Ukiyo E Ruiko,1978,1978.157.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.157.json,
Q106577465,,1978.158,Ukiyo E Ruiko,1978,1978.158.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.158.json,
Q103310854,,1978.146,Ukiyo E Shi Fu,1978,1978.146.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.146.json,
Q102975700,,1978.090,Ukiyo Shizuki (Floating World Drips),1978,1978.090.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.090.json,
Q106577468,,1978.114,Unknown,1978,1978.114.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.114.json,
Q106577505,,1978.047,"Yesan Tokonoyama (Tokonoyama, The Poetical Expression of Pictures), Volume 2 of 5",1978,1978.047.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.047.json,
Q103312552,,1978.056,"Yodogawa Ryogan Shokei Zue (Pictures of Celebrated Views Along the Banks of the Yodo River), Volume 2",1978,1978.056.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.056.json,
Q106577506,,1978.155,Yoshiwara Saiji  Ki Jiji Daiko,1978,1978.155.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.155.json,
Q103312693,,1978.108,Zoho Edo Banashi (Mukashi) (Supplement to Old Tales of Edo),1978,1978.108.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.108.json,
Q104033143,,1978.160,Zoho Ukiyo E Ruiko,1978,1978.160.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.160.json,
Q106577507,,1978.162,Zoho Ukiyo E Ruiko,1978,1978.162.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.162.json,
Q103312698,,1978.123,Zoto Hyakunin Isshu,1978,1978.123.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.123.json,
Q103304554,,1970.040,Leaf from Italian Book of Hours - recto,1970,1970.040_recto_003.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.040.json,
Q103304554,,1970.040,Leaf from Italian Book of Hours - verso,1970,1970.040_verso_004.tif,secondary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.040.json,
Q103296603,,2003.037,"A Young Roman in the Costume of a Ciociarian, sitting on a stone bench",2003,2003.037.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2003/2003.037.json,
Q103296642,,1977.006,Adoration of the Magi,1977,1977.006.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1977/1977.006.json,
Q103296674,,1975.012,"Albertus, Last Duke of Brabant",1975,1975.012.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1975/1975.012.json,
Q103550958,,1988.030,Calligraphy in printed pocket folder,1988,1988.030.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1988/1988.030.json,
Q102963306,,1973.017,Christ Preaching,1973,1973.017.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.017.json,
Q103298575,,1984.027,Classical Woman's Head,1984,1984.027.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.027.json,
Q102965329,,1973.016,Four Studies of a Draped Torso,1973,1973.016.med.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.016.json,
Q103300586,,2004.020,Girl with Long Hair and Bangs [Portrait of Anais],2004,2004.020.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2004/2004.020.json,
Q103300878,,2003.033,Hands,2003,2003.033.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2003/2003.033.json,
Q102966388,,1985.022,Ink Rubbing of Reliefs from the Offering Shrine of Wu Liang,1985,1985.022.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1985/1985.022.json,
Q103301777,,1972.091,Japanese Sutra,1972,1972.091.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1972/1972.091.json,
Q103302357,,1985.004,Landscape,1985,1985.004.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1985/1985.004.json,
Q105091941,,1970.001,Lot and His Daughters,1970,1970.001.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.001.json,
Q103306218,,1971.071,Page from a Latin Bible with Miniature of King David and Psalm 36:37-40 through Psalm 39:1-7,1971,1971.071.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.071.json,
Q103306836,,1975.018,Portrait,1975,1975.018.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1975/1975.018.json,
Q103306857,,1991.024,Portrait of a Gentleman in Profile,1991,1991.024.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1991/1991.024.json,
Q103307134,,1971.003,Portrait of Samuel Stephens Jr.,1971,1971.003.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.003.json,
Q103307158,,2003.025,Portrait Study (The Artist's Wife),2003,2003.025.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2003/2003.025.json,
Q102970627,,1981.033,"Rubbing of stone relief showing a battle on a bridge, from the Wu Family Shrines, Shandong province",1981,1981.033.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1981/1981.033.json,
Q103307811,,1975.013,Saint Sebastian,1975,1975.013.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1975/1975.013.json,
Q103308259,,1979.0177,Self-portrait of the artist,1979,1979.0177.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0177.json,
Q103308978,,1982.066,Standing Nude,1982,1982.066.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1982/1982.066.json,
Q103309171,,1970.039,Study,1970,1970-039.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.039.json,
Q102973588,,1979.0098,"Study sketch for the painting, Christ's Entry Into Jerusalem",1979,1979.0098.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0098.json,
Q102974896,,1970.016,The Vegetable Vendor,1970,1970.016.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1970/1970.016.json,
Q103310254,,1984.026,The Whitebait Season,1984,1984.026.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.026.json,
Q103310763,,1975.011,Two Saints Adoring Madonna,1975,1975.011.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1975/1975.011.json,
Q103312016,,1972.002,Venus on a Dolphin with Putti,1972,1972.002.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1972/1972.002.json,
Q102976678,,1971.005,Vestal Virgins Making an Offering,1971,1971.005.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.005.json,
Q102961225,,1984.021,"A Conversation with Guido di Brettinoro, (Purgatorio, Canto 14) from Illustrations to Dante's Divine Comedy",1984,1984.021.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.021.json,
Q102962954,,1979.0121,"Capt. Sterrett in the Schr Enterprise paying tribute to Tripoli, August 1801",1979,1979.0121.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0121.json,
Q102964059,,1984.022,"Dante Discoursing with Cacciaguida (Paradisio, Canto 17) from Illustrations to Dante's Divine Comedy",1984,1984.022.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.022.json,
Q102968256,,2007.022,Love,2007,2007.022.JPG,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2007/2007.022.json,
Q103306358,,1971.068,Parvati on Nandi,1971,1971.068.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.068.json,
Q102970134,,1984.020,"Purification from Envy (Purgatorio, Canto 13) from Illustrations to Dante's Divine Comedy",1984,1984.020.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.020.json,
Q102974193,,1984.023,"The Flaming Gulph (Inferno, Canto 26) from Illustrations to Dante's Divine Comedy",1984,1984.023.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.023.json,
Q102974890,,1984.024,"The Vale of Disease (Inferno, Canto 29) from Illustrations to Dante's Divine Comedy",1984,1984.024.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.024.json,
Q102975021,,1979.0134,"This View of the Falls of Montgomery, Quebec in the Distance, is by Special Permission, dedicated to his Most Excellent Majesty William the Fourth",1979,1979.0134.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0134.json,
Q102975209,,1984.025,Title page to Flaxman's Illustrations to Dante's Divine Comedy,1984,1984.025.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.025.json,
Q102976755,,1979.0126,"View of the Railway across Chat Moss, plate 5",1979,1979.0126.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0126.json,
Q103301440,,1972.004,Illustration depicting Vishnu and Garunda: Episode of Gajendra Moksha (salvation of the Elephant King) from Bhagavata Purana - first page,1972,1972.004.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1972/1972.004.json,
Q103301440,,1972.004,Illustration depicting Vishnu and Garunda: Episode of Gajendra Moksha (salvation of the Elephant King) from Bhagavata Purana - second page,1972,1972.004b.tif,secondary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1972/1972.004.json,
Q104032220,,1968.009,Persian Tales,1968,1968.009.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1968/1968.009.json,
Q104032221,,1968.010,Persian Tales,1968,1968.010.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1968/1968.010.json,
Q103296557,,1988.014,"A scene from Laurence Sterne's novel ""A Sentimental Journey Through France and Italy.""",1988,1988.014.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1988/1988.014.json,
Q103296598,,1977.015,A Turkish Cafe,1977,1977.015.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1977/1977.015.json,
Q102961508,,1979.0264P,Adoration of the Sheperds,1979,1979.0264P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0264P.json,
Q102961566,,1993.222,Album painting of two men in a cottage in a mountain landscape,1993,1993.222.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1993/1993.222.json,
Q103297025,,1971.010,Architectural Scene with Still Life,1971,1971.010.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.010.json,
Q103297128,,1977.010,At the Spring,1977,1977.010.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1977/1977.010.json,
Q102961830,,1979.0303P,Autumn River,1979,1979.0303P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0303P.json,
Q102962942,,1973.005,Caney Fork Cabin,1973,1973.005.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.005.json,
Q94549679,,1979.0302P,Crucifixion of St. Andrew,1979,1979.0302P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0302P.json,
Q103298982,,1986.076,Cumaean Sibyl (after Domenichino),1986,1986.076.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1986/1986.076.json,
Q103299134,,2003.026,Decorative Study,2003,2003.026.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2003/2003.026.json,
Q103299404,,1979.0236P,Dutch Interior,1979,1979.0236P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0236P.json,
Q102965279,,1969.012,Forest Scene,1969,1969.012.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1969/1969.012.json,
Q104032067,,1979.0247P,Gypsy Encampment,1979,1979.0247P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0247P.json,
Q102966448,,2003.036,Interior Scene,2003,2003.036.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/2003/2003.036.json,
Q102966531,,1979.0304P,Italian Lake Scene,1979,1979.0304P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0304P.json,
Q102967270,,1979.0232P,Lake George,1979,1979.0232P.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0232P.json,
Q104032125,,1984.029,Landscape,1984,1984.029.jpg,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.029.json,
Q102967808,,1979.0288P,Landscape with Cows,1979,1979.0288P.tif,primary,,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0288P.json,
