qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q102976799,2007.062.jpg,2007.062,primary,,,383,2452,1532,2016-01-25,2007
Q105092340,2007.063.jpg,2007.063,primary,,,443,2376,1505,2016-01-25,2007
Q102970917,2007.064.jpg,2007.064,primary,,,388,2392,1510,2016-01-25,2007
Q102973281,2007.065.jpg,2007.065,primary,,,368,2255,1415,2016-01-25,2007
Q102976785,2007.066.jpg,2007.066,primary,,,354,2280,1453,2016-01-25,2007
Q102977524,2007.067.jpg,2007.067,primary,,,392,2255,1417,2016-01-25,2007
Q102976817,2007.068.jpg,2007.068,primary,,,339,2240,1423,2016-01-25,2007
Q106568685,2007.069.jpg,2007.069,primary,,,452,1512,2016,2021-04-28,2007
Q102965324,2007.070a.tif,2007.070a,primary,,,57994,3877,5104,2009-11-23,2007
Q102965324,2007.070a.jpg,2007.070a,suppress,,,146,500,658,2011-02-16,2007
Q102966681,2007.070b.tif,2007.070b,primary,,,58405,3877,5140,2009-11-23,2007
Q102966681,2007.070b.jpg,2007.070b,suppress,,,220,500,663,2011-02-16,2007
Q103310812,2007.070c.tif,2007.070c,primary,,,58564,5154,3877,2009-11-23,2007
Q103310812,2007.070c.jpg,2007.070c,suppress,,,110,500,376,2011-02-16,2007
Q103312260,2007.070d.tif,2007.070d,primary,,,58567,5154,3877,2009-11-23,2007
Q103312260,2007.070d.jpg,2007.070d,suppress,,,170,500,376,2011-02-16,2007
Q103306021,2007.070e.tif,2007.070e,primary,,,58881,5182,3877,2009-11-23,2007
Q103306021,2007.070e.jpg,2007.070e,suppress,,,112,500,374,2011-02-16,2007
Q103300916,2007.070f.tif,2007.070f,primary,,,58882,5182,3877,2009-11-23,2007
Q103300916,2007.070f.jpg,2007.070f,suppress,,,128,500,374,2011-02-16,2007
Q103306211,2007.070g.tif,2007.070g,primary,,,58882,5182,3877,2009-11-23,2007
Q103306211,2007.070g.jpg,2007.070g,suppress,,,117,500,374,2011-02-16,2007
Q102964188,2007.071a.tif,2007.071a,primary,,,17718,3696,4902,2009-12-08,2007
Q102964188,2007.071a.jpg,2007.071a,suppress,,,238,500,663,2011-02-16,2007
Q102968712,2007.071b.tif,2007.071b,primary,,,17629,4873,3700,2009-12-08,2007
Q102968712,2007.071b.jpg,2007.071b,suppress,,,93,500,380,2011-02-16,2007
Q102973361,2007.071c.tif,2007.071c,primary,,,15590,3288,4848,2009-12-08,2007
Q102973361,2007.071c.jpg,2007.071c,suppress,,,226,500,738,2011-02-16,2007
Q102977115,2007.071d.tif,2007.071d,primary,,,20617,4008,5261,2009-12-08,2007
Q102977115,2007.071d.jpg,2007.071d,suppress,,,238,500,656,2011-02-16,2007
Q102971457,2007.071e.tif,2007.071e,primary,,,17644,3680,4903,2009-12-08,2007
Q102971457,2007.071e.jpg,2007.071e,suppress,,,210,500,666,2011-02-16,2007
Q105092221,2007.071f.tif,2007.071f,primary,,,17270,5072,3482,2009-12-08,2007
Q105092221,2007.071f.jpg,2007.071f,suppress,,,95,500,343,2011-02-16,2007
Q105092106,2007.071g.tif,2007.071g,primary,,,15776,3291,4902,2009-12-08,2007
Q105092106,2007.071g.jpg,2007.071g,suppress,,,231,500,744,2011-02-16,2007
Q105092344,2007.071h.jpg,2007.071h,suppress,,,169,500,757,2011-02-16,2007
Q105092344,2007.071h.tif,2007.071h,primary,,,15441,3229,4890,2009-12-08,2007
Q105091581,2007.071i.jpg,2007.071i,suppress,,,168,500,331,2011-02-16,2007
Q105091581,2007.071i.tif,2007.071i,primary,,,46528,4899,3240,2009-12-08,2007
Q105092363,2007.071j.jpg,2007.071j,suppress,,,106,500,338,2011-02-16,2007
Q105092363,2007.071j.tif,2007.071j,primary,,,46993,4873,3290,2009-12-08,2007
Q104032095,2008.001.jpg,2008.001,primary,,,49,492,418,2010-02-24,2008
Q103297616,2008.002.jpg,2008.002,primary,,,60,496,407,2010-02-24,2008
Q103297620,2008.003.jpg,2008.003,primary,,,60,495,408,2010-02-24,2008
Q103297624,2008.004.jpg,2008.004,primary,,,56,445,360,2009-10-29,2008
Q103297636,2008.005.jpg,2008.005,primary,,,61,495,408,2010-02-24,2008
Q103297642,2008.006.jpg,2008.006,primary,,,68,494,408,2010-02-24,2008
Q103297649,2008.007.jpg,2008.007,primary,,,57,496,407,2010-02-24,2008
Q103297655,2008.008.jpg,2008.008,primary,,,53,495,407,2010-02-24,2008
Q95743325,2008.009.jpg,2008.009,primary,,,49,492,418,2010-02-24,2008
Q103301673,2008.010.jpg,2008.010,primary,,,53,493,419,2010-02-24,2008
Q103297390,2008.011.jpg,2008.011,primary,,,47,492,418,2010-02-24,2008
Q103301955,2008.012.jpg,2008.012,primary,,,47,490,403,2010-02-24,2008
Q103301968,2008.013.jpg,2008.013,primary,,,44,487,391,2010-02-24,2008
Q103301982,2008.014.jpg,2008.014,primary,,,39,488,405,2010-02-24,2008
Q103302000,2008.015.jpg,2008.015,primary,,,42,493,405,2010-02-24,2008
Q103305554,2008.016.jpg,2008.016,primary,,,43,492,418,2010-02-24,2008
Q103305393,2008.017.jpg,2008.017,primary,,,44,491,418,2010-02-24,2008
Q103305562,2008.018.jpg,2008.018,primary,,,40,495,407,2010-02-24,2008
Q103305568,2008.019.jpg,2008.019,primary,,,42,495,405,2010-02-24,2008
Q103305577,2008.020.jpg,2008.020,primary,,,42,496,407,2010-02-24,2008
Q103305583,2008.021.jpg,2008.021,primary,,,43,495,407,2010-02-24,2008
Q103305591,2008.022.jpg,2008.022,primary,,,43,495,407,2010-02-24,2008
Q103302009,2008.023.jpg,2008.023,primary,,,48,494,405,2010-02-24,2008
Q103302020,2008.024.jpg,2008.024,primary,,,47,493,405,2010-02-24,2008
Q103302029,2008.025.jpg,2008.025,primary,,,50,504,405,2010-02-24,2008
