name,accession,kilobytes,height,width,subdir,extension
1968.006.jpg,1968.006,156,345,500,1968,jpg
1968.002.jpg,1968.002,273,386,500,1968,jpg
1968-001.dng,1968.001,29230,171,256,1968,dng
1968.003.jpg,1968.003,268,698,1031,1968,jpg
1968.001.jpg,1968.001,174,448,289,1968,jpg
1968.002.tif,1968.002,17758,2161,2800,1968,tif
1968.001.tif,1968.001,105228,5011,3583,1968,tif
1968.005.tif,1968.005,56927,2470,3932,1968,tif
1968.010.tif,1968.010,14184,2934,1650,1968,tif
1968-001.zip,1968.001,98779,0,0,1968,zip
1968.006.tif,1968.006,13546,1784,2585,1968,tif
1968.012.tif,1968.012,67573,4006,2878,1968,tif
1968.009.tif,1968.009,11336,2595,1487,1968,tif
1968-001.tiff,1968.001,88399,4490,6720,1968,tiff
1968.009.jpg,1968.009,226,500,287,1968,jpg
1969.071.tif,1969.071,91504,4991,3128,1969,tif
1969.015.jpg,1969.015,27,162,552,1969,jpg
1969.029.jpg,1969.029,315,500,572,1969,jpg
1969.028.jpg,1969.028,352,500,572,1969,jpg
1969.014.jpg,1969.014,123,500,341,1969,jpg
1969.072.tif,1969.072,72149,3906,3151,1969,tif
1969.016.jpg,1969.016,203,397,1065,1969,jpg
1969.003.jpg,1969.003,1789,2100,1452,1969,jpg
1969.067.tif,1969.067,28592,2232,2184,1969,tif
1969.007.jpg,1969.007,182,486,328,1969,jpg
1969-011.dng,1969.011,29912,171,256,1969,dng
1969.012.jpg,1969.012,326,409,504,1969,jpg
1969.062.tif,1969.062,92116,4936,3184,1969,tif
1969.014A.tif,1969.014A,40387,3180,2166,1969,tif
1969.077.med.jpg,1969.077,97,1341,1011,1969,jpg
1969.014C.tif,1969.014C,46254,3312,2382,1969,tif
1969.074.tif,1969.074,35542,4024,3012,1969,tif
1969.038.jpg,1969.038,222,500,410,1969,jpg
1969.004.jpg,1969.004,120,218,500,1969,jpg
1969-013.dng,1969.013,29593,171,256,1969,dng
1969.011.jpg,1969.011,310,395,504,1969,jpg
1969.039.jpg,1969.039,232,500,414,1969,jpg
1969.049.tif,1969.049,52518,5184,3456,1969,tif
1969.014B.tif,1969.014B,47094,3330,2412,1969,tif
1969-049.dng,1969.049,29874,171,256,1969,dng
1969-061.dng,1969.061,31020,171,256,1969,dng
1969-040back.dng,1969.040,31967,171,256,1969,dng
1969-060.dng,1969.060,31982,171,256,1969,dng
1969-048.dng,1969.048,30061,171,256,1969,dng
1969.017.2.tif,1969.017,85229,3155,4609,1969,tif
1969.077.jpg,1969.077,49,500,377,1969,jpg
1969.007.tif,1969.007,31446,3975,2700,1969,tif
1969.013.tif,1969.013,71996,3054,4022,1969,tif
1969.039.tif,1969.039,55101,4763,3947,1969,tif
1969.005.tif,1969.005,60511,3727,2770,1969,tif
1969.075.jpg,1969.075,256,482,360,1969,jpg
1969-062.dng,1969.062,30435,171,256,1969,dng
1969-063.dng,1969.063,30692,171,256,1969,dng
1969.074.jpg,1969.074,226,500,374,1969,jpg
1969.060.JPG,1969.060,1247,2448,3264,1969,JPG
1969.010.tif,1969.010,57971,3664,2699,1969,tif
1969.004.tif,1969.004,10970,1256,2981,1969,tif
1969.038.tif,1969.038,54864,4780,3916,1969,tif
1969.014.tif,1969.014,133706,5782,3946,1969,tif
1969.028.tif,1969.028,62370,4313,4934,1969,tif
1969-066.dng,1969.066,32521,171,256,1969,dng
1969.071.jpg,1969.071,40,500,313,1969,jpg
1969.029.tif,1969.029,62609,4319,4946,1969,tif
1969.017.tif,1969.017,82309,3109,4517,1969,tif
1969.003.tif,1969.003,23625,3413,2360,1969,tif
1969-064.dng,1969.064,29743,171,256,1969,dng
1969-070.dng,1969.070,30025,171,256,1969,dng
1969-058.dng,1969.058,31279,171,256,1969,dng
1969-059.dng,1969.059,31110,171,256,1969,dng
1969-065.dng,1969.065,31132,171,256,1969,dng
1969-041back.dng,1969.041,32048,171,256,1969,dng
1969.003red.tif,1969.003,22994,3186,2460,1969,tif
1969.033.tif,1969.033,60639,4251,4867,1969,tif
1969.027.tif,1969.027,63493,4397,4927,1969,tif
1969.041 copy.tif,1969.041,104997,5184,3456,1969,tif
1969-068.dng,1969.068,29463,171,256,1969,dng
1969-040.dng,1969.040,31444,171,256,1969,dng
1969-055.dng,1969.055,31322,171,256,1969,dng
1969-041.dng,1969.041,32370,171,256,1969,dng
1969.026.tif,1969.026,62395,4293,4959,1969,tif
1969.032.tif,1969.032,66705,4483,5077,1969,tif
1969.018.tif,1969.018,73880,2708,4655,1969,tif
1969.024.tif,1969.024,54956,3944,4754,1969,tif
