skipped,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
Q5663312,JE6C5ARE,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:19,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Mara,Harper's Bible dictionary
Q5663312,92B75B2I,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:20,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Mari,Harper's Bible dictionary
Q5663312,KISEARIS,"Knight, Douglas A.",1985,"Knight, Douglas A.",,,,,,1985,1/8/15 19:25,8/4/20 15:31,,732–33,,,,,,,,,,,Harper and Row,San Francisco,,,,,,EBSCOhost,,,,,,,Biblical Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Oral Materials, Sources and Traditions",Harper's Bible Dictionary
Q5663312,N5IF54Q5,"Sasson, Jack",1985,"Sasson, Jack M.",978-0-06-069862-1,,,,"Includes names, places, and subjects of the Bible, plus maps, charts, tables, and photographs.",1985,12/12/14 14:18,12/12/14 14:20,,,,,,,,,,,,,Harper & Row,,en,,,,,Google Books,,,,,,,Bible; Religion / Biblical Reference / Dictionaries & Encyclopedias; Religion / Biblical Reference / General,"Achtemeier, Paul J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Waters of bitterness,Harper's Bible dictionary
Q57945839,M8XHJP6C,"Segovia, Fernando F.",2011,"Segovia, Fernando F.",,,,,,2011,5/28/14 16:51,10/13/20 14:57,,,,,,,,,,,,,Cambridge University Press,Cambridge,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001848950&site=ehost-live&scope=cite,,"Christianity/Church History; Historical Theology, Christian","McFarland, Ian A.; Fergusson, David; Kilby, Karen; Torrance, Iain R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,"Biblical Interpretation, Latino/a",The Cambridge dictionary of Christian theology
Q57945839,WMDNRCD6,"Meeks, M. Douglas",2011,"Meeks, M. Douglas",978-0-521-88092-3,,,,"Contents:  List of contributors -- Acknowledgements -- Preface -- Entries -- Sources.,  Summary:  ""With over 550 entries ranging from Abba to Zwingli composed by leading contemporary theologians from around the world, The Cambridge Dictionary of Christian Theology represents a fresh, ecumenical approach to theological reference. Written with an emphasis on clarity and concision, all entries are designed to help the reader understand and assess the specifically theological significance of the most important concepts. Clearly structured, the volume is organized around a small number of 'core entries' which focus on key topics to provide a general overview of major subject areas, while making use of related shorter entries to impart a more detailed knowledge of technical terms. The work as a whole provides an introduction to the defining topics in Christian thought and is an essential reference point for students and scholars""--",2011,2/10/15 16:53,6/17/20 16:38,,225-226,,,,,,,,,,,Cambridge University Press,New York,eng,,,,,Primo,BV2.5 .C36 2011,,,,,,Theology Dictionaries,"McFarland, Ian A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Hope,The Cambridge dictionary of Christian theology
Q57945839,UXGFJ2CI,"Segovia, Fernando F.",2011,"Segovia, Fernando F.",,,,,,2011,5/28/14 16:57,5/28/14 16:58,,,,,,,,,,,,,Cambridge Univ Pr,Cambridge,,,,,,EBSCOhost,,,,,,,"Christianity/Church History; Historical Theology, Christian","McFarland, Ian A.; Fergusson, David; Kilby, Karen; Torrance, Iain R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Latin American Liberation Theology,The Cambridge dictionary of Christian theology
Q57945839,4V2LFQEC,"Rieger, Joerg",2011,"Rieger, Jeorg",,,,,,2011,9/30/20 20:18,9/30/20 20:19,,308,,,,,,,,,,,Cambridge University Press,Cambridge,,,,,,EBSCOhost,,,,,,,"Christianity/Church History; Historical Theology, Christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Materialism,The Cambridge dictionary of Christian theology
Q57945839,UVK2SSUN,"DeHart, Paul J.",2011,"DeHart, Paul",,,,,,2011,6/27/14 18:45,6/27/14 18:48,,,,,,,,,,,,,Cambridge University Press,,,,,,,,,,,,,,,"McFarland, Ian A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Postliberal Theology,The Cambridge dictionary of Christian theology
Q57945839,CUGAWRGX,"Rieger, Joerg",2011,"Rieger, Jeorg",,,,,,2011,6/26/18 20:30,9/30/20 20:19,,458-460,,,,,,,,,,,Cambridge University Press,Cambridge,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001848950&site=ehost-live&scope=site&scope=cite,,"Christianity/Church History; Historical Theology, Christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dictionaryEntry,Sanctification,The Cambridge dictionary of Christian theology
