Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
NWZV46ZM,"Sheppard, Phillis",1999,"Clendenen, Avis; Sheppard, Phillis I.",,0739-5124,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000988243&site=ehost-live,,3/1/99,10/30/14 19:38,10/30/14 19:38,10/30/14 19:38,1-12,,2,89,,Chicago Theological Seminary Register,The Grace of Difference,,,,,,,,,,,,EBSCOhost,,,,,,,Feminist theology; Racism; Womanist theology; Patriarchy; Religious change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,The Grace of Difference : A Dialogue Between Sisters,Chicago Theological Seminary Register
M5FSJZBW,"Levine, Amy-Jill",1995,"Levine, A.-J.",,0009-4978,,http://search.proquest.com/docview/225846641/91C7E93926084C72PQ/1,Review.,1995-04,11/10/16 16:07,11/10/16 16:09,11/10/16 16:07,1319,,8,32,,,,,,,,,,English,Copyright American Library Association Apr 1995,,,,ProQuest,,,,,,Book review,Nonfiction; Bible; Bibliographies; Publishing And Book Trade; Exegesis & hermeneutics,,,,,,,,,,,,,,,"Saldarini, A.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Matthew's Christian-Jewish community by Anthony J. Saldarini,Choice
DE7TW9VP,"Levine, Amy-Jill",2011,"Levine, Amy-Jill; Kraemer, R. S.",,0009-4978,,http://search.proquest.com/docview/877037415/abstract/91C7E93926084C72PQ/53,"48-6226 BL815 2010-9174 CIP Kraemer, Ross Shepard. Unreliable witnesses: religion, gender, and history in the Greco-Roman Mediterranean. Oxford, 2011. 322p bibl indexes afp ISBN 0199743185, $74.00; ISBN 9780199743186, $74.00",2011-07,11/10/16 17:02,7/9/20 21:52,11/10/16 17:02,2113,,11,48,,,Unreliable witnesses,,,,,,,English,Copyright American Library Association dba CHOICE Jul 2011,,,,ProQuest,,,,"C:\Users\xus12\Zotero\storage\M4XDZVNB\Levine - 2011 - Unreliable witnesses religion, gender, and histor.pdf",,,Women; Nonfiction; Bibliographies; Book Reviews; Gender studies; Publishing And Book Trade; Religious history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,"Unreliable witnesses: religion, gender, and history in the Greco-Roman Mediterranean",Choice
UUXS4EJU,"Levine, Amy-Jill",2001,"Levine, A.-J.; Ollyan, S.",,0009-4978,,http://search.proquest.com/docview/225851019/91C7E93926084C72PQ/76,"""Rites and rank: Hierarchy in biblical representations of cult"" by Saul M. Olyan is reviewed.",2001-02,11/10/16 17:05,7/9/20 21:49,11/10/16 17:05,1099,,6,38,,,Rites and rank,,,,,,,English,Copyright American Library Association Feb 2001,,,,ProQuest,,,,,,,Nonfiction; Bible; Bibliographies; Publishing And Book Trade; Cults; Exegesis & hermeneutics; Hierarchies; Rites & ceremonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Rites and rank: Hierarchy in biblical representations of cult,Choice
4U5VS8RZ,"Levine, Amy-Jill",2015,"Levine, A.-J.; Levering, M.",,0009-4978,,http://search.proquest.com/docview/1709451266/abstract/7EB14196D5B94B97PQ/1,"53-0194 BT630 2014-33014 CIP Levering, Matthew. Mary's bodily Assumption. Notre Dame, 2014. 268p bibl index afp ISBN 9780268033903 pbk, $28.00",2015-09,11/7/16 18:05,7/9/20 21:15,11/7/16 18:05,87,,1,53,,,,,,,,,,English,Copyright American Library Association dba CHOICE Sep 2015,,,,ProQuest,,,,C:\Users\xus12\Zotero\storage\9AUE4FJH\Levine - 2015 - Mary's bodily Assumption.pdf,,,Nonfiction; Bibliographies; Book Reviews; Publishing And Book Trade; Exegesis & hermeneutics; Theology; Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Mary's bodily Assumption,Choice
832EINJX,"Levine, Amy-Jill",1996,"Levine, A.-J.; Schottroff, L.",,0009-4978,,http://search.proquest.com/docview/225889113/91C7E93926084C72PQ/12,"Levine reviews ""Lydia's impatient sisters: A feminist social history of early Christianity"" written by Luise Schottroff and translated by Barbara Rumscheidt and Martin Rumscheidt.",1996-12,11/10/16 16:28,7/9/20 21:12,11/10/16 16:28,630,,4,34,,,Lydia's impatient sisters,,,,,,,English,Copyright American Library Association Dec 1996,,,,ProQuest,,,,,,Book review,Nonfiction; History; Feminism; Bibliographies; Publishing And Book Trade; Exegesis & hermeneutics; Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Lydia's impatient sisters: A feminist social history of early Christianity,Choice
38A67NZP,"Levine, Amy-Jill",1989,"Levine, A.-J.",,0009-4978,,,Review.,1989-03,11/10/16 19:47,11/10/16 19:49,11/10/16 16:17,,,,,,,,,,,,,,English,Copyright American Library Association Jan 1991,,,,ProQuest,,,,,,Book review,Women; Nonfiction; History; Bibliographies; Publishing And Book Trade; Christianity,,,,,,,,,,,,,,,"Neusner, J.; Green, W. S.; Frerichs, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Judaisms and Their Messiahs,Choice
QAN79DNT,"Levine, Amy-Jill",1989,"Levine, A.-J.",,0009-4978,,,Review.,1989-07,11/10/16 19:46,11/10/16 19:47,11/10/16 16:17,,,,,,,,,,,,,,English,Copyright American Library Association Jan 1991,,,,ProQuest,,,,,,Book review,Women; Nonfiction; History; Bibliographies; Publishing And Book Trade; Christianity,,,,,,,,,,,,,,,"Witherington, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Women in the Earliest Churches. SNTS Monograph Series 59,Choice
Z7K25AUX,"Levine, Amy-Jill",1990,"Levine, A.-J.",,0009-4978,,,Review.,1990-06,11/10/16 19:43,11/10/16 19:45,11/10/16 16:17,,,,28,,,,,,,,,,English,Copyright American Library Association Jan 1991,,,,ProQuest,,,,,,Book review,Women; Nonfiction; History; Bibliographies; Publishing And Book Trade; Christianity,,,,,,,,,,,,,,,"Moore, S. D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Literary Criticism and the Gospels. The Theoretical Challenge,Choice
BVPGSZ3J,"Levine, Amy-Jill",1991,"Levine, A.-J.",,0009-4978,,http://search.proquest.com/docview/225964263/91C7E93926084C72PQ/6,Review.,1991-01,11/10/16 16:17,11/10/16 19:40,11/10/16 16:17,797,,5,28,,,,,,,,,,English,Copyright American Library Association Jan 1991,,,,ProQuest,,,,,,Book review,Women; Nonfiction; History; Bibliographies; Publishing And Book Trade; Christianity,,,,,,,,,,,,,,,"Witherington, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,Women and the Genesis of Christianity by Ben Witherington and edited by Ann Witherington,Choice
