skipped,qid,Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
,Q94657550,SMSHDK5R,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:24,1/19/16 22:14,,409-410,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Breach,Encyclopedia of the Bible and its reception
,Q94657550,M5NDKNVV,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:25,1/19/16 22:15,,451-452,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Breastplate,Encyclopedia of the Bible and its reception
,Q94657550,UISWWC6Z,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:25,1/19/16 22:16,,540-546,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Brother, Brotherhood (ANE. HB/OT)",Encyclopedia of the Bible and its reception
,Q94657550,C63F2C82,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:25,1/19/16 22:17,,566,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,"Brown, Francis",Encyclopedia of the Bible and its reception
,Q94657550,Q9PPQRGZ,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:25,1/19/16 22:18,,944,,,4,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Caper-berry,Encyclopedia of the Bible and its reception
,Q94657550,WA2ER8UM,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:26,1/19/16 22:18,,53,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Cheran,Encyclopedia of the Bible and its reception
,Q94657550,N5PARUJJ,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:26,1/19/16 22:19,,54-55,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Cherub (Person),Encyclopedia of the Bible and its reception
,Q94657550,PKUVSNCA,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:26,1/19/16 22:19,,70-71,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chesed (Person),Encyclopedia of the Bible and its reception
,Q94657550,2E9NEU7M,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:26,1/19/16 22:21,,71,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chesil,Encyclopedia of the Bible and its reception
,Q94657550,WJ8MWBUC,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:26,1/19/16 22:21,,76,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chesulloth,Encyclopedia of the Bible and its reception
,Q94657550,KTFAGNVE,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:27,1/19/16 22:22,,77,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chezib (Person),Encyclopedia of the Bible and its reception
,Q94657550,GCW68FEG,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:27,1/19/16 22:22,,77-78,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chezib (Place),Encyclopedia of the Bible and its reception
,Q94657550,NCXE5MND,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:27,1/19/16 22:23,,83,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chidon,Encyclopedia of the Bible and its reception
,Q94657550,5CPJB6T9,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:27,1/19/16 22:23,,128,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chimham,Encyclopedia of the Bible and its reception
,Q94657550,EBCQIDTW,"Seow, C.L.",2009,"Seow, C. L. (Choon Leong)",978-3-11-019904-8,,,,,2009,10/29/14 21:27,1/19/16 22:24,,134,,,5,30,,,,,,,Walter de Gruyter,Berlin ; New York,English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Rezeption. Bibelwissenschaft. Genre/Form: Criticism, interpretation, etc. Encyclopedias. History","Klauck, Hans-Josef; Allison, Dale C.; Leppin, Volker; Seow, C. L. (Choon Leong); Spieckermann, Hermann; Walfish, Barry Dov; Ziolkowski, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encyclopediaArticle,Chislon,Encyclopedia of the Bible and its reception
