accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1980.012,Animal,0.59698766,0.47615206,0.95748764,0.18591607,0.81487936,476,957,245,1074
1980.013,Person,0.65529174,0.32299313,0.52665246,0.46042857,0.81746453,399,650,460,817
1980.013,Animal,0.6421193,0.7673538,0.8734212,0.2403633,0.35402176,948,1079,240,354
1980.013,Person,0.6403169,0.26837274,0.3457584,0.37429917,0.52186483,331,427,374,522
1980.013,Person,0.62588584,0.34921953,0.43393052,0.33407116,0.49617139,431,536,334,496
1980.013,Person,0.6085555,0.0034835727,0.30921453,0.78196794,0.9452322,4,382,782,945
1980.013,Person,0.5813859,0.058158353,0.30482593,0.5999566,0.81838363,72,376,600,818
1980.013,Animal,0.5769853,0.009280516,0.32246187,0.7759828,0.94651395,11,398,776,947
1980.013,Person,0.56306636,0.17520452,0.25142172,0.36274195,0.53293186,216,311,363,533
1980.013,Person,0.54573774,0.072833054,0.13348795,0.26991966,0.46518138,90,165,270,465
1980.013,Person,0.53277206,0.26194853,0.3518163,0.28401962,0.4160732,324,434,284,416
1980.014,Person,0.77868587,0.011885411,0.5010483,0.5670203,0.9903241,12,501,834,1456
1980.014,Pillow,0.56823456,0.6599985,0.8236916,0.84230274,0.9602335,660,824,1238,1412
1980.014,Clothing,0.5105737,0.007684328,0.48591185,0.6317537,0.9881925,8,486,929,1453
1980.016,Person,0.7146993,0.55626655,0.905927,0.28103843,0.78266096,556,906,391,1090
1980.016,Person,0.6421055,0.11591044,0.4305441,0.29583615,0.7608796,116,431,412,1060
1980.016,Clothing,0.63292855,0.6396733,0.8768849,0.341957,0.75923103,640,877,476,1058
1980.016,Clothing,0.61624694,0.117708206,0.44940722,0.30857617,0.769639,118,449,430,1072
1980.016,Clothing,0.5701218,0.33640328,0.5926049,0.3021746,0.6356814,336,593,421,886
1980.016,Footwear,0.5596256,0.80449224,0.9214036,0.52735454,0.6270559,804,921,735,873
1980.017,Person,0.7442143,0.13002579,0.7418559,0.094252996,0.7196517,130,742,130,995
1980.017,Clothing,0.5198527,0.3348762,0.8233433,0.13653648,0.7581174,335,823,189,1048
1980.025,Person,0.8614795,0.21826105,0.94804853,0.08805108,0.99707264,218,948,106,1195
1980.025,Scarf,0.8457376,0.42347634,0.6784618,0.36889175,0.69877887,423,678,442,838
1980.026,Packaged goods,0.5365464,0.057169333,0.97906584,0.046520304,0.9971642,57,978,74,1585
1980.028,Packaged goods,0.8107997,0.1810341,0.83945423,0.031017112,0.9761291,146,677,63,1989
1980.030,Bowl,0.8668703,0.062251214,0.9494087,0.17985237,0.8942097,94,1428,180,894
1980.031,Sculpture,0.8646092,0.13625178,0.88869154,0.036842413,0.95763034,136,889,55,1436
1980.033,Hat,0.75956225,0.39612615,0.5645101,0.08225109,0.1581756,396,565,130,249
1980.033,Person,0.7370048,0.09679505,0.89795196,0.071944326,0.8994533,97,898,113,1417
1980.033,Furniture,0.674715,0.083408885,0.9005216,0.11242647,0.92361575,83,901,177,1455
1980.033,Shoe,0.6232984,0.2852709,0.43475446,0.74008226,0.8143657,285,435,1166,1283
1980.033,Footwear,0.52577645,0.54203385,0.6859445,0.7353587,0.8190897,542,686,1158,1290
1980.033,Shoe,0.5035902,0.5452214,0.6877897,0.7338272,0.8166108,545,688,1156,1286
1980.035,Picture frame,0.7374957,0.07392361,0.90244937,0.012054767,0.99058634,61,742,24,1995
1980.035,Person,0.5194011,0.3484607,0.6608188,0.6068663,0.8003133,286,543,1222,1612
1980.036,Packaged goods,0.589224,0.062321097,0.9753423,0.0030154234,0.9973958,62,975,5,1508
1980.037,Packaged goods,0.5876054,0.10470471,0.88282704,0.026101358,0.9936816,105,882,43,1652
1980.038,Person,0.7732003,0.1897267,0.77022123,0.33479926,0.7668516,95,385,120,275
1980.038,Painting,0.5619809,0.016075956,0.9843779,0.022130525,0.9805618,8,492,8,351
1980.039,Bust,0.7605002,0.06248711,0.9394421,0.03422426,0.95438176,67,1013,34,954
1980.040,Animal,0.663982,0.50939995,0.58868265,0.62676454,0.7425483,764,883,627,743
1980.040,Animal,0.57020533,0.6996549,0.8058417,0.44442388,0.6678245,1049,1209,444,668
1980.073,Packaged goods,0.6684178,0.06695025,0.9440355,0.0,0.9973958,44,622,0,2026
1980.080,Picture frame,0.5759864,0.019535333,0.4815319,0.00963039,0.9849968,20,482,16,1617
1980.080,Picture frame,0.5490312,0.52657056,0.93921065,0.061981972,0.9551974,527,939,102,1568
1980.092,Lighting,0.6308307,0.060356636,0.44418558,0.04326955,0.2694319,60,444,67,419
1980.093,Animal,0.63079846,0.4078164,0.7307832,0.55418587,0.72196716,408,731,938,1222
1980.093,Picture frame,0.51235515,0.08825769,0.91529065,0.011400943,0.99343723,88,915,19,1681
1980.130,Person,0.59552467,0.2655079,0.41941074,0.44844708,0.8520369,266,419,628,1193
1980.130,Picture frame,0.56786853,0.025703495,0.9780483,0.031900767,0.9932061,26,978,45,1390
1980.130,Person,0.5446305,0.42347443,0.58831877,0.43613836,0.8586442,423,588,611,1202
1980.130,Person,0.52169526,0.58595437,0.723504,0.43718526,0.8516815,586,724,612,1192
1980.130,Person,0.5133457,0.713306,0.8579774,0.44607028,0.8412487,713,858,624,1178
1980.130,Person,0.50084037,0.1394383,0.2815568,0.43773678,0.81573886,139,282,613,1142
1981.003,Person,0.76090455,0.021684326,0.5933052,0.47511104,0.9781709,22,593,671,1382
1981.003,Animal,0.6551731,0.51914304,0.73322636,0.7274082,0.968731,519,733,1028,1369
1981.003,Person,0.6309299,0.4612744,0.95332456,0.009569039,0.5133413,461,953,14,725
1981.003,Animal,0.57440156,0.0017274516,0.38508412,0.02217356,0.21402405,2,385,31,302
1981.004,Animal,0.7128863,0.357239,0.714701,0.5491269,0.81856686,357,715,738,1100
1981.004,Person,0.6926615,0.030575076,0.41864693,0.28106073,0.93816066,31,419,378,1261
1981.004,Animal,0.5931649,0.5360785,0.9498491,0.62193185,0.8155062,536,950,836,1096
1981.004,Person,0.51369154,0.36017808,0.71171904,0.55064744,0.82818866,360,712,740,1113
1981.005,Animal,0.7334291,0.089204945,0.3238975,0.2858974,0.6635382,103,373,286,663
1981.005,Person,0.73239475,0.5134114,0.9418338,0.42384803,0.8563799,592,1086,423,856
1981.005,Animal,0.6328137,0.3961923,0.70753866,0.55575746,0.82411164,457,816,555,823
1981.005,Animal,0.6255616,0.042187754,0.22998953,0.6415287,0.9022794,49,265,641,901
1981.005,Animal,0.61467844,0.4360521,0.67522544,0.16983415,0.5151885,503,779,170,515
1981.007,Pillow,0.5566844,0.0,0.9956548,0.0023309228,0.98602635,0,1399,2,986
1981.008,Person,0.75002885,0.06975647,0.91813415,0.11394253,0.923609,70,918,152,1231
1981.008,Hat,0.56572264,0.4565598,0.5837227,0.049994025,0.12038399,457,584,67,160
1981.012,Stool,0.8925364,0.18667121,0.8068013,0.037156783,0.9861087,281,1213,37,986
1981.013,Vase,0.73921585,0.17172448,0.8168128,0.14045684,0.9172554,162,772,275,1794
1981.014,Bust,0.8606238,0.031925857,0.96067524,0.02030914,0.8879876,11,317,10,448
1981.031,Coin,0.8944745,0.07338453,0.4537606,0.07873782,0.893441,151,931,79,893
1981.031,Coin,0.79625064,0.5411083,0.93087393,0.03370069,0.8984081,1110,1910,34,898
1981.033,Animal,0.6014945,0.38785243,0.465517,0.4553996,0.68538755,1012,1215,455,685
1981.033,Animal,0.5787928,0.39366904,0.48398587,0.018396283,0.23448771,1027,1263,18,234
1981.033,Animal,0.5738346,0.8493974,0.9127533,0.32795686,0.54385346,2217,2382,328,544
1981.033,Animal,0.5714692,0.22598042,0.31205955,0.016855182,0.23854764,590,814,17,239
1981.033,Animal,0.5691273,0.14324273,0.22940159,0.016612941,0.25020182,374,599,17,250
1981.036,Sculpture,0.88447434,0.034648046,0.9725368,0.013905518,0.96176916,12,350,9,609
1982.066,Person,0.7813145,0.1595002,0.6064721,0.018156985,0.97721386,160,606,29,1535
1982.067,Person,0.7625227,0.20868124,0.8815183,0.28914857,0.82863975,71,301,145,414
1982.103,Belt,0.7711263,0.13246268,0.93863225,0.18869269,0.8188786,132,939,283,1228
1982.105,Sculpture,0.75204295,0.25010547,0.90848744,0.21271022,0.86676764,250,908,319,1300
1983.003,Person,0.7955592,0.33877423,0.5468276,0.17448841,0.91432637,658,1062,174,914
1983.003,Animal,0.6745711,0.5054941,0.74970126,0.55963796,0.864918,982,1456,560,865
1983.003,Person,0.65124446,0.66593784,0.85023546,0.27085456,0.69316936,1293,1651,271,693
1983.003,Luggage & bags,0.51479375,0.71051913,0.8223393,0.47619092,0.6663775,1380,1597,476,666
1983.014,Packaged goods,0.81391966,0.5151975,0.985862,0.031140441,0.97703177,663,1269,31,976
1983.014,Mirror,0.6910281,0.004006475,0.49636912,0.024366476,0.9973958,5,639,24,996
1983.017,Coin,0.9448508,0.58526134,0.9194916,0.13760386,0.84116393,446,701,50,305
1983.017,Coin,0.9162045,0.08956638,0.42055464,0.12233359,0.83275366,68,320,44,301
1983.020,Sculpture,0.7502797,0.0052688834,0.9891968,0.016648276,0.9653335,3,499,7,421
1983.021,Bronze sculpture,0.86929905,0.0349661,0.9539594,0.022631504,0.983022,35,953,34,1479
1984.020,Person,0.58996713,0.64246196,0.709099,0.6258025,0.8800954,827,913,625,879
1984.020,Person,0.58508646,0.5578896,0.63529116,0.6268433,0.8947761,719,818,626,894
1984.020,Person,0.5563536,0.28996062,0.677608,0.18316416,0.34789732,373,873,183,348
1984.021,Person,0.65156025,0.48723426,0.8993607,0.3849263,0.7688225,632,1166,385,768
1984.022,Animal,0.6563367,0.16219582,0.3837955,0.19662316,0.8817692,211,499,197,882
1984.022,Person,0.58954924,0.5195208,0.7730287,0.2430653,0.63637257,675,1004,243,636
1984.022,Clothing,0.5103818,0.5272313,0.7907796,0.24527794,0.6418597,685,1027,245,642
1984.023,Person,0.6296596,0.12041062,0.65316135,0.19378518,0.82659763,155,841,194,826
1984.023,Animal,0.59125566,0.11797619,0.6216464,0.21975832,0.8374152,152,801,220,837
1984.023,Animal,0.57255757,0.79195946,0.9557529,0.63257945,0.8894148,1020,1231,632,889
1984.023,Clothing,0.50319076,0.1054252,0.52088374,0.24225886,0.82023764,136,671,242,819
1984.024,Person,0.7166479,0.3308604,0.8545799,0.45160234,0.8163753,429,1108,451,816
1984.024,Person,0.6046771,0.04592273,0.3497195,0.58063155,0.8473706,60,453,580,847
1984.026,Person,0.6323574,0.04578991,0.47402954,0.33338454,0.9550041,46,474,385,1102
1984.026,Person,0.57982624,0.72090316,0.9598622,0.15053906,0.91429573,721,960,174,1055
1984.026,Person,0.5327286,0.4717274,0.7760413,0.3159818,0.92690593,472,776,365,1070
1984.027,Person,0.738722,0.053655695,0.902926,0.059089813,0.97748774,54,903,81,1344
1984.027,Animal,0.58520174,0.62833714,0.88924235,0.6958594,0.90113896,628,889,957,1239
